,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1971-08-01,28.531738,27.166443,33.25418,26.963348,25.045135,28.14679,28.44873,32.25702
1971-09-01,28.28418,25.729492,32.257507,27.342834,26.159882,27.666992,29.308502,31.141754
1971-10-01,27.972382,21.727997,30.825989,27.617584,26.985107,27.665527,28.936432,28.571747
1971-11-01,27.818207,18.787903,27.928406,27.660583,26.733093,27.040436,27.946198,24.881561
1971-12-01,27.883911,15.207916,24.89737,27.299866,26.408936,25.64154,26.931732,21.1044
1972-01-01,27.900085,11.240051,22.175537,27.188446,25.867065,24.285065,26.341492,17.441406
1972-02-01,28.165985,9.493042,20.186523,27.123901,26.148285,23.717865,26.046875,16.341461
1972-03-01,28.771423,9.324219,21.33142,27.835022,26.970856,25.099976,27.256836,17.866577
1972-04-01,29.414185,12.6006775,24.23053,29.406067,28.968475,27.04306,28.677704,21.806335
1972-05-01,29.717377,18.230988,26.812073,30.335266,30.082275,28.193726,29.752289,24.869446
1972-06-01,29.27359,22.8154,30.147797,29.36731,28.73462,29.112427,30.040192,27.897675
1972-07-01,28.722656,24.546173,32.421844,27.549042,25.996185,28.799164,29.0531,30.10669
1972-08-01,28.4888,26.01532,33.25064,27.233887,25.273102,26.905823,28.535645,31.653778
1972-09-01,28.280762,22.674347,32.871857,27.971344,26.632263,27.341492,28.884308,31.143036
1972-10-01,28.621246,19.801056,31.411316,28.970856,28.444305,28.264984,29.56961,28.887634
1972-11-01,29.050232,16.653748,28.21811,28.769043,28.284576,27.259216,29.054077,25.441925
1972-12-01,28.590668,12.589661,24.740326,28.124847,27.299896,26.138702,27.151154,20.130554
1973-01-01,28.806763,9.553589,21.332092,27.0495,25.803406,24.484467,26.421844,16.92389
1973-02-01,28.724731,9.24823,21.309753,27.149506,25.992218,24.086914,26.729584,16.609314
1973-03-01,29.33783,9.801147,22.846619,28.245117,27.053864,25.122345,27.864532,18.724823
1973-04-01,29.88733,12.259369,25.078644,29.651886,29.114044,26.964539,29.031982,21.943237
1973-05-01,29.68393,18.36853,28.29123,30.275665,30.114502,28.849945,29.802856,25.878143
1973-06-01,28.937836,23.07721,30.416931,28.427155,27.632996,29.245087,30.152374,27.506775
1973-07-01,28.666962,26.411163,32.69458,26.968903,25.377197,28.358704,29.218872,30.832947
1973-08-01,28.511139,26.929108,33.434845,26.732025,24.68689,27.64804,29.125214,32.770782
1973-09-01,28.542206,24.461182,32.6203,27.300934,25.427185,27.304352,29.622284,31.637299
1973-10-01,28.531525,22.114594,31.575165,28.078125,27.402405,27.915009,29.814514,29.784424
1973-11-01,28.425201,18.081635,27.791718,28.267426,27.361145,26.836395,28.855286,24.443207
1973-12-01,28.058228,15.096222,24.542725,26.999481,25.701935,25.474274,27.371826,19.031128
1974-01-01,27.670502,11.732269,22.48404,26.66269,25.322021,24.025879,26.268158,16.069977
1974-02-01,28.198639,10.8967285,21.315674,26.364594,25.364594,23.836456,26.157532,15.862946
1974-03-01,28.764465,10.703888,22.630402,27.709656,26.52121,24.780151,27.430176,17.941254
1974-04-01,29.26767,12.942261,25.039093,29.310242,28.899078,26.519257,28.61911,22.214844
