,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9
1987-11-01,-0.0007702394820322904,3.802491826627877e-08,0.0042295629100408405,0.0006322079116216628,-0.0015505502233281732,-1.071297195634775e-05,0.007743274909444153,-0.0012793192581739277,-0.0010177441254199948
1987-12-01,-0.0012219553658117852,-1.3943404649833688e-06,0.004858045940636657,-0.00035116804610879626,0.000808016920927912,-5.5613835239126546e-06,0.002551267243688926,0.005601517113973387,0.0018929400539491326
1988-01-01,-0.001648868783377111,2.783443578346207e-07,0.0037035853893030435,0.00028251722596905893,0.006815275992266834,-1.174100800444197e-05,0.007540622027590871,0.002663974737515673,-0.007826570799807087
1988-02-01,-0.0013526909848830353,3.001057196897433e-07,0.003275043491157703,0.0009974711247195955,0.0019060906197410077,-8.68775978942851e-06,0.0085619802121073,-0.0009206985851051286,0.0010894804290728644
1988-03-01,-0.001469085206432889,2.3264467250542356e-07,0.0015299261576728895,0.0007770457159494981,0.00022525418899022043,-7.86078947623911e-06,0.010934038436971605,0.0009323481208411977,-0.003949061283492483
1988-04-01,-0.0008267593026782076,-1.2530733260513039e-06,-0.0022182281099958345,0.00252824120252626,0.00048475994844920933,-2.0400697465460494e-06,0.01598686503712088,0.005807408888358623,-0.003639558781287633
1988-05-01,-0.0005935270261640351,-6.945545977519861e-07,-0.0032403793738922104,0.0020526385924313217,-0.0022658434318145737,-2.9961756486400257e-06,0.013794952246826142,0.00044825465010944754,-0.003931601895601489
1988-06-01,-0.0003888416965007006,-6.222709884103995e-07,-0.004764877303387038,0.0028722053684759885,-0.000878637729329057,-4.3914371146572795e-06,0.008808788697933778,-0.005667990262736566,-0.0017746078810887411
1988-07-01,-0.000914080192160327,3.981165871289229e-07,-0.0002707434759940952,0.0074027819209732115,0.0009688537829788402,-1.2861244561702198e-05,0.01731693191686645,-0.002287271126988344,0.002306856549694203
1988-08-01,-0.0005370574702586358,-1.7128372499756515e-07,-0.002599154322524555,0.006955350545467809,-0.0015976362192304805,-1.1355331293385681e-05,0.016663801216054708,0.0006149097316665575,0.002567156116128899
1988-09-01,-0.0004053610913009228,-5.994047025045163e-07,-0.002576933547970839,0.004626037843991071,-0.0014785964594921097,-7.866065513056948e-06,0.010105525143444538,-0.0011794108104368206,0.006223253149073571
1988-10-01,-0.0004233349803447103,-6.077288192636089e-07,0.00489001176902093,0.0014361357898451388,-0.0009500614396529272,-8.477798906076082e-06,0.00641133519820869,-8.063216228038073e-06,0.0025893768906826153
1988-11-01,-0.0008822818320671407,-7.988475213841886e-07,0.0012109005183447152,0.00042923502405756153,-0.002794378451653756,-8.381585654683315e-06,0.0032742500479798764,0.0006903014309500577,0.006995422154432163
1988-12-01,-0.0014865102760571367,5.732220689519611e-08,0.007274767995113507,-0.0011903385711775627,0.00018001919670496136,-9.781501346956344e-06,0.007079543138388544,0.00020223997125867754,0.0024417677195742726
1989-01-01,-0.0017395011430683858,4.132456200847459e-07,0.005220374441705644,-0.0003632412244769512,-0.003990562981925905,-1.3301748322514515e-05,0.005882148980163038,0.0009173454600386322,0.006955160642974079
1989-02-01,-0.001565482307341881,6.012566987772459e-07,0.003324885619804263,0.0016348905774066225,0.001513241386419395,-1.1014468804953772e-05,0.009643181692808867,0.0004112829628866166,0.0016430014511570334
1989-03-01,-0.0011256903235334903,4.611686368162916e-07,-0.0017966274754144251,0.0020502684492385015,-0.0007325987098738551,-7.052567977056152e-06,0.008718894241610542,-0.0007715265383012593,-0.0005818772478960454
1989-04-01,-0.0012272361345821992,1.1673695822155525e-07,-0.0014971825294196606,0.0024289342036354356,0.002811836020555347,-8.200441562679617e-06,0.014720777107868344,-0.0006687172572128475,-0.0071137779741548
1989-05-01,-0.0007983105509386709,-8.488927709328807e-07,-0.003459547588136047,0.0009556880286254454,-0.002377551390964072,-6.399707846402964e-07,0.005329173291102052,-0.0031101939384825528,0.003079340240219608
1989-06-01,-0.0010897501245684302,-6.346944054834638e-07,-0.0069141475250944495,0.0032927797292359173,-0.000648753484711051,-2.945396817854444e-06,0.015395524678751826,0.00014078395906835794,8.788192644715309e-05
1989-07-01,-0.0010053952185747526,-1.6034757986300948e-07,-0.00157902977662161,0.00525763061887119,-0.0009422103175893426,-7.564564794260705e-06,0.0145570797030814,-0.0038258687709458172,0.002148065686924383
1989-08-01,-0.0007177628503995948,-4.168282262833543e-07,-0.00078550074249506,0.004937118501402438,-0.0024633918656036258,-6.800949172461934e-06,0.015858667029533535,-0.003415628452785313,-0.00040620361687615514
1989-09-01,-0.0003800547347054817,-6.01645045058918e-07,-0.0026480498490855098,0.002671941547305323,-0.006151560228317976,-4.067990804732619e-06,0.012464955216273665,-0.001569048617966473,0.004426844679983333
1989-10-01,-0.0007221524356282316,-2.99970551692629e-07,-0.000279437517747283,0.0007490857569791842,-0.0032229858334176242,-6.3923202983040945e-06,0.007663848373340443,-0.002377551390964072,0.008102036372292787
1989-11-01,-0.0011071972645974408,-4.655412775556545e-07,0.0006897666025906801,0.0011367577826604247,0.0012098033039364964,-8.952167153831964e-06,0.004413869100972079,-0.003107199154328555,0.00037035788409411907
1989-12-01,-0.0009718169167172164,-1.7316434920723011e-06,0.0010101735824719071,-0.0004909260496788193,0.002630172821227461,-3.183416096530343e-06,0.0008734263246878982,0.006110725371399894,0.0014264027413446456
1990-01-01,-0.0017445401075140885,5.150461063575196e-07,0.0024152112018782645,0.00038929720176383853,-0.0012431723916961346,-1.5290405575255367e-05,0.007770672527840361,0.0026260957383783534,-0.001675776729825884
1990-02-01,-0.0016638319114766396,2.1635161941088226e-07,-0.000707209255779162,-0.0012459101526474115,0.004519886715570465,-1.2677004156264326e-05,0.0064470186771359295,0.0038838992622913793,-0.0009681061783339828
1990-03-01,-0.0016720829686770837,3.836258440033393e-07,0.0009431889338884503,-0.0006549432782776421,-0.005854286428075284,-9.04732722971103e-06,0.007601463585160673,-0.0012706790585070848,0.0107855667010881
1990-04-01,-0.0011965229835671685,-1.7348200028148953e-07,0.0029278351576067507,0.003074885898968205,-0.0022292435460258275,-7.125734568202822e-06,0.012424295709934086,-0.0049507347284816206,-2.2877793526276946e-05
1990-05-01,-0.0010055322491098195,-8.755491676872174e-07,-0.006289390876190737,0.0021822555936523713,-0.001784136111382395,-4.044342047705894e-06,0.013580408995039761,0.0049699949158821255,0.00488830846734345
1990-06-01,-0.0010133307417466617,-2.70611375992276e-07,-0.0030436072847805917,0.004434420770849101,-0.0020900435629300773,-7.941514548886046e-06,0.014714014832861722,-0.0034803793823812157,-0.00268268704530783
1990-07-01,-0.0010482614015927538,-1.3504279503520771e-08,-0.0023492728359997272,0.006775007204851136,0.000720635216566734,-9.046606729298348e-06,0.015795943909324706,-0.003402860602363944,0.0038180500268936157
1990-08-01,-0.0009446876598910119,-3.2695312812773454e-07,-0.0007905633538030088,0.005821707236464135,-0.0007247137546073645,-5.58214709444462e-06,0.017127096361946315,-0.001624931610422209,0.0037080237234476954
1990-09-01,-0.0007361111177791221,-2.2309852692483613e-07,0.0011032276233891025,0.001987868563446682,-0.0018116428691428155,-4.978214231072446e-06,0.01126818242482841,-0.00538333915756084,0.0022234984498936683
1990-10-01,-0.0001831375357141951,-8.140565486282667e-07,0.004392355549498461,0.0015429559425683692,0.0032979245588649064,-7.372779614246263e-06,0.009920357842929661,0.0010182073310716078,-0.004008006726508029
1990-11-01,-0.000825825857949288,-4.1220800000280866e-07,0.005528463225346059,0.0004632759555533994,0.0007122998795239255,-9.914091161261511e-06,0.007860692858230323,0.0011757452739402652,-0.0024201232008635998
1990-12-01,-0.001569405139889568,1.556453833834703e-07,0.005136702020536177,0.0015228793927235529,-0.002756871072051581,-1.0409761903537538e-05,0.008976795652415603,-0.0027010246412828565,-0.0009731069440022111
1991-01-01,-0.001627114882770305,-1.803691928779503e-07,-0.0013882076018489897,-0.0007505643679905916,-0.0034052944101858884,-8.47213520520451e-06,0.007840227772248909,0.002553647937020287,-0.0004972396709490567
1991-02-01,-0.0013840262302740789,-4.0395764098191827e-07,0.005669856182066724,0.00159857991093304,0.0011017978977179155,-6.978465122392018e-06,0.010689930059015751,0.0011880204510816839,-0.004085495311301202
1991-03-01,-0.0012034671575141451,-7.904094770141452e-07,-0.004464352241484448,0.001331216571998084,0.0005914298526477069,-4.313065037035329e-06,0.006390990893123671,0.003328780803713016,-0.0018628668840392493
1991-04-01,-0.0011825388355646282,-1.7250876348442313e-07,-0.00547986346646212,0.0030950930522521958,-0.0013681753443961497,-5.72528559596902e-06,0.012884687748737633,-0.0006052359367458848,-0.0007794231350999326
1991-05-01,-0.0009549255992169492,-2.2006430269221556e-07,-0.0046542161726392806,0.004535661719273776,-0.0005616893758997321,-6.627976664592568e-06,0.012542410695459694,-0.003579481563065201,0.002077246244880371
1991-06-01,-0.0007591307318458955,-5.692005462422769e-07,-0.00308914459310472,0.007115105108823627,-0.0003709545126184821,-8.655279863036258e-06,0.016580068040639162,0.0021234054656815715,0.001681841240497306
1991-07-01,-0.0011283128211895626,-3.1586949892197807e-07,-0.0014535275113303214,0.005659448652295396,0.0005844624411110999,-8.403361279957892e-06,0.013749526988249272,-0.001484010135754943,0.0009241270163329318
1991-08-01,-0.0009287713207110453,-2.3530882828497814e-07,-0.0019334132957737893,0.004749137588078156,-0.0013612079783342779,-7.698370493326753e-06,0.011414547770982608,-0.001797547156456858,0.0025222943804692477
1991-09-01,-0.0008542164626608914,-2.0065599143369817e-07,-0.0003195687895640731,0.003055705747101456,0.001093088576453738,-7.257730630825023e-06,0.013293157098814845,-0.00012273741276658257,0.0001394138962496072
