,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9
1993-08-01,-16.29380226135254,5.590827941894531,-10.515531539916992,-17.330177307128906,11.771879196166992,-0.29433441162109375,-10.662698745727539,-15.311651229858398,-9.804475784301758
1993-09-01,-15.87863540649414,6.294136047363281,-14.851560592651367,-3.671449661254883,13.032875061035156,-2.667612075805664,-6.317373275756836,-20.504352569580078,-7.706949234008789
1993-10-01,-3.302755355834961,1.8233318328857422,-19.184490203857422,-8.997376441955566,11.626258850097656,-7.511756896972656,-2.305112838745117,-17.198497772216797,-12.108039855957031
1993-11-01,-7.908334732055664,1.0843944549560547,-22.045743942260742,-8.983434677124023,10.953935623168945,-17.70816421508789,-3.4716110229492188,-24.177352905273438,-9.621678352355957
1993-12-01,-12.205636024475098,-3.327542304992676,-26.629634857177734,0.7730197906494141,-0.6986598968505859,-20.39281463623047,-10.589887619018555,-40.79338073730469,-20.809532165527344
1994-01-01,-20.210039138793945,-6.608785629272461,-31.33360481262207,1.7720985412597656,1.0876445770263672,-21.471641540527344,-11.25850772857666,-28.932334899902344,-20.221418380737305
1994-02-01,-12.658302307128906,-1.1136579513549805,-29.930561065673828,-17.79088020324707,6.680318832397461,-21.70250129699707,-17.433210372924805,-25.549089431762695,-15.14249038696289
1994-03-01,-22.473121643066406,1.8875274658203125,-33.31217575073242,-0.8275203704833984,6.842897415161133,-21.681367874145508,-8.76944351196289,-33.90558624267578,-27.626834869384766
1994-04-01,-25.162155151367188,-3.180021286010742,-32.98377227783203,-12.090906143188477,6.639675140380859,-15.088839530944824,-8.182537078857422,-19.07199478149414,-17.34054183959961
1994-05-01,-17.956710815429688,-14.58810043334961,-27.872325897216797,-9.632731437683105,-4.885459899902344,-17.651063919067383,-14.254816055297852,-17.07391357421875,-16.020410537719727
1994-06-01,-16.431730270385742,-13.715057373046875,-18.517602920532227,-23.372175216674805,-10.286293029785156,-13.08425521850586,-18.49159049987793,-13.830487251281738,-13.415914535522461
1994-07-01,-26.97327423095703,-17.755115509033203,-17.493364334106445,-14.368619918823242,-12.820880889892578,-16.961734771728516,-23.87453842163086,-20.073471069335938,-9.556316375732422
1994-08-01,-22.123577117919922,-16.643081665039062,-16.122833251953125,-13.378522872924805,-6.888420104980469,-14.386505126953125,-22.11382484436035,-14.612486839294434,-11.573907852172852
1994-09-01,-13.742694854736328,-24.57524871826172,-22.715360641479492,-9.51729965209961,-14.027206420898438,-18.839506149291992,-22.165847778320312,-15.301816940307617,-10.375711441040039
1994-10-01,-13.62889289855957,-21.045686721801758,-25.628755569458008,-10.889456748962402,-13.968679428100586,-21.395231246948242,-17.96158790588379,-19.79058837890625,-17.50311851501465
1994-11-01,-15.12785816192627,-22.159345626831055,-25.4157772064209,-10.00340747833252,-17.390939712524414,-30.236207962036133,-15.669240951538086,-26.872472763061523,-10.787033081054688
1994-12-01,-14.022329330444336,-21.692747116088867,-24.531354904174805,-4.955368995666504,-14.126379013061523,-35.180198669433594,-15.443259239196777,-24.269603729248047,-21.448881149291992
1995-01-01,-17.269853591918945,-16.63987159729004,-22.425992965698242,-2.6362075805664062,-8.509105682373047,-26.636289596557617,-15.832868576049805,-32.68620681762695,-30.577587127685547
1995-02-01,-20.572490692138672,-3.1516494750976562,-19.597145080566406,-10.534420013427734,5.537946701049805,-20.169857025146484,-10.374755859375,-32.56819152832031,-27.68799591064453
1995-03-01,-29.272499084472656,6.650394439697266,-32.50745391845703,-4.043689727783203,1.0326175689697266,-16.17996597290039,-8.528194427490234,-19.98936653137207,-29.91289520263672
1995-04-01,-18.016117095947266,3.087434768676758,-22.115341186523438,-17.023414611816406,7.689952850341797,-14.59893798828125,-3.866668701171875,-27.129169464111328,-30.530729293823242
1995-05-01,-17.79570770263672,7.929450988769531,-21.124374389648438,-13.358060836791992,13.816230773925781,-9.463623046875,-5.918018341064453,-26.113906860351562,-18.36147689819336
1995-06-01,-10.204675674438477,14.005399703979492,-19.67003631591797,-19.68044662475586,15.733945846557617,1.8187923431396484,-3.0509910583496094,-14.18242073059082,-15.680147171020508
1995-07-01,-17.665544509887695,16.284095764160156,-8.868350982666016,-23.920251846313477,18.484699249267578,0.5102310180664062,-3.3824691772460938,-15.55345344543457,-12.932865142822266
1995-08-01,-17.269853591918945,14.57811164855957,-7.964160919189453,-20.26704216003418,18.974103927612305,0.5518836975097656,-1.6834220886230469,-9.043634414672852,-11.900249481201172
1995-09-01,-10.492769241333008,11.829095840454102,-14.331670761108398,-5.996116638183594,15.076194763183594,0.039913177490234375,-1.8153228759765625,-21.079254150390625,-8.075231552124023
1995-10-01,-7.884328842163086,10.867635726928711,-20.71306610107422,-12.558000564575195,12.514612197875977,-9.425443649291992,1.1731910705566406,-30.735517501831055,-7.875650405883789
1995-11-01,-11.97834587097168,2.740337371826172,-22.0927791595459,-14.578109741210938,6.124542236328125,-14.664884567260742,1.6712760925292969,-28.444673538208008,-22.0841007232666
1995-12-01,-20.017133712768555,2.7212486267089844,-16.001211166381836,-19.090383529663086,5.027711868286133,-19.565906524658203,-1.0551776885986328,-28.048980712890625,-29.215225219726562
1996-01-01,-20.320886611938477,1.5953540802001953,-17.60348892211914,-29.823495864868164,13.502574920654297,-15.190603256225586,-3.649120330810547,-31.294727325439453,-29.439552307128906
1996-02-01,-29.1846923828125,5.221303939819336,-34.38117218017578,2.8448238372802734,16.215003967285156,-13.69951057434082,-11.869158744812012,-33.242576599121094,-28.29599380493164
1996-03-01,-27.604232788085938,3.947010040283203,-24.33905601501465,-21.31549835205078,14.993667602539062,-13.30398178100586,-11.031764030456543,-29.242616653442383,-28.63194465637207
1996-04-01,-27.95342445373535,1.6979598999023438,-25.173141479492188,-22.09331512451172,8.893594741821289,-10.402891159057617,-10.204299926757812,-28.991064071655273,-23.317964553833008
1996-05-01,-24.67500877380371,0.5990829467773438,-28.22483253479004,-18.71725845336914,2.115001678466797,-7.996623992919922,-8.372291564941406,-18.690780639648438,-13.226202011108398
1996-06-01,-16.253067016601562,-5.3785247802734375,-27.31958770751953,-9.865036010742188,-7.3396148681640625,-10.670989990234375,-13.725992202758789,-16.312644958496094,-13.69620132446289
1996-07-01,-19.400745391845703,-10.748771667480469,-16.815746307373047,-21.6762752532959,-7.0748291015625,-12.630428314208984,-16.45331382751465,-23.564550399780273,-7.703697204589844
1996-08-01,-20.726343154907227,-10.450885772705078,-16.661834716796875,-16.213348388671875,-4.587467193603516,-11.822822570800781,-17.418140411376953,-18.814899444580078,-15.869125366210938
1996-09-01,-19.114442825317383,-14.248947143554688,-22.540149688720703,-9.183206558227539,-7.809612274169922,-15.559652328491211,-16.903453826904297,-21.461132049560547,-7.980073928833008
1996-10-01,-11.056587219238281,-17.775606155395508,-20.862049102783203,-6.545248031616211,-13.835214614868164,-21.585254669189453,-9.818702697753906,-24.706451416015625,-14.161235809326172
1996-11-01,-17.279125213623047,-27.7680721282959,-37.032371520996094,14.669301986694336,-18.36972427368164,-38.02698516845703,-13.906377792358398,-23.587718963623047,-11.713594436645508
