,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11,mgu600_cluster12
1972-12-01,2.2824259,0.14231071,-0.53280526,-0.28662986,-0.75688744,0.4702572,1.0681922,-0.23613282,-1.0739307,2.1690936,1.3373207,-0.29609832
1973-01-01,1.951781,0.7186581,-0.7877846,-0.6731049,-0.33416328,0.007963943,1.5172733,-0.026121521,-1.362456,1.5440319,0.7154724,-0.23190728
1973-02-01,2.4601934,0.57945025,-0.49089202,-0.57339746,-0.6775646,1.5051683,1.730386,-0.07868309,-1.7112728,1.6051944,1.2914188,-0.8142246
1973-03-01,2.298368,1.1375568,-0.7877846,-1.2328045,0.28861007,1.2665713,2.236887,-0.08664665,-1.6236703,1.8466583,0.6281887,-1.1499802
1973-04-01,1.1136653,-0.3039009,0.8572289,0.20865288,0.21056405,0.8527695,-0.06371079,0.33511886,-1.1426538,1.5720646,2.0992718,-0.4647705
1973-05-01,1.0499542,0.12582855,1.2621117,-0.6093941,0.48006135,1.4462357,-0.010512161,-0.477194,-1.145202,1.3936743,1.3127617,-0.088876724
1973-06-01,0.78969574,-0.17456779,-0.32173958,-1.2764466,0.13857117,0.797341,0.17520484,-0.5272072,-0.56479645,1.9912817,2.314296,0.20419312
1973-07-01,0.7186581,0.23541145,1.4242554,0.8056234,0.23859748,0.07008171,0.36792985,-0.042049408,0.041411974,0.37366408,1.0314782,0.3590107
1973-08-01,-0.39277726,0.5042713,1.7899555,1.6475618,0.15800247,-0.2532505,0.034085084,0.5160576,0.76007044,-0.1659668,1.0094982,0.5240215
1973-09-01,0.01783905,0.17010804,1.6612599,-0.39596272,0.024528503,1.730386,0.037270736,1.2031791,-0.14143829,0.7345856,2.21204,0.19973335
1973-10-01,0.18189469,0.17616042,1.0091794,0.052242853,0.079638675,1.6520218,-0.41093484,0.79224414,-0.4880249,1.3484398,1.6956637,0.42208442
1973-11-01,2.1840072,-0.38704377,-0.30262643,-0.015290832,-0.8696529,1.926934,0.96808547,-0.47050437,-0.74796504,2.400624,1.0145948,-0.61544687
1973-12-01,2.3537967,0.4571251,-0.2828762,-0.54663885,-0.8088089,0.24018975,1.1710049,-0.49949303,-1.052503,3.4798856,2.1273046,-0.8247368
1974-01-01,2.4420276,1.813523,-2.0860286,-1.3036858,-0.0782341,0.5469826,2.2678082,-0.37276345,-1.3806051,1.3398445,-1.1833756,-0.6758388
1974-02-01,2.0051646,0.7688656,-0.47039184,-0.5621036,-0.2715191,0.48386917,1.9318612,-0.5433666,-2.450903,1.7425209,1.0242774,-1.4115044
1974-03-01,1.4308984,1.007513,-1.1712135,-0.84512746,-0.22944374,1.198168,1.3884941,0.25804138,-1.5893395,1.491711,1.0666821,-1.4174213
1974-04-01,1.021648,0.030899812,1.1909363,-0.0742897,-0.27381974,0.3885418,0.112091824,0.4963604,-0.5032635,1.4815209,2.0100951,-0.46118775
1974-05-01,0.7142986,0.17323303,1.6402903,1.0002813,0.1992012,0.7718239,0.13378716,0.6968769,-1.1554348,1.160366,0.8569614,0.004602051
1974-06-01,0.28302383,0.36323053,-0.06245594,-0.54270935,0.4845268,0.9240192,0.31622428,0.11932373,-0.43489075,1.2497761,1.787555,0.098286055
1974-07-01,0.44902533,0.5979332,0.92303294,-0.7231743,0.23601761,0.8517021,0.14299126,1.355294,-0.31162223,0.7031223,1.0571492,0.5354778
1974-08-01,-0.26034278,0.051937103,1.1735144,1.7619148,0.6222588,-0.06738663,0.091711424,-0.029255677,-0.37309226,0.0026298524,0.8066677,0.89344865
1974-09-01,-0.08842468,0.2902561,1.253392,0.593989,0.68438566,0.9430851,0.24029121,0.84545594,-0.28466758,0.08349381,0.8599197,0.057196807
1974-10-01,0.44508058,-0.74684143,0.20314598,-0.08710937,0.015449524,1.8710487,-0.4066208,2.3933778,-0.25508347,1.9644035,2.8414168,0.9937069
1974-11-01,1.5702736,-0.811927,1.5206382,-0.06574287,0.031556703,2.217186,0.19657211,0.72350293,-1.1334112,2.486733,2.0229154,0.25376853
1974-12-01,2.442685,-0.15613937,-1.328997,-0.020708848,-0.23470306,3.0324006,1.137027,0.59070206,-2.5646381,2.8269534,2.217186,-1.1817322
1975-01-01,3.1371396,0.88990176,-1.3665211,-0.7882435,-0.59854585,1.4149749,1.6062561,-0.34392625,-2.1291127,2.733992,0.2951561,-0.9912426
1975-02-01,2.584514,0.5054386,-1.1071514,-1.1505378,-0.011717605,0.8480984,1.6800449,-0.2546192,-2.2060685,1.9257972,0.61723024,-0.6818352
1975-03-01,2.3181767,0.7144543,-0.362611,-1.6642101,0.012034225,0.7401064,1.5270832,-0.37464523,-1.764918,1.5432342,0.4278492,-1.0963837
