,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6
1981-12-01,2.7000344,-0.16884384,0.5828785,-0.54690707,1.675225,-0.42321092
1982-01-01,0.5972427,-0.20512009,0.5551834,-0.13911895,-0.8191868,-0.43579978
1982-02-01,-1.1553379,-0.19735566,0.1135601,-0.35588685,-2.1899981,1.0213951
1982-03-01,-1.1938388,0.5005062,1.9693482,-1.3895767,0.3552397,1.5675201
1982-04-01,-1.2938105,0.5898018,1.1828384,-1.3174282,1.0317484,2.0741735
1982-05-01,-1.0181596,0.7434803,-0.75900954,-1.4144884,1.3352226,2.7374167
1982-06-01,-1.0052185,0.0129413605,1.7370516,-0.5289776,1.5021658,1.9208183
1982-07-01,-1.1220143,-0.020059204,0.82145154,2.2259107,1.7794342,0.9625122
1982-08-01,-1.4885776,-0.031059265,0.24362068,3.0489795,-0.015529633,1.52449
1982-09-01,-2.1062033,0.18959084,1.2766634,1.382135,1.556196,0.8880993
1982-10-01,-0.09544258,-0.07150078,1.7218453,-0.82436335,0.77518636,1.0851314
1982-11-01,0.7577156,0.8275986,1.2045151,-0.6292728,1.9670842,1.3763115
1982-12-01,1.3598114,1.2792513,-0.776804,0.06147156,1.1954559,2.5462089
1983-01-01,3.1662056,1.2650505,-2.7168655,-0.09370728,-2.5590591,1.6330475
1983-02-01,2.7136123,1.7049549,-1.7329369,-0.5489044,-3.320758,2.1956172
1983-03-01,2.4943092,1.856253,-1.8061463,-2.038137,-0.5228745,2.3914921
1983-04-01,-2.76014,0.965382,0.15585403,-3.2032979,1.3057222,2.879877
1983-05-01,0.15357609,-0.15552826,0.9295906,-2.3491936,1.3132057,2.4484322
1983-06-01,0.70215493,-0.40801772,0.28307456,-0.09305668,4.3222556,1.8549519
1983-07-01,-2.6163247,0.20205688,-0.55280876,2.368716,1.9206768,0.820591
1983-08-01,-0.9328445,0.005856323,-0.19717598,2.2317338,-1.0610416,0.6240654
1983-09-01,-2.2496295,0.635128,1.2725338,1.4970415,0.93902665,0.45584756
1983-10-01,-0.37515527,0.45194322,2.2600415,-0.39532813,2.6436563,1.4414028
1983-11-01,3.2511277,0.06767769,0.4591015,-0.18253402,3.5192351,0.524176
1983-12-01,1.3050716,0.135355,1.9118919,-0.37613145,-0.5798149,-0.39239997
1984-01-01,1.7838051,0.99949837,-1.0908337,-1.6253525,-1.3613793,-0.9064331
1984-02-01,2.0329013,0.59748495,-1.9038559,-1.7170334,1.7460953,-1.2095006
1984-03-01,1.3724502,1.1645244,-0.99776804,-2.0512376,0.74348295,1.2098461
1984-04-01,1.5558128,0.4085869,-0.8531548,-2.8825958,3.5676103,0.95902026
1984-05-01,1.8727188,0.42830697,-1.31502,1.8384678,3.9457524,0.06435013
1984-06-01,0.9130062,0.7618195,0.9268452,1.8675293,3.5250564,1.3029114
1984-07-01,-1.0583127,0.065042116,-0.43245888,2.1664443,0.886367,0.7746193
1984-08-01,-2.068882,0.54835737,0.39440194,1.639191,1.158989,0.7002369
1984-09-01,-1.4990746,0.75317,0.21311569,2.1024406,2.4785066,1.1115917
1984-10-01,0.82651484,0.11970444,1.3004894,-1.0648861,2.319362,1.0735352
1984-11-01,1.9668217,0.6258537,1.1022507,-0.5794945,4.002145,1.0053799
1984-12-01,0.52552354,-0.9448353,0.9866978,0.5269081,-0.046359636,1.292186
1985-01-01,1.7845123,0.50372964,0.0837204,-1.9927585,-2.8180032,0.00070343015
1985-02-01,0.009497833,-0.017588425,0.19136123,-0.99022293,-0.040805053,-0.07598114
1985-03-01,-1.8400913,-1.0215305,1.5432007,-0.0066841124,2.8774514,1.392292
1985-04-01,-1.417268,0.6989601,-1.5833015,-0.30955467,1.8327045,2.0912528
1985-05-01,-0.38694343,0.12980194,1.30224,-0.6155918,1.4264141,2.2439196
1985-06-01,0.4270447,0.27719268,0.4784027,1.5537533,2.6635773,1.1516838
1985-07-01,-2.0300455,0.36548537,-0.58463633,2.778605,1.4527966,0.43372878
1985-08-01,-1.2709328,0.23392487,0.7647411,2.457442,-1.2427918,0.5751381
1985-09-01,-2.413119,0.65569305,1.2055042,1.1805289,-0.31588668,0.81504285
1985-10-01,-1.4105842,0.52729875,0.704237,0.9022816,1.5977242,1.6184784
1985-11-01,-0.8509239,-1.0957531,0.8097671,0.45694503,-0.31799698,0.7819775
1985-12-01,1.3433968,-0.17940101,-0.39855155,-0.09568062,-0.5114685,0.16849633
1986-01-01,3.677349,-0.31771335,-1.2238957,0.15519333,-0.6653992,0.50088155
1986-02-01,1.6911408,1.2581981,-0.22213288,-0.38531876,-3.8308768,0.58880216
1986-03-01,1.4093949,1.3284683,-1.4333732,-0.22513008,-0.5142029,1.399071
1986-04-01,-0.3193783,0.025310516,0.4572544,-0.8868664,1.9985301,-0.14353713
1986-05-01,1.1736081,0.6211063,-0.65074617,-1.5089718,1.7500877,0.7233473
1986-06-01,0.85822564,0.60911715,0.2624298,0.8202602,2.8947215,2.0028596
1986-07-01,-2.1320763,0.44026947,0.62876624,3.2683845,1.5416092,1.4496921
1986-08-01,0.39531,0.052286528,1.274184,1.9499073,0.42927933,0.6747246
1986-09-01,-1.9529045,0.03430252,2.466108,1.7757308,0.38098946,1.3194759
1986-10-01,1.3188101,0.37666017,1.794714,-1.1023384,2.0451546,2.212337
1986-11-01,0.5881361,-0.08359146,0.88953096,-0.52852285,1.812032,2.2989259
1986-12-01,2.6136422,-0.6117813,-0.33403245,-1.3291343,1.5705826,0.026309777
1987-01-01,1.9962867,0.29909286,-0.4398033,-1.1863686,-0.25507966,-0.00033340455
1987-02-01,0.45380783,0.13004056,0.07569046,-1.6064987,-1.7238686,1.0466583
1987-03-01,-0.98363876,1.2887337,-2.1650054,-1.8699138,0.036678314,2.3674018
1987-04-01,-1.265393,1.5214726,-1.9095932,-0.60585463,2.4917731,1.8432392
1987-05-01,-2.8195424,1.2550564,-1.8162308,-0.72755927,1.7005281,3.2293363
1987-06-01,-1.1370198,-0.2820877,0.09869728,0.8242561,2.5471241,2.3670683
1987-07-01,-2.7808635,0.43513566,1.62117,0.60018635,1.6788547,1.2660602
1987-08-01,-0.52182865,0.08736038,0.5411682,2.7405179,0.6862133,1.2964027
1987-09-01,-1.0896717,0.15504837,3.0229387,-1.6158352,1.053327,1.6108334
1987-10-01,-1.521806,0.5298313,0.7529003,0.07135544,2.4530952,2.5144477
1987-11-01,1.2413852,0.56717604,-1.4571193,-0.8899433,3.0379436,2.515448
1987-12-01,1.5838253,0.06201897,0.1480461,-0.42046434,1.8182312,1.2873999
1988-01-01,1.2019684,-0.14148636,-0.42546043,-1.2376735,0.14048615,0.42579442
