,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1978-03-01,2.7270406e-05,-2.828145e-05,8.808552e-05,-6.738466e-05,4.866921e-06,-5.76023e-05,6.019841e-05
1978-04-01,2.2327586e-05,-2.9055627e-05,7.228722e-05,-8.9784735e-05,3.735433e-06,-6.099677e-05,6.174676e-05
1978-05-01,3.549709e-05,-3.336039e-05,8.48527e-05,-9.276233e-05,4.5011e-06,-5.6496337e-05,6.736167e-05
1978-06-01,3.1975014e-05,-3.166741e-05,8.365315e-05,-9.769664e-05,-2.1201777e-07,-5.917618e-05,4.890904e-05
1978-07-01,3.2834265e-05,-2.0105806e-05,7.8293466e-05,-9.490621e-05,3.5227458e-06,-5.4667238e-05,4.6943827e-05
1978-08-01,3.1149793e-05,-2.285371e-05,6.286948e-05,-8.405072e-05,1.0130534e-06,-6.535258e-05,5.7833346e-05
1978-09-01,2.9720548e-05,-2.4529672e-05,7.859973e-05,-8.3234e-05,6.6424764e-07,-5.7738423e-05,6.509869e-05
1978-10-01,3.1158303e-05,-2.7473245e-05,8.372971e-05,-8.679011e-05,7.9186066e-07,-4.7112637e-05,6.0002738e-05
1978-11-01,2.7738315e-05,-2.7668917e-05,9.1003574e-05,-8.4408035e-05,6.5343775e-06,-5.105158e-05,6.93439e-05
1978-12-01,2.203833e-05,-2.7694437e-05,8.223241e-05,-8.273206e-05,7.2404946e-06,-5.445455e-05,6.3975705e-05
1979-01-01,2.4002613e-05,-2.9885581e-05,8.3691455e-05,-7.843923e-05,3.4041113e-06,-4.8336988e-05,7.026986e-05
1979-02-01,2.1974723e-05,-3.514964e-05,8.808522e-05,-8.502987e-05,5.085567e-06,-6.0631053e-05,6.59775e-05
1979-03-01,1.5460137e-05,-3.31133e-05,9.00793e-05,-8.5807216e-05,1.2799985e-05,-5.0905644e-05,7.413975e-05
1979-04-01,2.9883482e-05,-2.4258195e-05,7.6762844e-05,-9.276118e-05,6.4111373e-07,-5.831588e-05,6.3670785e-05
1979-05-01,2.297177e-05,-2.8584356e-05,8.533912e-05,-8.019673e-05,2.17048e-06,-5.2764542e-05,6.9881185e-05
1979-06-01,3.676985e-05,-2.220496e-05,7.553767e-05,-7.830404e-05,-2.0373845e-06,-5.4944518e-05,5.6649224e-05
1979-07-01,3.226625e-05,-2.348084e-05,7.224234e-05,-8.2841434e-05,3.6228084e-07,-5.9507263e-05,5.1089435e-05
1979-08-01,3.517289e-05,-1.4414498e-05,6.606574e-05,-8.1844395e-05,3.3956603e-06,-5.440375e-05,5.940377e-05
1979-09-01,4.3140793e-05,-2.2145814e-05,9.0324334e-05,-7.8118144e-05,2.018387e-06,-5.971005e-05,5.0143088e-05
1979-10-01,2.6241738e-05,-2.8956136e-05,7.75909e-05,-7.617476e-05,-2.9678267e-07,-4.6106314e-05,5.6488683e-05
1979-11-01,2.976519e-05,-2.9074428e-05,8.604888e-05,-9.3842726e-05,-3.3903052e-07,-5.5688077e-05,5.2323066e-05
1979-12-01,2.9384963e-05,-3.0392555e-05,8.555035e-05,-7.2989285e-05,-2.3922657e-06,-4.8100403e-05,5.778146e-05
1980-01-01,2.4930898e-05,-2.8112383e-05,8.471351e-05,-7.3439005e-05,6.1041646e-06,-6.745057e-05,5.8263904e-05
1980-02-01,1.9580079e-05,-3.006717e-05,8.637011e-05,-7.853305e-05,1.0187687e-05,-5.4785858e-05,6.363958e-05
1980-03-01,2.0863943e-05,-2.868391e-05,8.756286e-05,-7.510389e-05,3.474779e-07,-5.1348412e-05,6.660489e-05
1980-04-01,1.646567e-05,-2.3581586e-05,7.5370284e-05,-8.130786e-05,2.0123625e-06,-5.191166e-05,6.153569e-05
1980-05-01,2.4674122e-05,-3.2361564e-05,7.452542e-05,-7.8102334e-05,1.6976119e-06,-5.5183446e-05,6.734208e-05
1980-06-01,3.8167138e-05,-1.7551556e-05,8.785277e-05,-9.5513205e-05,1.7970015e-06,-5.83227e-05,5.140558e-05
1980-07-01,3.0778694e-05,-1.9183306e-05,8.58897e-05,-8.6070584e-05,-4.891044e-07,-5.826472e-05,5.861179e-05
1980-08-01,3.357835e-05,-2.5329293e-05,7.976028e-05,-7.864073e-05,3.0394513e-06,-5.9614853e-05,6.5760025e-05
1980-09-01,3.275005e-05,-2.371411e-05,9.0702124e-05,-7.82183e-05,2.5424742e-06,-6.668853e-05,4.5085653e-05
1980-10-01,3.475454e-05,-3.323956e-05,9.2723174e-05,-8.386731e-05,2.2691383e-06,-4.9551003e-05,6.045062e-05
1980-11-01,2.8981285e-05,-2.7615406e-05,9.00312e-05,-7.745626e-05,6.07103e-06,-5.3883014e-05,6.1825594e-05
1980-12-01,2.5808895e-05,-2.619073e-05,8.916148e-05,-7.029146e-05,7.205803e-06,-5.436343e-05,7.344665e-05
1981-01-01,2.1292271e-05,-3.142386e-05,8.5035805e-05,-7.3318544e-05,1.5049289e-05,-4.889436e-05,6.808546e-05
1981-02-01,2.3808741e-05,-2.8074122e-05,8.7810586e-05,-7.9076424e-05,2.2836248e-06,-5.1469156e-05,5.943614e-05
1981-03-01,1.9342424e-05,-4.0781455e-05,8.897716e-05,-8.048465e-05,8.333151e-06,-5.490222e-05,5.5311466e-05
1981-04-01,3.127482e-05,-2.4066107e-05,8.470249e-05,-7.5110074e-05,2.6919297e-06,-5.117751e-05,6.418577e-05
1981-05-01,2.3508761e-05,-1.3516936e-05,7.976122e-05,-9.054219e-05,1.8003338e-06,-5.2602398e-05,6.297753e-05
1981-06-01,4.315722e-05,-2.7774146e-05,7.391168e-05,-9.312532e-05,-1.1910961e-06,-6.3968175e-05,6.314419e-05
1981-07-01,3.2874694e-05,-2.1591299e-05,8.225269e-05,-8.382605e-05,-2.9950024e-07,-6.778454e-05,6.174429e-05
1981-08-01,3.5516154e-05,-1.44918595e-05,8.7527274e-05,-8.269281e-05,2.7085953e-06,-6.411816e-05,5.6211393e-05
1981-09-01,3.0891515e-05,-1.6999995e-05,8.686066e-05,-7.9618054e-05,1.9586514e-06,-5.281905e-05,6.1585975e-05
1981-10-01,3.844092e-05,-1.8949842e-05,9.1760274e-05,-8.117626e-05,1.0670556e-06,-4.9852617e-05,5.9844446e-05
1981-11-01,2.5708589e-05,-2.0216408e-05,8.887717e-05,-9.5325144e-05,7.0749156e-06,-5.04359e-05,4.8820308e-05
1981-12-01,1.9717398e-05,-2.3999444e-05,9.073535e-05,-8.845069e-05,5.166734e-06,-5.456058e-05,4.9603586e-05
1982-01-01,2.295076e-05,-3.1804473e-05,9.4557974e-05,-7.1406525e-05,7.803192e-06,-4.898668e-05,7.504037e-05
1982-02-01,2.3363154e-05,-3.1890388e-05,9.3758965e-05,-8.7206354e-05,7.5024873e-06,-5.9897924e-05,5.893124e-05
1982-03-01,2.0974705e-05,-2.8995044e-05,8.511588e-05,-8.1080594e-05,5.225731e-06,-5.1641462e-05,5.986772e-05
