,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1974-09-01,1023.76447,1010.5733,1019.8709,1013.5056,1015.3267,1023.72095,1017.5343,1014.33704,1017.93713,1017.0867
1974-10-01,1025.2786,1009.7235,1019.14484,1012.7523,1013.23865,1019.56866,1017.7123,1011.4522,1013.88257,1015.9373
1974-11-01,1024.6637,1008.12726,1018.4227,1011.27014,1010.18744,1021.9726,1015.9387,1008.62854,1010.25745,1014.3398
1974-12-01,1019.66174,1007.1043,1016.9895,1011.012,1009.46204,1018.7746,1015.3858,1008.25836,1009.14343,1013.50836
1975-01-01,1020.2635,1007.0145,1015.8304,1010.37665,1011.5744,1016.21436,1009.4557,1005.556,1009.08685,1012.2171
1975-02-01,1021.27094,1009.76636,1017.0987,1012.06635,1015.35986,1019.719,1019.06366,1009.2315,1011.7425,1012.87103
1975-03-01,1020.8184,1009.1616,1016.9118,1011.4359,1014.2957,1019.9598,1020.8391,1008.1832,1011.9833,1012.8267
1975-04-01,1017.264,1008.93256,1014.95026,1010.77515,1019.7328,1017.41486,1017.1188,1009.4861,1016.5299,1013.9739
1975-05-01,1020.34515,1009.58026,1017.81757,1012.16736,1016.3963,1013.4702,1014.5773,1011.34393,1018.4852,1015.9528
1975-06-01,1020.43646,1009.9698,1019.2464,1013.2198,1015.3162,1012.56104,1008.76373,1012.83014,1018.5704,1016.42883
1975-07-01,1022.2216,1010.57654,1019.33563,1013.89154,1018.51843,1017.2246,1011.35846,1014.8706,1019.6083,1017.84314
1975-08-01,1025.9448,1010.83124,1020.7541,1014.104,1014.23615,1022.5614,1017.00867,1014.27905,1017.5463,1018.2403
1975-09-01,1026.3096,1010.8783,1020.41437,1014.21466,1020.1334,1021.52966,1020.8253,1013.9172,1018.3856,1017.7006
1975-10-01,1024.2241,1010.38635,1020.3375,1013.4425,1014.459,1026.5164,1019.474,1012.23236,1013.61,1016.0262
1975-11-01,1024.2892,1009.4045,1018.3635,1012.5867,1015.1453,1018.52325,1013.1353,1009.17194,1011.70306,1015.7743
1975-12-01,1021.98846,1008.8011,1018.3898,1012.4627,1016.4614,1022.63403,1014.5566,1008.6724,1010.35516,1014.11237
1976-01-01,1020.4558,1007.9593,1016.6658,1011.41315,1012.5792,1020.54956,1014.7308,1003.3054,1007.19586,1012.2382
1976-02-01,1021.55963,1008.7467,1017.0432,1011.7807,1017.83185,1021.163,1017.7104,1006.0667,1010.45795,1012.9844
1976-03-01,1020.8578,1008.14795,1016.0504,1010.387,1012.1217,1020.14435,1021.97705,1006.63837,1010.14166,1012.0594
1976-04-01,1018.69586,1009.3147,1016.00903,1011.4921,1018.52563,1021.29565,1018.0693,1010.1231,1016.92664,1014.1967
1976-05-01,1015.3449,1010.0639,1015.98627,1012.5885,1022.13495,1014.67773,1011.6672,1012.7248,1019.8613,1015.5774
1976-06-01,1017.83185,1009.58044,1016.82306,1011.9521,1017.97565,1016.4457,1011.1356,1013.01953,1020.1493,1015.85065
1976-07-01,1019.0393,1009.63403,1017.5846,1012.3807,1019.6646,1014.14923,1011.1566,1015.0329,1022.35443,1015.8981
1976-08-01,1023.5298,1010.2236,1018.805,1012.644,1012.7802,1016.74225,1010.6639,1014.83124,1019.39264,1016.984
1976-09-01,1020.885,1010.3926,1017.1647,1012.3215,1014.26764,1008.75226,1011.8275,1014.07526,1017.08514,1016.2785
1976-10-01,1019.0751,1009.4023,1017.22015,1012.06866,1010.6047,1014.1863,1010.0238,1011.8035,1011.7912,1016.0436
1976-11-01,1020.72955,1008.53955,1016.04913,1010.8421,1008.64185,1019.2921,1012.0884,1009.50336,1009.28937,1014.3157
1976-12-01,1016.5018,1006.8295,1013.6078,1009.623,1009.9844,1013.5344,1009.47437,1008.22565,1008.8546,1011.9545
1977-01-01,1017.5904,1007.1219,1014.47437,1010.22955,1012.4943,1017.18805,1012.7692,1006.382,1009.7604,1011.80804
1977-02-01,1021.90344,1008.27515,1016.3139,1010.82733,1016.95905,1019.1647,1017.3474,1007.1386,1010.8448,1012.4727
1977-03-01,1018.30096,1008.0949,1014.2204,1009.6512,1015.9151,1016.2888,1015.51764,1007.4254,1011.2512,1011.2916
1977-04-01,1017.5117,1008.61206,1013.9384,1010.24554,1017.9558,1017.14905,1012.2395,1010.69305,1017.2368,1014.06586
1977-05-01,1015.53235,1009.56,1014.0352,1011.1316,1014.9073,1018.0288,1009.90656,1012.495,1016.0814,1015.04376
1977-06-01,1020.76404,1009.37,1016.75244,1011.2304,1013.95514,1012.7003,1010.565,1013.57245,1020.54486,1015.9966
1977-07-01,1026.8589,1008.1499,1018.4966,1010.9359,1017.7275,1018.2975,1014.2427,1013.3072,1021.6404,1016.3487
1977-08-01,1025.5164,1009.43396,1019.42017,1012.42114,1019.7765,1017.1178,1015.9924,1015.26154,1020.59357,1017.2626
1977-09-01,1021.0613,1010.5413,1016.9702,1012.6989,1016.25476,1013.9816,1006.7899,1015.36523,1018.31976,1016.5714
1977-10-01,1021.22205,1009.6984,1017.81586,1012.21655,1019.3178,1017.7678,1016.6041,1015.34717,1017.81726,1016.1796
1977-11-01,1022.79987,1008.83264,1017.17,1011.2826,1017.0823,1020.54767,1017.3315,1011.68274,1013.1437,1014.7138
1977-12-01,1019.8614,1006.81146,1015.8949,1010.3172,1013.1527,1018.7812,1016.72876,1009.1403,1011.5324,1013.841
1978-01-01,1022.2422,1008.1644,1018.02655,1011.76544,1016.08844,1020.00073,1019.5582,1009.2028,1011.1144,1014.3195
1978-02-01,1019.9701,1008.1524,1015.8525,1010.61383,1015.2659,1017.39874,1015.78986,1007.7139,1011.6422,1012.97656
1978-03-01,1021.1184,1009.2109,1016.1091,1011.37427,1018.7184,1019.8908,1020.332,1010.3679,1013.627,1014.43085
1978-04-01,1018.3491,1009.43945,1015.55585,1010.947,1013.4757,1014.2942,1015.4992,1010.3292,1015.18665,1014.79346
1978-05-01,1018.7944,1009.11554,1016.2097,1011.42694,1016.97687,1010.72845,1016.54095,1012.23334,1017.16345,1015.11194
1978-06-01,1022.02423,1009.3734,1018.0466,1012.2807,1009.3621,1014.4741,1007.89044,1012.3967,1015.8105,1016.5056
1978-07-01,1020.16736,1009.22485,1017.71735,1012.35,1011.15765,1009.3328,1008.1864,1012.9299,1016.8089,1016.32104
1978-08-01,1025.596,1009.6061,1019.30023,1012.8113,1017.29407,1015.2559,1017.68396,1014.5034,1019.45154,1016.8975
1978-09-01,1023.41656,1009.75134,1019.67615,1013.02985,1014.7774,1015.3973,1020.2527,1014.2235,1016.6189,1016.7849
