,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11
1986-08-01,7.503873902270144e-06,-8.290297058505547e-05,6.975767271928806e-05,-9.317828160568083e-05,-2.4226094707125373e-05,5.813898662216326e-05,9.435811046117999e-05,-1.1676163010250724e-05,-5.8020336136750165e-05,0.001978349973796867,3.294855109758575e-05
1986-09-01,7.81138934675399e-06,-8.121472504830858e-05,6.908993993792483e-05,-9.175595810769924e-05,-2.5956297326627176e-05,5.372231168042741e-05,0.0001005537511882891,-1.27676380224248e-05,-5.521181205026851e-05,0.0027540503651835024,3.3473148554104866e-05
1986-10-01,9.229703752257278e-06,-7.872784461770376e-05,6.988804267624071e-05,-9.252571136148988e-05,-2.71419818433798e-05,5.033756596359043e-05,0.00010563025804885635,-1.3599064826073754e-05,-5.624799380473984e-05,0.004781085954164155,3.074628480941362e-05
1986-11-01,1.1425211907029879e-05,-7.61351080371685e-05,7.007336240263778e-05,-8.560637070331722e-05,-3.190697913416206e-05,4.9538694756020874e-05,0.0001043543552801812,-1.5052692480478323e-05,-5.781910965568671e-05,0.005807805428048596,2.7962608976281062e-05
1986-12-01,1.002304775238822e-05,-7.607502718671576e-05,7.338450178067121e-05,-8.414886126826915e-05,-3.3020742721155464e-05,4.513620958525941e-05,0.0001095931787485591,-1.6845930851832456e-05,-5.7872877025596505e-05,0.005564519597101025,2.4680104500393735e-05
1987-01-01,1.2057624027677029e-05,-7.204217657564591e-05,7.33496594070983e-05,-8.21199753364472e-05,-3.655640601051425e-05,4.572803184353027e-05,0.00011079371345092679,-1.4943785554923616e-05,-5.8486435938373774e-05,0.005846502972417511,2.318266466731847e-05
1987-02-01,8.422581087492435e-06,-7.241161291289899e-05,7.467528924034204e-05,-8.1391332728066e-05,-3.6735068006500896e-05,4.816768027508673e-05,0.00011153054916970693,-1.5562792603824554e-05,-5.9824428506295736e-05,0.004980729863746092,2.3247759545301352e-05
1987-03-01,8.389468569088656e-06,-7.568388205267591e-05,7.543930202287667e-05,-8.755600660782763e-05,-3.289911296303836e-05,5.15137336068702e-05,0.00011119908774770918,-1.433739295529797e-05,-5.942030776659833e-05,0.005031154796597548,2.1886256318827498e-05
1987-04-01,8.376863422766985e-06,-7.598921441121982e-05,7.41166772066689e-05,-8.41726640438927e-05,-3.104577398767435e-05,5.07270661645717e-05,0.00010869785435584598,-1.4975505338785279e-05,-5.93984701094607e-05,0.0050442296924302354,2.501090354072771e-05
1987-05-01,8.3075950793626e-06,-7.783353006000511e-05,7.433279021295593e-05,-8.68586803149736e-05,-2.7996351280413314e-05,5.454240801389625e-05,0.00010377849291549834,-1.3960060890538216e-05,-6.158144329532225e-05,0.0045995493564987555,2.6713514123906232e-05
1987-06-01,8.769088573431098e-06,-7.906634828052641e-05,6.96583256460051e-05,-8.859158029105057e-05,-2.6640571153278135e-05,5.512100869964342e-05,0.00010104490715971256,-1.1100863237727431e-05,-6.0806519119638254e-05,0.0038219706766540185,3.108895868709292e-05
1987-07-01,7.642396165764884e-06,-8.300968408258737e-05,6.859217756000885e-05,-9.211197219865054e-05,-2.1767668906671833e-05,5.443013916109604e-05,0.00010000130248208267,-1.2838906952165592e-05,-5.9490671079926886e-05,0.0029050417651887983,3.261165874692873e-05
1987-08-01,7.27407471251606e-06,-8.221288952970158e-05,6.927301327058516e-05,-9.122461571158574e-05,-2.4910659835702553e-05,5.582892630296886e-05,9.701643839244034e-05,-1.1916343934633026e-05,-5.779907675625069e-05,0.0022971471480559558,3.2481740318479354e-05
1987-09-01,7.77510886019618e-06,-7.909887985896076e-05,7.052941213442342e-05,-9.112411691826216e-05,-2.4267772631361186e-05,5.5800679051158525e-05,9.778910608243606e-05,-1.082105675229372e-05,-5.944857548456639e-05,0.003326904698042199,3.133193278219161e-05
1987-10-01,7.933142698972672e-06,-8.097812831643591e-05,6.946198493818134e-05,-8.926534287545982e-05,-2.6826147286160648e-05,5.272109195754059e-05,0.00010107708758390171,-1.2497310101386661e-05,-5.72178389280488e-05,0.005137426342116669,3.007265463094523e-05
1987-11-01,9.915141079923926e-06,-7.827180385448746e-05,7.124747623622949e-05,-9.106266180442988e-05,-2.9053530456819676e-05,4.7964939023420975e-05,0.00010428839507794967,-1.5570103135450404e-05,-5.5439773672897925e-05,0.0054621807066723704,2.846842399840383e-05
