,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1971-06-01,-0.7225264,-0.158498,-0.4609542,0.31411687,-0.4081216,0.32995233,0.4262603,0.009789181,0.10206642,0.083351806
1971-07-01,-0.59728277,0.5420028,0.19276008,0.31008604,-0.56014144,-0.055711843,0.048082042,-0.29828146,0.004318714,-0.4158953
1971-08-01,0.22040005,0.15821008,-0.4913295,0.13402513,-0.28014272,-0.041603945,0.099475145,-0.18239507,-0.124379896,0.13229766
1971-09-01,0.029799366,0.09429264,-0.016843105,-0.04433913,-0.036565386,-0.07874517,-0.03512583,0.63068104,0.13474491,0.24184981
1971-10-01,-0.114734724,0.23594753,-0.24098608,0.049809538,-0.18153132,0.15561883,-0.06665268,0.036853265,0.12985034,0.18570605
1971-11-01,0.10005102,-0.23004527,-0.12063696,-0.07125932,-0.20312509,0.31570044,-0.1189095,-0.038004972,0.14525387,0.017418956
1971-12-01,0.15619466,-0.37270787,0.23940253,-0.011804581,0.45174092,0.22155173,0.05686351,-0.20154154,0.7189274,-0.36421433
1972-01-01,0.34367317,-0.13915281,0.14033651,-0.09062028,0.18426566,0.47440845,-0.18531784,-0.11837196,-0.58857155,-0.299481
1972-02-01,0.010785008,0.006181645,0.2909319,-0.15243676,0.21635756,-0.28172526,-0.6125091,0.11613598,0.15546183,-0.5362249
1972-03-01,-0.12639494,-0.21175423,-0.16677293,0.07746787,0.4360034,-0.04669118,-0.34183186,-0.7973008,-0.3369655,-0.06510458
1972-04-01,-0.33499256,0.029461455,0.043008517,-0.040772535,0.20175838,0.23529713,-0.15059543,-0.0498477,-0.25910306,-0.42456073
1972-05-01,-0.6819539,0.37300318,0.046691157,0.009206724,-0.19452456,-0.39470467,-0.04064107,-0.3340719,-0.19715509,-0.3389383
1972-06-01,-0.25055394,-0.1571716,0.2018899,0.30040166,-0.008680606,0.20149533,0.076415636,-0.010390425,0.15059543,-0.7867788
1972-07-01,-0.29185262,-0.21701518,-0.64539015,0.36405948,0.13060379,0.5901499,0.19110498,-0.09233012,0.29001135,-0.097591065
1972-08-01,-0.053793527,0.1561195,0.13112989,0.1684827,0.02327981,0.13112983,0.30973992,-0.1914995,0.06720891,-0.62408316
1972-09-01,0.14270401,-0.10179987,-0.3891806,0.2762012,-0.77007514,0.011574077,0.36997804,-0.124159,0.16493158,-0.54451096
1972-10-01,0.36708453,-0.2665998,-0.20438889,0.062211037,-0.555559,-0.31960422,0.38444576,-0.22674803,-0.026173353,-0.089831114
1972-11-01,-0.2162261,-0.003156662,-0.26449555,-0.044192173,-0.5871249,-0.08641152,0.26896733,-0.013546991,-0.120081805,0.0057870387
1972-12-01,-0.45257545,-0.101536825,0.05747614,-0.038010526,0.25252676,0.06457849,-0.042613886,0.47085732,0.055108644,-0.31973577
1973-01-01,-0.39116746,-0.41166773,0.17508343,-0.060115684,0.11718402,0.060115673,0.08671062,-0.20098582,0.52677405,-0.21345219
