,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10
1976-08-01,-2.56427,2.9846191,3.401825,2.3118286,-5.8093567,-11.367676,-9.328918,-7.415497,-1.775116,-0.70651245
1976-09-01,-2.9518127,3.3131104,3.2340393,2.4702454,-5.899048,-11.731873,-9.435028,-8.1814575,-1.846405,-1.2651367
1976-10-01,-3.4017334,3.4360352,3.4325562,2.2351685,-5.950653,-12.298126,-9.431946,-8.013763,-1.3246765,-1.4838257
1976-11-01,-2.9046936,3.4944763,3.8500366,1.885376,-5.562042,-11.808075,-7.834503,-7.0647583,0.0042419434,-1.5690613
1976-12-01,-1.9769897,3.5162048,3.5848083,1.4998169,-4.516968,-10.238403,-6.2638245,-5.8361816,1.204956,-0.94766235
1977-01-01,-1.0527954,3.434204,3.6453552,1.3035889,-2.9328308,-8.194397,-4.556946,-4.264038,1.4335022,-0.1487732
1977-02-01,0.24057007,3.2815247,3.5228577,1.0039673,-2.3746643,-7.611908,-4.156891,-2.809143,1.5265198,0.15835571
1977-03-01,1.0603333,3.0459595,3.0761414,1.1542664,-2.6374512,-8.365143,-4.1846924,-2.6209106,1.2218933,0.60250854
1977-04-01,-0.18331909,3.2444458,3.0600586,1.518158,-3.143982,-9.659912,-5.121826,-4.3910217,0.6676636,0.79660034
1977-05-01,-1.446167,3.6203003,2.9931335,1.9903564,-3.5047913,-10.893555,-6.487335,-5.6981506,-0.7265625,0.6036682
1977-06-01,-2.7077026,3.518219,3.057953,2.0619812,-3.901703,-12.672302,-8.208679,-6.77771,-1.3531494,0.52493286
1977-07-01,-3.3327026,3.5344849,3.1603394,2.2631226,-4.7223206,-12.989807,-8.911041,-6.7828674,-1.9625854,-0.26742554
1977-08-01,-5.334778,3.467926,3.139038,1.9124146,-5.221405,-13.516144,-10.308319,-7.155945,-2.1853333,-1.0448303
1977-09-01,-5.7769775,3.3653564,3.295288,2.199585,-5.513275,-13.980255,-10.454681,-8.089569,-2.0996094,-2.0806274
1977-10-01,-4.617523,3.5667725,3.0797424,1.9596863,-5.326416,-13.0815735,-9.694702,-7.486725,-2.1331787,-1.7779846
