,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10
1994-11-01,1.0813429264882222e-05,6.37544016011388e-06,1.9831463254781233e-05,3.8965389776192015e-06,3.3669367770595606e-05,1.1604966423317873e-05,4.419294989993592e-06,1.1109109111982563e-05,5.044952641500541e-06,8.772324760614607e-06
1994-12-01,7.097625513941437e-06,1.0263560326683206e-05,2.3802984590777974e-06,2.244509497113847e-06,2.9774526989389084e-05,3.4092585365079454e-06,3.267467618889784e-06,9.067539557301122e-06,1.2454330027883936e-05,1.8183177766891627e-06
1995-01-01,1.2726173164344007e-05,7.386969764708553e-06,2.0449095043457215e-05,2.7580765017671765e-06,3.27860768514008e-05,1.2494343814951343e-06,2.005407096523988e-06,3.1031748091793683e-06,3.773338813123866e-07,1.4440782190551825e-05
1995-02-01,6.808043751631642e-06,7.872852745326692e-06,9.735899261108392e-06,4.280758918376409e-06,1.9348908608662896e-05,2.4985378833879442e-06,4.0075874813626065e-06,2.4407429220575845e-06,3.706106419733921e-06,2.4450212794573208e-08
1995-03-01,1.3620184281625379e-05,9.123842199401492e-06,3.092894581237083e-05,3.2861946232862485e-06,2.3641357736116994e-05,1.073814263378805e-05,5.515560811194551e-06,-1.5339029094515612e-06,1.9958140352504086e-06,9.452427845574744e-06
1995-04-01,1.4530609639610468e-06,1.04565042776955e-05,-1.493587736452658e-06,3.954023585454584e-06,2.1933909589609936e-05,-3.284615341903218e-06,-1.1194935180818696e-05,1.4345130239235003e-05,-6.808757420499618e-06,7.600061188930759e-06
1995-05-01,3.7392375347870725e-06,1.5289631941937082e-05,8.039087333600037e-06,5.688113399020458e-06,-1.4387580904440256e-06,-1.0382890609638599e-05,2.74729987531349e-06,1.5181322916240396e-05,-4.833509592572227e-06,-9.545368256497637e-06
1995-06-01,2.059758044917616e-05,2.80138896283651e-05,-4.570519094057899e-06,5.469287009801836e-06,5.878882802790031e-06,-2.2549464581482138e-05,-6.222483518700884e-06,2.16125353550264e-05,-8.218793048151632e-06,-1.4508213447711043e-05
1995-07-01,1.1448648167223125e-05,2.2085590352337757e-05,-1.69122409311563e-05,8.877019728531063e-06,-9.016065922134493e-06,-1.9985337028411953e-05,-8.477527763604661e-06,2.0221064188165524e-07,-1.4774365230220031e-05,7.566492184943959e-06
1995-08-01,7.0684374876880534e-06,2.276419882690747e-05,-1.841144492371111e-05,7.3062461349385806e-06,1.878253111830087e-05,-1.552390171833503e-05,-2.4305711377293626e-06,6.095565043194385e-06,5.951919878167576e-06,1.8182047457370431e-06
1995-09-01,1.785800456069986e-05,1.9100565730374964e-05,-2.5435845903606e-06,6.101458159187796e-06,2.465270344228801e-05,-7.743790829137189e-06,-1.1770725107277957e-05,3.413478160447474e-06,-3.016533221191573e-06,-8.736359492244306e-06
1995-10-01,1.289789015392653e-05,1.301688433729806e-05,-1.7540331656265253e-06,4.413396809059633e-06,3.686995920692094e-06,-9.08149056850738e-06,7.483593160366965e-07,3.1242298145376216e-06,-3.13263693773148e-07,-9.960710765601387e-06
1995-11-01,9.705244864751804e-06,6.106655348131884e-06,6.426827591591669e-06,4.7021545109539675e-06,2.3284236373332202e-05,1.059868960754699e-06,4.602239450354031e-06,-5.922625843725524e-06,1.6898272034185622e-06,1.788692298550114e-05
1995-12-01,1.0772644168130205e-05,6.172409585916385e-06,1.8144641621297018e-05,5.18842853125534e-06,9.953149318872336e-06,1.1227781323580515e-05,-1.0824733340485725e-05,3.671157092607505e-06,-9.892442743751995e-07,-3.2635896856775685e-06
1996-01-01,1.6609267434675828e-05,8.300500720746213e-06,1.92025719216973e-05,1.6652755825981972e-06,9.479419366636483e-06,-9.05096276798772e-06,1.2429946014379855e-05,-3.661768183909381e-06,2.2371897950341175e-06,2.015115442715726e-05
1996-02-01,1.9982151048445825e-05,2.715776814761293e-06,1.778097511204477e-05,1.951950423517701e-06,3.220622023615182e-06,6.043297046866726e-06,6.869265091250112e-06,7.538601818980948e-06,-8.861297312085464e-07,2.0044251414219616e-05
1996-03-01,1.1918769130283866e-05,5.531762409649007e-06,3.221569689533984e-05,2.3724526780076112e-06,1.86972721911099e-05,-4.318218061734345e-07,1.261824093633454e-05,3.990815246522418e-06,1.153960676509252e-06,2.5169825116441083e-05
1996-04-01,6.4240672451554624e-06,6.743636755476283e-06,1.4115148587734438e-05,4.7629602115035456e-06,2.5688944498886652e-05,3.049394220383942e-06,3.3145726631214773e-06,9.142252110905245e-06,-4.018283758258886e-06,1.8021144289657688e-05
1996-05-01,3.3045819124015564e-06,1.3213322709620401e-05,7.844302116508414e-07,5.979830390684175e-06,2.5076159007849954e-06,-8.680138701343659e-06,1.3932756765075682e-05,9.379297288043224e-06,2.7976514357677926e-06,-1.2811920686754791e-05
1996-06-01,9.203618577488993e-06,2.011110469907388e-05,-1.276323726213175e-05,7.591583603448015e-06,-5.969131031881923e-06,-2.0898180571124095e-05,2.6008187728222226e-06,-3.3892579917197244e-06,-6.675653387653504e-06,-9.643531320499767e-06
1996-07-01,2.6841712722238984e-05,2.0396557636178565e-05,-2.0757328861186074e-05,7.80632676702389e-06,8.920280756476793e-07,-2.4722330228759168e-05,-5.6966687304993055e-06,-1.0723262481146126e-05,-1.5251081012221137e-05,3.864694519961631e-06
1996-08-01,2.2108059344492796e-05,2.2828422824995213e-05,-6.3672339618076676e-06,6.905021110198729e-06,6.5988026356287515e-06,-2.0715616477927914e-05,-6.840758814768491e-06,-8.63541507507242e-06,-7.207727425008091e-06,5.737667107242627e-06
1996-09-01,1.2037792270582418e-05,1.1045390802714822e-05,1.9173332677584967e-05,6.908865689285776e-06,1.3321757499149747e-05,-3.0191952632844393e-06,-2.2299629339964637e-05,-6.608771181098355e-07,-7.964502463602747e-06,-2.0183873717682077e-06
1996-10-01,1.194401841413571e-05,9.909022647584637e-06,6.229230772684483e-06,4.485657759840741e-06,2.882527703398161e-06,-5.027764765050526e-06,6.678699324574585e-07,4.799473377456057e-06,5.405610181696829e-06,-4.291915554579016e-06
1996-11-01,8.250632019175244e-07,1.4283045411324493e-05,1.3468061297317035e-05,2.3200359745704886e-06,1.7759136674364775e-05,-8.92394029451951e-06,5.929613858793267e-06,1.7545424465684585e-05,1.0170675776325053e-06,-7.091395778283745e-07
1996-12-01,1.802660878215332e-05,2.2682308934509505e-06,2.400072440246327e-05,2.1377016790931645e-06,2.3974834303689104e-05,8.173088617831356e-06,5.604055044578242e-06,-2.359786930940442e-06,1.7948226823963607e-06,2.9794124692181446e-05
1997-01-01,3.268970396904911e-06,2.3125807790159763e-06,2.4207446484878245e-05,2.6900721580379207e-06,2.915312093550297e-05,5.892437667483394e-06,1.528312663012593e-05,1.7909146013802714e-05,1.7612673662948841e-06,1.829429790562314e-05
1997-02-01,7.4022191166468565e-06,3.394949116602006e-06,2.432069474404367e-05,1.2751964657753162e-06,2.0787313753151633e-05,7.0488499998768315e-06,1.593417325414505e-05,-1.017487453022373e-06,6.364323532827918e-06,2.5335674536108854e-05
1997-03-01,5.390655916368031e-06,3.1364279411837487e-06,1.4213400289817299e-05,3.5991996199892753e-07,2.008165722600097e-06,2.528221007671516e-06,8.13084114812674e-06,3.2165906256003444e-06,2.029193782701358e-06,7.346499313161285e-06
1997-04-01,6.056729989272708e-06,1.8331236050964875e-05,1.4057963603085631e-05,2.8861571709338922e-06,1.940375527324663e-05,-1.4157527104218197e-05,-9.092774601875838e-06,1.9856340064247237e-05,7.133289417734804e-06,-2.2182935201551747e-05
1997-05-01,-6.452045463357526e-06,1.5476082516887402e-05,-2.5091279288365815e-05,5.723283492075558e-06,5.385494329278696e-06,-8.912041524656242e-06,-1.8426035558947838e-05,1.0417785745175934e-06,-5.745992707902174e-06,-1.2237442949579137e-05
1997-06-01,1.792155887982301e-05,2.182139938026119e-05,-1.158411982436923e-05,4.509242461572898e-06,2.4090482756119773e-05,-1.1563679436221719e-05,-2.8454709727635707e-05,6.328116342046996e-06,-6.117164730312652e-06,-1.4317243732456027e-05
1997-07-01,2.6875188430692852e-05,2.7896623067052584e-05,-1.4841698430245742e-05,7.241077725942314e-06,-2.460950864505404e-05,-1.8578579492081624e-05,-2.3044673039214362e-05,5.465394841459263e-06,-4.0014307180833635e-06,-2.1865773410704256e-05
1997-08-01,1.8111499869492305e-05,3.0087570837102344e-05,-2.0374516477911835e-05,5.789790643422257e-06,-2.433546135514255e-05,-1.8761526387525415e-05,-4.233972599889201e-05,2.1226532810812516e-05,-4.432332513136895e-06,-2.8587915214582328e-05
1997-09-01,3.713362500570613e-05,2.5604313598592685e-05,-3.5035757011630467e-06,5.1284653188324655e-06,-2.9186059629699397e-06,-1.1908601908232154e-05,-2.6096669196767995e-05,-2.2515340398448253e-05,-1.0941275005197069e-05,-5.4302375929182745e-06
1997-10-01,1.5086049760350645e-05,1.4706456211427518e-05,-9.234828313411626e-06,3.2612621257714964e-06,4.34273281577837e-06,-9.470733939044511e-06,-8.423912253132778e-06,-9.15966081395579e-06,3.1172305625659646e-06,2.713009140419532e-06
1997-11-01,2.5887504199261563e-05,1.291305035884565e-05,1.3810581044203395e-06,1.292006793187539e-06,9.801900349967498e-06,6.224266130697857e-06,2.2057976996604756e-06,-5.290422677717287e-06,1.068051357254841e-05,5.717707223923823e-06
1997-12-01,2.212276884543682e-05,2.7020109734259047e-06,7.77724835643312e-06,3.5574205214564583e-06,1.248630910181832e-05,1.6263034487918103e-05,3.6459049736374273e-06,-1.6823785894562855e-05,1.0509791081858566e-05,1.7473533157149526e-05
1998-01-01,1.9488253552607252e-05,2.6988262558672456e-06,1.5084852596676985e-06,4.553835572798991e-06,8.12924606014514e-06,9.924757087806503e-06,4.984741009824926e-06,-7.0888778022240976e-06,6.674458642340721e-06,1.78495608994266e-05
1998-02-01,1.5426651023715586e-05,8.745137224977477e-06,-4.227381648686585e-06,2.52077419711926e-06,1.664452404590768e-05,7.0009488143711415e-06,-1.0679968111441684e-05,-9.339132134300597e-07,9.168436256665949e-06,-2.9023364224765546e-06
1998-03-01,1.9529731013457116e-05,7.946967498296217e-06,2.983103463015545e-07,3.674065564144952e-06,1.4816598856916905e-05,1.4123271732876048e-05,-6.455709872330262e-06,1.7209154228632021e-06,8.180549829458785e-06,6.004903569261772e-06
1998-04-01,1.5874870724014772e-05,5.446868509750774e-06,-1.9124787892603006e-05,3.937285657556959e-06,-3.026576678166748e-06,7.767087468050364e-06,-5.3932804452447356e-06,3.4829769544688e-06,-8.613779588596447e-08,-1.5586459330034602e-05
1998-05-01,1.909290160868538e-05,1.6140368530447625e-05,-1.3934026760075034e-05,4.385061354727175e-06,1.2240592571867058e-05,-1.3651975650781653e-05,6.729205300584191e-06,1.4973235603780007e-06,-8.141045009841202e-08,-8.600904467269944e-06
1998-06-01,7.136052111818706e-06,1.2598287320263636e-05,-7.670437803931742e-06,7.03423456810965e-06,1.6886893015246393e-05,-1.759296517422572e-06,3.4401497479146266e-06,-1.0922910576027789e-06,-9.944326186748434e-06,1.4839057572456883e-05
1998-07-01,9.455378417307188e-06,1.130526167495797e-05,1.9900594957612662e-05,8.795905143819092e-06,2.158204675982812e-05,-2.1870289910749753e-06,4.625443532284791e-06,-1.5037281692847108e-05,-1.3434846964214971e-05,1.247380772348641e-05
1998-08-01,-2.053410762438025e-06,1.163326826416796e-05,1.2776506789830617e-05,8.210529524680413e-06,1.708334903841288e-05,-5.545416909748681e-06,7.523757423705161e-06,1.4851137970189093e-06,-6.547701435589591e-06,8.167322544767767e-06
1998-09-01,9.438191218668189e-06,1.6756964327380962e-05,3.1035599729673572e-06,5.6239531304118425e-06,5.4310212569610235e-06,2.4840105720274427e-06,-7.734326987829584e-06,8.294310508257954e-07,4.516428217274634e-06,-5.056873238100497e-06
1998-10-01,9.186274693624144e-07,5.132735281388711e-06,3.429453499848023e-05,5.519975404107692e-06,1.5438186809743374e-05,1.358145858993434e-05,1.2689392142898503e-05,6.628289790049685e-07,-2.685142031954125e-06,1.9537816779820085e-05
1998-11-01,1.4038207181968547e-05,7.577261022840675e-06,8.289952751915229e-06,3.3164333980662735e-06,1.9534660499299537e-05,-5.269875987663121e-06,3.747903208836521e-06,-2.4986087104090463e-06,-4.3086141038822294e-06,1.732189153139748e-05
1998-12-01,8.790964847600599e-06,6.14030494307966e-06,3.173730066110794e-05,2.0936624399214094e-06,2.4837306062346958e-05,-9.685008006190808e-07,1.5045285787588607e-05,4.124605165348579e-06,2.7229772699270556e-06,1.800994569888504e-05
1999-01-01,-1.5391545428716954e-06,4.158422883597714e-06,2.7168106397665622e-05,1.4089913475657064e-06,1.4010997388554229e-05,7.895626897233843e-06,1.6349161326121375e-05,4.581547890276332e-06,4.239175733676927e-06,1.344620753885605e-05
1999-02-01,1.150304135332797e-05,3.248337010268633e-06,2.0822976188760043e-05,7.578427034480156e-07,1.094093187765049e-05,4.245930879855521e-06,1.1035170469416732e-05,5.732985641770937e-06,1.2010964021349289e-06,2.6196829813111086e-05
1999-03-01,2.1738529395937946e-05,7.60651465242476e-06,1.429891527651408e-06,1.1270362620691454e-06,2.0493976907428905e-05,4.448535417314313e-06,7.097393487735341e-06,4.608336569487749e-06,4.1262477555971024e-06,4.259800990579466e-06
1999-04-01,1.5782997801543747e-05,1.6518963830510544e-05,1.1233444941656975e-05,4.914989460119389e-06,1.298439490876097e-05,-7.465625946964276e-06,3.977838627689747e-06,-1.635639940949269e-06,-6.643873782443486e-06,6.850047366942118e-08
1999-05-01,9.505873833296563e-06,1.7224779868805842e-05,3.369563172681309e-06,3.936172037499367e-06,1.8859968391056597e-05,-1.4482893743322042e-06,-7.119096703957583e-07,-1.5061311436121675e-06,8.827214514894877e-07,-4.264248988105324e-06
1999-06-01,5.276515006662881e-06,2.4196194668203056e-05,-1.0195811531351259e-05,7.424730876557098e-06,2.542500913643215e-05,-1.7515261069052234e-06,-4.002131310954339e-06,1.1843712042848762e-05,-6.170968576539466e-06,-1.9726165261930033e-05
1999-07-01,-9.52211945728453e-06,1.9818429304043353e-05,1.0086910656860306e-05,7.487049689837916e-06,3.01008991631203e-05,-1.719141274311844e-05,1.8489111808824085e-06,1.0639581660143447e-05,-7.608045652060272e-06,-9.960122600187577e-06
1999-08-01,2.43864687405167e-05,2.7834210330635624e-05,-2.7427445780227168e-05,6.222037716512981e-06,8.233405424107332e-06,-2.1571533797037744e-05,-1.5231886975111833e-05,1.2906391637963158e-05,-2.279282088321369e-06,-2.7104464204687527e-05
1999-09-01,1.6587417499833085e-05,1.661682129933444e-05,-8.50080507714463e-07,5.194660849287777e-06,2.3035911247213583e-05,-8.354806337972978e-06,-1.3473332696696418e-05,5.9308673274115005e-06,-3.6620279657158377e-06,3.4158685042921907e-06
1999-10-01,1.4783659881317415e-05,1.3061781275752639e-05,-4.306038034782331e-07,5.521596846663445e-06,2.9593487934934355e-05,2.9078456233281625e-06,-4.1611680276937e-06,-1.4592025568812718e-05,5.074489838431294e-07,7.465028772912774e-06
1999-11-01,4.657525519493479e-06,6.776818005235719e-06,1.0493782206645443e-05,4.281946259238743e-06,1.088749596337121e-05,-3.596781751374651e-06,1.1420686126241396e-05,1.3423633455594037e-05,-8.107408885652232e-06,1.4805425671773683e-06
1999-12-01,6.1651458099281585e-06,9.413250844017906e-06,6.923095901988239e-06,2.7717272811504486e-06,1.435429236483866e-05,-7.921007907959812e-06,4.5189863796399e-06,2.9319401002274906e-06,-1.532656829733076e-06,7.094980630357056e-06
2000-01-01,1.4749751937757753e-05,9.23775997744444e-06,5.7391217625182535e-06,1.2509639127324846e-06,7.630893089133844e-06,-9.51009062544526e-06,1.1823647327490332e-05,4.969878578516987e-06,-2.1423519766275687e-06,1.755695830769792e-05
2000-02-01,6.263370787474732e-06,6.129121056147638e-06,5.3864141591475345e-06,7.693371173580886e-07,1.7800183823882517e-05,4.185078897033018e-06,1.540362670008714e-05,1.815043495818307e-05,9.424823846612442e-06,4.26479534081199e-06
2000-03-01,1.925614510177598e-05,7.459169526056012e-06,2.7477249710096254e-05,9.875326683735631e-07,1.9797287429603536e-05,-2.4877758122200436e-06,1.5150804724646407e-05,3.284698988993893e-06,7.4783382718702675e-06,1.78095752709431e-05
2000-04-01,9.330623659407858e-06,6.21762663083953e-06,1.3967021206756019e-05,4.78264311549936e-06,1.0811414664534492e-05,-3.6180004663852306e-07,1.0253321753432894e-05,4.724828020893515e-07,1.3280953226058045e-06,1.0565100602924269e-05
2000-05-01,1.9063462345776756e-05,1.0785559758017437e-05,-4.116444516613329e-06,5.7257249767928254e-06,1.8524726576949682e-05,7.549440740875532e-08,1.4219296461529317e-06,-2.880307598778537e-06,-3.6316394739928497e-06,8.158419772231495e-06
2000-06-01,5.622930507568094e-06,2.327057991589243e-05,-2.1906517859962252e-05,7.028298718045989e-06,5.880316497165371e-05,-1.243149213155787e-05,-1.775735750255224e-05,1.9481970931727638e-05,-7.492968217609979e-06,-1.7863284212510804e-05
2000-07-01,-1.491524260315357e-06,2.2093388229133744e-05,2.238263631524104e-05,6.962288295948782e-06,2.047568366172279e-05,-7.895790470534686e-06,-1.57060161367745e-05,2.324134454413849e-05,-1.0914169996050822e-05,-2.076354104037119e-05
2000-08-01,1.6616788325516625e-05,2.2794426745260317e-05,-4.467168158347097e-06,9.25277382403498e-06,1.1891436522339724e-05,-2.1062174682946763e-05,-4.52804781895809e-06,-1.750849735669492e-05,-1.5146715461675988e-05,3.7188992398394194e-06
2000-09-01,5.049287660812756e-06,2.044093503321527e-05,-2.138128871188706e-05,7.641662577624031e-06,9.71053230552405e-06,-8.980273989110893e-06,4.0362062230470704e-08,8.860561300545148e-06,3.371823450751518e-06,-1.6806228149317365e-05
2000-10-01,1.768475527515506e-05,1.3049673107399428e-05,8.201997035131271e-06,5.616650667158528e-06,2.5793765830299393e-06,-4.483092482981043e-06,4.3073285133575334e-07,-1.951122539724435e-06,2.8910679103236445e-06,4.430944226914317e-06
2000-11-01,1.1781942856320558e-05,1.0590611054794863e-05,3.4724257602647413e-06,3.5302324818714848e-06,8.772797276502718e-07,-5.6329184447879095e-06,1.4868073138355263e-05,1.390498515060504e-05,-1.7065121679396809e-06,-1.4312250584680442e-05
2000-12-01,5.126282761097227e-06,8.179425278844408e-06,2.9253929420115634e-05,3.16922654711265e-06,1.860937986335061e-05,2.975853768380623e-06,-2.5546417721974044e-06,4.989243913249603e-06,9.823930792084536e-06,1.0160519427525007e-05
2001-01-01,9.377562140672477e-06,8.674999728005263e-06,2.408213630486797e-05,2.4548974488680775e-06,1.5799117715108547e-05,8.566401637795227e-06,1.8879045296272494e-05,1.0133617576814555e-05,1.1342854122631252e-05,1.912748195728944e-05
2001-02-01,1.4316617918018099e-05,1.305530259352868e-06,2.5548898621410546e-05,-2.6360114790084356e-07,6.985214895394165e-06,9.40607429556757e-06,9.356265588410264e-06,1.2384824036156973e-05,1.1741242773992285e-05,1.5899293150421447e-05
2001-03-01,1.2002060384925289e-05,7.326499661419303e-06,2.120408478529296e-05,2.3090426809043433e-06,1.4367213390704075e-05,-2.589255059116221e-06,1.6219820010296087e-05,-3.0605414329849216e-06,8.867521020502781e-07,1.794508429716538e-05
2001-04-01,8.063821357186182e-06,8.309686022793138e-06,2.0261274282044422e-05,5.413590582556322e-06,2.2717238772946242e-05,1.7122588428380244e-06,2.765485979787691e-06,-1.0604259971712183e-05,7.709847306035623e-07,2.189889563361738e-05
2001-05-01,1.3792522721733704e-05,1.3540166572270477e-05,-1.632339616561593e-06,6.546898561853421e-06,1.1411092063181885e-05,-4.954943764079953e-06,-9.298712125440178e-06,6.085153358981187e-06,-9.762759005256653e-06,5.27334735194857e-06
2001-06-01,1.1380028142709064e-05,1.614549201726761e-05,8.63923459190927e-06,5.850082206425316e-06,1.65272033634458e-05,-1.165050495878112e-05,1.0035523302034116e-05,1.3251079573300168e-05,1.0170817238924263e-06,-1.1300355359148502e-05
2001-07-01,2.391283271550708e-05,2.7406019036158966e-05,-3.6932979128323495e-05,6.544948421429744e-06,1.8460499714737207e-05,-1.6516539167852572e-05,-1.1880017649545743e-05,1.4038663006691161e-05,-1.349784290802993e-05,-2.3903476613458432e-05
