,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1968-12-01,1011.06146,1019.69867,1016.7626,1010.8024,1011.50586,1018.3834,1013.0101,1016.3089,1008.02026,1012.71594,1012.351,1013.59607
1969-01-01,1010.2057,1019.1408,1010.91455,1008.5809,1014.7743,1018.5705,1012.7982,1016.74414,1007.55695,1016.2893,1008.9266,1014.2234
1969-02-01,1010.2693,1019.5907,1016.5158,1009.1219,1015.59546,1022.49585,1013.877,1021.1206,1007.04407,1017.86914,1009.1144,1014.7581
1969-03-01,1016.0148,1019.2163,1017.86975,1010.9963,1017.9023,1019.92017,1019.8091,1018.9162,1009.4226,1016.8615,1013.8402,1022.0815
1969-04-01,1019.22125,1019.4378,1014.85236,1010.5876,1010.2051,1020.26764,1011.87726,1018.4638,1008.969,1015.8251,1013.2712,1016.1027
1969-05-01,1020.3644,1013.91455,1016.5807,1011.1541,1009.78955,1012.5193,1018.3272,1014.66956,1010.60315,1007.60565,1017.0144,1018.3172
1969-06-01,1022.33044,1018.7096,1019.3155,1011.87665,1008.48914,1018.4432,1012.5493,1018.64166,1011.2196,1014.1179,1015.1306,1016.53076
1969-07-01,1025.4634,1018.24915,1017.23584,1012.1219,1014.73065,1008.622,1022.4359,1010.32794,1011.6146,1010.3879,1018.6678,1025.2057
1969-08-01,1023.34625,1020.26013,1021.04517,1012.5224,1019.78595,1018.2311,1023.17096,1020.7026,1012.4875,1020.04614,1020.9023,1023.9353
1969-09-01,1018.1344,1022.10583,1016.71545,1011.84045,1021.7683,1018.4931,1016.9357,1015.23914,1010.91956,1019.72174,1014.8679,1010.0871
1969-10-01,1018.0707,1020.9016,1017.31195,1011.86163,1015.47186,1020.0243,1019.517,1018.193,1011.27704,1013.67053,1017.8093,1023.05304
1969-11-01,1013.68304,1022.8084,1020.53906,1011.4118,1016.8209,1024.5393,1020.52167,1022.3192,1009.6997,1016.91956,1016.0242,1018.1793
1969-12-01,1009.22675,1021.73083,1016.91077,1011.1909,1017.42053,1017.9041,1015.1256,1017.84296,1008.27454,1014.8068,1013.71173,1011.0692
1970-01-01,1011.0823,1020.53467,1017.556,1011.67346,1017.44727,1023.4825,1016.5513,1019.87103,1009.2925,1018.1864,1011.11017,1015.5399
1970-02-01,1013.46436,1020.5466,1016.28204,1010.7768,1016.8917,1020.0991,1014.9267,1019.21436,1007.65076,1017.2696,1008.95447,1017.5554
1970-03-01,1014.1471,1018.3992,1014.9457,1010.6093,1019.1841,1016.812,1014.5642,1018.0343,1008.1071,1021.07837,1012.8934,1012.97064
1970-04-01,1018.49005,1019.9815,1016.36224,1011.0811,1013.49225,1014.8251,1015.361,1015.2773,1009.8666,1012.4738,1013.1613,1017.58093
1970-05-01,1021.56384,1019.9637,1017.7325,1011.4138,1016.0973,1020.12354,1011.926,1019.37366,1010.42865,1017.3159,1014.2262,1012.9623
1970-06-01,1019.21857,1022.18475,1021.00116,1012.5725,1017.56726,1020.4539,1017.5287,1019.1877,1011.13635,1014.6736,1017.5572,1015.6035
1970-07-01,1023.48724,1021.37726,1020.39984,1013.2861,1015.46625,1021.3315,1017.22626,1019.12646,1012.07635,1014.72345,1018.8585,1018.49603
1970-08-01,1019.1722,1022.0773,1022.0315,1012.9302,1018.7801,1021.1414,1021.224,1022.7849,1010.7275,1016.63617,1018.6339,1015.6825
1970-09-01,1015.4002,1022.43854,1021.2062,1012.8137,1021.86273,1022.6322,1018.16986,1023.4623,1010.21893,1022.3049,1018.0735,1013.8286
1970-10-01,1015.19946,1022.92334,1020.60657,1012.45667,1016.1103,1023.4932,1017.9031,1023.1094,1008.6918,1018.69806,1017.34564,1016.11804
1970-11-01,1013.85065,1023.9383,1021.8217,1012.9183,1019.52454,1025.2621,1020.183,1023.817,1008.7019,1018.7729,1014.44836,1019.2946
1970-12-01,1009.2046,1021.06714,1017.8881,1011.03827,1015.3218,1020.60834,1017.017,1018.0771,1005.8682,1015.4579,1010.70905,1016.01404
1971-01-01,1007.9842,1020.8921,1019.33185,1011.5443,1016.72406,1023.10956,1017.3033,1022.33325,1007.2304,1014.6404,1011.8169,1013.2722
1971-02-01,1009.9828,1020.59515,1018.96906,1011.5251,1018.841,1023.0776,1018.4724,1022.211,1006.776,1019.1726,1011.4099,1015.34625
1971-03-01,1016.0758,1021.5653,1018.2568,1011.6831,1013.1481,1021.4482,1014.7633,1018.71045,1007.1344,1015.5754,1013.2146,1019.323
1971-04-01,1017.5662,1021.8123,1017.03,1011.1513,1017.8063,1020.8153,1016.00354,1018.1211,1008.0111,1017.8363,1012.0863,1015.8064
1971-05-01,1016.16284,1018.4168,1016.41943,1012.1356,1015.4032,1011.9846,1014.3543,1013.98315,1009.6155,1014.0408,1013.8008,1011.568
1971-06-01,1023.05,1022.5189,1020.5773,1012.9375,1016.71515,1025.4159,1016.96466,1019.77155,1010.6548,1014.5252,1018.1499,1015.7302
1971-07-01,1021.1385,1019.36255,1016.13275,1012.5375,1013.1563,1012.4172,1015.7302,1010.12616,1010.91266,1011.37726,1015.7098,1014.8535
1971-08-01,1017.23737,1025.6411,1020.9599,1013.44885,1020.4,1023.6599,1017.6475,1020.1702,1011.3139,1020.17725,1018.9377,1014.6602
1971-09-01,1015.2618,1022.45166,1021.813,1013.4443,1019.1316,1021.8572,1015.5281,1024.5378,1010.67584,1022.61163,1018.4257,1015.2528
1971-10-01,1012.28284,1022.98346,1019.5712,1013.47375,1013.27856,1018.29517,1012.58484,1016.3222,1010.2215,1014.3236,1017.3685,1010.82367
1971-11-01,1009.02155,1023.67596,1017.3705,1012.4358,1014.4817,1022.18414,1011.4521,1017.5669,1008.5666,1015.09094,1011.9955,1008.84564
1971-12-01,1008.6184,1020.0845,1016.3005,1010.4378,1014.1956,1023.65155,1018.22925,1019.97437,1006.40546,1012.19446,1011.5609,1013.3982
1972-01-01,1009.87,1018.9187,1012.92224,1010.7637,1011.42737,1015.5789,1013.21216,1012.596,1006.88275,1011.4886,1009.15875,1014.9677
1972-02-01,1013.9578,1019.90857,1016.7826,1010.8362,1014.7015,1020.2286,1016.88135,1019.6998,1007.3089,1016.4613,1012.3885,1018.93866
1972-03-01,1014.62335,1019.60547,1017.5006,1010.6531,1018.9668,1021.32916,1019.34546,1019.33673,1008.5382,1016.2033,1014.89087,1014.4646
1972-04-01,1020.55164,1021.90717,1016.0408,1010.24927,1009.34564,1017.2307,1012.1342,1015.4283,1009.64813,1011.45044,1013.59283,1016.2857
1972-05-01,1026.0413,1014.3502,1014.45776,1010.5824,1010.67993,1013.1972,1016.5176,1012.5773,1009.85,1010.0662,1014.0528,1020.9735
1972-06-01,1023.60956,1017.217,1013.6828,1011.1692,1004.8004,1013.08417,1012.5954,1008.87946,1011.3092,1005.6897,1014.0572,1018.5218
1972-07-01,1020.68915,1020.8529,1015.637,1010.2518,1010.44806,1020.68665,1012.3516,1015.6908,1011.9405,1009.59314,1014.8446,1013.8184
1972-08-01,1016.20953,1019.1005,1016.45197,1011.0881,1010.7156,1013.26654,1014.8484,1010.8555,1012.9691,1008.9957,1016.1758,1013.5591
1972-09-01,1020.9835,1020.8535,1017.18634,1010.88617,1015.6864,1024.0264,1018.88116,1016.5276,1012.30975,1014.5877,1017.79626,1022.28033
1972-10-01,1016.6001,1023.4289,1017.20135,1011.12866,1018.22626,1022.3141,1018.8599,1018.9587,1011.9998,1019.55237,1017.56,1018.7237
1972-11-01,1014.66833,1020.98914,1017.26447,1010.51306,1020.8566,1019.9592,1020.09424,1018.94055,1010.33057,1021.6891,1017.84436,1013.7072
1972-12-01,1012.8985,1020.9748,1017.2701,1010.24994,1005.76904,1021.096,1009.1987,1019.6061,1009.8975,1012.0461,1012.25604,1013.13226
1973-01-01,1011.46155,1022.0238,1017.4916,1009.66486,1017.36615,1022.87006,1017.93005,1021.02,1009.0963,1018.9397,1011.9361,1017.3861
1973-02-01,1012.79266,1022.78143,1017.29156,1010.2648,1015.5327,1026.0764,1017.89026,1021.2213,1008.74133,1016.116,1009.6436,1019.67346
1973-03-01,1016.02924,1021.3744,1016.0209,1010.3143,1015.1655,1021.663,1018.95197,1021.0072,1008.86163,1018.9918,1012.4229,1017.02594
