,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12
1973-02-01,-3.7947693,0.33868408,2.5498047,-0.1404419,2.028473,3.579895,-7.2898865,-5.2898865,3.2061157,0.0284729,-4.31369,1.9629211
1973-03-01,-3.7802734,-0.4172058,2.4560547,0.13568115,1.7080078,3.6249695,-8.372955,-5.988495,2.9812927,0.52160645,-4.8370667,1.8565369
1973-04-01,-4.2311096,-1.2583313,2.2634888,-0.8345337,0.9411621,3.5309448,-10.112579,-6.5529175,2.4926147,0.32659912,-5.751465,1.5319214
1973-05-01,-4.621521,-1.7370911,1.7662659,-2.0589294,0.22210693,3.7016907,-10.973389,-8.382172,3.2444153,0.0920105,-6.8851013,2.0570374
1973-06-01,-4.6566467,-2.4537659,1.6456909,-3.5076294,-0.34310913,3.691803,-11.51239,-9.6284485,2.3345337,-0.5494385,-8.044495,1.2719116
1973-07-01,-6.0718384,-3.1019897,1.3581543,-4.83255,-0.98791504,3.6304626,-10.965485,-10.174225,3.247467,-1.8636475,-8.7854,0.7722473
1973-08-01,-6.0107727,-2.8875122,1.0090332,-6.0447693,-0.88946533,3.6357117,-11.112183,-10.682556,2.579895,-2.7273254,-8.962677,-0.07006836
1973-09-01,-6.5611267,-2.706787,0.6057739,-6.373749,-1.0179749,3.7814941,-12.231934,-10.871735,1.9009094,-3.297577,-8.813049,-0.7810974
1973-10-01,-6.320984,-2.789978,0.7774658,-5.644287,-0.60165405,3.71286,-12.404419,-10.2724,2.2755127,-3.2302551,-9.174835,-0.87493896
1973-11-01,-6.1801147,-2.120453,0.6625061,-5.1441956,0.50231934,3.7823792,-10.490753,-8.941254,2.0178528,-2.8845215,-7.5466003,-1.2845459
1973-12-01,-5.227478,-0.035308838,0.8302002,-3.8527527,1.7272949,3.9685059,-8.123077,-7.1221313,1.6471863,-2.2610168,-5.560486,-1.2843323
1974-01-01,-4.3733826,0.44403076,1.0925903,-2.3136597,2.2692566,3.7714539,-5.9700317,-5.5735474,1.9844055,-1.7238464,-3.933838,-1.5735779
