,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,abs_vo850_cluster11
1970-01-01,-1.1487415e-05,-1.3812974e-05,-2.7564836e-05,5.723904e-05,9.6652875e-06,-4.972205e-05,-7.831712e-05,-2.2766793e-05,-8.3324776e-05,-1.794394e-05,-4.9257316e-05
1970-02-01,-1.4072271e-05,-9.720958e-06,-2.7232612e-05,7.650799e-05,-2.6917915e-06,-5.331978e-05,-8.270085e-05,-2.2175276e-05,-8.3041174e-05,-3.3372053e-05,-6.0050515e-05
1970-03-01,-1.0774349e-05,-1.5749594e-05,-2.2873197e-05,8.2885046e-05,-3.2121898e-05,-4.778543e-05,-8.826761e-05,-2.4168612e-05,-8.731145e-05,-1.9094567e-05,-5.4086708e-05
1970-04-01,-1.2727172e-05,-1.1382073e-05,-2.0709698e-05,1.0525235e-05,2.6932787e-05,-4.82473e-05,-7.889244e-05,-2.2766793e-05,-8.435386e-05,-1.1850481e-05,-5.3835513e-05
1970-05-01,-1.8374967e-05,-1.694884e-05,-3.0838448e-05,-6.220732e-05,7.388158e-05,-4.2753465e-05,-7.912742e-05,-2.2758692e-05,-8.0197016e-05,2.1890422e-05,-4.8665795e-05
1970-06-01,-1.627629e-05,-1.9104236e-05,-2.7240718e-05,-8.302393e-05,6.838774e-05,-4.3239645e-05,-7.8900535e-05,-2.1097576e-05,-8.316271e-05,2.0837031e-05,-3.878824e-05
1970-07-01,-1.4574658e-05,-1.7321576e-05,-2.4631549e-05,-0.000108491666,7.945645e-05,-4.211333e-05,-8.9896304e-05,-2.0643807e-05,-9.298355e-05,2.4126852e-05,-5.2522828e-05
1970-08-01,-1.841548e-05,-1.7345885e-05,-2.8934244e-05,-0.00010132051,3.8852297e-05,-4.8846923e-05,-8.229569e-05,-2.4022758e-05,-9.23029e-05,3.788575e-05,-3.92258e-05
1970-09-01,-1.9387842e-05,-1.7062279e-05,-2.1892736e-05,-5.59518e-05,1.8213956e-05,-4.8206788e-05,-8.2247076e-05,-2.3828286e-05,-7.920845e-05,2.6128293e-05,-5.40624e-05
1970-10-01,-1.6932632e-05,-1.7127104e-05,-3.3860873e-05,7.854251e-07,-4.142232e-06,-4.734787e-05,-8.334098e-05,-2.4282055e-05,-8.765177e-05,-4.8981033e-06,-4.7150537e-05
1970-11-01,-2.9386947e-05,-1.37886655e-05,-3.807443e-05,1.6934711e-05,1.1148135e-05,-5.1172487e-05,-8.04158e-05,-2.2953163e-05,-8.283049e-05,-1.0213675e-05,-4.8365986e-05
1970-12-01,-6.0665043e-06,-6.423037e-06,-3.0538642e-05,0.00014574004,7.504841e-05,-4.5670546e-05,-8.129902e-05,-2.2385952e-05,-8.220656e-05,-5.4488482e-05,-5.7579102e-05
1971-01-01,-7.5191e-06,-1.0869046e-05,-3.0342226e-05,6.44783e-05,5.544663e-05,-4.8670678e-05,-7.830238e-05,-2.320745e-05,-8.283807e-05,-2.8650678e-05,-5.0159855e-05
1971-02-01,-1.0073019e-05,-1.1789451e-05,-3.0118345e-05,5.3367105e-05,-2.8028342e-05,-5.0146646e-05,-8.015148e-05,-2.311624e-05,-8.87751e-05,-1.1378566e-05,-5.1287556e-05
1971-03-01,-2.4426367e-05,-1.058712e-05,-2.5201223e-05,0.00010179204,-9.595358e-06,-5.120801e-05,-7.349305e-05,-2.3937142e-05,-9.570716e-05,-3.127093e-05,-5.3526383e-05
1971-04-01,-2.2394843e-05,-1.36883045e-05,-3.4314064e-05,5.506695e-05,-2.0731437e-05,-4.7402013e-05,-8.316975e-05,-2.319916e-05,-9.253135e-05,-4.739046e-05,-5.2896194e-05
1971-05-01,-2.1449561e-05,-1.426874e-05,-2.7672222e-05,8.084815e-06,4.167371e-05,-4.289949e-05,-8.885802e-05,-2.2411425e-05,-8.386627e-05,1.2832265e-06,-5.0076935e-05
1971-06-01,-1.3580508e-05,-1.4650168e-05,-2.946328e-05,-8.2338796e-05,4.3846194e-05,-4.4839802e-05,-8.0267564e-05,-2.1432976e-05,-8.4654006e-05,1.1913495e-05,-5.8783473e-05
1971-07-01,-1.816595e-05,-1.3787807e-05,-3.1312382e-05,-7.553111e-05,7.2270974e-05,-3.8048704e-05,-8.923116e-05,-2.311624e-05,-9.095588e-05,2.0462485e-05,-4.7091835e-05
