,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1972-05-01,0.81321526,0.2789632,0.4525754,-1.3742982,-0.25108004,0.71667635,0.638814,0.004866409,0.13823214,-0.410093,0.337097
1972-06-01,0.4838782,0.3253913,0.29842877,-1.6740421,0.026567888,-0.074179746,0.78585815,0.6841899,0.24739738,-0.5313584,-0.016571999
1972-07-01,1.2692103,-0.008943653,0.1650631,-0.66840684,-0.17624266,-1.1195354,1.2318573,0.119161084,-0.4162746,0.59343815,-0.21228027
1972-08-01,1.1325564,0.27751645,-0.54635227,0.04932165,-0.16637833,0.70615447,0.63907695,0.5435902,0.8207121,-0.5896238,-0.087989785
1972-09-01,-0.36866283,-0.025252651,0.3515646,-0.30276912,-0.3159216,-0.7378518,1.2396172,0.3647171,-0.6272398,-0.87845135,-0.30027014
1972-10-01,-0.037089873,0.20215297,0.4644125,0.009732818,-0.20728242,-1.3347094,1.1655691,0.434951,-0.48966503,-0.54727286,-0.42771727
1972-11-01,-1.3787701,-0.009206724,0.44507855,0.15217361,-0.5295171,-1.000243,0.54240656,-0.31592155,-0.028935384,-0.3374916,0.2210925
1972-12-01,0.68589956,0.16650987,0.10706081,-0.9121214,-0.2509485,-0.58870316,0.34630376,0.2680467,-0.54030216,1.1038841,0.12205448
1973-01-01,-0.08961944,-0.29296008,0.38687348,-0.36207923,-0.062885955,-0.48605052,0.18658018,-0.116768435,-1.6466709,0.4992094,-0.29905474
1973-02-01,0.78455114,-0.10236283,-0.08047744,0.2899127,-0.158323,-0.51319945,0.47649294,0.3608326,-0.94910735,0.36734277,-0.9431513
1973-03-01,0.66348875,0.4807869,0.5392404,0.8175179,-0.14751883,-0.98858434,0.63633966,0.28589574,-0.24032421,0.5195712,-0.26428735
1973-04-01,0.2953148,0.17106651,-0.110258244,-0.30861235,-0.4076508,-0.1576305,0.5983864,0.73593223,0.29489928,-0.21677656,-0.42247194
1973-05-01,0.2991933,0.14239381,0.30916634,-0.73496264,-0.29448372,-0.8089298,1.1408126,0.14599518,0.11247444,-0.080754474,-0.5482439
1973-06-01,-0.97473276,0.018838096,0.11399813,0.28631127,-0.6472824,-0.18754983,0.77360845,0.09668376,0.29711547,-0.56181836,-0.32343346
1973-07-01,0.42468816,0.07258205,-0.06787257,0.028672695,-0.2674732,-0.20915814,0.7536622,0.55087566,0.31013602,-1.2724023,0.060531236
1973-08-01,-0.25514537,0.18006997,0.27910846,-0.111504875,-0.38036326,-0.3379775,0.53453094,0.39130595,0.4943614,-1.0387268,0.23977013
1973-09-01,0.0077568768,0.12646453,0.2724598,0.12757269,-0.36554208,-0.6801105,0.32080165,0.6586407,-0.2622096,-0.15042773,-0.2435101
1973-10-01,0.2637333,-0.23367544,0.55489266,-0.20237097,-0.47995582,-1.1426134,0.17785378,0.016621852,-1.0471762,-0.08297062,-0.20915823
1973-11-01,0.5064123,0.005263567,0.51874006,0.86724484,-0.6255355,-0.9991115,0.3117982,-0.25223652,-0.85117704,-0.08795719,0.16691104
1973-12-01,-0.33825457,0.021469885,1.4546887,0.2605475,-0.3340992,-1.2301552,0.30168656,0.9542325,-0.5345309,0.2791086,-0.25957775
1974-01-01,0.7037115,-0.1486003,0.58064973,-0.95081747,-1.0371151,-0.00042095184,-0.8495054,0.8363153,-0.9164387,-0.07787828,0.18564513
1974-02-01,1.3573284,-0.016698265,1.3772541,0.38041124,-0.88570845,-0.18494359,-0.22170767,-0.06384621,-1.166772,-0.015154648,-0.044341564
1974-03-01,0.22605762,0.36680004,0.2809233,-0.35024208,-0.74721116,-0.19280156,-0.4714797,0.8626957,-1.3939523,0.17820807,0.072405815
1974-04-01,-0.025959397,0.276854,0.5951028,0.2875184,-0.44257355,-0.43976718,-0.12965688,0.73598546,0.3767628,0.55286616,-0.6371992
1974-05-01,0.025678802,0.2936926,0.27825728,-0.25370097,-0.42826074,-0.04756894,0.18283872,1.1075565,0.45632505,-0.20051917,0.20023862
1974-06-01,0.6762085,0.2522978,0.074791335,-0.59089315,-0.70553577,-0.6433733,0.99165094,0.43541718,0.4525364,-0.59664637,0.7693819
1974-07-01,0.7365468,0.48747635,-0.24766712,0.12699084,-0.60338175,-0.49196672,0.1855048,0.14046168,-0.40510768,0.053181745,0.15575674
1974-08-01,0.6078722,-0.038307764,-0.29425392,-0.13148108,-0.15000352,-0.27432823,-0.32877293,0.640988,0.020627212,-0.41001892,-0.119694114
1974-09-01,-0.5675999,0.41857857,-0.20739499,-0.09864591,-0.3892514,-0.66175544,-0.26057673,0.69908094,0.38097245,-0.22184806,0.020486902
1974-10-01,0.033396475,0.00785799,0.38995305,-0.6325686,-0.18746932,-1.1053112,0.7626465,0.9057743,0.009541893,-0.3124957,0.6214832
1974-11-01,0.95558834,-0.02525785,0.2845717,-0.12109728,-0.79814786,-0.47877637,1.0950677,0.33761317,-2.0319934,0.5095068,0.39219818
