,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1977-06-01,0.53978,-0.5066332,-0.4711287,0.6576663,-0.17114297
1977-07-01,0.6677906,-0.58846015,-0.5919274,0.6798566,-0.43354377
1977-08-01,0.39443332,-1.0620853,-0.38597327,-0.46128187,0.2981828
1977-09-01,0.30137253,-0.9543234,-0.32328552,-0.16601148,-0.009569597
1977-10-01,0.2884744,-1.1673506,-0.523276,-1.1260213,0.3752943
1977-11-01,0.33160692,-0.25768536,-0.6371402,0.40469638,0.23452416
1977-12-01,0.30456227,-0.40053567,-0.6736156,0.82506466,-0.22287425
1978-01-01,0.23850302,0.32188028,-0.7474879,1.5512583,0.25548086
1978-02-01,0.93842995,0.31990337,-0.96936196,1.675917,0.06186428
1978-03-01,0.7087645,0.18384857,-0.37095308,0.8691233,0.25606227
1978-04-01,0.9088932,0.00011634827,-0.5857338,0.8043518,0.11012306
1978-05-01,0.7443482,0.1816391,0.05477085,0.7921418,0.0018605947
1978-06-01,0.22233924,-0.30059987,-0.27048182,0.13454323,-0.09849443
1978-07-01,0.5179389,0.09616871,-0.17942968,-0.31187972,-0.72434694
1978-08-01,0.92470807,-0.18512774,-0.62713164,0.25920206,-0.45188832
1978-09-01,0.5577088,-0.16652188,-0.24373594,0.1995471,0.16210298
1978-10-01,0.14826494,-0.30036733,-0.12826371,0.35130078,0.05093336
1978-11-01,0.43374762,-0.14977674,-0.42537507,1.0306448,0.091517255
1978-12-01,0.5430566,-0.0360487,-0.8084218,0.79958415,-0.07302775
1979-01-01,0.43665656,-0.21371785,-0.4060193,1.6200615,-0.20449686
1979-02-01,0.3386469,-0.1033638,-0.35351935,-0.038965892,-0.34905759
1979-03-01,1.019956,0.12894459,-0.48826417,2.1638002,0.22457477
1979-04-01,0.42817935,0.000297451,-0.14530429,1.2049701,0.45599088
1979-05-01,0.2577405,-0.045212366,-0.17445442,0.19185524,0.035247803
1979-06-01,0.49748525,-0.39010572,-0.06231575,0.31038913,-0.012195396
1979-07-01,0.8884832,0.14619668,-0.30964547,-0.5593548,-0.5638164
1979-08-01,0.56247795,-0.1543765,-0.16196153,-0.3761255,-0.8233417
1979-09-01,0.6023363,-0.056515504,-0.36973038,0.3569401,-0.11317968
1979-10-01,0.13757066,0.016657162,-0.4205943,0.20167103,-0.2535761
1979-11-01,0.232011,-0.56039584,-0.64427674,-0.54240006,0.06543894
1979-12-01,0.45063677,-0.9374137,-0.5654524,0.5212811,0.2589303
1980-01-01,0.6405657,-0.60634106,-0.76062125,0.84227526,0.09014273
1980-02-01,0.081249714,-0.579662,-0.62291443,1.2512186,0.35706753
1980-03-01,0.7122486,0.064137265,-0.83984977,1.8498793,-0.13649413
1980-04-01,0.2681375,0.12369366,-0.9403677,-0.43279284,-0.053088523
1980-05-01,0.6448774,-0.11439629,-0.62965155,0.18688774,0.17610855
1980-06-01,0.28983098,-0.51943225,-0.2107372,0.3663648,0.1757042
1980-07-01,1.028624,-0.26018772,-0.31206354,0.45704636,-0.31300673
1980-08-01,0.5005683,-0.17745586,-0.37849158,-0.69311523,0.1897173
1980-09-01,0.61388665,-0.06858392,-0.40678754,1.2420561,-0.10402117
1980-10-01,0.065619566,0.27716523,-0.52872944,-0.22070809,-0.17300935
1980-11-01,0.11978605,0.23472138,-0.8875486,0.61752474,0.07168295
1980-12-01,0.5893637,-0.16613749,-0.8420056,1.5297312,-0.0071414947
1981-01-01,0.11301365,-0.6576494,-0.58719206,1.7662262,0.25449213
1981-02-01,0.44571352,-0.30677152,-0.8349203,1.4068935,-0.03241043
1981-03-01,0.4272538,0.62439364,-0.80236894,1.03206,-0.008032131
1981-04-01,0.62326634,0.23546858,-0.58536017,0.58155555,-0.3793427
1981-05-01,0.11935487,-0.025928402,-0.21390863,0.18347105,0.36595592
1981-06-01,0.60663825,-0.039315224,0.23617324,0.64708084,0.25096923
1981-07-01,0.54083097,0.14218307,-0.3446776,0.0944129,-0.5537952
1981-08-01,0.52363944,0.04255619,-0.31268996,0.110477254,-0.30310774
1981-09-01,0.26999277,-0.19699892,-0.5563317,-0.3930114,-0.25153294
1981-10-01,0.21855888,-0.36567393,-0.2492783,0.63693494,-0.17191605
1981-11-01,0.2520966,-0.27379745,-0.2577332,0.006200218,0.08948088
1981-12-01,0.631721,-0.009864044,-0.6486309,0.50461596,0.13570099
1982-01-01,-0.042446304,-0.08515892,-0.3699084,1.1592236,0.38015407
1982-02-01,0.06267152,-0.15727754,-0.5857326,0.6598473,0.35527167
1982-03-01,0.60981655,-0.29858795,0.5058962,0.15102372,-0.054954052
1982-04-01,0.64121884,0.10298891,-0.6216589,-0.08223133,-0.02927332
1982-05-01,0.4722318,-0.015435028,-0.08808608,1.1331438,0.09859772
