,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1984-05-01,1022.22516,1012.12134,1025.6338,1013.895,1016.6399
1984-06-01,1020.8418,1012.9966,1026.6418,1017.19586,1015.98334
1984-07-01,1023.7815,1012.785,1024.1787,1016.52124,1015.7686
1984-08-01,1019.272,1012.91077,1024.3271,1016.0433,1015.9782
1984-09-01,1017.7447,1011.92914,1022.41156,1016.2968,1017.15906
1984-10-01,1019.5093,1011.03204,1021.1945,1020.18195,1018.69214
1984-11-01,1015.93945,1010.88696,1018.8934,1015.9808,1020.5857
1984-12-01,1019.30743,1011.1462,1024.0852,1022.1136,1022.0723
1985-01-01,1010.5256,1012.967,1014.34937,1016.8843,1020.452
1985-02-01,1019.4026,1013.5412,1013.7937,1019.79987,1021.7612
1985-03-01,1016.86945,1012.0896,1022.60706,1018.9154,1018.6182
1985-04-01,1019.7421,1012.0056,1021.59564,1015.70447,1017.65326
1985-05-01,1019.2739,1012.226,1021.03217,1013.8515,1013.344
1985-06-01,1019.5717,1014.2416,1021.21564,1016.1208,1014.5984
1985-07-01,1024.093,1013.6132,1025.5679,1016.4191,1015.677
1985-08-01,1020.8702,1012.96875,1023.6202,1016.6425,1015.60736
1985-09-01,1018.3591,1011.4291,1018.3793,1017.88196,1017.76166
1985-10-01,1020.63257,1010.765,1018.7635,1018.9487,1016.17377
1985-11-01,1019.383,1010.53326,1013.6442,1016.8683,1017.2905
1985-12-01,1018.8725,1012.4863,1019.68494,1022.43134,1022.3253
1986-01-01,1022.52875,1013.2824,1032.6575,1024.7264,1021.8553
1986-02-01,1014.2274,1012.87225,1015.92755,1014.64264,1015.53394
1986-03-01,1023.08704,1013.0204,1027.9507,1019.9609,1019.2006
1986-04-01,1016.6403,1011.63104,1021.97235,1015.39966,1016.51874
1986-05-01,1015.3281,1011.83167,1022.48444,1016.71814,1015.113
1986-06-01,1022.51483,1013.41284,1025.2125,1015.56494,1015.06995
1986-07-01,1021.7166,1015.0832,1025.1733,1016.1669,1016.57446
1986-08-01,1020.6071,1012.45197,1019.02594,1016.1308,1015.3155
1986-09-01,1018.0189,1012.5235,1017.57513,1017.9613,1017.84357
1986-10-01,1018.46576,1011.77094,1023.1105,1018.9943,1018.7443
