,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1977-03-01,1011.5039,1022.39417,1009.8801,1017.6022,1015.7703
1977-04-01,1010.5455,1023.3205,1010.0472,1018.36084,1023.9141
1977-05-01,1012.69476,1019.4891,1010.755,1019.0199,1015.6604
1977-06-01,1014.75,1019.4626,1011.5338,1019.2127,1020.46484
1977-07-01,1015.26227,1018.951,1012.0454,1023.7061,1020.6103
1977-08-01,1015.5525,1017.7115,1012.6412,1021.19354,1014.8113
1977-09-01,1015.7724,1022.63776,1012.42114,1025.5177,1021.055
1977-10-01,1013.832,1020.26086,1012.02655,1018.49164,1018.18335
1977-11-01,1012.67737,1021.51154,1010.48914,1018.2877,1016.5527
1977-12-01,1011.89154,1018.7352,1010.0263,1017.2438,1015.2177
1978-01-01,1010.8957,1021.9129,1008.62427,1016.8429,1016.12836
1978-02-01,1011.50494,1021.401,1010.56647,1018.4065,1017.2774
1978-03-01,1010.0093,1018.1032,1009.52344,1022.3808,1018.8357
1978-04-01,1011.63086,1022.67334,1010.27185,1017.97595,1017.97925
1978-05-01,1014.22955,1019.9907,1008.813,1017.8006,1014.0856
1978-06-01,1015.4146,1021.1858,1009.80664,1022.0982,1013.5184
1978-07-01,1015.8178,1021.8109,1010.5412,1022.7314,1013.829
1978-08-01,1016.73755,1024.7535,1011.40155,1023.2626,1022.0402
1978-09-01,1015.4366,1024.8375,1011.55493,1020.8066,1015.0387
1978-10-01,1014.17755,1024.2764,1010.90375,1019.4875,1020.1847
1978-11-01,1013.43713,1021.08575,1010.3432,1016.91425,1017.8846
1978-12-01,1011.2117,1018.59906,1009.41547,1017.30347,1014.7754
1979-01-01,1011.4149,1021.24603,1009.9062,1018.26373,1013.7201
1979-02-01,1009.3869,1021.46576,1009.5893,1019.8182,1016.9995
1979-03-01,1010.71173,1022.12445,1009.59045,1019.6771,1015.788
1979-04-01,1011.40283,1020.21204,1010.37805,1017.8895,1016.45306
1979-05-01,1014.23413,1022.73456,1010.7632,1023.32556,1021.33325
