,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5
1988-10-01,-1.1445729,0.96204185,0.13714829,-0.4925335,0.27396315
1988-11-01,-1.0261112,0.3393677,0.009677124,0.39342612,0.8916321
1988-12-01,-1.5526817,-0.047718428,0.05539322,0.64036024,0.53357774
1989-01-01,-1.1017681,-0.21221466,-0.14680214,0.4976799,0.11726074
1989-02-01,-0.89859694,-0.4612051,-0.04973793,0.13323708,0.38192636
1989-03-01,-0.5492264,-0.17121887,0.0605896,0.09495392,0.25441664
1989-04-01,-1.0315325,0.075360104,0.12992096,0.4913494,0.80213547
1989-05-01,-0.8172077,0.7882694,-0.012359237,-0.31349868,0.21281776
1989-06-01,-1.1918991,0.75450784,-0.08681526,-0.09585838,0.26828307
1989-07-01,-1.0924237,0.774403,0.005124283,0.18508491,-0.0907341
1989-08-01,-1.5762371,0.95858383,0.12298813,-0.29963264,-0.10248985
1989-09-01,-1.5005753,0.6170505,0.091939546,-0.16880722,-0.56218797
1989-10-01,-1.2244549,0.8491604,0.14951515,0.0654129,0.029842759
1989-11-01,-0.38041916,0.8777973,0.020497894,-0.17272606,0.59564817
1989-12-01,-1.4029081,0.110026166,-0.016277695,0.02622528,0.60981596
1990-01-01,-1.3659103,-0.9595852,-0.062511444,0.75078356,0.36475867
1990-02-01,-1.0652748,-0.76141703,-0.016110992,-0.00096664426,-0.22652397
1990-03-01,-1.006308,-0.62866056,0.07411194,0.6821499,0.019011308
1990-04-01,-0.94025195,0.14500085,0.16916771,-0.49493712,0.10407867
1990-05-01,-0.48688164,0.8451954,0.020944977,-0.53714865,0.13952331
1990-06-01,-1.3146769,0.913829,0.05928917,0.0122444155,0.08861198
1990-07-01,-0.6592716,0.9441185,0.16755676,-0.44144782,-0.32190245
1990-08-01,-1.256354,0.879351,0.02867813,0.09441185,-0.35219154
1990-09-01,-1.1223087,1.055286,0.029644394,-0.3605694,-0.3180359
1990-10-01,-0.87967336,0.57646024,0.14661255,-0.6077156,-0.33736953
1990-11-01,-1.3729995,0.9541073,0.06863403,-0.47077027,0.088933945
1990-12-01,-0.9096405,-0.5974045,0.073467255,-0.024811173,0.29966888
1991-01-01,-1.2333828,-1.2137954,-0.0019268036,0.288678,0.037890624
1991-02-01,-1.3284314,-1.6228893,-0.12298508,0.53304213,0.12587509
1991-03-01,-1.0227349,0.08413086,0.020550918,-0.5648319,0.46047133
1991-04-01,-0.8914013,-0.03307457,-0.018945694,0.014450073,0.39881858
1991-05-01,-0.8881901,0.87566644,-0.09922294,-0.7597458,-0.57189673
1991-06-01,-0.75460833,0.74625933,-0.29156762,-0.6907074,-0.2925312
1991-07-01,-0.6386873,0.75396615,-0.08766289,-0.83103216,-0.22991447
1991-08-01,-1.2966416,0.8718136,0.03949661,-0.4909771,-0.34744072
1991-09-01,-1.0978746,1.0326893,0.119773865,-0.5272625,-0.3991394
1991-10-01,-1.4157736,1.1059024,0.14064598,-0.44826967,-0.29927444
1991-11-01,-1.0750759,0.60465014,0.01477089,0.13229752,0.43959922
1991-12-01,-1.2645305,-0.3082657,0.0003211975,-0.00674324,0.33588067
1992-01-01,-0.7956783,-0.5366203,-0.04837036,0.31879082,-0.060706712
1992-02-01,-1.4796826,-1.1268051,-0.0045448304,0.44020385,-0.3025589
1992-03-01,-1.2358822,-0.5304524,-0.059732437,-0.25126687,-0.1561493
1992-04-01,-0.92033803,-0.083106235,0.09706573,-0.49019736,0.13342476
1992-05-01,-0.9151436,0.5411652,0.0055187223,0.12336121,0.012011337
1992-06-01,-0.73659515,0.9560482,-0.042851638,-0.25743484,-0.027269363
1992-07-01,-1.3504784,0.8485939,0.012336349,-0.5171421,-0.49214554
1992-08-01,-0.9790968,0.7641891,0.04837036,-0.38663942,0.10777855
1992-09-01,-1.1621902,0.6090134,0.108752444,-0.031489562,-0.11751785
1992-10-01,-1.1040809,1.1576458,0.21296005,0.4324131,0.18244438
1992-11-01,-0.87975883,0.554475,0.09284516,-0.15582427,0.6719929
1992-12-01,-1.3303509,-0.53791887,0.08148346,0.24931908,0.41553193
1993-01-01,-1.4877894,-1.0242882,-0.13446502,0.32562828,0.33492318
1993-02-01,-0.99609375,-1.1475995,-0.07838593,0.3144745,0.20014802
1993-03-01,-1.3997988,0.02261734,-0.14840698,0.083033755,0.42074507
1993-04-01,-1.1826098,0.34607697,-0.042136382,-0.3281067,0.24600258
1993-05-01,-1.0342026,0.71198237,-0.120212935,0.0957367,-0.2735775
1993-06-01,-1.2018188,0.9254532,-0.16172981,-0.18155861,-0.11866379
1993-07-01,-1.1153772,0.87742996,0.03686943,-0.39595908,-0.17536202
1993-08-01,-1.4977038,0.97440606,-0.025715638,-0.035630036,-0.20417595
1993-09-01,-1.060228,0.85109484,0.08272362,-0.5632652,-0.3748909
1993-10-01,-0.9505493,0.6246117,0.119283296,-0.5236076,-0.32283974
1993-11-01,-1.0887324,0.4566849,0.08210411,-0.14530906,0.082724
