,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1970-04-01,0.42642078,-0.06941123,0.103854895,-0.08669858,0.24411805,-0.35517603,-0.30462372,0.41738424
1970-05-01,0.6666099,-0.26952514,0.050028503,0.3105171,0.26428658,0.05055237,0.22368765,0.38700047
1970-06-01,0.30069473,0.22486627,0.049242686,0.14903775,-0.04531374,-0.10974827,-0.4272066,0.3279354
1970-07-01,0.2948013,0.113808274,-0.03195536,0.17470679,-0.026061963,-0.20273323,-1.1012814,0.38149992
1970-08-01,-0.28183588,0.19277993,0.07897166,0.288777,0.052385855,-0.28628868,-0.57074386,0.24058199
1970-09-01,0.06613712,0.020561432,-0.104509756,0.1280834,0.069542214,0.0041908263,-0.30318308,0.119570695
1970-10-01,0.49334368,0.3612004,0.06718485,0.042432524,0.014798999,-0.019775653,0.038765527,0.6713246
1970-11-01,0.6531205,0.25891703,-0.20469768,0.07464983,0.011786794,0.34011513,-0.40874052,0.9874732
1970-12-01,1.480686,-0.073994994,-0.11407022,-0.023704577,-0.11171274,0.33107856,-0.13384588,1.0261079
1971-01-01,0.64910764,-0.10134661,-0.2108988,0.011804581,0.017130995,0.018570613,-0.27049753,-0.003167081
1971-02-01,1.0418258,-0.28388563,-0.14885278,-0.037285186,0.29583415,0.2543742,-0.09659598,0.84028417
1971-03-01,0.38911912,0.05758331,-0.097747706,-0.033830177,0.24343339,-0.20787568,-0.06550102,0.59210026
1971-04-01,0.8451788,0.15144405,-0.107968666,0.1579222,0.237963,0.27107337,-0.55985355,0.59109247
1971-05-01,0.47880507,-0.015547466,-0.0751462,0.13762406,0.22183959,0.38508826,-0.44713432,0.4422397
1971-06-01,0.088966176,0.45044526,0.14928465,0.18297091,0.2863329,0.066076756,-0.96365654,0.6195962
1971-07-01,-0.114446834,0.12970638,0.27150524,0.11070385,-0.16152115,-0.09429264,-0.21464176,0.040884137
1971-08-01,0.05081725,0.017418932,-0.2219836,0.20787568,0.042035818,-0.30547935,-0.593396,0.038004957
1971-09-01,0.48297986,0.10523345,-0.15201989,0.11732598,-0.15417926,-0.021161843,-0.19635904,-0.50097466
1971-10-01,0.21277018,0.15878598,-0.034981847,-0.08435953,-0.007485771,0.04347539,-0.069099925,0.6868247
1971-11-01,0.744408,0.26114026,0.116174266,-0.24789608,0.19232821,0.010077095,-0.1540353,0.6711332
1971-12-01,1.31621,-0.27855915,-0.3125333,-0.36579788,0.37054855,0.21680109,-0.24861594,0.6358636
1972-01-01,1.3310267,-0.1817667,-0.11942413,-0.19412997,-0.029987622,0.19360384,-0.3755021,0.86753464
1972-02-01,1.2857823,0.08535931,-0.06457846,-0.10456188,0.002630496,-0.11403163,-0.30671483,0.20780854
1972-03-01,1.2386967,-0.19268322,-0.085359335,-0.12849931,0.17177086,0.19452456,-0.4269281,0.46730614
1972-04-01,0.8969963,-0.2719924,0.001709795,0.06694591,0.019334078,-0.069707915,0.107323885,0.3507755
1972-05-01,0.91580427,-0.30079624,0.033933282,0.16848274,0.22582737,0.021175433,-0.16309023,0.18676452
1972-06-01,0.7457432,0.07483737,0.15138456,0.2688358,0.32276085,-0.32631198,-0.34314704,0.21793589
1972-07-01,0.35340595,0.18413416,-0.0031566143,0.3053996,-0.041956328,-0.48256302,-0.8460964,-0.019991707
1972-08-01,0.10877065,0.16953492,-0.24923873,0.17966232,0.038931202,-0.37721196,-0.577129,-0.09838028
1972-09-01,0.17032404,0.08351798,0.0023674488,0.10469341,0.06694591,-0.1936039,-0.10443039,0.1250797
1972-10-01,0.5437217,-0.065893695,-0.25949758,0.1116642,0.0068392754,0.022490669,0.14125714,0.5288595
1972-11-01,0.61908525,0.05537176,-0.35301146,0.06497307,0.14112563,0.09193554,-0.15006933,0.7079958
1972-12-01,1.4224361,-0.27751642,-0.12639494,-0.07825699,0.1324451,-0.071943834,-0.4774335,0.615534
1973-01-01,1.5346119,-0.14003906,-0.061085273,-0.03809173,-0.09751482,-0.10014663,-0.31110555,1.1355492
1973-02-01,1.0987041,0.0005540609,-0.18007001,0.045710076,0.069534734,-0.23824649,0.09599116,0.6634887
1973-03-01,1.0957953,-0.08144705,-0.31290627,0.0074798316,0.2530676,0.09654522,-0.10263991,0.9464756
1973-04-01,0.8733395,-0.31969348,-0.14280935,-0.051943265,0.09114313,-0.08518696,-0.4418641,0.8640591
1973-05-01,1.003821,-0.25265208,-0.009973097,0.14876553,0.22190166,0.13103554,-0.22370234,0.55309194
1973-06-01,0.3590319,-0.053328417,0.29794657,0.3026561,0.6206874,-0.2185773,0.12133942,0.66902924
1973-07-01,-0.028118635,0.29947028,0.1720361,0.13809983,0.2836795,-0.17259017,-0.2827099,-0.08310922
1973-08-01,-0.06717994,0.089342415,0.1188462,0.31733876,-0.048618913,0.032412577,0.5318991,-0.21802318
1973-09-01,0.017868495,0.24544926,0.02576387,0.12632604,0.15389058,-0.024240207,-0.3275889,0.36692724
1973-10-01,0.16621843,0.13809982,-0.21566844,0.19295195,-0.1601238,0.06717996,0.06066973,0.5842579
1973-11-01,0.56638944,0.28644985,-0.25002027,0.08948094,-0.05970011,0.19973919,-0.001246643,1.0859606
1973-12-01,0.91614074,-0.10250138,-0.22979704,0.076460496,-0.17577597,0.04280126,0.17162056,0.64354247
1974-01-01,1.806497,0.13204236,0.07465096,-0.15701959,0.24570265,0.29046518,-0.60310113,0.8169509
1974-02-01,1.654108,-0.20964012,-0.26464605,-0.28948295,-0.015575659,0.20599174,-0.0861573,0.31923106
1974-03-01,1.0893147,-0.03437873,-0.119974755,-0.08208798,0.0079983715,0.39219812,-0.31375846,0.5082439
1974-04-01,0.87869227,-0.44538003,-0.15126638,0.04167545,0.38770786,-0.2469655,0.20122083,1.0004911
1974-05-01,1.1558269,-0.030730367,-0.23503825,-0.032975532,0.048972152,-0.16094859,0.16515818,0.37606123
1974-06-01,0.46656847,-0.011085367,0.07900092,0.13330528,0.03943031,-0.4644637,-0.31207466,0.64140886
1974-07-01,0.2549639,0.022170758,0.023573983,0.20023856,0.28499264,-0.0681962,-0.64744264,0.3728338
1974-08-01,0.26408476,0.24359787,0.23251247,0.039009333,0.08166702,-0.23784466,-0.2824669,0.50880516
1974-09-01,0.47849578,0.021048212,-0.08405249,0.2609977,0.31151336,-0.064407445,-0.29481512,0.5031923
1974-10-01,0.44481868,-0.0065950872,-0.46221852,0.1359714,0.08643796,-0.1243247,-0.01978531,0.46165723
1974-11-01,0.68687296,0.038307764,-0.38335794,0.110292576,-0.10117171,0.22830284,0.1243247,0.8110574
1974-12-01,1.447976,0.27306533,-0.084754094,-0.31025046,-0.04756894,0.2191819,-0.027923917,0.44257355
1975-01-01,0.9654624,0.16442251,-0.2554254,-0.08576818,0.08281527,0.12496114,-0.21193734,1.0544518
1975-02-01,0.9068071,0.015167141,-0.16522789,0.10093532,0.06778236,0.06576903,-0.08254681,0.93915474
1975-03-01,0.81392515,-0.13220915,0.007919121,-0.04066942,0.10818331,-0.13824916,-0.04080365,0.75849134
1975-04-01,0.9876091,-0.30455083,-0.06402411,-0.035434745,-0.37394384,0.30119526,0.3025375,-0.35783714
1975-05-01,0.85888976,-0.10388823,-0.0782517,0.2564992,0.21529289,0.15797988,0.07704373,0.56011045
1975-06-01,0.46843642,0.116773605,0.15207407,0.3218655,0.096908666,-0.21059513,-0.014093399,0.3115304
1975-07-01,0.064158276,-0.014764452,-0.002415991,0.12898782,-0.15086608,-0.12603493,0.118384264,-0.12026334
1975-08-01,-0.24589555,0.026844501,0.11153889,0.44320267,-0.080533504,-0.33958286,-0.06026592,-0.17193902
1975-09-01,0.28240412,0.09462686,0.081473015,0.06724546,0.015838265,-0.060400106,0.15985899,0.07758059
1975-10-01,0.7218485,0.10335131,-0.08992908,-0.018656945,0.14683938,-0.122947834,-0.14643672,0.60937005
1975-11-01,1.0268021,0.01999917,-0.17448923,0.114894435,-0.17623413,-0.123753116,-0.17771058,0.9125787
1975-12-01,1.3416879,-0.00093955995,-0.008321762,-0.21730621,0.044830225,0.21985647,-0.3552869,0.7567464
1976-01-01,0.992461,-0.1449602,-0.15246968,0.0230649,0.20114735,-0.05444386,0.056053065,0.68457144
1976-02-01,1.606631,-0.33953673,-0.13034348,0.024674058,0.13450055,0.15032414,-0.49012908,1.1245477
1976-03-01,1.2532822,-0.23212405,-0.2302467,-0.058064558,0.004291153,0.19162636,-0.15716313,0.59888273
