,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1987-03-01,-6.950959200472679e-06,-1.2850137635271489e-06,-2.6743585164825034e-05,0.004713199086836539,0.013650665641762316,3.291854682174744e-06,-2.4000186945508736e-05,0.014708378876093775
1987-04-01,-1.1140280041091014e-05,1.8415111064782622e-06,-1.5402032918895463e-05,0.0056980567023856565,0.012397210230119526,-5.540917982216342e-06,-3.4120239433832467e-05,0.017242497415281832
1987-05-01,-6.897950465087021e-06,3.867421991437183e-08,-1.2562473524927295e-05,0.004914208329864778,0.010043031943496317,-5.202114531736394e-06,-1.4556995572489446e-05,0.014958542305976152
1987-06-01,6.0657427194771945e-06,-3.219785518710039e-07,-2.4023081225875235e-05,0.002186539313697722,0.009750734170665964,-6.801271865697345e-06,-9.192123028557175e-06,0.0062071783759165555
1987-07-01,1.9662704374262155e-06,-1.3413225138709117e-06,-5.3969571516583016e-06,0.0009818002581596375,0.004717602860182524,-1.0796071213311128e-05,-6.173263791891095e-07,-0.00025057379389181733
1987-08-01,3.2311226975654664e-06,-2.6079687732071436e-06,-2.27335086882314e-06,0.000762357740313746,0.0015822097338968888,-1.0856792111250495e-05,4.836296960629391e-06,-0.00026022898964583874
1987-09-01,-1.2209288050852655e-07,7.141436131740432e-07,-1.0981296197444734e-05,0.0019622690160758793,0.004772901957039721,-1.6799291794692788e-05,-1.2385257482842111e-05,0.0049844453315017745
1987-10-01,-6.995974958002524e-06,2.2707303842961158e-06,-3.915930522323054e-05,0.005354190579964779,0.012600852642208338,-1.949996241516298e-06,-3.710605223881057e-05,0.01674568047747016
1987-11-01,-6.81820998833309e-06,1.116121244129448e-06,-5.074882210465148e-05,0.005909379979129881,0.016734268865548074,-3.7451919373173346e-06,-3.332933351301994e-05,0.01586439902894199
1987-12-01,-1.0571963240752581e-05,3.425876065068474e-06,-5.3060960323948946e-05,0.004167007136857137,0.018158889724873006,1.67002137156184e-06,-3.2720918870137e-05,0.013160868547856808
1988-01-01,-1.9583110897233276e-05,3.6687141117457026e-06,-3.317023583804257e-05,0.007943832315504551,0.019503287330735475,1.766455322164499e-05,-3.1830794073474135e-05,0.028226498397998512
1988-02-01,-1.5895248420853278e-05,2.6583390541407447e-06,-2.8894584309974952e-05,0.008021803660085425,0.01777007564669475,1.3953414660742663e-05,-2.5959760909571716e-05,0.023481585958506912
1988-03-01,-1.6771987565186653e-05,7.132016734741517e-06,-2.9962258330280228e-05,0.007705555617576465,0.02039132232312113,1.4693917667803666e-05,-5.367049034714746e-05,0.027630507247522473
1988-04-01,-1.107513589674856e-05,1.3548877192503884e-06,-1.8894388631451875e-05,0.0046200540964491665,0.010641202243277803,3.541145664106201e-06,-1.5664306537916837e-05,0.015712280583102256
