,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1977-08-01,2.3398094,2.90514,4.0975266,1.9011955,2.6760826,2.8775215,1.5746689,3.3535042,2.4746437
1977-09-01,2.185482,3.2284164,4.43705,1.7322464,2.5786133,3.1569366,1.0856895,3.975689,2.664711
1977-10-01,2.3040733,4.601124,6.1330376,2.3105698,3.551693,4.125145,1.2059059,5.774021,3.384369
1977-11-01,3.4103622,5.882862,7.007023,3.0286026,4.071537,5.421501,2.021408,6.6707497,4.828556
1977-12-01,3.53545,6.2954865,5.5384674,3.4347305,5.289917,6.4221992,1.8687019,6.8104553,5.015373
1978-01-01,4.467602,6.267063,5.35783,2.6063614,5.324562,6.732769,2.8423843,6.2227097,5.1978416
1978-02-01,3.6676636,5.8758087,4.9380608,3.3635292,6.122917,7.3948936,2.067791,5.291298,4.6370926
1978-03-01,4.0731773,5.4037666,4.6877823,3.0831566,5.449703,6.8626595,2.3386612,4.8382645,4.274349
1978-04-01,3.3777885,4.3218727,4.4834404,2.3830147,3.943287,4.6054115,2.8186226,4.7891617,3.6739998
1978-05-01,3.244728,3.6375694,3.7484512,1.9775009,3.361946,3.9892235,1.6258469,4.2917747,3.4870872
1978-06-01,2.9120827,3.4696617,3.0197945,1.7699928,2.9326744,3.213047,1.9775009,3.1972084,3.2146301
1978-07-01,2.8708954,3.0879097,2.7378387,2.0234375,2.7330856,2.983364,1.8824615,2.977028,2.4669685
1978-08-01,2.1454086,3.4031334,3.1512718,1.8444443,2.8233757,3.2146301,1.3280487,3.361946,2.6697235
1978-09-01,2.3228226,3.8149796,3.7642899,1.8396912,2.712494,3.4348106,1.0920258,3.9100227,2.8392143
1978-10-01,2.891491,4.6671906,5.0109253,2.0234375,2.744175,3.8514137,1.6797028,4.9839973,3.7167702
1978-11-01,3.0261307,5.08696,5.1582413,2.1105614,3.2637367,4.1903954,1.8095932,5.1566544,4.298111
1978-12-01,2.6301231,4.8968735,5.0489426,3.2178001,3.8514137,5.1598244,1.5371399,5.329315,3.9860573
1979-01-01,3.4658394,6.0238266,6.7195473,1.6343117,3.715004,5.371792,1.6682892,6.8635483,4.698723
1979-02-01,3.6098366,7.507492,7.7873993,2.5371323,4.5984077,7.407181,1.6715279,7.9589043,5.4688683
1979-03-01,3.3315506,6.1354675,6.95739,2.5468407,4.7521133,5.460781,1.7588959,6.3894844,4.4576454
1979-04-01,2.3737183,4.399399,5.396061,1.5016403,2.7539406,3.6502876,1.8446465,4.1955376,3.3784714
1979-05-01,2.1747093,3.3671455,4.140526,1.3802948,2.101902,2.9529457,1.4239807,3.5742416,2.719963
1979-06-01,2.4497643,3.2668304,4.6291504,1.3592606,2.1860352,2.807331,1.7071228,3.2813911,2.592144
1979-07-01,2.3866615,2.6406822,3.9657898,1.6391678,2.4125519,2.7442322,1.7669868,3.1956406,2.2458992
1979-08-01,2.0355644,2.5711098,4.062866,1.584156,2.1747093,2.551693,1.551796,3.2684479,2.0549812
1979-09-01,1.9012756,2.990162,4.8831673,1.5631218,2.1358795,2.7296677,1.1117134,3.894596,2.3138542
1979-10-01,2.42873,4.284527,6.986511,2.1229362,2.846161,3.6308708,0.97418594,5.9235153,3.4221535
1979-11-01,2.6261215,5.125862,7.861828,2.2200127,3.1212158,4.2554016,1.401329,6.4461136,4.216572
