,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6
1972-11-01,-0.05851978,0.04263699,-0.0045763254,0.04993224,-0.011306465,0.2533761
1972-12-01,0.029844701,0.014175415,-0.057492316,0.31589913,-0.21552092,0.5402011
1973-01-01,0.02523458,0.051351786,-0.027596831,0.3119768,-0.25867206,0.50638837
1973-02-01,0.017424285,0.037074387,-0.00814569,0.10731727,-0.18559355,0.46310842
1973-03-01,0.027821422,0.048366964,-0.05664909,0.12935525,-0.24056405,0.36530566
1973-04-01,0.027920961,0.02593106,-0.053316057,0.118858576,-0.09778994,0.13890666
1973-05-01,0.0059327483,-0.0043649077,-0.011627972,-0.1386323,-0.08963144,0.022647738
1973-06-01,0.009216011,-0.051525176,-0.017000675,-0.3063795,-0.07848805,-0.041327
1973-07-01,0.015533924,-0.0058573484,-0.035506606,-0.24499154,-0.04515755,-0.0861491
1973-08-01,0.015036464,-0.05600238,-0.05918622,-0.24076307,-0.055106938,-0.07326466
1973-09-01,0.022299528,-0.0052603483,-0.022423089,-0.23021668,-0.050729215,-0.020134747
1973-10-01,0.017921746,-0.0004348755,-0.10321236,-0.18977231,-0.07838857,0.07508117
1973-11-01,0.02443862,0.035830736,-0.06450915,0.07781726,-0.08739281,0.117813885
1973-12-01,0.02558285,0.02448839,-0.038740158,0.08781642,-0.12002689,0.22074062
1974-01-01,0.024621189,0.05611223,-0.0020608902,0.2844998,-0.23832119,0.45789438
1974-02-01,0.035363853,0.034394264,-0.040765345,0.21310201,-0.3020401,0.44649246
1974-03-01,0.019036591,0.076278925,-0.014587462,0.09586382,-0.16700095,0.17245841
1974-04-01,0.029042363,0.050023437,-0.044876277,0.03323084,-0.03591758,0.022759676
1974-05-01,0.019463181,0.009379864,-0.03421122,-0.13442403,-0.08032304,-0.061862826
1974-06-01,0.015740097,0.00034362078,-0.028083622,-0.2884664,-0.06643909,-0.08509326
1974-07-01,0.010155499,-0.027734578,-0.008692622,-0.3890671,-0.07516503,-0.08144772
1974-08-01,0.01663208,-0.06302625,-0.040067255,-0.3217414,-0.042743266,-0.09366411
1974-09-01,0.009496212,-0.019667923,-0.09796888,-0.23188335,-0.08668333,-0.036150277
1974-10-01,0.020122468,0.0073632,-0.05713141,-0.09114325,-0.14252949,0.05964142
1974-11-01,0.02547443,0.03140807,-0.09548682,-0.07093781,-0.13120514,0.18669143
1974-12-01,0.0214023,0.05134201,-0.01765126,0.2808155,-0.23490834,0.41535047
1975-01-01,0.024402142,0.033731937,-0.03453988,0.18051994,-0.18030345,0.32306382
1975-02-01,0.03490269,0.054111004,-0.0065140724,0.12893191,-0.21085376,0.39371377
1975-03-01,0.024877787,0.03969562,-0.029088378,0.18736175,-0.17379093,0.30978265
1975-04-01,0.019865334,0.059964955,-0.080091,0.066514075,-0.11580014,0.10902846
1975-05-01,-0.00051373243,-0.04215002,0.007608652,-0.12802029,-0.10145795,-0.0018674731
1975-06-01,0.021328866,-0.02279538,-0.00655061,-0.31150526,-0.13120335,-0.090115905
1975-07-01,0.012584507,-0.036076546,-0.033076406,-0.4688304,-0.07299304,-0.08327407
1975-08-01,0.00654757,-0.037027776,-0.037613213,-0.19003564,-0.03574723,-0.030807972
1975-09-01,0.013682127,-0.043833017,-0.041564643,-0.34051895,-0.07818848,-0.04449159
1975-10-01,0.017414033,-0.00805074,-0.029856682,-0.15824133,-0.12952036,0.07800245
1975-11-01,0.025938809,0.02659738,-0.05524826,-0.019722044,-0.12860566,0.124614626
1975-12-01,0.02619493,0.039768815,-0.121361375,0.27217096,-0.1308375,0.27023184
1976-01-01,0.024302185,0.04380828,-0.04208374,0.21978211,-0.10516429,0.23337585
1976-02-01,0.029190361,0.048556805,-0.059075892,0.15851718,-0.2023223,0.38667795
1976-03-01,0.035521686,0.06103325,-0.0116840005,-0.005585432,-0.2414276,0.27578652
1976-04-01,0.021602035,0.02565223,-0.071459234,-0.023415565,-0.069224656,0.14822876
1976-05-01,-0.0012559295,0.0144792795,0.016946673,-0.14361781,-0.11019212,-0.071552336
1976-06-01,0.019041598,-0.0018145442,0.027467847,-0.35422784,-0.0844478,-0.03747487
1976-07-01,0.007216871,-0.023927689,-0.029234827,-0.2547421,-0.0069354773,-0.048321962
1976-08-01,0.009544611,-0.013499618,-0.026208818,-0.3923555,-0.02937448,-0.08430815
1976-09-01,0.024348736,-0.011544347,-0.012521982,-0.12979132,-0.052325547,-0.024113894
1976-10-01,0.019320905,0.024721146,-0.11722177,-0.01894641,-0.046506345,0.09729874
1976-11-01,0.02951622,-0.0034439564,-0.07280928,0.11196321,-0.19240636,0.12821054
1976-12-01,0.028817892,0.03985119,-0.060658753,0.18700814,-0.21647471,0.38742283
1977-01-01,0.021362841,0.031630933,-0.026383698,0.4181306,-0.22852477,0.48337954
1977-02-01,0.026543558,0.03811848,-0.04099238,0.20446129,-0.24238667,0.22695771
1977-03-01,0.021876246,0.04922667,-0.04551965,0.04586622,-0.08995241,0.10467428
1977-04-01,0.020569414,0.029623985,-0.033991396,-0.1627157,-0.10446775,0.089552194
1977-05-01,0.009974629,-0.018589288,-0.039685518,-0.15832844,-0.04117906,-0.012055069
1977-06-01,0.0072675943,-0.030490935,-0.0098614395,-0.23263201,-0.082718104,-0.060361683
1977-07-01,-0.017329127,-0.053594083,-0.05112043,-0.23118511,-0.07520372,-0.048086673
1977-08-01,0.015482038,-0.017889202,-0.04435283,-0.4551225,-0.05457422,-0.103861004
1977-09-01,0.028737187,-0.03977886,-0.011401653,-0.16327581,-0.01546219,-0.05004695
1977-10-01,0.02448994,-0.0010402203,-0.031797767,-0.055274338,-0.045146257,0.058747977
1977-11-01,0.013661802,0.029437304,-0.05760798,0.11223531,-0.032404512,0.16670278
1977-12-01,0.024396598,0.053193867,-0.06451559,0.13431168,-0.11114201,0.3098024
1978-01-01,0.022808433,0.021057129,-0.08306551,0.17437518,-0.20523179,0.34202212
1978-02-01,0.02816844,0.03267932,-0.015773177,0.14370096,-0.31073415,0.33841336
1978-03-01,0.023604393,0.054543972,-0.014658809,0.056613684,-0.25930965,0.19560301
1978-04-01,0.016440034,0.019305825,-0.037160277,-0.037744045,-0.12674177,0.08330774
1978-05-01,0.01495409,-0.011421561,-0.094316244,-0.09967625,4.1484833e-05,-0.05610609
1978-06-01,0.0015804768,-0.04050362,-0.02283144,-0.2370205,-0.0859313,-0.0677284
1978-07-01,0.015909314,-0.040344477,-0.032649398,-0.26557195,-0.020549536,-0.0714432
1978-08-01,0.014104962,-0.047827244,-0.0014975071,-0.1594857,-0.05902493,-0.06592405
1978-09-01,0.015697002,-0.011686921,-0.02230084,-0.2735324,-0.07351291,-0.025538087
1978-10-01,0.012459755,-0.022619247,-0.04236114,-0.053399563,-0.06852448,0.021693945
1978-11-01,0.027266264,0.0141580105,-0.10100305,0.19629294,-0.09580219,0.13515675
1978-12-01,0.025568008,0.03082192,-0.043051004,0.17182785,-0.085559726,0.3195206
1979-01-01,0.011931658,0.052984834,-0.08703083,0.19277388,-0.20402765,0.3642817
1979-02-01,0.026658237,0.019680142,-0.04285115,0.1598317,-0.1770215,0.254852
1979-03-01,0.018411398,0.034406662,-0.004652679,0.17927074,-0.17647767,0.3591614
1979-04-01,0.018456697,0.020450413,-0.026719868,0.018819213,-0.10175741,0.14759731
1979-05-01,0.010662913,0.012792647,-0.021554232,-0.10320741,-0.13855112,-0.06251675
1979-06-01,0.0020988584,-0.010679245,-0.027943313,-0.16786838,-0.07316518,-0.119112074
1979-07-01,0.009348869,-0.040676117,-0.0070542693,-0.5104761,-0.07330114,-0.084765196
1979-08-01,-0.00039333105,-0.018608928,-0.042533934,-0.28545427,-0.027988613,-0.052049577
1979-09-01,0.017912924,-0.029166758,-0.03396988,-0.24929488,-0.09776986,-0.020194888
1979-10-01,0.018819213,0.0045004487,-0.03464955,-0.14158708,-0.051415205,0.017867625
1979-11-01,0.01496762,0.0019176006,-0.045705795,-0.037640214,-0.14874643,0.112298906
1979-12-01,0.021130145,0.046233237,-0.026266754,0.1653598,-0.19641519,0.22299731
1980-01-01,0.031244338,0.034743965,-0.04920262,0.21363616,-0.19609779,0.456295
1980-02-01,0.015018582,0.051969647,0.017700136,0.22127181,-0.22304982,0.32212585
1980-03-01,0.024426758,0.042788684,-0.00029814243,0.14823323,-0.21800488,0.25763196
1980-04-01,0.030744374,0.004201412,-0.020341694,0.005292237,-0.078154445,0.060287
1980-05-01,0.011291683,-0.06974614,-0.009206414,-0.17814499,-0.02974993,-0.043748558
1980-06-01,0.0080192685,-0.06565559,-0.018114626,-0.24009365,-0.062292278,-0.03902179
1980-07-01,0.007791996,-0.03843093,0.00797379,-0.2743631,-0.067337275,-0.07915431
1980-08-01,0.015973032,-0.040476143,0.015018582,-0.27327234,-0.04488486,-0.07306397
1980-09-01,0.021745205,-0.04956621,-0.028250039,-0.18228096,-0.07438207,-0.032340586
1980-10-01,0.02006358,-0.040430725,-0.043112278,-0.06656462,-0.037021935,0.058923542
1980-11-01,0.025063097,0.022745132,-0.08542645,0.1345073,-0.0117970705,0.20095551
1980-12-01,0.03642565,0.02065438,-0.042885005,0.22804385,-0.08292669,0.35907692
1981-01-01,0.03053981,0.042535424,-0.0071387887,0.023209155,-0.19799215,0.31141156
1981-02-01,0.038793206,0.04945594,0.0054207444,0.19242936,-0.2704273,0.40809423
1981-03-01,0.026131153,0.015468359,-0.012111306,-0.010932267,-0.14252526,0.13409173
1981-04-01,0.020338356,0.020748496,-0.017135143,-0.06265694,-0.12135345,0.04771298
1981-05-01,0.0130077,-0.054403603,-0.07331973,-0.12545449,-0.053788364,-0.015340924
1981-06-01,0.017877758,-0.021441221,-0.011239827,-0.2372598,-0.13447684,-0.086801946
1981-07-01,0.009983182,-0.033283055,-0.031283796,-0.42539626,-0.05901724,-0.06398982
1981-08-01,0.01295644,-0.045278728,0.010342002,-0.20209318,-0.057223022,-0.08059913
1981-09-01,0.019825757,-0.04338199,-0.050353706,-0.18968743,-0.11781627,-0.054044664
1981-10-01,0.01331532,-0.009650648,-0.06352848,-0.0953117,-0.04025489,0.11184341
1981-11-01,0.020030797,0.0071637034,-0.047636807,-0.019134402,-0.072038114,0.20396364
1981-12-01,0.023004055,0.020645976,-0.050917685,0.12230116,-0.15000969,0.31576896
1982-01-01,0.027249575,0.03298247,-2.0503998e-05,0.25956136,-0.20588857,0.40851358
1982-02-01,0.028644025,0.032104433,0.004782796,0.13570994,-0.20392597,0.3345023
1982-03-01,0.019708991,0.06293821,-0.03276515,0.09800702,-0.16777253,0.28807092
1982-04-01,0.012271702,0.039490104,-0.048724353,-0.07521969,-0.07583946,0.015628815
1982-05-01,0.011238754,-0.014430225,-0.022022426,-0.09680843,-0.13905632,0.009895921
1982-06-01,0.01072228,-0.04882765,0.004524529,-0.35354966,-0.14050245,-0.13807505
1982-07-01,0.013769507,-0.05740118,-0.013913751,-0.38918656,-0.04980898,-0.07847345
1982-08-01,0.011187077,-0.053940773,0.004162967,-0.12707406,-0.03534758,-0.039324462
1982-09-01,0.015990317,-0.0389629,-0.010866523,-0.24669033,-0.09531069,-0.050273776
1982-10-01,0.017952979,0.009017885,-0.05636823,-0.078938305,-0.056161642,0.075953424
1982-11-01,0.0034399033,0.028282523,-0.05141002,0.19019836,-0.13606077,0.2642613
1982-12-01,0.035048366,0.023272693,-0.04856938,0.3390473,-0.1610583,0.27459085
1983-01-01,0.01800111,0.04974714,-0.02801463,0.14017528,-0.12257135,0.26098663
1983-02-01,0.01840192,0.04421565,-0.05647385,0.09616372,-0.100004435,0.16606915
1983-03-01,0.02673927,0.05507824,-0.004004687,0.18611085,-0.20654607,0.2606259
1983-04-01,0.025616944,0.04694131,-0.03210315,-0.050381184,-0.12453544,0.09464055
1983-05-01,-0.012181699,-0.0106986165,-0.0054476857,-0.1908735,-0.1341154,0.006376922
1983-06-01,0.007539332,-0.030900657,-0.002080679,-0.27320474,-0.11355263,-0.095354736
1983-07-01,0.010104656,-0.03530982,-0.004044771,-0.35982502,-0.1802113,-0.07595438
1983-08-01,0.015475839,-0.049619615,-0.009816766,-0.18778706,-0.014065623,-0.05362791
1983-09-01,0.012509674,-0.035269737,-0.021040142,-0.26627034,-0.09876186,-0.076715946
1983-10-01,0.018963099,-0.024407148,-0.09050465,-0.20606506,-0.13611954,0.017961025
1983-11-01,0.02004534,0.0120687485,-0.04549098,0.07972953,-0.083890915,0.080010116
1983-12-01,0.031348884,0.037962615,-0.06104338,0.17276308,-0.15054959,0.22122392
1984-01-01,0.035964012,0.037401974,-0.016982734,0.13148391,-0.26245862,0.32000732
1984-02-01,0.0059728622,0.027644575,-0.034135222,0.15428543,-0.31689465,0.49158362
1984-03-01,0.028158069,-0.004606247,-0.078403056,0.18165752,-0.12975782,0.25581384
1984-04-01,0.029493332,0.00032383204,-0.06777263,-0.027715921,-0.1623168,0.05553019
1984-05-01,0.007051289,-0.0006519556,-0.03752464,-0.056782722,-0.013850093,-0.05046606
1984-06-01,0.016551912,-0.05462581,0.0031483173,-0.20340061,-0.090522826,-0.10700768
1984-07-01,0.0064863563,-0.055909693,-0.029051125,-0.6661585,-0.06982684,-0.12000042
1984-08-01,0.019171,-0.022888541,-0.016161084,-0.12184924,0.015268028,-0.062483072
1984-09-01,0.017989874,-0.06453729,-0.026945591,-0.28649265,-0.11147553,-0.08456564
1984-10-01,0.01824665,-0.0006519556,0.010286629,-0.15456218,-0.13951528,-0.03588134
1984-11-01,0.020146728,0.035655916,-0.089701116,0.14617139,-0.06561571,0.19881001
1984-12-01,0.0016590357,0.025898516,-0.044406176,0.3700782,-0.28875226,0.46405745
1985-01-01,0.026892722,0.04803109,-0.02069962,0.15421754,-0.16644329,0.37833402
1985-02-01,0.02915901,0.024461567,-0.04435152,0.17951769,-0.10850841,0.2838911
1985-03-01,0.02306062,0.036287546,0.006166339,0.20506507,-0.23538,0.2219181
1985-04-01,0.035051405,0.029859483,-0.021235287,-0.026221156,-0.046123385,0.008432686
1985-05-01,0.011564255,0.030848444,-0.031330585,-0.16458905,-0.075956106,-0.020163953
1985-06-01,0.017044604,-0.048018813,0.012099922,-0.25384003,-0.06099856,-0.13413823
1985-07-01,0.013995409,-0.042744517,2.6762486e-05,-0.4566533,-0.032607973,-0.07426667
1985-08-01,0.012017548,-0.009944975,-0.028734684,-0.17039901,-0.07068181,-0.05638349
1985-09-01,0.012965262,-0.022059381,-0.040807843,-0.30242127,-0.047524333,-0.06866276
1985-10-01,0.021865666,0.02491486,-0.044516325,-0.12313634,-0.09359205,0.15920341
1985-11-01,0.014448643,-0.00013804436,-0.030506492,0.107902646,-0.06878638,0.21610814
1985-12-01,0.03138411,0.047495425,-0.047277093,0.25702518,-0.13512713,0.40816677
1986-01-01,0.022409558,0.03457856,-0.070228636,0.21231371,-0.22825354,0.39437658
1986-02-01,0.033764422,0.020481408,0.0056987405,0.20944285,-0.16440946,0.385207
1986-03-01,0.02960813,0.037406504,-0.096794665,0.16779423,-0.2024588,0.34638634
1986-04-01,0.008183897,0.058273673,-0.013368845,-0.041948736,-0.08548272,0.084711134
1986-05-01,0.012168825,0.0037705302,-0.0071558356,-0.14966959,-0.12357491,-0.048590243
1986-06-01,0.010497749,-0.032093585,-0.0054847,-0.22726804,-0.13925743,-0.059173763
1986-07-01,0.0111833215,-0.022752643,4.273653e-05,-0.23887998,0.0092122555,-0.07738435
1986-08-01,0.015125334,-0.012940347,-0.007070124,-0.2220406,-0.002056837,-0.0698002
1986-09-01,0.016025186,-0.048590243,-0.012083352,-0.19311786,-0.10069388,-0.09400952
1986-10-01,0.021081269,0.0042418838,-0.05775976,-0.1112774,-0.057631254,0.104035795
1986-11-01,0.0057843924,-0.02146715,0.0156824,0.15459692,-0.19358921,0.29102623
1986-12-01,0.024766266,0.048504293,-0.015596926,0.18523353,-0.16200995,0.3650254
1987-01-01,0.022969007,0.030714512,-0.040654898,0.20810705,-0.18163344,0.3225798
1987-02-01,0.028400928,0.0207057,-6.636977e-05,0.1153117,-0.1729826,0.30819526
1987-03-01,0.02935654,0.040622756,0.0013921857,0.012759,-0.12640887,0.2372282
1987-04-01,0.020102143,0.050480694,-0.019329578,-0.070379585,-0.14763361,0.057069406
1987-05-01,-6.636977e-05,0.031468958,0.024427563,-0.08913985,-0.10538533,0.039214477
1987-06-01,0.014469057,-0.022749692,-0.024208248,-0.21010074,-0.20542324,-0.11222553
1987-07-01,0.013664335,-0.008063376,-0.040805787,-0.39186895,-0.066205055,-0.116500646
1987-08-01,0.011300415,-0.008465737,0.007729441,-0.3096357,-0.048752487,-0.078326315
1987-09-01,0.016631752,-0.027829528,-0.048501015,-0.25290227,-0.08702743,-0.09291202
1987-10-01,0.015474975,-0.028734863,-0.045282096,-0.065853,-0.17268082,0.16626114
1987-11-01,0.01889506,0.017436504,-0.011684656,0.011099249,-0.18138194,0.27515107
1987-12-01,0.021862507,0.037705615,-0.02848339,0.26071623,-0.10764864,0.3980232
1988-01-01,0.023792356,0.03477648,-0.10865179,0.23264962,-0.18050471,0.44927907
1988-02-01,0.026528478,0.038266033,-0.020025253,0.10690701,-0.2600902,0.43064174
1988-03-01,0.022801012,0.036402285,-0.06150326,0.10944486,-0.2278119,0.34316516
1988-04-01,0.014989167,-0.021452785,-0.03632301,-0.0078118443,-0.11971524,0.02426818
1988-05-01,0.014196098,-0.009596258,-0.032476604,-0.14509377,-0.10084,0.0096358955
1988-06-01,0.0060273707,-0.0043619573,0.010587573,-0.17213777,-0.20901594,-0.07752347
1988-07-01,0.011697888,-0.037710905,-0.015623659,-0.4540772,-0.043262452,-0.05535692
1988-08-01,0.0066221952,-0.05928266,-0.035847187,-0.5616187,-0.056467235,-0.0932264
1988-09-01,0.0157426,-0.06098777,-0.055198282,-0.20941243,-0.08228192,-0.03251624
1988-10-01,0.021056235,0.018320113,-0.035212725,-0.15056601,-0.14410242,-0.06602383
1988-11-01,0.014394373,0.027361214,-0.064992815,0.061027378,-0.03921777,0.08144918
1988-12-01,0.03437996,0.05024153,-0.042271107,0.15298486,-0.12839946,0.30977654
1989-01-01,0.021437764,0.03534496,-0.082336664,0.15163949,-0.21710116,0.35126752
1989-02-01,0.0105237365,0.038046062,-0.037804544,0.17379606,-0.28408182,0.3002016
1989-03-01,0.029504657,0.050420165,0.020014226,-0.039374113,-0.22925621,0.1708394
1989-04-01,0.020525217,0.015268981,-0.035687447,0.033702374,-0.19213396,0.11838639
1989-05-01,0.017787576,-0.0244084,-0.03769505,-0.093360245,-0.14004594,-0.05185771
1989-06-01,0.012275815,-0.05926758,0.010961771,-0.3905574,-0.20385098,-0.094564795
1989-07-01,0.007968605,-0.042111754,-0.01214385,-0.42716867,-0.071459174,-0.062114716
1989-08-01,0.016437054,-0.058683574,-0.02769357,-0.23327142,-0.05583644,-0.08843249
