,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1990-01-01,28.07901,12.026459,24.709137,20.838257,25.65738,26.372375
1990-02-01,28.351196,10.437653,24.760895,19.81012,26.49466,26.821594
1990-03-01,29.52481,10.69458,24.562683,20.853058,28.134247,27.409363
1990-04-01,30.069672,12.877563,26.98581,23.21402,28.998657,29.171234
1990-05-01,29.620453,18.173004,28.773804,26.984802,29.984863,29.6969
1990-06-01,28.746674,22.980316,28.813263,30.018402,29.433075,26.98877
1990-07-01,28.691437,26.763916,27.95819,32.99823,28.885742,25.7052
1990-08-01,28.298462,26.43155,27.31717,33.68512,28.94983,25.57306
1990-09-01,28.152496,24.604584,27.860565,33.388763,28.777252,25.881256
1990-10-01,28.387207,22.550323,28.14508,31.984894,29.129333,27.189941
1990-11-01,28.617493,19.45459,27.612549,28.583466,28.481873,27.31372
1990-12-01,28.550903,15.787872,25.594757,25.315155,27.167755,26.531158
1991-01-01,28.005127,12.337494,24.336273,22.34909,25.912659,25.860718
1991-02-01,28.488342,10.044861,24.076569,20.508698,27.082092,26.07135
1991-03-01,29.558167,9.319092,24.592651,20.507294,28.538849,27.153076
1991-04-01,30.2706,13.169067,26.617462,23.472778,28.85672,29.63205
1991-05-01,30.115265,17.680939,28.072327,25.319366,28.772827,30.731415
1991-06-01,28.526459,23.864014,28.661804,27.106384,29.237,28.361115
1991-07-01,29.015411,27.63153,27.70398,30.455017,29.014435,26.268646
1991-08-01,28.870056,28.499786,27.195984,32.492218,28.51361,25.187378
1991-09-01,28.492645,25.34842,27.018219,32.567047,29.409973,25.831635
1991-10-01,28.560791,23.212128,27.552887,30.619415,29.171234,27.327484
1991-11-01,28.32251,18.121246,26.92865,27.808807,27.699188,27.354675
1991-12-01,28.13858,14.35849,25.719666,23.783966,26.593628,26.501648
1992-01-01,27.682892,11.228485,24.662292,19.42276,25.559875,26.038422
1992-02-01,27.992432,9.228485,24.002106,17.825287,25.917328,25.83789
1992-03-01,28.727722,9.336975,24.604675,18.530518,27.570526,26.508759
1992-04-01,30.095123,11.893066,26.41626,22.09024,28.791656,28.48648
1992-05-01,29.633026,16.552795,28.507812,26.592072,29.845673,30.055878
1992-06-01,29.152985,23.96576,29.374847,29.484314,29.969666,28.23993
1992-07-01,28.360565,27.129242,28.346008,30.99704,29.18692,26.6221
1992-08-01,27.923157,26.781464,27.839355,32.357666,28.71997,25.24939
1992-09-01,27.774445,26.225403,27.88684,33.18741,29.36905,25.675629
1992-10-01,28.097046,21.72696,28.238495,31.057098,29.711487,26.925323
1992-11-01,28.153229,18.615295,27.226624,28.08786,28.320343,27.104553
1992-12-01,27.812225,14.460754,26.03891,23.616058,26.933563,26.450165
1993-01-01,27.68454,11.07251,25.219696,20.141815,26.11264,26.232544
1993-02-01,27.734741,9.405579,24.936493,19.102661,26.828156,26.379242
1993-03-01,28.486816,9.521088,25.410767,20.373352,27.931183,27.292175
1993-04-01,29.842804,12.615173,26.816467,23.131622,29.006897,28.64914
1993-05-01,29.52649,17.956757,28.337677,26.462585,29.836945,30.01828
1993-06-01,28.944519,23.706268,28.996643,29.613708,30.0943,28.11444
1993-07-01,28.329376,26.310028,28.71933,32.432922,29.154572,26.37146
1993-08-01,27.935059,27.584625,27.861969,34.025787,29.02005,25.491669
1993-09-01,27.862946,25.050568,27.590485,33.668518,29.188202,25.698822
1993-10-01,28.109558,21.531433,28.495117,32.292053,29.896423,26.917358
1993-11-01,28.275787,17.889008,26.951477,27.731812,28.563843,27.494446
1993-12-01,28.116394,12.403656,25.62912,24.152252,26.682892,26.539124
1994-01-01,28.017517,10.471619,24.765778,21.749939,25.815704,25.858368
1994-02-01,28.436798,9.443298,24.223907,20.45044,26.43457,25.909363
1994-03-01,28.827637,10.035675,26.025574,20.9516,28.043518,27.015167
1994-04-01,29.926086,13.757202,27.299103,23.850739,29.389618,29.01889
1994-05-01,29.938843,19.436798,28.72464,26.72879,30.200195,30.427734
1994-06-01,28.95514,23.950287,29.09784,29.99228,29.55487,27.247131
1994-07-01,28.633942,26.034912,27.907196,30.319366,28.889404,25.51361
1994-08-01,28.310272,27.132385,27.355988,32.938995,28.550568,24.442139
1994-09-01,28.251434,25.820099,27.659058,33.195953,29.099304,25.039917
1994-10-01,28.352448,23.441254,27.977295,31.05249,29.553406,27.66394
1994-11-01,28.225922,19.443665,27.736542,28.278412,28.05478,27.513885
1994-12-01,27.992004,15.070923,26.331573,23.187256,26.446808,26.550293
1995-01-01,28.296478,11.996582,24.34018,20.348236,25.755157,25.453308
1995-02-01,28.731659,11.399719,24.26593,19.907196,26.036499,25.33609
1995-03-01,29.020325,11.256592,24.390503,20.597351,28.44104,27.203857
1995-04-01,29.934662,13.619141,26.367157,22.941315,29.733429,28.852295
1995-05-01,29.624023,20.381958,28.32138,25.653076,29.537079,30.33664
1995-06-01,29.182983,25.417175,29.001282,30.035278,29.611328,28.724823
1995-07-01,28.61493,27.16867,28.584656,31.157684,28.97931,26.58844
1995-08-01,28.454712,27.856873,27.444153,33.286774,28.971466,25.959808
1995-09-01,28.337006,26.671936,27.76944,33.17392,29.225464,26.07608
1995-10-01,28.194885,21.74173,28.587097,31.155731,29.799377,27.601929
1995-11-01,28.525055,19.053894,27.732819,27.757233,28.468384,27.595093
1995-12-01,28.184631,14.824585,26.083405,23.501068,27.05194,26.89566
