,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r400_cluster9,r400_cluster10,r400_cluster11
1975-09-01,52.984413,57.709145,36.97464,49.579967,11.800205,59.83116,57.11485,53.939236,43.28142,74.21608,81.08094
1975-10-01,51.073116,55.452137,29.698221,36.332603,18.464218,64.30896,37.76978,47.508987,41.36519,70.414894,77.30609
1975-11-01,42.729927,16.014603,32.893593,59.627026,25.613878,52.98935,39.210247,22.000362,40.900944,32.771767,79.88741
1975-12-01,45.316185,26.581873,33.16687,46.725372,20.228996,42.367752,13.104034,10.06012,12.172256,58.504284,68.61225
1976-01-01,38.237335,27.03745,24.851267,56.199142,8.60331,18.999577,7.004265,6.1005974,19.161938,42.40142,50.22281
1976-02-01,54.552536,15.42263,29.928854,43.913544,25.559767,27.081732,13.261047,12.678829,25.784454,25.441683,52.217106
1976-03-01,42.180016,13.474255,32.1298,52.395874,51.073994,27.849274,8.381905,20.054127,13.310249,18.883133,55.474243
1976-04-01,57.986797,15.484951,42.549023,64.13206,44.697487,52.586117,28.103481,38.027412,23.189898,14.668209,51.032993
1976-05-01,45.683155,37.5846,49.378185,59.47924,42.427658,65.099686,26.279747,59.47596,23.022614,56.527153,45.748756
1976-06-01,55.531643,37.128666,50.378613,59.717045,54.834625,69.24573,31.609903,64.87008,29.563124,65.504776,67.00214
1976-07-01,58.278725,53.75875,53.106014,57.504623,57.17005,62.16728,49.871838,57.202854,40.097153,61.468616,56.72068
1976-08-01,59.748207,50.819786,43.288685,54.952705,48.490917,55.877693,40.73185,54.05888,45.980003,71.78288,62.065594
1976-09-01,50.342533,38.460384,37.16311,54.08512,49.94728,66.2018,46.760666,54.41149,39.98563,69.29001,41.943848
1976-10-01,47.005035,23.836077,45.85372,62.052475,41.323906,52.425392,19.293144,55.940018,23.339142,52.63204,65.40309
1976-11-01,51.403645,29.907534,46.50974,41.8356,30.642275,58.536213,15.41935,16.572304,21.725334,51.421684,68.12393
1976-12-01,46.16205,20.654385,25.810694,50.447495,42.937714,34.86704,8.764034,17.994225,15.883484,42.468662,60.978245
1977-01-01,45.39739,14.838772,33.3143,53.196648,35.87615,20.940426,8.824844,10.3063965,19.047874,33.31105,44.466545
1977-02-01,44.07991,11.922783,17.837616,74.039085,10.82299,4.032547,3.6329193,10.335636,7.4635086,37.596504,72.19527
1977-03-01,51.174137,10.044849,19.674934,52.959473,51.492542,25.729473,9.919765,17.93021,9.131878,17.892849,46.01795
1977-04-01,53.27625,10.082214,48.4872,62.14119,58.326843,48.531063,13.266251,32.904922,14.671448,10.3063965,42.63735
1977-05-01,44.490913,25.404572,52.928604,70.4343,44.47142,55.54244,11.83506,48.352367,35.291325,39.01632,52.43963
1977-06-01,57.166946,34.94693,48.64965,60.15929,39.722984,49.59999,20.081059,47.793537,28.72344,65.34472,65.30573
1977-07-01,51.206627,59.51436,47.652206,66.61508,42.473274,62.189926,26.533604,53.771725,34.27926,81.41272,57.50322
1977-08-01,51.266735,57.871983,43.649418,70.39531,21.687698,42.92976,43.236794,47.408527,62.404358,73.74505,64.09385
1977-09-01,43.62018,73.855515,45.44937,60.30712,24.000998,53.26163,56.965508,54.46214,36.815113,76.36538,53.055317
1977-10-01,46.55891,21.866394,28.549618,68.000786,33.293182,61.356552,57.542206,39.143032,42.33519,31.156954,56.694214
1977-11-01,52.766155,28.720192,41.972923,40.56935,51.313843,56.27834,22.858967,23.882408,26.1356,32.781464,72.092926
1977-12-01,47.468636,21.856647,31.23493,32.768463,51.984768,16.105888,7.8322716,25.24862,13.420578,25.690485,61.897514
1978-01-01,45.281796,12.615868,25.619194,48.630444,56.423885,24.342464,16.970375,21.093613,10.203384,19.357513,58.408676
1978-02-01,49.362267,17.230156,29.123075,57.740215,27.236492,28.351652,6.2733994,28.305716,13.558369,24.355137,47.96515
1978-03-01,41.987007,12.595276,57.10502,39.519085,45.749084,17.859016,7.786152,28.152063,27.667349,14.1064415,52.05354
1978-04-01,41.762077,13.9923935,54.480278,48.67638,38.677963,40.55346,8.961502,35.894817,20.846504,25.929665,54.931725
