,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11
1974-06-01,0.47170678,-0.30734903,0.28663978,0.12556915,-0.0723175,-0.069358826,0.5575016,0.019394303,-0.23371696,0.25245363,-0.20478973
1974-07-01,0.31162223,0.1344448,0.24193458,0.15614013,-0.2034748,-0.28335267,-0.3510681,0.22845726,-0.8431551,0.29222792,0.10946236
1974-08-01,0.47006303,0.14923668,0.13707428,0.32115477,0.3247711,0.0884243,-0.53876495,0.09532738,-0.46151656,0.10617523,0.21300736
1974-09-01,0.023010254,-0.27283365,0.19657174,0.14233398,0.020709228,-0.6981918,-0.07067375,-0.5052357,-0.3711199,0.1922985,-0.6738666
1974-10-01,0.19821548,0.25541192,-0.05522423,-0.13575974,0.0466774,-0.42272797,0.21793823,-0.28696862,-0.040431976,0.29452896,-0.41944122
1974-11-01,0.5992485,-0.21004906,0.18046494,0.22944374,-0.55191326,0.20939179,0.071660616,-0.7271179,-0.67386705,0.013477325,-0.50260544
1974-12-01,0.34449387,-0.19065495,0.39478722,-0.12819901,-0.40399092,0.084480286,0.5985916,-0.121954344,-0.25442657,-0.0059165955,-0.23601684
1975-01-01,0.16911277,-0.19286461,0.6295811,-0.17196274,-0.57067716,0.3521599,0.81864625,-0.55452573,-0.8465149,0.02026825,0.18589783
1975-02-01,0.21091613,0.10229111,0.52950704,0.0056999205,-0.8420807,0.17829666,0.7369385,-0.56466067,-0.23276825,0.31954116,0.43101653
1975-03-01,0.1716465,0.18304749,0.61944735,0.18621445,-1.3339016,0.037369538,0.87723386,-0.54692537,-0.20838241,0.20331573,-0.19191436
1975-04-01,0.2682371,-0.3274582,0.6036129,0.19349785,-0.5247566,0.14916153,0.42119902,-0.22833404,-0.5839783,0.036102675,0.23656845
1975-05-01,0.011717605,-0.17006302,0.14789467,0.34867668,-0.25715294,0.6229309,0.15517807,-0.937405,-0.37939566,0.14377785,-0.45033494
1975-06-01,0.31732407,-0.3394924,0.30592346,0.02090149,-0.2444851,0.81642914,0.37306213,-0.19634819,-0.36419448,0.08518982,-0.4493843
1975-07-01,0.36894494,-0.0015834809,0.18178025,0.24828568,0.026918411,-0.026918793,-0.0886734,0.04687042,-0.060804747,0.17639694,0.028185273
1975-08-01,0.24036828,-0.02121849,-0.10229111,0.011401367,-0.1830471,0.11337547,-0.28280488,-0.41771507,0.051937483,0.35247725,-0.3065567
1975-09-01,0.24416848,0.23308448,0.036102675,0.16531296,-0.20901565,-0.71382105,-0.37116164,-0.3898464,0.29610595,0.47091904,-0.2061655
1975-10-01,0.5668766,-0.04750366,0.33980942,0.06618881,-0.4373501,-0.27425462,0.19413146,-0.70273703,-0.52349013,0.26823694,-0.6530167
1975-11-01,0.20014878,-0.8037615,0.42119902,0.118759155,-0.02438507,0.79077685,0.077589415,-0.6922863,-1.0450795,0.07442208,-0.43006593
1975-12-01,-0.10260811,-0.27647096,0.2641201,0.20078202,-0.1735466,0.86994934,0.981424,-0.4949875,-0.31922454,0.34170952,-0.2986389
1976-01-01,0.06357918,-0.46019173,0.80903625,-0.12984924,-0.45850983,0.6586655,1.0885834,-0.55068207,-0.72628325,0.006728363,0.2425415
1976-02-01,0.34211653,-0.13523178,0.54025424,-0.13220367,-0.24859771,-0.14296874,1.0192856,-0.49517745,-0.25902635,0.13758698,-0.062233735
1976-03-01,0.5187248,-0.14364167,0.58196753,0.05146866,-0.706435,0.0989006,0.73132783,-0.8080276,-0.80499953,0.24691543,-0.4342888
1976-04-01,0.37575608,-0.17021713,0.6256992,-0.060214996,-0.91802883,0.008073425,0.7380562,-0.91298294,-0.5503464,-0.2586891,-0.6526108
1976-05-01,0.7444477,-0.4389988,0.31150398,0.25297087,-0.2882927,0.17223588,-0.024220277,-0.47095641,-0.19040108,0.1301857,-0.31823197
1976-06-01,0.08813591,0.09486427,0.08611794,0.060551453,0.042049788,-0.28795624,0.041376878,-0.0460865,-0.48643073,0.14465103,-0.16348915
1976-07-01,0.468602,0.056851197,-0.03935852,-0.06257019,-0.23177795,0.53150785,-0.3411068,-0.23816948,-0.46254653,0.29569322,0.2899746
1976-08-01,0.24489708,-0.17358169,-0.051805116,0.2438881,0.34480745,0.04541359,0.043395616,-0.30612183,-0.98463553,-0.17492676,-0.11235676
1976-09-01,0.4198242,-0.3394249,-0.074343875,0.106637575,-0.07299843,-0.3804657,-0.23985139,-0.5883595,-0.23985139,0.17862701,-0.36398202
1976-10-01,0.37071,-0.6966793,-0.03330345,0.2321144,0.07266159,0.25801697,0.38887557,-0.71282655,0.04642258,0.16550751,-0.5183884
1976-11-01,0.45985565,-0.7770783,-0.008073425,0.10966568,-0.011101151,0.97992706,0.4292427,-0.76530457,-0.0733345,0.04675903,-0.31991425
1976-12-01,0.24254265,-0.0904911,0.52343446,-0.052814484,-0.3929123,0.22370453,0.7454575,-0.0645874,-0.3515358,0.0989006,0.04608612
1977-01-01,0.29686546,-0.39487687,0.68218917,-0.13516465,0.22999115,0.6142548,1.8363914,0.1372879,-1.129081,-0.05696716,0.13339539
1977-02-01,-0.09694977,-0.26502115,0.3619713,0.15214844,-0.10650406,1.0087769,1.147126,-0.11181183,-0.43415222,-0.04776764,0.23069763
1977-03-01,0.37117082,-0.10614967,0.34640235,-0.066166684,-0.5155342,0.44122925,0.85804445,-0.6287613,-0.74552536,-0.017691802,-0.100134276
1977-04-01,0.39204675,-0.19743843,0.050598145,-0.10827331,-0.16276321,0.08385925,0.41433793,-0.55940974,-0.54950255,0.26820526,-0.4284912
1977-05-01,0.048121262,0.29438895,0.39310837,0.1425949,-0.50562704,-0.5073959,0.06227417,-0.14542541,-0.48475114,0.34640273,-0.073597714
1977-06-01,0.11641083,-0.6453911,0.09199677,0.259713,-0.34003335,0.3368492,0.09695015,-0.07324295,0.22751465,-0.0021232604,-0.06687431
1977-07-01,0.13197975,0.18611602,-0.13516465,0.1365799,-0.06262855,-0.30960387,-0.40159988,0.10225792,-0.8237225,0.19213104,0.59302366
1977-08-01,0.4369835,0.16807023,0.00070800784,0.23317567,-0.014861298,-0.586301,-0.32092628,-0.02724495,0.07572021,0.30924988,-0.65954435
1977-09-01,0.33472556,-0.017691802,-0.086688995,0.004953003,0.7444645,-0.28271255,-0.004245949,-0.13941002,-0.560825,0.16347046,-0.61849976
1977-10-01,0.064043805,-0.14365616,0.111457065,-0.04175186,-0.3322487,0.30677336,0.041398622,-0.1471943,-0.41150743,-0.122779846,-0.26502076
1977-11-01,0.666621,-0.79046214,0.3301262,-0.09871979,0.2367138,0.7274803,0.6050537,-0.124903105,-1.2224922,0.1762085,-0.4893509
1977-12-01,0.100134656,-0.23671417,0.28271255,-0.054843903,-0.22928314,0.29792786,1.2217842,-0.23742142,-0.39876938,0.094120026,-0.23069839
1978-01-01,0.073796846,-0.44617996,0.4417595,0.18398133,-0.3325943,0.48290864,1.0402939,-0.49651185,-0.21220855,0.04216919,0.2513153
1978-02-01,0.09658203,-0.39686888,0.35367888,-0.19044304,-0.33429566,0.6131584,1.2749466,0.014622497,-0.0119018555,0.017343903,0.6896759
1978-03-01,0.013263321,-0.073796846,0.3288536,-0.09862213,-0.8869194,0.113585666,1.0770226,-0.28226393,0.13228913,0.1030426,-0.09182052
1978-04-01,0.38360634,-0.25267678,0.3149105,-0.049990844,-0.662809,0.163237,1.0246499,-0.4162529,-0.35367966,0.16187668,-0.095220946
1978-05-01,0.087739944,-0.28260344,0.09726181,0.16595688,0.3060688,0.48392868,0.285664,-0.5135155,0.061553955,0.26355934,-0.3611614
1978-06-01,0.3166111,0.15813561,0.20438614,0.33021393,-0.12616882,-0.25097618,-0.18806228,-0.5665676,-0.4002697,0.20506592,-0.41625366
1978-07-01,0.38666725,0.27954292,-0.05645256,-0.0258461,-0.2819233,-0.7665321,-0.44754067,0.15575524,0.1428318,0.34619752,-0.06869545
1978-08-01,0.2156086,-0.3516388,-0.106443785,-0.10066223,0.004760742,0.090120316,-0.38666686,-0.19996491,-0.49549142,0.23295212,0.23125191
1978-09-01,0.12718849,-0.48630905,0.0027206421,0.04148941,0.010882187,-0.18704224,-0.39992982,-0.20914689,-0.69069517,0.11562576,-0.43665773
1978-10-01,0.2142479,-0.14555244,0.14725304,-0.113925174,0.19044304,-0.08433838,0.20744705,-0.37510413,-0.5128349,0.14555283,-0.4937912
1978-11-01,0.28770486,-0.43665808,0.6043156,-0.01462326,-0.12208786,1.037233,0.8644737,-0.32885438,-0.8906601,-0.014282989,-0.34075698
1978-12-01,0.28770486,-0.35606003,0.60057485,-0.18398133,-0.6556671,0.58357084,0.92296755,-0.6284615,-1.062059,-0.030606842,0.0027206421
1979-01-01,0.1688755,-0.50276107,0.55687255,-0.2432045,-0.28036958,0.26609802,1.0884743,-0.11476441,-0.47243577,0.006243515,0.36510316
1979-02-01,0.32883167,-0.29612732,0.9100841,-0.18136254,-0.68115157,0.25688094,0.579171,-0.7780762,-0.5375473,0.20901299,0.23636627
1979-03-01,0.17660561,-0.15103683,0.25063705,-0.35291404,-0.39037627,0.18998566,0.8529991,0.004460144,-0.2928566,-0.2928566,0.3436981
1979-04-01,0.6636095,-0.21823005,0.24439354,0.10316887,-0.34964353,0.18344422,0.6811508,-0.4560829,-0.6900711,0.032110214,-0.34102097
1979-05-01,0.055895425,-0.4007818,0.2669899,0.2012825,-0.25985414,1.254673,0.1358734,-0.6719341,-0.27947694,0.24974518,-0.34072417
