,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10,vo500_cluster11,vo500_cluster12
1994-06-01,-3.23584454624169e-07,-2.7005068321074737e-06,-1.2752454565585407e-06,-9.116731210892076e-06,-0.00011711993768888837,-5.54218369567631e-05,-3.920072564009078e-05,-3.529958121362142e-05,-7.819813276910281e-06,-1.7726312080412754e-05,-1.0637320002615525e-05,-1.7393902851381426e-05
1994-07-01,-7.555003343795984e-06,-4.106813014723864e-06,4.470929634744944e-07,-5.303584920942453e-06,-6.271418821294598e-06,-6.361706255120225e-05,-3.071255134006894e-05,2.286111684325392e-05,-6.1385151184367714e-06,1.8498376164188812e-06,2.4327725611783535e-06,-2.5257779157072946e-05
1994-08-01,-6.660971715663015e-06,-1.693325459179272e-07,-2.138247041814254e-06,-4.763319338962901e-06,-1.790544956747908e-05,-1.0505657617917072e-05,-3.701983720331067e-05,2.226301509428344e-06,-1.3792619029118214e-05,6.452833645198552e-06,-1.7308826372186559e-06,-1.6095255261916463e-05
1994-09-01,-2.1773759294219642e-06,-5.562042873819781e-06,-2.7311417667348266e-06,-7.404711548013821e-06,-0.00011346529693886018,-3.264979113737354e-05,-1.4686601411440501e-05,-1.5952999656919616e-05,-2.6628225668900996e-06,6.606845090573188e-05,-3.060866049509059e-06,-7.155400680858293e-05
1994-10-01,-3.735558854115392e-07,-1.0230433174509144e-05,-2.6546509043664963e-06,-3.0943705329072576e-06,-0.00011913431080756709,-2.935209787816954e-05,1.728977711137282e-05,-8.580270238373236e-06,-8.263738777714025e-06,-4.0449494917993434e-05,-3.7774572092530434e-05,-0.00015068205811985536
1994-11-01,1.4425086469489587e-06,-1.7643722373556324e-05,-7.894682964972701e-07,-2.0064328210585362e-06,-0.0001448160279930259,9.398899199671481e-06,2.3270162850300352e-05,6.8781336549677535e-06,-2.642171011757455e-05,2.5656220259406837e-06,-4.959545663041354e-05,-0.00011105926205345895
1994-12-01,-7.955443324157741e-06,-1.0030455383076875e-05,-2.1452031736165127e-06,-6.694572101351744e-07,-3.4153402642308116e-05,-3.8723960334626406e-07,9.623771602935272e-06,-7.323422574574642e-05,-3.23941605984146e-06,-1.6037545265135122e-05,-4.5092497202858794e-05,-2.3652572167520702e-05
1995-01-01,-2.166169041429828e-05,-9.926174412654755e-06,-2.3867338183191785e-06,-1.060899122469556e-05,0.00012624196339553845,7.660192598753687e-05,1.0798730061917635e-05,-5.2094012438640775e-05,3.308636678411858e-05,5.715593488275772e-05,-2.525318336665805e-05,0.0001532154783490114
1995-02-01,-1.0102617235999078e-05,-6.855513548057494e-06,-4.783245925763266e-06,-1.5408416306615292e-05,0.00016922852713226652,0.00011254866573532733,-1.0368237381931623e-05,4.370328638444711e-06,1.609283231118752e-05,-4.0544091461924836e-05,3.956617149469821e-05,-1.6837049088280764e-05
1995-03-01,-1.3065032251732902e-05,-6.7643382905327265e-06,-4.081904771064055e-06,-1.3222729409646586e-05,0.00011374092233988146,8.1788319524397e-05,1.1181883542676366e-05,-3.627358104307044e-06,-1.0441194717714097e-05,1.8101317209584522e-05,-8.229764603129297e-06,5.36897800884617e-05
