,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1972-03-01,1020.22797,1010.0156,1015.0859,1010.92554,1016.15454,1019.34296,1013.0729,1014.9521,1021.3429,1019.9342,1017.52435
1972-04-01,1017.1632,1010.0056,1015.34576,1020.81537,1015.747,1012.8304,1019.76544,1010.49054,1020.048,1023.25214,1017.96564
1972-05-01,1012.8923,1009.65125,1015.26263,1021.2823,1015.3814,1014.2065,1024.8038,1013.6222,1022.86896,1026.9412,1017.18384
1972-06-01,1012.3229,1008.81946,1015.95825,1021.6678,1015.11084,1009.5569,1023.2234,1013.0504,1020.38666,1027.3143,1020.4617
1972-07-01,1018.81177,1009.0532,1016.4282,1021.18536,1018.2019,1012.6954,1021.25287,1013.28784,1025.1307,1022.17847,1021.5641
1972-08-01,1015.2109,1009.6969,1015.752,1019.3267,1018.1044,1015.5533,1017.11194,1014.1022,1023.6808,1023.5733,1021.0529
1972-09-01,1021.8953,1009.6962,1015.3789,1014.37274,1017.39124,1019.2862,1020.4673,1014.1141,1022.4677,1017.975,1022.21405
1972-10-01,1019.51483,1010.5449,1015.2215,1017.89124,1017.55,1019.3686,1016.0502,1016.25635,1022.43896,1019.5086,1020.62225
1972-11-01,1019.25305,1009.6819,1014.9146,1020.86163,1016.7032,1020.95166,1013.4578,1022.0447,1017.58685,1020.01544,1018.5468
1972-12-01,1019.72485,1010.5224,1015.4889,1016.3338,1018.61743,1009.66876,1011.72485,1021.036,1018.01,1023.3402,1019.4011
1973-01-01,1020.676,1010.1947,1016.0466,1016.88763,1017.1752,1017.00146,1010.5137,1020.58014,1021.76984,1020.3178,1018.86127
1973-02-01,1021.71906,1010.7085,1016.11346,1019.71783,1017.55646,1012.85376,1011.5516,1016.035,1021.69525,1029.695,1019.7648
1973-03-01,1019.77826,1009.4693,1015.2646,1021.81165,1014.22095,1015.0672,1015.08453,1017.0182,1022.9029,1019.0008,1018.9783
