,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1976-01-01,-0.085445024,-0.29771155,0.16517106,0.013119126,0.2808918,-0.10630188
1976-02-01,0.016147232,0.021865845,0.09015465,0.20082931,0.19040069,0.04877777
1976-03-01,-0.09890099,0.19174652,0.085445024,-0.058869552,-0.074343875,0.03599434
1976-04-01,0.27483672,0.13321343,-0.11403885,-0.020856475,-0.20015678,-0.41376877
1976-05-01,0.14364167,0.10293808,-0.1285038,0.10361023,-0.13354988,0.0904911
1976-06-01,-0.1160572,-0.09587326,-0.1967926,-0.15743408,0.11202011,0.39324874
1976-07-01,0.051805116,0.069970705,-0.09654617,0.30679455,-0.52141607,0.41376916
1976-08-01,0.36431846,-0.019174958,-0.10327454,-0.04104042,-0.34144324,0.22538643
1976-09-01,0.47667542,0.106638335,-0.09923706,-0.5503464,-0.20957565,0.20654793
1976-10-01,0.08140831,-0.0703064,-0.0030281066,0.07770767,0.020183945,0.1285038
1976-11-01,-0.010428238,0.12951317,-0.19107361,-0.12816735,0.071652986,0.02926674
1976-12-01,0.11874809,-0.008410263,0.051132202,-0.19948368,0.04373169,0.13556823
1977-01-01,0.23600617,-0.10862656,0.11676483,-0.39027748,-0.18116227,0.025476074
1977-02-01,-0.13268737,-0.13091812,-0.29014283,-0.07961235,0.10544205,-0.05696716
1977-03-01,-0.12631837,-0.07784271,0.24202156,-0.4281376,-0.04033661,0.24768296
1977-04-01,-0.06828956,0.015568542,-0.26325148,-0.2954502,0.51765746,0.16240922
1977-05-01,-0.07501259,0.29049605,-0.33224946,-0.4716591,0.13551788,-0.013092041
1977-06-01,0.3651554,0.004245758,-0.08208923,0.012384033,-0.40124625,0.25016022
1977-07-01,0.3821392,0.2834198,-0.19248505,0.2922657,-0.53994864,0.17019348
1977-08-01,0.15002517,0.079257965,-0.18363877,-0.16063996,-0.58594704,0.49076614
1977-09-01,0.43627548,0.107565306,-0.14613266,-0.2742203,-0.2986347,0.42601472
1977-10-01,0.2112381,0.08562775,-0.09164276,-0.24768296,-0.26749724,0.22397614
1977-11-01,-0.05024452,0.02476883,0.10791893,-0.024060821,-0.38744658,0.43521422
1977-12-01,0.1298565,-0.40089265,0.050951768,0.08315048,-0.1878849,0.30535775
1978-01-01,-0.07991791,0.04250946,0.014282989,0.34347725,-0.33361474,-0.27240142
1978-02-01,0.29790688,-0.13875122,-0.12616844,0.09658165,-0.08127823,0.15881538
1978-03-01,0.009522247,-0.012242126,-0.17649917,-0.21832924,0.07209587,0.15439454
1978-04-01,0.56418645,0.05543251,-0.2815834,-0.6056763,0.25777817,0.36796266
1978-05-01,-0.12616844,0.016663741,0.0537323,-0.15167408,0.30096778,0.3373558
1978-06-01,0.032987595,0.15711518,-0.08535919,0.4121727,-0.18228073,-0.04148941
1978-07-01,-0.28736418,-0.046930693,0.0040809633,-0.12072716,0.032987595,0.09930267
1978-08-01,0.044549942,0.5356201,0.008161927,-0.08807983,-0.13330993,0.024485778
1978-09-01,-0.0731163,0.0856987,-0.10678406,-0.045570374,-0.37000313,0.41999435
1978-10-01,0.1652771,0.064274594,0.0040809633,-0.12820892,-0.37136346,0.20608635
1978-11-01,-0.08603935,0.010542298,-0.24927597,-0.07855759,-0.0676754,0.20778656
1978-12-01,0.076517105,-0.13671073,-0.020744706,-0.14487267,-0.031287003,-0.09964256
1979-01-01,0.24915084,0.23309593,-0.14836082,-0.05857124,-0.13498154,0.11922379
1979-02-01,0.023487855,-0.16055068,0.024677277,-0.17601109,-0.05292244,0.02646103
1979-03-01,0.2726387,-0.11000671,-0.14836082,-0.07373428,-0.2488533,0.063031
1979-04-01,-0.3190201,0.031217957,-0.05678749,-0.131711,-0.022893524,-0.12368317
1979-05-01,0.11387177,0.017838668,0.053219605,-0.28304482,0.3903759,-0.2768013
1979-06-01,0.21822986,-0.16501084,-0.080869675,-0.29969445,-0.2354742,0.3392376
1979-07-01,0.13646813,-0.17333527,-0.11387215,-0.57649577,-0.36569864,0.21406785
1979-08-01,0.17630844,0.16679458,-0.3062355,-0.1016819,0.04430008,-0.3252636
1979-09-01,0.11298008,0.16411857,-0.10941239,0.028245162,0.1394411,-0.12695388
1979-10-01,0.0130817415,0.32080382,-0.20455322,0.09246521,-0.2220951,0.062436294
1979-11-01,0.2732334,-0.19474182,0.19325523,-0.14360371,-0.39126796,0.51078874
1979-12-01,0.18909302,-0.046678543,-0.0074329376,-0.27709848,-0.109412,-0.062436294
1980-01-01,0.22925529,0.13302879,-0.13235359,0.29070586,-0.21372414,0.1279644
1980-02-01,0.24377403,0.10703125,-0.06718979,-0.020258332,-0.21136093,-0.18603821
1980-03-01,0.16848107,0.0958889,-0.24579963,0.027348708,0.2819271,-0.049632646
1980-04-01,0.36532325,0.06583939,-0.037139893,-0.27382374,-0.25221482,0.13572998
1980-05-01,-0.017557144,-0.11851082,-0.09048691,-0.10635567,-0.3183918,0.09859009
1980-06-01,0.20899734,-0.04828186,0.04085388,-0.16746788,0.016206551,0.079682544
1980-07-01,0.14011917,0.23060608,0.031737518,-0.36431044,-0.4358898,0.190765
1980-08-01,0.33864993,0.079682924,-0.19279023,-0.080695346,-0.084746934,0.0013504028
1980-09-01,0.34033832,0.13674316,-0.06617737,-0.33662432,0.014518356,-0.13674316
1980-10-01,-0.069890976,0.12897758,0.053346634,-0.26099357,-0.23229447,0.27382392
1980-11-01,0.638134,-0.04423065,-0.06685219,0.11344604,0.1276268,0.15294953
1980-12-01,0.08744812,0.14011955,-0.20427056,-0.07731895,-0.25626642,-0.23735885
1981-01-01,0.24115296,0.06276588,-0.17618485,0.24629211,-0.2796936,-0.1938034
1981-02-01,-0.1838932,0.12663308,-0.13911247,0.25583535,-0.07818222,-0.069373325
1981-03-01,-0.25693625,-0.0110115055,0.0969017,-0.042945098,-0.31749994,0.09726868
1981-04-01,0.2650116,-0.017618561,-0.099471286,-0.19930916,-0.21692772,-0.059095763
1981-05-01,0.14535275,-0.033034515,-0.121861264,-0.23271103,-0.6372021,0.0036705018
1981-06-01,-0.10901451,0.17765312,-0.13287278,-0.20114441,-0.028630067,-0.1387455
1981-07-01,-0.04845085,0.07451172,-0.072676085,-0.31933516,-0.26904908,0.22610398
1981-08-01,0.15709838,0.20848617,-0.19563904,-0.12956925,0.24445668,-0.070841216
1981-09-01,0.135075,0.15930024,-0.059461974,-0.053222656,0.1849945,-0.024959564
1981-10-01,-0.0011013031,0.14865646,-0.103508756,-0.44339865,-0.35493928,0.1471878
1981-11-01,0.2587715,-0.038173676,0.0036705018,0.13691063,0.21766166,-0.19233513
1981-12-01,0.07524566,0.08772583,0.088459395,0.119659044,-0.2231678,-0.020555114
1982-01-01,-0.04270668,-0.07764816,-0.13200188,-0.09544239,-0.12326622,-0.002588272
1982-02-01,0.014235306,0.04432411,0.0488533,0.32741585,-0.005176544,-0.40182877
1982-03-01,-0.26659164,0.2125618,0.05953026,-0.009705734,-0.0116470335,-0.24038544
1982-04-01,0.074089244,-0.027176667,-0.13491325,-0.40376988,0.10903092,0.027176667
