,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9
1974-12-01,-0.025959468,0.029467475,-0.06482847,-0.033256162,-0.010383785,0.017540162,-0.018382097,-0.00014032125,0.01866274
1975-01-01,-0.038656093,0.026039148,0.041474722,0.016912032,0.06268191,0.072882816,0.008590246,-0.05878947,-0.009798241
1975-02-01,-0.0013422489,0.045232963,-0.024428463,-0.09341886,0.008590246,0.035703182,0.00805335,-0.0119458195,-0.011945772
1975-03-01,-0.0017448902,0.026576066,-0.081875704,-0.06630592,-0.0025502443,0.013959145,0.010603619,0.0005368948,0.030468464
1975-04-01,-0.03234763,-0.085097075,0.033958293,0.01865692,-0.0016106606,-0.009395575,0.028723622,0.0842917,-0.015167141
1975-05-01,-0.04670944,0.13865185,-0.019596528,-0.15650341,-0.04187741,0.057178784,-0.03207917,0.028455187,0.056373455
1975-06-01,-0.0501992,0.14079937,-0.015972484,-0.26535788,-0.039192963,0.26253918,-0.072882846,0.043353867,-0.028455162
1975-07-01,0.012080026,0.0099324705,0.062413454,0.01288538,-0.02805252,0.033958293,-0.0076506855,-0.030468512,-0.109794
1975-08-01,0.0022818088,0.012214231,0.16214076,-0.01798582,-0.07341971,0.033421397,0.00456357,-0.14482608,-0.040937852
1975-09-01,0.034629416,-0.00644269,0.03315296,-0.06724548,-0.062010814,-0.06778238,0.04563565,-0.023623133,-0.06778236
1975-10-01,0.038387634,-0.012214279,0.059057903,-0.0012079955,-0.06603746,0.031139636,-0.05436008,0.013690663,-0.036240052
1975-11-01,0.059192132,0.04066942,-0.006979561,-0.005234671,-0.026710272,-0.06456101,0.086170815,-0.04657519,-0.08549974
1975-12-01,0.072882816,0.0036240101,-0.029260516,0.030468512,0.01556983,0.01261692,-0.010872031,-0.0024160147,-0.09462686
1976-01-01,0.010325563,0.010325569,-0.051896024,-0.01153245,-0.009923274,0.039693065,-0.016762286,-0.0064367116,0.024808168
1976-02-01,0.068524204,-0.038352095,0.041034054,0.046666183,-0.037413407,0.0528347,0.018773746,-0.0024137676,-0.0685242
1976-03-01,-0.052298307,0.09065041,-0.11867694,-0.062489778,-0.0046934485,0.012471127,-0.0014750839,-0.034329154,0.046532106
1976-04-01,0.03218358,-0.107412696,-0.015823592,0.11505629,0.0076435925,-0.024405885,0.03245177,0.046263896,-0.018371457
1976-05-01,-0.03070848,0.15568808,-0.110765144,0.06530585,-0.13450053,-0.0072412966,-0.1284661,0.049884558,-0.038888477
1976-06-01,0.020919323,0.027624225,-0.043984205,0.0838114,-0.053505205,0.0104596615,-0.068926476,0.042777337,-0.0046934364
1976-07-01,0.019846534,0.19310145,-0.121090695,-0.12430906,-0.04760487,0.08206813,0.007375407,-0.036206532,-0.044654716
1976-08-01,-0.054443885,0.15729722,-0.06436715,0.027758336,-0.013141632,0.015287196,0.027356038,-0.15622444,0.11465399
1976-09-01,0.023333097,0.07281532,-0.108485475,0.09413697,-0.046666194,-0.059539605,0.15890639,-0.19712444,-0.042643238
1976-10-01,-0.029903907,0.045459308,0.005766225,-0.057125855,0.06932879,0.0120688435,-0.009386873,0.0041570426,0.019712448
1976-11-01,0.0041570426,-0.006839013,-0.004827523,-0.043984223,0.06637861,0.056455355,-0.0763019,0.07241305,-0.059271432
1976-12-01,0.028697025,-0.091052696,0.08488418,0.07093795,0.062221587,0.038486194,0.05900321,-0.035938334,-0.086761564
1977-01-01,-0.012482065,-0.005408895,0.038694404,-0.021774268,0.0012482047,0.035504557,0.0048541366,-0.03300813,-0.009985656
1977-02-01,0.032175995,0.014285028,0.0027737916,-0.047570545,0.023299862,0.031759925,0.03397896,-0.03300813,-0.03439503
1977-03-01,-0.024686754,0.024409374,-0.05242468,0.0202487,0.022606408,0.039942622,0.03328551,0.010540414,-0.019555235
1977-04-01,0.005270207,-0.045074128,0.09930177,0.04992827,0.026351035,-0.005131519,0.032869447,-0.091673866,-0.05561455
1977-05-01,0.046461035,-0.17724535,0.020942163,0.15311334,0.017613584,-0.03550453,0.06324248,0.09555715,-0.103185095
1977-06-01,-0.16559544,0.0549211,0.053672872,0.021774268,-0.019139165,0.07808228,0.07295074,-0.14298902,0.11025827
1977-07-01,-0.0656002,0.37487808,-0.09666667,0.001664257,-0.040636063,-0.14340508,0.19582978,-0.27113825,0.061300825
1977-08-01,-0.029263515,-0.024548054,0.009846985,-0.026628446,-0.024825444,-0.028708767,0.12440461,-0.101659514,0.05658537
1977-09-01,0.015255856,-0.030234337,0.020664763,-0.01913917,0.04091344,0.012620759,0.10360116,-0.03855572,-0.06781925
1977-10-01,0.047154475,0.015255856,0.08584888,-0.045074128,0.011095169,0.13771881,0.005270195,0.0024964095,-0.07544716
1977-11-01,0.032037303,0.03855572,-0.051592547,-0.03203731,-0.00027737618,0.06393592,-0.0044380785,0.033008136,0.00818268
1977-12-01,0.0065184115,-0.07475371,0.018445719,0.005547619,0.090703025,0.109148756,-0.0693448,0.014007652,0.011649919
1978-01-01,-0.046514492,0.06360857,-0.11721651,0.0362813,0.01686151,0.03837446,-0.039769888,-0.032792725,0.026164388
1978-02-01,-0.038258173,-0.0048840283,0.008023751,-0.06302713,0.16000983,0.09477328,-0.044305056,0.0017442942,0.017210359
1978-03-01,-0.020815235,-0.0013954282,-0.025001537,0.01232636,-0.010000616,0.07093459,-0.050700795,0.026396979,0.0031397105
1978-04-01,-0.008372617,-0.1090765,0.015466064,0.09756414,0.008954043,0.085237816,0.12117024,-0.02407124,0.007209742
1978-05-01,-0.012210059,-0.17884824,0.09907587,0.33292747,-0.0050003054,0.13256626,0.04837508,-0.012210036,-0.027210975
1978-06-01,-0.015117216,0.18129024,0.012907768,-0.1594284,0.016628927,-0.0752372,0.018256903,-0.0024420142,0.041514188
1978-07-01,-0.025699252,0.00814004,0.020815229,0.09733157,-0.010349477,-0.025001515,0.123147115,-0.111285925,0.08767982
1978-08-01,-0.05825939,-0.024303818,0.07953981,-0.14082262,0.020582665,-0.01802436,0.041397892,-0.045467902,-0.006628311
1978-09-01,-0.083842374,0.056863964,0.031048393,-0.06174798,-0.059422266,-0.046165634,-0.011861193,-0.07581862,0.033141565
1978-10-01,0.021745527,0.02418753,0.060701407,-0.07070204,-0.02186181,0.016280066,-0.005698013,0.037909307,-0.047909927
1978-11-01,-0.02500155,-0.00814004,0.00023257136,0.019070935,-0.01209377,0.07186489,-0.019187223,0.0017442942,-0.016861498
1978-12-01,-0.015233499,-0.049770497,0.07535348,0.11058819,0.003256011,0.065236576,-0.027559828,-0.07895835,0.007209742
1979-01-01,0.10856925,0.034504212,-0.04625348,-0.059787463,-0.0141288815,0.06677751,-0.09354803,0.053243555,-0.027365398
1979-02-01,0.046699654,-0.03435548,0.049227975,-0.013682699,-0.021862578,0.041643,-0.0031232238,-0.02959628,-0.048633076
1979-03-01,-0.03896595,-0.0068413494,-0.024390887,0.022754932,-0.0068413494,0.024837077,-0.02111895,-0.050566506,0.06990076
1979-04-01,-0.017698288,-0.08670668,-0.041494273,0.12939075,-0.0063951733,0.011451828,-0.014575076,0.05279739,0.06439793
1979-05-01,0.045956027,-0.17504933,0.13876043,0.17742893,-0.015764851,-0.011303091,0.031083584,0.029893732,-0.05086396
1979-06-01,0.06722369,0.09548144,-0.056069277,-0.0016359806,-0.018144453,-0.022308756,0.060382355,-0.17088504,0.09830723
1979-07-01,-0.040155746,0.04952543,-0.052946102,-0.017698277,-0.014277602,0.15065844,-0.028555203,-0.00044617653,0.007584977
1979-08-01,0.0077337027,-0.09934829,0.052202463,0.08611177,0.016508479,0.05755658,-0.031827163,-0.037776135,0.046997108
1979-09-01,0.038668513,-0.05844891,0.08670668,-0.11273356,0.005205375,0.037329983,-0.036735058,0.029893685,-0.01769827
1979-10-01,-0.015467405,0.115113154,-0.048335623,-0.024242174,-0.009369677,0.006097722,-0.021416401,-0.08194748,-0.01145184
1979-11-01,-0.05190503,0.045509852,-0.07584975,-0.015467405,-0.0023795962,-0.0074362517,-0.0050566494,-0.028257752,0.057854027
1979-12-01,-0.016657203,0.019185519,-0.0025283217,-0.0056515457,-0.019334251,-0.003123212,-0.018888067,-0.059192557,0.01026203
1980-01-01,-0.069527104,-0.048372544,-0.0501242,0.08300135,-0.003638047,0.032607686,-0.011722612,-0.029239118,0.06494586
1980-02-01,0.028565407,-0.039749026,-0.00013474227,0.06292472,-0.005793923,-0.03759315,0.071278766,-0.031529736,0.03638047
1980-03-01,-0.035033047,-0.045677684,0.02937386,0.042578626,0.03664995,0.054166473,-0.007276082,-0.024523128,-0.00013474227
1980-04-01,0.06656279,0.14821671,-0.1871573,-0.3007452,-0.018863952,-0.004176998,0.07478209,-0.106581256,0.15845713
1980-05-01,0.13851526,0.086639404,-0.19497237,-0.26840702,-0.024523115,0.027218008,-0.11102779,0.27244928,-0.008758259
1980-06-01,0.016303837,0.0010779381,-0.018459726,0.03880583,-0.018324971,-0.005120218,0.05443596,-0.07047031,-0.031933974
1980-07-01,-0.004176998,0.10388646,-0.14740826,-0.06710176,-0.022232503,-0.101595804,0.108871914,0.05470543,0.009027744
1980-08-01,0.055513896,0.008623516,0.0672365,-0.02492736,0.016708065,0.0869089,0.030047571,-0.024927353,-0.029778088
1980-09-01,0.025331592,-0.09351127,0.13891949,0.03166448,-0.05335802,-0.048372544,0.01387847,-0.04311757,-0.027756954
1980-10-01,0.052819062,-0.026544273,0.06723647,-0.07666848,-0.033416133,0.0964756,-0.059556164,-0.07249148,0.054974932
1980-11-01,0.051336862,0.0024253726,-0.015630126,-0.042309128,-0.021828283,0.020076632,-0.042578626,0.07276093,-0.05605287
1980-12-01,0.01940291,-0.09175963,-0.008623516,0.075994745,-0.02465787,-0.006332898,-0.012531042,0.049450487,-0.046081923
1981-01-01,0.055379488,0.018318843,-0.040724467,-0.06778002,0.016205216,0.020432662,0.019023513,-0.0372015,0.005072975
1981-02-01,0.03579235,-0.0063411715,-0.099767685,-0.033396818,-0.018177986,0.0063411715,0.042838097,-0.043683626,0.057352256
1981-03-01,-0.037060596,0.03917427,-0.04791107,0.0053546904,-0.0243783,0.017050695,-0.01352787,-0.048897408,0.11428189
1981-04-01,-0.017755222,0.027337456,0.019023513,0.098640345,-0.08088513,-0.052561186,0.010145855,-0.05213852,0.055238582
1981-05-01,-0.017896175,0.37342423,-0.24420539,-0.31466278,-0.022828197,0.07313476,-0.07200756,0.052561186,0.021419048
1981-06-01,-0.08807178,-0.05566139,0.057070542,0.21137218,0.001972866,0.044670008,0.07496667,-0.04396548,0.043119907
1981-07-01,0.015923405,0.0063411715,0.010286713,-0.026210165,0.035933256,0.04720645,-0.10624981,0.053124905,0.01944623
1981-08-01,0.06933012,-0.032551385,0.030437564,-0.06327076,-0.00028181076,0.020291757,-0.017755318,0.024941921,0.017896224
1981-09-01,0.07214832,0.035369683,-0.014091492,-0.004509258,-0.01860075,0.014232445,0.008877659,0.1017405,-0.124991514
1981-10-01,-0.01451416,0.03029666,-0.024660015,-0.068343684,0.020714426,0.015077877,0.016487027,-0.09511747,0.020150756
1981-11-01,0.08525343,-0.0076093674,0.037906073,-0.043119907,0.022123624,-0.0056365966,-0.007891273,0.025787449,0.010286808
1981-12-01,-0.011977768,0.04523363,-0.052561186,-0.0067638396,0.003522873,-0.0014091491,-0.009582234,-0.03804698,0.10892715
1982-01-01,0.05349033,0.01982603,-0.0030604124,-0.03632555,0.0,0.07557841,-0.044575285,0.005455494,-0.012507701
1982-02-01,0.022487212,0.020757437,-0.018362354,0.017963195,0.035394095,0.008782005,-0.020624375,-0.054288696,0.06533275
