,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1977-09-01,-0.010073308,0.0045192568,-0.31643113,0.5232587,-0.3118389,-0.08822391,0.06289748,0.27068424,-0.08483409
1977-10-01,-0.11300649,0.0005727789,-0.31224012,0.5892337,-0.3022707,-0.10320097,0.09578667,0.27011186,-0.017519692
1977-11-01,-0.09481505,0.030587882,-0.20632222,0.679088,-0.6382933,-0.1924494,0.02466265,0.22276153,-0.015838275
1977-12-01,-0.044622693,-0.04568129,-0.25175145,0.49185765,-0.66212004,-0.23801216,-0.09277184,0.1741941,0.031086475
1978-01-01,-0.18061899,0.13146864,-0.2119862,0.4646124,-0.6007274,-0.21075714,-0.02349362,0.15355735,-0.032991093
1978-02-01,-0.23494844,0.10088403,-0.09035028,0.41688836,-0.66632664,-0.24962425,-0.06204451,0.15214849,-0.022889026
1978-03-01,-0.034611978,0.05094946,-0.15472564,0.3620957,-0.43863428,-0.1442322,-0.023033272,0.1283182,-0.102464974
1978-04-01,-0.05914518,0.06731182,-0.16253123,0.22127593,-0.100015745,-0.10833546,-0.018451301,0.19353239,-0.092242315
1978-05-01,-0.04103698,0.04219213,-0.2611528,0.4778804,-0.41084477,-0.06980327,0.14771189,0.2081747,-0.09750369
1978-06-01,0.016473021,0.027413882,-0.2556621,0.042855766,-0.29788312,-0.035745215,0.22551472,0.15291017,-0.030960182
1978-07-01,-0.03130797,0.035772357,-0.36403367,0.41654506,-0.33019936,-0.029302513,0.2349461,0.23129475,-0.057092328
1978-08-01,-0.07629906,0.09127222,-0.3141448,0.46138665,-0.37263027,-0.1227671,0.12770571,0.27595082,-0.034661103
1978-09-01,-0.14024416,0.10424339,-0.25253373,0.56123066,-0.35194364,-0.14897574,0.17700279,0.24479721,-0.032219756
1978-10-01,-0.09874736,0.051094268,-0.21966363,0.59235734,-0.43641585,-0.16871566,0.030857965,0.27376896,-0.078859195
1978-11-01,-0.047652572,0.025675908,-0.2985503,0.51646346,-0.4798668,-0.18410726,0.016517803,0.20216952,-0.03469178
1978-12-01,-0.11916975,-0.034476135,-0.17098199,0.41610882,-0.835715,-0.2923027,-0.07372596,0.23719949,0.07697599
1979-01-01,-0.17721602,0.0247312,-0.08535198,0.43659797,-0.6545898,-0.26818922,-0.036229637,0.15795691,-0.03342416
1979-02-01,-0.07257987,0.057600074,-0.054707322,0.41885766,-0.89417213,-0.27241564,-0.077420704,0.179341,-0.03761669
1979-03-01,-0.18189618,0.1127637,-0.08850135,0.3292239,-0.45818782,-0.18933916,-0.054367043,0.14233723,0.012362729
1979-04-01,-0.089203894,0.09459598,-0.08116051,0.35302514,-0.2665462,-0.09712568,0.06505248,0.12960108,-0.071264066
1979-05-01,0.006306948,-0.030636616,-0.35137177,0.48195317,-0.34333348,-0.021471718,0.12999515,0.17156553,-0.10344148
1979-06-01,-0.0449821,0.12978989,-0.3482922,0.30120662,-0.17936753,-0.0569034,0.16882591,0.21912628,-0.10185464
1979-07-01,-0.18722954,0.054011483,-0.37669364,0.41153365,-0.10256058,0.00039088912,0.1622086,0.25016993,-0.054277062
1979-08-01,0.018858586,-0.07503829,-0.3650528,0.5864806,-0.3975559,-0.0026227753,0.19417001,0.22497222,-0.051639117
1979-09-01,0.0038924385,0.01396103,-0.326134,0.5778942,-0.3971988,-0.085919976,0.12887764,0.20881075,-0.04093862
1979-10-01,0.019663922,0.01799539,-0.25473207,0.44721204,-0.29074618,-0.16873372,0.038672242,0.17069143,-0.0024590322
1979-11-01,-0.16897267,0.057631996,-0.2748558,0.5256958,-0.40550986,-0.1445162,0.0138610685,0.20384161,0.009058712
1979-12-01,-0.16362181,0.047034416,-0.21718645,0.5715212,-0.63946515,-0.22931072,-0.012169913,0.18157427,0.02839927
1980-01-01,-0.13990682,0.09541977,-0.061669733,0.31563133,-0.8532661,-0.2603869,-0.0391807,0.16183461,0.018557489
1980-02-01,-0.13230017,0.09627937,-0.07649429,0.5075166,-1.0167873,-0.20054457,-0.044395786,0.15794922,-0.046195034
1980-03-01,0.057228245,-0.018526752,-0.06841001,0.56431144,-0.5077728,-0.23765957,-0.041897334,0.17537837,-0.1464097
1980-04-01,-0.022168314,0.03399351,-0.14766124,0.26927075,-0.46421564,-0.10928285,-0.0073300567,0.20201872,-0.11423776
1980-05-01,-0.10118137,-0.021851094,-0.25949225,0.48822996,-0.2240665,-0.026104197,0.17418689,0.17313395,-0.04055548
1980-06-01,-0.034031972,0.0067538726,-0.36927748,0.43196642,-0.36827442,-0.022497732,0.1716982,0.24372707,-0.11026526
1980-07-01,-0.02039837,0.06923093,-0.32561338,0.32655847,-0.19211747,-0.07308521,0.18227391,0.21238036,-0.096404985
1980-08-01,-0.11087489,0.070117846,-0.3801875,0.61715,-0.25201595,-0.105890386,0.1695303,0.25726768,-0.026053617
1980-09-01,-0.03222513,0.05237119,-0.3232258,0.5254488,-0.43182036,-0.15126094,0.12080733,0.27706915,-0.0147583885
1980-10-01,-0.08359665,0.120142736,-0.3022617,0.40530443,-0.31458086,-0.1635171,0.05455422,0.24572112,-0.016601276
