,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1986-07-01,43.15273111516779,32.31884724385029,17.596953428244287,36.31367236375809,38.1096221782543,40.34160527967869,30.76294153043539,41.90064579987329,26.94515652126736
1986-08-01,42.91023341092196,31.183899200714382,16.804045665113232,35.09741425514221,36.90503085101092,39.54282918370756,29.510799256881864,40.85000250950333,25.460213555230034
1986-09-01,43.09483152447324,31.36774870726439,16.945037358923802,35.08756160736084,36.942395457515005,39.81397241578066,29.891993267701405,40.97584180595461,25.61481263902452
1986-10-01,43.682426394838274,32.29148452346389,17.568483231942864,35.811467468738556,38.2192470409252,40.40066998704035,31.315998983855295,41.42536131803654,26.362938351101345
1986-11-01,44.16636987165971,33.52803754376935,18.692274938655803,36.784231662750244,39.2845489360668,41.56747115285773,32.689098320385014,42.54926886440309,28.639049530029297
1986-12-01,44.44483699220599,36.327891306834175,20.449619051776352,38.08532953262329,41.45341979132758,42.43334289780236,35.36521798313254,43.68412080875113,32.00246810913086
1987-01-01,44.487170017126836,39.77758218576242,22.691033761712568,39.760586619377136,44.30502785576714,43.094559002639656,39.26186703219272,44.76616284078803,35.476154751247826
1987-02-01,44.209402257745914,41.89406214533625,24.04805195482471,41.18531197309494,46.44861044707121,42.97099005907101,41.30347601257928,45.123112891331196,38.14526875813802
1987-03-01,44.47627501054244,41.028581224046306,23.427564886551867,41.75581783056259,46.28524427060727,43.440706927077215,40.04894483207476,46.10905450237684,37.43816375732422
1987-04-01,44.40758300550056,39.562936731286946,22.152446795113477,40.89697450399399,44.64292702851472,42.85293521737694,37.702016547174736,45.36937524464505,35.16752454969618
1987-05-01,43.94483421788071,36.89961304535736,20.409593702871586,39.748936891555786,42.12023417154948,42.21611596587905,35.007221864001586,44.6083793955401,31.88979042900933
1987-06-01,43.65413550174598,34.604440293870525,18.707677382457106,38.00047188997269,40.39956905223705,41.37712349568991,32.686943582969135,43.266599040386104,28.724305894639755
1987-07-01,43.12470898483738,32.738307574847795,17.500992062725597,36.64417564868927,38.579218475906934,40.49714310724932,30.953728326476448,42.070825434913324,26.66179656982422
1987-08-01,42.49219027432528,31.510057535257424,16.78931562206413,35.63244044780731,37.47607690316659,39.80769967674313,29.981051341141804,41.321254761751035,25.516815185546875
1987-09-01,43.12533031810413,31.572462202192423,16.79236737987663,35.71663945913315,37.53324614630805,39.986924479778544,29.91668493440836,41.27508273794631,25.592572953965927
