,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1983-05-01,1021.09106,1009.12744,1010.27783,1020.34106,1013.19867,1013.59
1983-06-01,1016.9023,1005.9161,1009.826,1012.71735,1010.2559,1011.89026
1983-07-01,1017.58417,1004.71436,1009.66406,1018.2544,1008.32416,1011.5059
1983-08-01,1015.42224,1007.0466,1010.4076,1016.4511,1009.3961,1008.43274
1983-09-01,1013.8465,1010.576,1009.5985,1013.47375,1012.5965,1010.6209
1983-10-01,1018.2358,1018.5095,1009.10175,1020.3167,1016.2821,1011.6357
1983-11-01,1017.27954,1024.4554,1009.2104,1012.8619,1015.1318,1011.0657
1983-12-01,1015.3811,1027.1038,1008.93854,1009.59595,1013.8284,1015.2622
1984-01-01,1012.05493,1026.2651,1008.5387,1002.31616,1012.97656,1015.51385
1984-02-01,1014.2059,1025.252,1007.8234,1006.65674,1013.4506,1015.0005
1984-03-01,1016.48834,1018.342,1009.54095,1006.5432,1015.0372,1015.33453
1984-04-01,1018.31805,1013.66797,1009.1733,1020.2103,1018.1781,1012.4219
1984-05-01,1015.8259,1009.9776,1008.94366,1016.08655,1012.89984,1011.0798
1984-06-01,1016.3709,1003.68414,1009.4867,1019.5531,1011.9808,1009.6596
1984-07-01,1011.9014,1003.56354,1008.8953,1016.0072,1008.30133,1008.0214
1984-08-01,1012.9631,1004.11945,1009.4416,1011.468,1011.9369,1006.6431
1984-09-01,1012.15814,1012.16583,1009.6428,1014.15814,1012.64185,1010.0994
1984-10-01,1016.2942,1018.4509,1008.6793,1016.77924,1014.49927,1008.7947
1984-11-01,1016.91656,1022.1671,1008.56836,1018.0008,1019.78076,1012.52185
1984-12-01,1015.8273,1025.7653,1006.3562,1013.58344,1015.16876,1012.57025
1985-01-01,1014.34705,1025.8079,1008.47845,1002.5318,1016.1166,1014.51556
1985-02-01,1014.49646,1018.7039,1006.54974,1008.5963,1011.955,1013.61975
1985-03-01,1021.7404,1023.283,1007.8733,1021.8416,1020.2204,1015.15045
1985-04-01,1017.16187,1012.5733,1007.9691,1022.50696,1015.03314,1010.5946
1985-05-01,1017.4288,1008.806,1007.8161,1017.7015,1014.5775,1010.55646
1985-06-01,1015.61444,1004.1429,1008.93164,1012.68823,1010.5607,1008.4242
1985-07-01,1014.9271,1004.2519,1009.8668,1016.66815,1009.1181,1009.7542
1985-08-01,1016.0838,1003.3847,1009.5398,1016.7414,1014.25885,1006.5849
1985-09-01,1015.1118,1013.4607,1009.4004,1015.1731,1014.288,1010.84656
1985-10-01,1016.44244,1017.91235,1009.5672,1019.7939,1017.094,1012.21893
1985-11-01,1017.76166,1021.7368,1008.21814,1016.17914,1014.1605,1013.26953
1985-12-01,1017.27856,1026.4851,1008.454,1008.261,1015.1863,1013.05634
