,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1985-04-01,-1.1123462e-05,-7.89747e-07,-3.822468e-06,-1.4985642e-05,-6.0602833e-06,2.5108238e-06,0.00014366624,6.90006e-06,-1.446723e-05,-5.377711e-06,-5.213544e-06,6.0460836e-05
1985-05-01,-1.0181677e-05,1.4365214e-05,-4.614194e-07,-1.6921054e-05,-3.329973e-06,4.3684704e-06,8.86107e-05,3.3143588e-06,-2.7583097e-05,-3.2954122e-06,-7.926574e-06,4.7958427e-05
1985-06-01,-1.7660932e-06,1.3121025e-05,4.7172944e-07,-8.643714e-06,4.835041e-06,4.61904e-06,6.1540864e-05,5.1633688e-06,-1.1235781e-05,-3.1139716e-06,-5.585076e-06,2.4664369e-05
1985-07-01,-3.7015052e-06,1.3587596e-05,-4.4618428e-06,-4.911133e-06,-3.4336554e-06,5.0337694e-06,3.572386e-05,1.2839082e-06,-4.3235996e-06,-2.9065995e-06,-6.3799744e-06,4.0666073e-05
1985-08-01,5.4312186e-06,1.4676261e-05,1.3357494e-06,-9.257172e-06,3.07562e-07,5.016489e-06,-8.194424e-06,5.362097e-06,-2.0080188e-06,-3.6583006e-06,-5.662834e-06,4.5349076e-05
1985-09-01,6.3038824e-06,1.8391562e-05,-2.3622706e-06,-6.129405e-06,-2.540546e-07,1.2861812e-05,6.06682e-05,5.794107e-06,-1.0449519e-05,-6.45774e-06,-2.578272e-06,4.286933e-05
1985-10-01,-4.5914494e-06,7.643117e-06,-3.3213364e-06,-7.313116e-06,-3.3818142e-06,7.072864e-06,7.497642e-05,1.0678996e-06,-4.9629743e-06,-1.973458e-06,-5.49003e-06,4.693024e-05
1985-11-01,-8.349947e-06,8.861389e-06,2.7181886e-06,-7.148956e-06,-6.0862076e-06,3.996938e-06,0.00016330549,2.1220112e-06,-1.5668222e-05,-3.7792634e-06,-9.309013e-06,4.3698794e-05
1985-12-01,-1.33008e-05,7.288865e-06,3.1761156e-06,-1.5927428e-05,1.573901e-05,6.4421256e-06,0.00018658226,4.817761e-06,-9.594143e-06,-9.798314e-07,6.790942e-07,4.7690577e-05
1986-01-01,-1.8296727e-05,2.1973392e-09,2.2676977e-06,-2.558306e-05,5.7140496e-06,1.16533265e-05,0.00023007707,4.174559e-06,-1.4955338e-05,2.2064633e-06,8.793031e-06,4.909965e-05
