,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1986-04-01,101604.72,101086.89,101453.25,101531.11,101825.75,100929.09,101424.39,102074.63,100913.52,102308.64,101279.375,101130.76
1986-05-01,101505.54,101139.05,100839.47,101520.414,101867.72,100705.09,101565.8,102106.53,100948.086,101981.46,101529.46,101207.664
1986-06-01,101659.22,101288.37,100444.12,101445.28,102095.266,100079.15,101832.27,102225.72,100852.125,102255.47,101696.12,100963.84
1986-07-01,101966.46,101495.28,100558.56,101429.33,101897.66,100370.19,102114.445,102222.305,101040.81,102200.336,101901.33,100986.945
1986-08-01,101769.29,101298.05,100569.32,101266.336,101885.57,100508.555,101928.164,101961.46,100942.07,101899.555,101756.57,100980.305
1986-09-01,101736.0,101345.52,101286.72,101217.34,102139.01,100900.36,101942.59,101952.28,101062.78,101639.16,101677.13,101167.73
1986-10-01,101828.914,101214.44,102022.664,101345.08,102139.95,101196.97,101859.3,101987.09,101095.06,101789.67,101382.55,101492.94
1986-11-01,101756.63,101052.27,102462.516,101328.75,101979.12,101366.03,101707.39,102108.75,101053.16,101970.51,101252.6,101722.9
1986-12-01,101808.73,101160.0,102571.26,101429.64,101857.78,101620.734,101639.28,102213.51,101112.84,101213.11,101148.1,102139.13
1987-01-01,101712.59,101183.1,102625.65,101477.6,101862.266,101711.125,101604.15,101869.97,101129.766,101528.125,101151.72,102000.37
1987-02-01,101509.96,101190.195,102383.93,101316.195,101614.67,101615.164,101512.95,102107.28,101211.78,101077.04,101138.45,101626.414
1987-03-01,101468.0,101074.23,101747.88,101542.13,101670.02,101297.35,101433.016,101835.35,101057.9,101742.99,101020.52,101348.98
1987-04-01,101652.41,101105.3,101507.2,101592.29,101808.07,101086.22,101594.305,101972.17,101033.555,102426.68,101292.83,101514.79
1987-05-01,101638.83,101128.42,101090.68,101388.8,101978.53,100938.69,101556.08,101930.03,101027.195,102680.82,101455.46,101089.21
1987-06-01,101713.39,101334.36,100649.38,101527.516,102100.74,100181.36,101959.39,102199.766,100968.35,102340.99,101770.516,101181.75
1987-07-01,101746.36,101213.01,100386.375,101386.66,101642.26,100354.76,101856.516,102102.88,101064.87,101931.99,101759.266,100852.38
1987-08-01,101823.24,101263.53,100678.5,101344.51,101997.984,100426.75,101885.625,101936.02,101033.37,101884.77,101744.766,100890.86
1987-09-01,101750.336,101271.055,101347.2,101398.336,102165.94,100843.086,102018.54,101830.58,101049.21,102212.55,101566.17,101219.555
1987-10-01,101933.82,101097.71,101695.59,101407.445,102107.96,101112.21,101764.22,101913.21,101007.195,102062.94,101413.93,101482.805
1987-11-01,101795.05,101077.59,102280.44,101451.305,102068.94,101286.28,101729.414,101546.414,100981.08,102010.95,101279.8,101668.555
1987-12-01,101736.39,101110.375,102754.766,101495.65,102003.86,101592.65,101614.37,102025.14,101087.99,102046.484,101176.125,102018.35
1988-01-01,101974.1,101139.48,102534.62,101516.09,101934.89,101536.4,101471.99,102364.25,100970.016,101450.37,101006.5,101946.61
1988-02-01,101768.75,101001.49,102605.0,101528.0,101696.25,101396.72,101257.41,101837.26,100999.25,100856.98,101022.63,101661.39
1988-03-01,101700.6,101153.61,101988.78,101708.88,101845.59,101171.49,101392.61,101985.76,100834.14,101950.78,101069.875,101505.766
