,mgu500GLB_cluster1,mgu500GLB_cluster2,mgu500GLB_cluster3,mgu500GLB_cluster4,mgu500GLB_cluster5,mgu500GLB_cluster6,mgu500GLB_cluster7,mgu500GLB_cluster8,mgu500GLB_cluster9,mgu500GLB_cluster10,mgu500GLB_cluster11,mgu500GLB_cluster12
1970-09-01,-2.259671,1.0366532,0.18237153,0.016972352,0.37971765,1.7265348,-0.82399786,-0.85694426,-0.4020153,0.2579155,0.16672973,0.38870353
1970-10-01,-0.6469513,1.2616218,-0.023628235,-0.17804451,1.7897657,0.36341095,-1.2659483,-0.6013584,0.7744114,0.075876996,-0.15541497,0.23994446
1970-11-01,-0.946133,1.0679357,0.5537693,0.010316849,1.6020699,-0.80303156,-0.7890543,-0.79138374,1.4962413,-0.040267944,-0.020300293,-0.38670653
1970-12-01,0.15608025,0.078539275,1.1604522,0.08020325,2.372155,-0.79471207,-1.1707691,0.11714325,2.1678195,0.26490402,-1.097887,-0.891555
1971-01-01,-0.8867779,-1.1853101,1.3362099,0.13750763,1.7794354,-1.3545005,-1.0321248,0.189114,3.0317032,-0.06467094,-0.61731565,-0.1440403
1971-02-01,-0.75776255,-0.85509604,1.862724,0.34229964,1.2424692,-1.6033863,-1.2633731,0.2763222,2.343511,0.08394203,-0.40762407,-1.1732254
1971-03-01,0.5650555,-0.20871124,0.8962501,0.2312481,1.47731,-1.7660439,-1.1039814,-0.33642045,2.2883122,0.14502029,-0.52782094,-0.018617248
1971-04-01,-0.6718609,0.6133957,1.4253776,-0.07381668,0.9654938,0.3876999,-0.9432837,-0.73783875,1.3384956,0.3612438,0.11007156,-0.45661736
1971-05-01,-2.2563033,0.67839354,0.64769095,-0.17833558,1.1451361,-0.26456374,-0.26423702,-0.7326126,1.0625007,0.56995505,-0.00065345765,0.23778076
1971-06-01,-1.7343613,0.9230331,0.07544975,-0.14273377,0.4500847,-1.458366,-0.5196554,-0.90376246,0.00032653808,0.15318528,0.085574724,0.9965229
1971-07-01,-2.191632,0.7486172,-0.10713196,-0.19564667,0.37398225,0.34589252,0.08002205,-0.82406694,-0.57256776,0.08492203,0.048013307,0.8168812
1971-08-01,-1.9950054,1.04127,-0.48568648,-0.2802414,0.6160084,1.3071401,0.0163311,-0.97888565,0.42558783,0.32139587,0.13652802,0.6859058
1971-09-01,-1.5560261,0.8988632,-0.091780856,-0.35144538,0.25476494,1.0709928,-0.46968213,-0.8916775,0.11497116,0.18192863,0.25672454,0.852483
1971-10-01,-0.68884504,1.4570595,-0.031355668,-0.3540581,1.3705047,-0.74437106,-0.31355706,-0.5356598,0.6440979,0.2812214,-0.19140014,0.15318565
1971-11-01,-1.4025139,0.55917645,0.44224587,-0.24039344,1.7559187,-0.66271555,-0.46510926,-0.0326622,1.7170506,-0.2286354,-0.31421012,-0.25215188
1971-12-01,-0.015677642,0.6336462,1.5978336,0.7420845,1.5390418,-0.37006265,-0.7884647,0.041807555,2.732191,-0.13685456,-1.6879814,-0.12052345
1972-01-01,0.15694389,0.14977074,1.6985495,-0.006599045,1.4211006,-0.4369747,-0.70352095,0.13800697,2.2976322,0.21031037,-1.4360203,-0.91383094
1972-02-01,0.014919663,-1.2251362,1.471311,0.036151506,1.1077869,-1.0191295,-0.94166183,0.34602204,2.6396377,0.065703966,-0.44156533,-0.7723808
1972-03-01,-0.734795,-0.21805687,1.8612314,0.15120545,0.24847011,-1.5880864,-1.1404957,-0.5985092,1.6704314,0.23269005,-0.51386833,-0.39938888
1972-04-01,-0.047628023,-0.97064054,1.2581314,0.10070763,1.4368808,-0.04074211,-0.3207735,-0.6564663,1.654364,-0.24187088,-0.0017215728,-0.18334007
1972-05-01,-1.1950098,0.38733807,0.6980694,-0.29954147,1.1522592,-0.5632181,-0.60281295,-0.25219995,0.85357857,0.20256348,0.002008438,0.04160271
1972-06-01,-1.6061621,2.0462928,-0.07832833,-0.39680633,0.65818787,-0.3985277,-0.838085,-0.28203964,-0.3101574,0.19079971,0.08636208,0.70208627
