,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8,r700GLB_cluster9,r700GLB_cluster10,r700GLB_cluster11,r700GLB_cluster12
1991-06-01,47.947594,55.59616,39.92979,16.120342,40.922127,69.35368,52.866413,22.36612,64.99037,32.477386,31.888908,59.417145
1991-07-01,47.48934,55.447803,32.02408,18.025887,38.734703,74.98626,41.250156,18.808876,70.77955,29.849842,32.48233,68.62015
1991-08-01,53.82908,56.159912,26.04699,14.193363,45.552475,73.82249,44.070564,22.039734,69.04214,29.70808,37.053337,73.98403
1991-09-01,50.458107,54.18513,35.23021,19.313286,33.435104,67.91134,59.21439,19.835827,64.9129,40.71278,36.624756,54.966473
1991-10-01,48.554207,45.076088,47.7877,16.257156,34.98295,67.60309,60.24629,29.93391,65.55578,34.38788,30.350954,59.07098
1991-11-01,27.891546,45.303566,37.481922,13.899948,38.24678,67.39868,72.17244,25.404114,70.158104,56.970924,28.455297,51.52132
1991-12-01,22.184795,41.04411,39.5622,16.817612,34.709316,73.30984,73.72194,28.89542,58.738007,62.2392,21.72654,35.546703
1992-01-01,34.569954,39.437523,33.459126,12.578461,45.579468,71.35847,70.58121,23.915066,55.887825,61.367485,20.143753,29.85298
1992-02-01,24.509342,43.14892,45.171406,15.454308,33.69554,73.18502,60.29066,40.676273,52.53753,60.483353,31.022102,26.049282
1992-03-01,41.105385,52.64278,38.62464,23.795238,41.868065,81.433655,69.61288,42.25184,57.08286,60.459064,24.412186,41.058426
1992-04-01,33.71821,54.13576,37.130043,17.207993,41.937695,74.89012,71.1933,30.50555,64.44898,54.86282,23.2042,54.262066
1992-05-01,34.987732,53.30507,32.986294,13.854454,41.150723,72.82068,61.042007,25.926216,65.96625,40.195347,25.660654,61.19422
1992-06-01,54.90654,52.809566,28.955896,18.958439,40.09009,74.12421,62.69206,20.291107,69.93188,33.303673,19.585102,61.770683
1992-07-01,45.18598,51.862286,20.271675,15.222748,35.368263,72.678185,60.6048,23.016363,69.96588,21.418129,31.268234,66.71598
1992-08-01,48.85204,52.887295,37.285492,8.297073,32.175034,73.51697,32.937714,25.259071,73.44411,20.488663,34.35621,74.34442
1992-09-01,52.6946,42.340897,26.418478,13.97752,39.42133,67.6244,43.87436,24.224348,67.25196,31.572659,36.446705,62.964096
1992-10-01,40.179153,40.673035,42.486633,13.197025,36.560055,70.62817,54.39161,27.739815,68.3045,37.165665,22.75404,59.65266
1992-11-01,23.792,52.03717,39.78405,17.240376,38.51453,71.683945,73.63194,18.88557,70.30269,53.651596,19.212666,60.460686
1992-12-01,29.19555,39.019745,37.32274,16.388634,32.88266,69.67765,73.65785,28.560791,70.33832,61.819263,21.5331,36.07103
1993-01-01,25.896555,46.455574,39.621662,16.64412,30.679499,75.39032,68.36706,35.031246,63.415455,54.828114,14.623383,39.059994
1993-02-01,31.478247,41.441917,42.39819,12.363976,27.834555,69.326515,66.11401,37.26997,53.45974,55.049282,24.143127,27.08195
1993-03-01,36.035248,56.093063,40.442688,27.49246,44.873993,73.13568,69.36948,38.598564,58.059704,63.650944,21.118383,36.767174
1993-04-01,28.058903,50.26952,44.92968,20.820843,40.119686,74.56452,69.17217,27.39222,63.2102,48.632244,21.87099,50.166096
1993-05-01,31.22844,54.73901,31.293676,23.812172,36.856274,74.65521,67.91359,42.659134,64.11714,46.272594,22.903635,61.992985
1993-06-01,47.510498,47.434124,30.281715,16.87165,31.476656,73.2407,45.1954,24.209955,68.18408,24.690477,22.184443,62.77423
1993-07-01,48.945698,52.993538,36.332794,17.797691,36.12435,76.00449,48.40153,18.130238,69.409256,26.976934,24.870274,67.54762
1993-08-01,49.14618,51.291027,33.543537,13.348885,32.79093,68.57868,55.58072,15.294838,68.39252,38.50628,31.58008,67.99951
1993-09-01,44.05774,44.609863,28.961075,18.063412,34.743248,70.04093,60.30161,18.688725,62.809235,37.38771,30.033499,59.72244
1993-10-01,48.10558,44.646458,38.11486,12.449894,34.407524,73.40777,65.36618,28.914932,64.6279,46.27737,28.961075,59.534683
1993-11-01,40.30426,39.42277,43.551758,14.11422,26.39617,68.320915,71.55092,23.034107,70.75853,58.987335,28.154371,57.833763
1993-12-01,27.110588,45.101524,44.380737,16.459549,38.514236,72.753815,74.885925,31.097967,65.78943,63.445686,11.369514,46.776985
1994-01-01,28.04941,48.509285,46.223248,16.81107,37.733635,74.985725,71.253586,19.614609,58.65942,51.07745,20.456154,41.63666
1994-02-01,40.64035,36.05699,48.509285,16.686935,37.34349,72.120926,62.485065,37.375732,49.086437,52.781498,10.049686,34.12079
1994-03-01,27.92205,53.00559,45.66544,14.312229,42.82321,68.775696,66.586395,31.118956,48.928444,63.45881,27.204641,26.506577
1994-04-01,30.536968,42.915104,41.738228,26.068071,34.093384,73.634735,69.781685,26.348585,65.08547,63.329834,20.327183,56.067074
1994-05-01,52.231754,36.51323,36.07795,15.743824,30.564375,72.04515,62.941307,24.981478,67.70039,42.969917,20.594799,61.55969
1994-06-01,60.758446,61.18567,35.1429,12.242218,40.193783,75.44519,49.444336,19.63073,69.03203,36.964634,19.97573,62.501186
1994-07-01,58.351498,61.050247,24.604233,12.118084,36.40683,71.43092,41.947807,11.792427,70.699005,18.676334,28.45245,69.10297
1994-08-01,49.437885,45.23016,34.314247,14.054283,32.502186,75.37264,51.095184,14.578232,70.84893,32.716602,35.229954,76.32865
1994-09-01,42.902206,36.3633,31.783165,13.0354,37.299965,65.133835,53.078136,24.4672,67.85838,29.576122,42.042927,67.55369
1994-10-01,41.678577,38.162468,35.460495,14.747509,29.435865,66.326836,63.105747,20.502907,67.27801,45.547752,52.002827,56.84897
1994-11-01,40.45334,31.1512,34.054695,18.033085,37.69333,73.21074,75.7918,30.888418,72.61263,57.079506,28.765207,51.66911
1994-12-01,34.714066,37.001713,36.943676,16.738522,30.78524,72.48366,77.745735,28.376678,72.79803,73.08822,12.205139,38.26403
1995-01-01,29.563745,45.87806,39.835663,17.35659,33.73691,77.32493,74.66518,50.207397,53.955517,64.391655,9.074657,36.14228
1995-02-01,28.448004,50.861065,41.237988,22.096483,40.302567,66.67144,68.38611,23.019022,58.383068,56.684498,15.905964,39.449257
1995-03-01,28.842459,40.073944,48.58772,19.94389,29.584677,75.12081,65.5396,44.2133,59.902924,59.717773,27.659094,40.77269
1995-04-01,30.987001,45.14067,37.35462,12.454086,46.420635,76.11259,67.8226,31.874123,61.20543,67.71312,25.780203,50.603462
1995-05-01,41.59058,47.20793,41.885212,22.081993,36.20668,69.563034,65.67645,24.764282,65.65874,57.011333,24.084854,58.292908
1995-06-01,58.081993,58.236557,27.522243,16.374477,44.100597,73.61062,50.241207,20.489685,67.3396,25.065355,25.157127,64.079315
1995-07-01,52.368042,51.794872,27.140669,15.802921,45.81688,66.410614,40.426537,22.629398,70.97502,24.451939,28.689507,69.35373
1995-08-01,42.696663,54.597916,31.246214,14.68718,30.74067,67.99004,61.062138,15.878593,66.04675,43.30042,32.279846,71.40489
1995-09-01,49.58915,45.502922,36.1294,15.183067,38.94854,72.673584,48.462135,21.151402,67.738884,33.83834,31.919203,64.91974
1995-10-01,38.05337,38.628147,42.181458,15.674122,39.532978,68.98665,49.67609,22.160883,68.68557,39.357483,34.693264,58.986824
1995-11-01,35.190758,46.84246,44.53047,13.76947,35.857307,72.11974,70.86554,22.035301,68.23959,51.334408,17.094158,49.62779
1995-12-01,30.141743,40.928864,49.476448,13.602028,31.595589,70.07502,69.8963,32.787003,62.807396,56.17412,30.172333,36.20829
1996-01-01,24.083862,52.989674,42.300537,21.09961,34.73753,69.54413,69.281334,32.099907,49.408894,69.85368,13.697826,26.587667
1996-02-01,28.241823,48.844612,49.944157,13.5494995,48.88814,73.09589,66.21486,36.454563,52.515675,66.37125,14.502335,28.985065
1996-03-01,27.363153,49.72973,36.515827,20.351532,29.033432,67.42404,71.066086,34.568245,61.152435,63.564342,21.281792,39.614548
1996-04-01,23.845251,42.282803,43.41943,20.707836,29.67349,77.24418,69.30391,26.735994,63.94322,66.70659,26.278118,54.077934
1996-05-01,40.115955,48.13845,38.958366,20.509533,31.795197,73.566666,67.59171,30.569895,63.98191,44.452873,20.877121,62.197163
1996-06-01,41.341255,48.162636,24.569147,14.678066,40.37875,71.58522,43.743492,22.382952,71.099945,19.782413,32.149887,61.69737
1996-07-01,49.37181,45.79103,34.958405,17.780014,37.695984,68.82991,50.397194,19.203617,71.23376,20.412796,27.97258,66.289024
1996-08-01,50.938908,52.081985,26.536076,19.488983,36.817314,66.26645,51.124313,22.495808,66.32933,32.896355,30.685976,67.70457
1996-09-01,50.887314,49.173508,32.728683,22.895643,41.953907,70.397,54.37781,20.831978,67.773895,35.325996,28.272457,64.483315
