,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8,zgu200_cluster9
1974-03-01,-0.006903076,-0.80075073,0.23207322,0.52200013,0.27743608,0.15186653,-0.42634392,-0.81324214,0.07264614
1974-04-01,-0.21497993,0.19624329,-0.16501503,0.19098377,-0.11570816,0.062784575,0.22714233,0.39544487,-0.1617279
1974-05-01,-0.26132888,-1.0725987,-0.32411346,0.45034027,0.22056809,-0.0364872,-0.25245363,0.19525719,0.49800414
1974-06-01,-0.38887024,-0.15186653,-0.2744774,0.22944336,0.34054908,-0.28828353,0.33298874,-0.4365341,0.35468444
1974-07-01,0.20084533,0.17619172,0.3767082,0.094012454,0.08119278,-0.9506451,0.31293717,0.26494446,0.24620819
1974-08-01,-0.2918991,-0.2738205,0.3336464,0.086452104,0.0782341,-0.1853958,0.24883728,0.05325241,0.37079087
1974-09-01,-0.19229813,-0.25311127,-0.14923629,0.42042714,0.17257538,-0.33726197,0.32214126,-0.21432266,0.81948775
1974-10-01,-1.0390701,-0.32115555,0.15219498,0.11833763,-0.10814743,0.18966866,0.17717819,-0.7330357,0.8618919
1974-11-01,-0.8247471,0.054566957,-0.06640053,0.24686547,-0.26987535,0.4993187,0.110119626,-0.35435563,0.46644706
1974-12-01,0.25902787,0.49997634,0.18342324,0.38985634,-0.082178496,0.42272797,-0.3297016,-0.13871804,-0.54566765
1975-01-01,-0.11495896,0.28977203,0.36704445,0.036102675,-0.062071227,0.4357666,-0.15929528,-0.18336411,-0.10197449
1975-02-01,0.45666808,-0.30782357,0.22421722,0.3838295,-0.1618286,0.26190338,-0.45635146,-0.17259674,0.08835678
1975-03-01,-0.2372013,0.16436234,0.43133277,-0.001266861,0.150111,-0.09532394,0.053837202,-0.13395996,-0.5852448
1975-04-01,-0.1966652,-0.42658234,0.2641201,0.331892,-0.12667656,-0.06238823,0.2159832,0.028818894,-0.26095313
1975-05-01,-0.28470498,-0.17449722,0.081073,0.15042838,0.15359536,-0.20774917,0.3223915,-0.0794899,0.048770905
1975-06-01,-0.38446197,-0.89433444,-0.40378037,0.4414671,0.39238015,-0.35596046,0.089624025,0.09785767,0.48643646
1975-07-01,0.15644531,0.15549545,0.30782318,0.061121177,-0.0066505433,-0.5836609,0.23308411,-0.2562027,0.27235413
1975-08-01,0.34456024,-0.5431244,0.0734726,0.21249962,0.09279022,-0.7116043,0.53457415,0.08930664,0.37211227
1975-09-01,0.21281585,0.24543533,-0.056370545,-0.15074483,0.35976067,-0.64509964,0.26253662,-0.13237648,0.6599838
1975-10-01,-0.4994213,0.40409738,-0.22865066,0.1098917,0.24416885,-0.7717754,0.09500732,-0.19983216,0.28280526
1975-11-01,-0.13332672,0.28470498,0.15327835,0.23846817,0.15992889,-0.74675673,0.21091613,-0.5855614,0.32619172
1975-12-01,0.19286461,-0.08582306,-0.20933266,0.21915016,0.16119576,0.08518982,-0.3949135,-0.2660202,-0.46616897
1976-01-01,0.14734192,-0.514352,0.75554883,0.07938995,0.3320244,0.08880921,-0.4379894,-0.3178955,0.09688225
1976-02-01,0.23951492,-0.3542263,0.3104946,-0.04541397,-0.2223587,0.012110138,-0.4248703,-0.6886059,0.73637426
1976-03-01,-0.27382773,-0.43866235,-0.03868561,0.29468423,-0.04978714,0.085444644,-0.25397986,-0.15339737,0.03834915
1976-04-01,-0.41376916,-0.22303161,-0.42554283,-0.13321343,-0.018165207,0.5261257,-0.45918235,-0.36700973,0.40468597
1976-05-01,-0.38282052,-0.35557213,0.21327591,0.22538623,-0.14431457,0.34884414,-0.27685508,0.1745903,-0.0010093689
1976-06-01,-0.027248383,-0.28291017,0.0023548126,0.0403677,-0.026239013,-0.44370842,0.37912026,0.014128876,0.049114227
1976-07-01,0.19578323,-0.11168365,-0.082417294,-0.04373169,-0.025229644,-0.44438094,0.43294373,-0.031285096,0.34951705
1976-08-01,0.028930664,-0.069970705,0.244561,0.119421005,-0.051132202,-0.8712696,0.368692,0.4605282,-0.13455887
1976-09-01,-0.91096437,0.06694336,0.02926674,-0.02657547,0.0013454438,-0.0030277253,-0.054496385,-0.35523605,0.7646313
1976-10-01,-0.49147683,-0.07770805,0.2987213,-0.22134972,0.2586895,-0.16449833,-0.108319856,-0.46254653,0.56649363
1976-11-01,0.11403885,-0.03666725,0.10495605,-0.24523373,0.080062486,0.008746338,0.095200345,-0.47701186,-0.098228455
1976-12-01,-0.013455582,0.2930023,0.22942352,0.14599648,-0.23951492,-0.0016819,-0.11740303,0.123794176,-0.20082931
1977-01-01,0.08598099,-0.31951103,0.56542474,0.2781128,0.11853409,-0.15780945,-0.36267853,-0.3269413,-0.2809433
1977-02-01,0.107565306,-0.12773362,0.19814643,-0.20557709,0.012738037,0.31031114,0.026891327,-0.27846605,0.47590485
1977-03-01,0.18257752,-0.46387482,1.1046658,0.26042098,-0.11782608,0.44335213,-0.31526488,0.03821411,-0.21194573
1977-04-01,-0.23034516,0.2586519,0.0028308867,-0.5590557,-0.109334186,0.30075797,0.022291183,-0.41823044,0.07218208
1977-05-01,-0.23671417,-0.101903535,-0.10473442,0.021229934,-0.09270401,-0.0435215,0.2112381,-0.11004181,-0.18682328
