,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9
1973-09-01,0.65771484,-10.90863,-5.2368774,-13.391144,-3.1130981,-12.194061,-1.5776672,2.6460571,-8.100433
1973-10-01,1.3192139,-9.838928,-5.5049744,-13.284027,-2.8516235,-11.347626,-1.1404724,2.5429688,-7.5049744
1973-11-01,2.1333923,-8.684937,-5.1636353,-12.677124,-2.3835754,-10.759186,-0.5054321,2.973175,-6.4791565
1973-12-01,3.0049438,-6.8439636,-3.8299255,-11.080322,-1.1309204,-8.863373,1.1355286,2.7704773,-4.9318542
1974-01-01,3.1943665,-5.009674,-2.724823,-9.974915,-0.43850708,-6.8780212,1.8444214,2.1454468,-2.8839111
1974-02-01,3.0686035,-3.776184,-2.2876892,-9.620026,-0.5241394,-6.0679016,1.7597656,1.7969666,-2.3356628
1974-03-01,2.9557495,-4.7989807,-2.86557,-10.101929,-0.33206177,-6.7695923,1.6493225,2.581787,-2.5978394
1974-04-01,2.8997498,-5.832947,-3.3581543,-11.65033,-0.70376587,-8.223541,1.2913513,2.7259827,-4.128601
1974-05-01,2.057495,-7.564575,-3.4936218,-12.576294,-1.2572021,-9.758881,0.5484619,2.8680725,-5.3428345
1974-06-01,1.9055481,-8.741974,-4.2417603,-12.59021,-1.8619385,-10.611755,-0.3920288,3.185028,-6.1967163
1974-07-01,0.7555847,-9.549286,-4.49646,-13.458221,-2.965393,-11.187073,-1.1783142,3.035553,-7.008423
1974-08-01,0.07336426,-9.935394,-5.0710144,-13.086609,-3.5810547,-11.353394,-1.8532104,2.8927307,-7.4713745
1974-09-01,0.2732849,-10.091309,-5.730591,-13.163239,-3.7315674,-11.754059,-1.8206787,2.8376465,-7.364441
1974-10-01,0.96343994,-10.036499,-5.345398,-13.902863,-3.1187744,-11.336548,-1.2298889,2.6384277,-6.4310303
1974-11-01,1.8366089,-8.647919,-4.410553,-12.85202,-2.246582,-10.933777,-0.545166,2.7166748,-5.647949
1974-12-01,2.840332,-6.9104614,-2.8468628,-11.916321,-0.16357422,-9.419037,1.1775818,2.7977295,-5.130249
1975-01-01,3.191742,-5.074524,-1.7106018,-10.106049,0.7532959,-7.6614685,2.2582092,2.9526978,-3.6832275
1975-02-01,3.09198,-5.134674,-1.1988525,-9.997864,0.6893616,-6.955017,2.4210815,2.6671753,-3.6387024
1975-03-01,2.8121033,-6.211334,-1.4933472,-10.282471,0.55563354,-7.586151,2.1209106,3.0874329,-4.3353577
1975-04-01,3.1942139,-7.4533997,-2.7707825,-11.052124,0.16882324,-8.963043,2.141449,3.1102905,-5.402527
1975-05-01,2.7755432,-8.421814,-2.9627075,-12.044128,-0.8858948,-10.466583,1.6845703,2.8156128,-6.1054993
1975-06-01,1.7017212,-8.877563,-3.640503,-12.609222,-1.6353455,-11.142029,0.4046936,2.8487854,-6.401886
1975-07-01,0.966156,-9.725342,-4.4467773,-13.450867,-2.1323242,-11.993561,-0.635437,3.1245422,-7.2006226
1975-08-01,0.21688843,-10.098846,-5.164917,-13.496246,-3.031067,-12.106354,-1.1659241,3.1423645,-7.6726685
1975-09-01,0.82910156,-9.975525,-5.5606995,-13.310699,-3.0237427,-11.669983,-1.507019,3.1708984,-7.2353516
1975-10-01,0.9248352,-9.834534,-5.1424866,-13.657196,-3.1542969,-11.363983,-1.4871826,2.648529,-6.9892273
1975-11-01,1.9897766,-8.126526,-3.5688171,-12.832703,-2.1530151,-10.585693,-0.25534058,2.440979,-6.523041
1975-12-01,2.9915771,-6.0290527,-2.2544556,-11.795563,-0.70758057,-9.261414,0.3975525,2.4884949,-5.4100037
1976-01-01,3.4944153,-5.269226,-1.8640137,-10.087616,0.2319336,-7.401947,1.5685425,2.2651978,-3.36026
1976-02-01,3.0091248,-4.4825134,-1.1668091,-9.807648,1.1180725,-7.0245056,2.1846924,2.4318237,-2.8749084
1976-03-01,3.0999756,-4.254425,-1.0093384,-10.2065735,0.92596436,-6.816284,2.0249023,2.5082397,-2.7711182
1976-04-01,3.0891418,-5.6436768,-1.8262329,-11.580902,0.064331055,-8.401459,1.8390198,3.1299133,-4.0907593
1976-05-01,2.8172913,-8.028351,-2.7947388,-12.237122,-0.73461914,-10.153137,1.1375427,3.1151428,-5.369049
1976-06-01,1.769043,-9.455505,-3.0980835,-12.886078,-1.1394043,-11.376404,0.35684204,2.746643,-6.7409973
1976-07-01,0.48571777,-9.552368,-3.6216125,-13.231079,-2.4252014,-12.16745,-1.0025635,3.1361084,-7.6488953
1976-08-01,0.13583374,-10.287628,-4.447876,-13.424316,-2.9039001,-12.286621,-1.368866,2.8578186,-7.819763
1976-09-01,0.19778442,-11.014313,-5.058197,-13.187347,-3.2904358,-12.124695,-1.7171326,2.4468994,-7.359009
1976-10-01,0.7722473,-10.499573,-4.491699,-13.1623535,-2.8423157,-11.593018,-1.1078796,2.4107056,-7.455353
1976-11-01,2.048462,-8.946869,-3.8216553,-13.139221,-1.6008911,-11.474915,0.37371826,3.0240784,-7.0319214
1976-12-01,2.8096008,-7.7227783,-2.513031,-11.604858,0.5625,-10.03653,1.761383,3.3153076,-5.65271
1977-01-01,3.0653992,-5.783539,-1.1817322,-10.761932,1.7176514,-8.402649,2.2105103,3.1568604,-4.256256
1977-02-01,2.6660461,-5.4735107,-0.94711304,-10.474304,1.928894,-7.840576,2.6976624,2.6533813,-3.149231
1977-03-01,3.0411072,-5.414215,-1.8458252,-10.651459,1.586792,-6.9142456,3.0605774,2.5555115,-3.3779907
1977-04-01,3.223053,-6.07547,-2.5202332,-11.589569,0.65063477,-8.095154,2.3861694,3.308197,-4.8746643
1977-05-01,2.7050781,-7.297943,-3.359314,-12.078796,-1.1026611,-9.978363,1.3330078,2.859314,-5.376068
1977-06-01,1.4309082,-8.8567505,-4.0700684,-12.516113,-2.0056152,-10.951843,0.27581787,2.682312,-6.061035
1977-07-01,0.7363281,-9.467651,-4.723297,-12.469696,-2.3377075,-11.486847,-0.3520813,3.0527954,-7.1862183
1977-08-01,0.75393677,-9.793549,-4.854065,-12.668579,-2.6343994,-11.702789,-0.46731567,2.6787415,-8.343628
1977-09-01,0.8858948,-9.636322,-5.519104,-12.414032,-2.805603,-11.247772,-0.8963623,2.872467,-8.00296
1977-10-01,1.1860962,-9.930176,-4.908478,-13.332642,-2.6226501,-11.311981,-0.8082886,2.4039307,-7.1028137
1977-11-01,1.8561401,-8.493317,-3.5888672,-12.393036,-1.5541077,-10.672089,0.29870605,2.4419556,-6.054718
1977-12-01,2.8875427,-6.5087585,-2.4543152,-11.976654,-0.15438843,-9.524414,0.9345093,2.812622,-4.3319397
1978-01-01,3.0814514,-5.213501,-1.2180176,-10.600891,1.0544739,-8.248627,2.09021,3.0046082,-3.2875366
1978-02-01,2.8939514,-4.6054688,-0.88934326,-9.796631,1.0868835,-6.6648254,2.4464111,2.5976868,-2.4663696
1978-03-01,3.1172485,-4.463867,-1.2141113,-10.590698,1.1560059,-7.366089,2.3874512,3.103241,-2.9143982
1978-04-01,3.0647888,-5.9792786,-1.3211975,-11.067017,-0.01626587,-8.914856,1.3311768,3.646698,-4.2828674
1978-05-01,2.162201,-7.223053,-2.9666138,-12.059021,-1.1010437,-9.73288,0.17196655,3.1206055,-5.6919556
1978-06-01,1.24469,-8.703644,-4.6511536,-12.700104,-2.3013306,-10.869812,-0.3777771,2.843933,-6.0034485
1978-07-01,0.8324585,-9.411652,-4.6559143,-12.537659,-3.2181091,-11.307159,-1.3796082,2.7816467,-6.7085266
1978-08-01,0.3687439,-9.298279,-5.058258,-12.512268,-3.4459534,-11.099091,-1.0922852,2.9655457,-7.589325
1978-09-01,1.0748901,-9.58728,-5.399933,-12.817688,-3.419342,-11.285614,-1.1681213,2.643219,-7.9570923
1978-10-01,1.4569092,-9.687592,-5.4055176,-12.927673,-2.6095886,-11.636749,-0.99246216,2.8082275,-6.955963
1978-11-01,2.0164185,-8.433594,-4.017639,-11.872284,-1.631073,-10.305908,0.2557373,2.853485,-6.1934814
1978-12-01,2.6481018,-7.0257263,-2.3946838,-10.755371,-0.20144653,-8.938629,1.1687012,2.9733582,-5.852722
1979-01-01,3.1124573,-5.797577,-1.6503296,-9.789612,1.1251526,-7.316345,2.1497498,2.5186768,-4.2173767
1979-02-01,3.0049133,-5.1836853,-1.5929871,-10.145691,0.7502136,-6.7648315,1.7878723,3.0310059,-2.9570312
1979-03-01,3.4269714,-5.4375916,-1.7207031,-10.4774475,0.6278076,-7.343689,1.9802551,3.1064148,-2.9628906
1979-04-01,3.229828,-6.0152893,-2.793518,-11.44873,0.16134644,-8.216309,1.7260437,2.9663086,-4.0932617
1979-05-01,2.5551758,-7.7130737,-3.6978455,-12.436707,-0.70913696,-9.781647,1.0542908,2.9526367,-5.092346
1979-06-01,1.6109924,-9.15097,-4.7503357,-12.4713745,-1.1862488,-10.985962,0.09414673,2.8285217,-6.5229797
1979-07-01,0.6981201,-10.204559,-5.3440857,-12.622192,-2.5637817,-11.593262,-0.29797363,3.1737976,-7.0606384
1979-08-01,0.49472046,-10.255157,-5.5015564,-12.859924,-3.0510254,-11.416595,-0.68414307,2.6928406,-7.847168
1979-09-01,0.6465454,-10.292877,-5.916931,-12.679596,-3.134674,-10.933563,-0.85821533,2.2078552,-8.17984
1979-10-01,0.74850464,-10.5903015,-4.7284546,-12.812134,-2.400238,-11.237732,-0.5555725,2.4553833,-7.3279114
1979-11-01,2.0139465,-8.974304,-3.8952942,-12.02829,-1.9089661,-10.2682495,0.50579834,2.570465,-7.1054688
1979-12-01,2.927887,-8.013458,-2.333435,-11.127411,-0.05065918,-9.462616,1.7562866,3.0492554,-6.184265
1980-01-01,2.9689026,-6.074188,-1.5449829,-10.0624695,0.48553467,-7.872101,1.842041,2.9466248,-4.8483276
1980-02-01,3.1419678,-5.8367615,-1.8054199,-9.910187,0.73928833,-6.674591,2.272461,2.8544312,-4.273407
1980-03-01,3.0683289,-6.0138245,-1.9290466,-10.680115,0.29348755,-7.3851624,2.0790405,2.9099426,-3.670044
1980-04-01,3.181244,-6.600189,-2.9251404,-11.988007,-0.36758423,-8.808868,1.7406311,2.9739075,-4.367737
1980-05-01,2.6967773,-7.714142,-3.6204224,-12.498199,-1.5013428,-9.732788,0.74298096,3.2377014,-5.619293
1980-06-01,1.0576782,-9.514587,-4.7265625,-13.039185,-2.6965332,-11.101685,-0.032073975,3.3282166,-6.2072754
1980-07-01,0.5319214,-9.299011,-5.343872,-12.915161,-3.3900757,-11.060822,-0.6553345,3.5601196,-6.7444153
1980-08-01,-0.014831543,-9.95462,-5.913391,-13.646973,-3.3750916,-11.923279,-1.1986084,2.9381714,-6.8294067
1980-09-01,0.8675842,-10.205505,-5.8900757,-13.741943,-3.3825073,-11.665405,-1.6687012,2.8080444,-7.7191772
1980-10-01,1.2592773,-9.590607,-5.3197327,-13.298309,-2.908661,-11.151978,-1.1785278,2.3920593,-7.6061096
1980-11-01,2.3146973,-8.440155,-4.428131,-12.453705,-2.1011658,-10.118835,0.063964844,2.531952,-6.811981
1980-12-01,3.0581055,-6.7757874,-3.4125366,-11.552948,-0.1749878,-8.772675,1.4704895,2.832428,-4.998169
1981-01-01,3.3240356,-5.0727234,-2.827301,-10.146973,0.9002075,-7.494507,1.7701721,2.628357,-3.6516418
1981-02-01,3.5974731,-4.2784424,-2.4866943,-9.7925415,0.6763611,-6.667389,2.0190125,2.6716003,-3.078308
1981-03-01,3.6376038,-5.038025,-2.3660583,-10.514679,0.7149658,-7.060425,2.2052612,3.2521057,-3.5943909
