,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9
1979-06-01,-1.1286113,1.2799454,-0.272044,-0.5830366,-0.5854149,0.9665745,-1.1699387,0.76320994,-0.121305086
1979-07-01,-0.59344256,1.394709,-0.12784576,-0.8012665,-0.5547916,0.85478324,-0.64874345,0.8637028,-0.13527909
1979-08-01,-0.6466621,1.6147232,-0.084437944,-1.2519976,-0.3213989,0.56371117,-0.62733686,0.81315917,-1.0831219
1979-09-01,-1.3991692,1.7107563,0.16709137,-1.1351525,-0.06957245,0.6154442,-0.846756,1.0685536,-0.85478324
1979-10-01,-0.6231743,1.0911496,0.050543975,-0.7991854,-0.632391,0.48878747,-1.0174153,0.5717384,-0.20366135
1979-11-01,-0.6609333,1.3379219,-0.050840758,-0.56460303,-0.48819312,1.2258339,-0.5601433,0.12071037,-0.7801571
1979-12-01,-1.0777706,-0.26609802,0.20574264,-1.5145276,-0.3056408,0.7664806,-0.36629334,-0.5423042,-0.2354744
1980-01-01,-1.4234779,-0.9278267,0.81505585,-1.4471127,0.1546379,0.5712818,-0.5459587,-0.8305874,0.9200611
1980-02-01,-0.8640137,-1.2131302,0.9409946,-1.5666358,0.3464157,-0.045243073,-0.052671812,-0.64184797,1.454203
1980-03-01,-1.3022664,0.100616075,0.21203613,-1.5281456,-0.1593647,0.43453902,-1.0095352,-0.59390336,0.8866348
1980-04-01,-1.1851063,0.12830201,0.21271133,-1.2144808,-0.23195648,0.5398819,-0.7357113,-0.33865014,-0.79344714
1980-05-01,-0.900478,0.7252445,0.023634339,-0.74550265,-0.42204666,0.6995842,-0.7968235,0.8501705,-0.5324539
1980-06-01,-1.13311,1.4923561,-0.041867066,-0.9021667,-0.38423157,0.8116795,-0.5689186,0.63779676,-0.36397323
1980-07-01,-1.6155937,1.0713227,0.030387115,-0.7880451,-0.52570075,1.0179756,-1.2381153,0.8575981,-0.19751815
1980-08-01,-1.7118202,1.0979961,0.006414795,-0.8657015,-0.6442112,0.87718165,-1.1442524,0.8944008,-0.32953414
1980-09-01,-1.4700722,1.1101509,0.2552536,-1.2654638,-0.5756714,0.7799419,-0.9278267,0.79851186,-0.6779755
1980-10-01,-0.93863106,1.4079468,0.29543227,-1.0993462,-0.11243286,0.37747842,-0.5787098,0.6516396,-0.94268304
1980-11-01,-1.3573014,0.8535469,0.4433174,-1.1543812,-0.35451928,1.3890393,-0.93829346,-0.15261193,-0.41698188
1980-12-01,-1.2158314,1.083815,1.0443119,-1.5089003,-0.089473724,1.0588299,-0.63408244,-0.4497326,-0.37950438
1981-01-01,-1.1775029,-0.29474258,1.0695896,-1.6506325,0.2562027,0.6981327,-0.120392606,-0.5127716,1.1995258
1981-02-01,-0.8119194,-0.55424845,1.1635548,-1.3111099,0.392379,0.7865925,-0.32080382,-0.52818793,1.3881909
1981-03-01,-0.6441765,-0.06239853,0.084789276,-1.5511615,0.049552154,0.72235835,0.30869102,-0.30832368,-0.13067016
1981-04-01,-0.9789276,0.1387455,0.64380914,-1.2538496,-0.47056046,1.2483441,-0.71795386,-0.069005586,-0.08111801
1981-05-01,-0.15195961,0.9411213,0.12553176,-0.95176584,-0.37402648,0.95506936,-0.44817048,0.59792787,-0.26317596
1981-06-01,-0.55057794,1.0923465,-0.110849,-0.5997631,0.07891617,0.95396805,-0.9726879,0.6353672,-0.7487858
1981-07-01,-0.78549117,0.9774593,-0.2796936,-1.2677977,-0.57149965,0.83651125,-1.0310494,0.7087776,-0.59792787
1981-08-01,-0.8702801,1.0049884,0.0036705018,-0.7730114,-0.17398223,0.47423095,-1.3239567,0.9576389,-0.9939766
1981-09-01,-1.4091126,1.0949157,0.1842598,-0.7447483,-0.3285118,0.65959245,-1.3797486,1.0226066,-0.23454666
1981-10-01,-0.9950779,1.2222828,0.22500305,-0.7296993,-0.46909255,0.5913208,-0.88055766,0.699968,0.016149903
1981-11-01,-1.0772976,0.7605316,0.27088395,-0.88973427,-0.1644394,1.3969997,-0.62472266,0.0040374757,-0.35971108
1981-12-01,-0.3336502,0.47423095,0.2418869,-1.4406792,-0.1057106,0.7961357,-0.2800606,-0.5700321,0.16480637
1982-01-01,-0.7053032,-0.71468544,0.99745405,-1.3572229,0.18926696,0.86415786,-0.6370373,-0.5338303,0.90298194
1982-02-01,-0.8146572,-0.7434799,1.1155434,-1.3769585,0.24556199,0.7499504,-0.032677077,-0.6755379,0.9003941
1982-03-01,-0.98968923,0.24006157,0.68394965,-1.4216064,0.2371498,1.1886619,-0.44938773,-0.33906326,0.7628921
