,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7,zgu500_cluster8,zgu500_cluster9,zgu500_cluster10
1978-12-01,-0.33531493,-0.1254879,0.3461977,-0.02550583,-0.031967163,-0.5750694,-0.7162012,-0.15269431,0.08944015,0.11324539
1979-01-01,-0.12903519,0.10287132,0.30742472,-0.13736,0.07849159,-0.5423044,0.03686714,-0.38502425,-0.20485076,0.044597436
1979-02-01,-0.019622803,0.18641701,0.3252636,-0.28690988,0.11387177,-0.49949113,-0.5583593,-0.22506829,-0.021406937,-0.096924976
1979-03-01,-0.10465546,0.24409637,0.40910682,0.10406075,-0.059760667,-0.69155693,-0.109709546,0.056490134,0.082653806,0.13914394
1979-04-01,-0.04013748,-0.26431388,0.47630024,-0.16411857,0.15103646,-0.26431426,-0.4932472,-0.01783886,0.07403145,0.14092788
1979-05-01,0.38175392,0.15668544,0.1647129,0.006243515,0.15371227,-0.5782797,-0.15757751,-0.28720722,0.09454651,0.21079674
1979-06-01,-0.049057387,-0.5158432,0.3758072,-0.14092751,0.046678543,-0.60860556,-0.335075,0.14806347,0.56519777,0.13617058
1979-07-01,-0.19860725,-0.3853218,0.22001381,-0.09543838,-0.25658378,-0.040435027,0.29523507,-0.6793667,0.6743126,-0.001784134
1979-08-01,-0.14063072,-0.24915084,0.25955695,0.096924976,-0.20158044,-0.024677277,0.15014458,-0.3118847,0.40137634,0.14717141
1979-09-01,-0.025271606,-0.096924976,0.29553184,-0.07492371,0.3377506,-0.21020241,0.13260308,-0.12903519,0.37342912,-0.15430717
1979-10-01,-0.0315155,-0.1584694,0.39899787,0.06422005,0.36391488,-0.30801964,-0.45519084,-0.12100754,0.15995598,-0.075518034
1979-11-01,-0.06511231,0.13914375,0.4534069,-0.3552929,-0.11743984,-0.73585683,0.28839645,-0.6546898,0.12100754,0.17333527
1979-12-01,0.049354553,-0.04875984,0.31128997,0.04102974,-0.057679366,-0.79026604,-0.22001381,0.08384304,0.0,0.069571875
1980-01-01,0.07596817,-0.037139893,0.4149561,0.1603775,0.013505554,-1.2003,-0.74516505,0.23432025,0.10905685,0.13809356
1980-02-01,0.18063584,-0.054697037,0.29273129,0.09892769,-0.062462997,-1.5085628,-0.56284106,0.34438974,-0.003376007,0.11243324
1980-03-01,0.25829238,-0.13539276,0.376803,-0.18738861,0.13910636,-0.8545593,-0.39874953,-0.08474674,0.24377365,-0.04321747
1980-04-01,-0.1553131,-0.33966294,0.36869964,-0.12863998,-0.020258332,-0.29576987,-0.48113307,-0.0955513,0.24309845,0.17287025
1980-05-01,0.052671432,-0.07292976,0.4372402,-0.09960289,0.1917778,-0.44433022,-0.08576012,0.19312859,0.032413483,0.27078515
1980-06-01,-0.36397284,-0.46796495,0.40617752,-0.14349595,0.15159912,-0.25660402,-0.18063584,0.190765,0.7600212,-0.078669354
1980-07-01,0.057735823,-0.24377365,0.319067,-0.33324775,-0.16848107,0.0074279783,0.18299942,-0.2866539,0.5783726,-0.13674316
1980-08-01,-0.14923553,-0.37815362,0.37038803,-0.10905685,0.03545189,-0.05199585,-0.18333702,0.029711913,0.5392067,-0.14923592
