,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10
1975-06-01,78.41237,86.558014,79.98948,50.766914,70.68817,33.835243,13.760887,68.552986,72.03645,50.182495
1975-07-01,89.822525,92.22604,73.90823,72.21754,72.74104,32.243324,14.804607,68.23526,67.97186,59.279667
1975-08-01,90.6012,85.6855,81.52708,82.54281,75.43266,33.102665,20.33271,72.696594,66.12642,63.25865
1975-09-01,87.60008,90.03818,79.07252,75.01616,74.90915,42.186665,19.740063,70.54495,71.516235,62.674232
1975-10-01,82.74036,85.32003,81.71804,43.567867,75.77344,51.939045,20.145039,41.768517,73.36662,46.644707
1975-11-01,53.38774,77.84935,82.155945,25.69619,82.1938,59.845978,31.47617,30.373184,75.743805,53.316956
1975-12-01,40.04325,76.47474,66.33878,31.145275,83.29514,66.95448,55.498234,39.979046,80.578835,34.17108
1976-01-01,51.197,80.99831,57.522663,45.876682,75.58615,65.92463,43.10992,36.39556,66.764336,49.853798
1976-02-01,33.099068,80.94583,62.55597,44.000465,83.72899,74.24951,52.791122,37.57968,58.81994,38.3177
1976-03-01,29.638567,72.90631,61.111088,40.3448,75.15974,74.11503,42.222656,35.729706,40.3858,23.078375
1976-04-01,36.905617,75.42378,68.301056,28.823462,80.188126,63.01026,31.650906,55.03143,62.705215,33.305714
1976-05-01,33.87973,82.80236,77.88714,24.849627,75.22042,62.086914,22.802847,72.70459,69.56718,42.516224
1976-06-01,77.37052,90.99768,72.25521,45.90948,67.6762,52.751762,12.160576,71.53687,68.88164,66.42976
1976-07-01,89.40356,90.25802,73.080154,74.16423,74.13307,43.21488,14.69117,62.090195,67.72376,57.83427
1976-08-01,89.61185,92.77057,79.52063,79.03353,76.291374,27.554066,14.4058,64.25834,64.28294,47.679092
1976-09-01,74.5398,86.42851,77.11796,60.038498,78.198746,41.227146,17.915504,65.216125,63.96641,48.22851
1976-10-01,50.92803,81.61333,75.51727,30.878443,81.00651,54.73458,22.469917,45.584755,78.561195,50.67546
1976-11-01,69.46057,83.56827,80.90155,38.842514,78.38243,44.45804,37.215588,27.667229,74.32332,59.938454
1976-12-01,48.512238,79.3517,68.184616,31.12937,78.848206,69.09484,38.463665,32.1708,82.579315,54.172043
1977-01-01,39.679123,74.42572,71.44475,29.917454,71.19295,79.372345,55.836475,36.428482,67.2925,55.709763
1977-02-01,41.82672,73.20571,72.43569,32.11379,64.86061,61.354927,30.585127,38.325905,62.748756,50.394375
1977-03-01,31.155329,73.80678,60.331486,18.061798,81.23241,57.642925,28.101254,40.648952,59.76616,27.93393
1977-04-01,35.616226,82.76106,60.518307,28.853401,79.63064,54.389038,29.737133,58.19526,71.05161,29.84435
1977-05-01,45.628067,82.72858,76.220795,27.675632,75.3192,56.31408,18.342834,72.58678,78.05162,37.360947
1977-06-01,75.08689,88.6564,79.042564,48.225655,72.18227,42.01354,11.474419,65.62413,76.50346,67.76361
1977-07-01,89.26397,91.95253,79.94579,77.62599,77.77383,38.426624,13.102173,60.282753,68.38092,64.44799
1977-08-01,87.10338,89.616486,74.79448,71.74528,74.11706,42.107758,18.49879,72.00682,68.24771,56.90865
1977-09-01,76.34914,87.064384,77.79007,67.81884,79.853195,37.326836,16.913269,71.490234,68.062515,60.042324
1977-10-01,63.310833,81.64828,82.013794,33.043007,83.196434,56.679592,35.57724,71.61857,74.36561,56.323826
1977-11-01,72.80608,79.2505,77.04929,43.184807,82.371185,67.67426,38.72391,57.88498,69.7845,61.87152
1977-12-01,47.004025,77.096405,72.15303,38.658928,78.88011,72.78984,49.955757,46.575157,72.07506,47.90563
1978-01-01,57.50578,79.68382,72.98495,38.183746,83.7833,64.62442,38.78251,50.17646,71.31855,57.689526
1978-02-01,57.50261,76.477745,69.62839,41.04451,82.29748,71.923645,42.192932,37.11452,72.27372,43.175034
1978-03-01,37.99366,70.54079,67.895454,32.40519,78.60035,63.43323,29.359097,40.854424,67.72596,21.882462
1978-04-01,35.511482,73.52986,70.83383,26.55219,80.390305,58.408676,20.326939,55.736416,63.268494,26.92127
1978-05-01,46.10866,83.00554,79.67274,20.840168,78.39284,66.33676,15.547913,59.16743,69.33851,48.4958
1978-06-01,81.81593,90.18913,80.08775,45.688892,74.64027,50.837,10.182793,55.361,73.77696,61.15539
1978-07-01,89.479485,91.65912,80.67543,86.14827,77.14779,40.727703,23.257402,61.52289,70.87185,59.7456
1978-08-01,91.73357,84.94281,76.796135,75.43387,77.72438,31.640104,12.977028,63.602722,68.37066,61.606842
1978-09-01,84.16822,87.71804,78.99161,58.847454,77.65309,34.52146,14.134956,61.237762,71.61001,66.659904
1978-10-01,67.37747,79.87391,78.69222,32.7616,81.75891,47.939804,20.067158,67.72438,76.88009,44.52146
1978-11-01,69.609375,82.21669,69.154755,39.07397,82.42737,65.568504,40.42357,43.830822,72.07096,53.62965
1978-12-01,58.991604,65.603355,71.58466,31.570406,81.98701,66.86108,40.981148,34.195152,75.46238,57.25075
1979-01-01,57.80651,67.73267,65.56623,39.742035,82.32987,63.59394,42.795116,34.66812,77.64104,50.253895
1979-02-01,60.25286,72.24353,59.9859,43.770744,75.62506,77.99537,23.246971,44.33703,76.599075,39.21296
1979-03-01,31.223494,68.5368,46.197678,35.98352,70.433044,73.139885,34.516037,46.061768,54.115955,24.858456
1979-04-01,29.338575,74.134926,63.948273,21.549736,76.171936,59.895294,14.890228,43.468185,47.006657,20.166382
1979-05-01,38.955708,82.82497,74.98759,29.167072,77.079605,52.71804,19.333134,48.857597,53.55938,32.106895
1979-06-01,65.57918,87.274345,76.95826,39.18869,76.27063,45.21396,12.982658,58.397068,73.10752,60.147694
1979-07-01,84.54,91.95024,78.48076,64.22171,75.54093,34.689156,11.259533,51.462505,62.076298,60.709126
1979-08-01,87.5316,87.060776,76.11045,70.81488,78.45325,31.547085,14.27055,56.57525,65.88658,57.72885
1979-09-01,81.77168,86.604515,79.74438,53.737354,76.717186,39.462128,18.433552,66.01279,69.02542,73.75471
1979-10-01,63.21534,78.23968,74.68988,42.83071,81.422195,46.935467,23.280949,56.394035,75.296616,65.32354
1979-11-01,71.80669,79.87058,76.812645,44.171997,81.054924,37.628983,29.717176,38.37486,74.003876,62.917637
1979-12-01,59.123528,74.87109,66.53862,43.261086,82.51594,71.26144,49.44815,40.83577,78.97261,58.278957
1980-01-01,49.92931,80.40563,55.14912,33.686462,85.54559,75.658424,48.840694,39.810734,66.28461,60.717678
1980-02-01,46.21531,77.786766,60.675304,34.93315,78.12085,76.453705,40.286594,34.630035,52.33958,28.673616
1980-03-01,34.538773,76.86926,55.313717,36.92134,77.42172,71.17359,27.342182,33.9635,52.310246,29.255407
1980-04-01,38.40922,78.72219,72.45125,21.527546,81.125946,54.384808,15.228897,41.2318,55.949284,26.599056
1980-05-01,34.194916,86.38812,76.78941,25.546293,78.401146,53.814426,14.039246,50.706657,78.91612,36.60193
1980-06-01,86.87213,89.882126,77.548836,48.86351,73.50238,40.897717,9.624489,61.635178,67.52152,69.49015
1980-07-01,89.831604,91.70245,77.05994,74.23573,74.57959,30.920921,10.933109,66.44431,73.81202,57.872284
1980-08-01,92.48143,93.60753,76.704666,67.45796,71.30723,40.179035,12.970184,70.82159,68.388504,59.704025
1980-09-01,82.996796,88.871735,77.55535,56.576702,78.567375,42.605606,15.753651,71.93139,76.00229,67.01144
1980-10-01,50.776733,79.54843,77.72647,40.330597,79.20946,59.410686,19.382908,71.10026,69.39074,52.554695
1980-11-01,54.824818,71.07907,78.54293,43.312878,83.03265,61.81444,35.994064,64.519684,75.40257,54.432068
1980-12-01,47.672226,74.05972,70.59343,39.900364,79.12472,59.44817,37.644913,40.244225,72.96459,63.65596
1981-01-01,61.801533,74.880646,57.445164,45.525192,67.41211,68.67299,36.495567,40.98703,52.72354,36.76075
1981-02-01,38.37521,78.49983,59.313133,35.790077,74.99239,68.47618,31.76894,34.994522,59.78346,26.341825
1981-03-01,46.48753,74.28023,58.644333,39.45763,80.85981,69.61531,41.020386,43.435402,62.346912,32.9531
1981-04-01,34.507515,79.707344,78.00949,19.17183,78.53819,66.02114,17.402264,59.303127,55.914097,19.835625
1981-05-01,43.478767,82.926254,78.136246,28.948643,80.694695,63.11745,16.83854,63.60779,77.91443,50.69546
1981-06-01,79.14529,88.37004,72.789185,36.729065,69.27007,51.399284,10.170559,71.4666,68.79807,64.640175
1981-07-01,88.93378,93.45026,76.30497,76.81533,69.5586,54.56649,11.259651,74.24687,65.64421,64.84032
1981-08-01,90.152954,91.43051,78.64661,76.44841,67.370415,39.93463,12.702324,72.979324,75.87134,59.286446
1981-09-01,88.90375,87.019104,78.022835,61.099377,78.63993,40.500023,15.3008,62.87728,68.274376,80.33945
1981-10-01,73.344574,83.12806,75.32429,36.382156,79.62729,53.31562,23.28803,53.357315,59.850174,52.751896
1981-11-01,57.136616,68.237686,83.47997,38.69877,72.87258,44.1509,31.306952,46.9712,70.117325,63.988056
1981-12-01,60.92259,73.22949,74.925674,44.37439,85.49137,57.737034,33.254974,38.38355,79.97753,67.397095
1982-01-01,60.549034,79.02197,58.813374,41.535614,69.45253,73.554405,51.079323,37.12971,76.475586,54.77101
1982-02-01,47.4568,77.881485,60.560295,52.38227,75.3914,75.12438,60.692196,40.35974,56.87021,43.276096
1982-03-01,36.627834,76.26325,59.1367,43.086285,79.01071,70.79247,46.89862,42.349556,46.306664,32.731853
1982-04-01,35.423008,80.807495,74.41499,35.384403,78.46379,51.19031,30.29807,56.00801,61.679863,21.589218
1982-05-01,48.967255,78.88685,78.53779,40.514164,78.72116,54.619804,18.137203,71.40373,76.78604,39.24982
1982-06-01,72.28523,89.40053,76.88256,40.18923,71.40856,48.03589,10.068565,69.06003,67.523834,56.73509
1982-07-01,86.981224,92.305626,78.00213,66.51848,74.06754,38.77529,10.879288,69.03912,73.99194,57.518467
1982-08-01,90.5008,89.61769,77.60481,78.08578,72.9158,40.96457,14.146317,63.96405,73.298645,60.457344
1982-09-01,81.91259,86.41339,78.680954,45.458942,77.78497,42.521675,17.421387,61.35654,66.571556,66.51204
1982-10-01,70.01553,79.04288,77.543686,41.004784,80.86218,61.694344,29.321663,52.510956,75.13725,46.721676
1982-11-01,71.426254,73.32599,79.36621,47.833206,82.07023,71.93939,46.882534,36.62623,77.7528,62.439117
1982-12-01,50.168865,74.008026,66.86432,41.299152,84.18712,58.993538,52.07503,43.6702,76.38229,46.57369
1983-01-01,47.532192,70.343285,68.166,31.640099,84.6932,70.30009,41.165115,51.171665,69.529,20.41293
1983-02-01,41.249905,74.3235,40.707584,43.390396,82.877464,62.110878,57.841095,51.941154,54.03845,29.386026
1983-03-01,29.37003,77.1375,46.695515,30.909006,72.66775,63.768234,36.824947,47.159447,41.320293,22.151876
1983-04-01,30.910604,76.15524,45.228527,38.831055,73.40044,59.989586,38.423115,71.64549,37.68882,25.700161
1983-05-01,38.344727,82.27915,76.812744,37.071312,78.801254,57.087605,19.686634,75.61452,61.34139,27.941437
1983-06-01,68.1916,86.176186,78.11975,47.76416,70.815216,49.535103,13.1995735,68.8171,68.8875,51.574806
1983-07-01,88.75661,92.40088,76.29922,73.027695,74.928215,40.29484,10.903908,73.30925,75.0498,65.20483
1983-08-01,91.46661,89.42851,77.82539,83.09023,73.04689,46.373962,19.02433,64.897675,75.09459,69.10186
1983-09-01,91.13707,89.04617,78.4845,64.18417,73.31565,43.947113,14.461792,56.454098,72.00864,64.6705
1983-10-01,77.7982,74.200325,80.35303,38.786263,77.153496,40.627594,19.491463,56.516487,74.03395,52.613056
1983-11-01,53.616108,67.582085,83.12222,34.74365,76.79355,49.19115,27.664677,44.151882,73.52682,70.05052
1983-12-01,68.054016,71.89186,73.666,44.473434,82.50152,62.755585,40.901154,37.61843,84.49643,59.10971
1984-01-01,59.077507,78.59035,76.44323,39.26098,77.97478,67.51988,34.06226,39.730457,80.94102,51.34427
1984-02-01,58.936337,74.92646,74.212395,25.849695,77.470825,74.63755,27.033237,33.392517,73.80858,27.615978
