,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1971-12-01,-2.3768265,0.060751725,-1.1941292,0.035928346,-1.1666927,-1.1964153,-0.99423677,-0.3119236,-0.01665764,-0.9387108,-0.60131073
1972-01-01,-0.9594509,-0.32966766,-1.1809509,-0.28978616,-0.056235887,-1.5553776,-2.1524522,-0.4693966,0.24416657,0.52132875,-0.3979538
1972-02-01,-0.70581627,0.0008605957,-0.48976746,-0.95772916,-0.5528892,-1.21825,-1.8290966,-0.5554716,1.176647,0.66593474,-0.07201614
1972-03-01,-1.6899418,-0.58531076,0.15321389,0.043611147,-0.54514277,-0.78070164,-1.4015901,-0.9502695,0.16755943,1.4305687,-0.33827513
1972-04-01,-0.5841633,0.19596443,-0.8481272,-0.03127403,-0.17444572,-0.95399934,-1.1947228,-0.1546484,-0.43181038,-0.24072342,-0.4232025
1972-05-01,-0.30728835,-0.07832833,-0.5012442,-0.3018368,-0.54600334,-0.65302354,-1.0231466,-0.6059691,-0.39508477,-0.107020184,-0.6705254
1972-06-01,0.038446806,0.10874176,1.3180974,-0.30728835,-0.92846376,-0.67741126,-0.30269757,-0.082632065,-0.34946498,-1.2265707,-0.7118412
1972-07-01,-0.08722286,0.77811927,-1.0168343,-0.010615921,-0.74311525,-0.7927521,-1.0983188,-0.4140215,-0.10644607,-1.4497923,-0.43209726
1972-08-01,0.22408256,0.52304995,-0.8294775,0.23383713,-0.42980194,-0.18104477,-0.6705254,-0.4785778,-0.3055668,-2.1274905,-0.40369263
1972-09-01,-1.3069073,0.43726158,-0.50296575,0.30872306,-1.0085137,-0.68974876,-0.34372672,-0.4593544,-0.46193656,-1.0515511,-0.79189146
1972-10-01,-1.738431,0.039307784,-1.1798033,-0.4424263,-0.6943394,-0.04332447,0.068573,-0.021231841,-0.2539215,-0.75545275,-0.35290796
1972-11-01,-0.97408354,0.11103668,-0.1770277,-0.32823333,-0.109602354,-1.2397687,-0.77065945,-0.067712404,-1.1990268,-0.75746155,0.12997322
1972-12-01,-1.2971528,0.44013062,-1.6606762,-0.17014161,-0.25248718,-1.8420082,-0.8039417,-0.8518568,-0.5901886,-0.15522233,-0.40455323
1973-01-01,-1.4277595,-0.9913403,-1.1757832,-0.49981117,-0.50745696,-1.620485,-1.5985048,-0.06466637,0.8814392,1.3347416,-0.3883175
1973-02-01,-1.0763947,-0.33862305,-0.3612404,-0.23381881,-0.5998375,-1.1856587,-0.73968256,-1.0289301,0.6845726,0.9340008,-0.02739563
1973-03-01,-1.4768169,-0.51287234,-0.6304184,-0.61799467,-0.021024704,-0.28128338,-0.8753866,-0.3835392,0.19145088,0.7619816,-0.14048234
1973-04-01,-1.1369197,0.7610256,-0.25261346,0.09015083,-0.43355218,-0.24656086,-1.0996488,-0.43004817,-0.5644779,-1.0993305,-0.88589895
1973-05-01,-0.7409571,-0.04077492,-0.79096985,-0.26790428,-0.07581596,-0.26344413,-0.93463784,-1.1143024,-1.2879143,-0.91520613,-0.56192935
1973-06-01,0.29816666,0.23891564,-0.78587306,0.16150665,-0.49503326,-0.11913929,-0.7227993,-0.10002594,0.032492448,-1.3452542,-0.17042656
1973-07-01,-0.27108955,1.0184177,0.3985111,1.0196918,-0.6488949,-0.33766747,-0.9935705,0.05733986,-0.036315154,-1.7835846,-0.15641022
1973-08-01,0.14940186,0.44820556,-0.8862179,0.82059556,-0.47369003,-0.37461966,-1.4952933,-0.24751644,0.22904053,-1.7017161,-0.41698724
1973-09-01,-1.0302042,0.8938629,-1.1913923,0.7798206,-0.9964371,-0.4953518,-0.48037988,-0.3427643,-0.457444,-1.1684567,-1.2547848
1973-10-01,-1.2484137,0.57849425,-1.3583149,0.28638038,-1.0789429,0.19017677,-1.1009233,-0.027077103,-0.57945025,-0.8527695,-0.93973464
1973-11-01,-1.1847026,0.07868309,-1.3331492,0.25771028,-1.4322193,-1.1789688,-1.4153363,-0.9292221,-0.23190765,-0.8470356,-0.006689453
1973-12-01,-1.241087,-0.38513222,-0.99898565,0.18731003,0.0025485992,-1.2305746,-1.5271485,-0.64347917,-0.24528694,0.10002594,-0.103530124
1974-01-01,-0.20774841,-0.6771542,-1.2741013,0.07527618,-0.16501503,-1.9321896,-2.1162703,-0.9082409,0.33627588,1.4920399,0.74717027
1974-02-01,-1.1511612,-0.8020657,-0.5045784,-0.40925103,0.035172272,-1.2412297,-1.5544956,-0.35665625,0.014792251,0.36355934,0.3264145
