,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10
1975-02-01,-0.15019496,0.32146284,-0.04536724,0.0630846,-0.22750704,0.52601796,-1.4117521,0.44561863,0.464544,-0.7178218
1975-03-01,0.11301537,0.21059513,0.14267854,0.04134054,-0.30710107,0.8809021,-1.254309,-0.7991606,0.5607815,-0.28106183
1975-04-01,-0.23743959,0.45206136,-0.12898776,-0.164691,-0.25113028,1.3486675,-0.69809115,-1.9203212,0.4119288,0.12670603
1975-05-01,-0.23126534,0.034763623,0.052883647,0.13341713,0.06791656,0.1540874,-0.46655732,-0.099458836,0.19489105,-0.12603493
1975-06-01,-0.15140295,0.1744893,0.48065075,-0.02778406,-0.09865351,0.5786332,-0.5426615,-1.172702,0.02026763,0.30226904
1975-07-01,-0.7580886,0.107646465,0.11408911,0.021341395,-0.36253494,-0.39635897,0.08066771,-0.6998361,0.4727316,0.2362316
1975-08-01,-0.48830137,0.16294608,-0.030871153,-0.028052473,-0.3919297,0.38790298,0.21972223,-0.55876815,0.20616579,0.20415239
1975-09-01,-0.3688434,0.35018644,0.17408657,0.108854435,-0.09476106,0.23998976,0.17703943,-0.93821526,0.029797386,0.016375136
1975-10-01,0.16240922,0.03999834,0.25260672,0.116236664,0.029394722,-0.36427993,-0.16227499,-0.663596,0.15650341,-0.3211944
1975-11-01,-0.19381727,-0.07261436,0.14549716,-0.18777725,-0.47769785,-0.057849884,-0.4444107,-0.092345096,0.11838424,-0.5303131
1975-12-01,-0.23596315,0.36991718,0.052078247,-0.48628807,-0.33931443,1.1658566,-0.5036028,0.5976928,0.55192286,-0.23193642
1976-01-01,-0.14630118,0.46813697,0.20329294,-0.13932809,-0.18733525,1.1693366,-1.1004102,0.41154748,0.31311938,-0.50353897
1976-02-01,-0.28495875,0.5852047,0.2974299,-0.17781429,-0.46076155,0.9523657,-0.51037794,0.07871561,0.509171,-0.11425171
1976-03-01,-0.364479,0.39652848,-0.0691947,-0.27168304,-0.46505266,0.6542653,-0.5496686,-0.7392837,0.34972823,0.08381138
1976-04-01,-0.68349874,0.48074222,0.17312083,-0.1830441,-0.36032194,1.0182079,-0.39907637,-0.21536179,0.13946216,0.065171674
1976-05-01,-0.16480672,-0.124174975,0.31942195,-0.11371531,-0.044386506,0.31848335,-0.7577892,-0.405379,0.041570473,-0.45311794
1976-06-01,-0.6450125,-0.14281464,0.3065486,0.094405174,-0.5594579,-0.3517397,-0.3884826,-0.82416785,0.2026225,0.3427551
1976-07-01,-0.64487845,0.13879165,0.54886407,-0.05632124,-0.48972672,-0.39760128,0.32612693,-0.10580351,0.062087536,0.51949656
1976-08-01,-0.56294435,0.14630122,0.080190755,0.16064969,-0.32988167,-0.14764214,0.36783147,-1.646458,0.35576266,0.12296808
1976-09-01,-0.33698887,0.60303974,0.40336752,0.20154968,-0.21040015,0.097489454,-0.0032183558,-0.093466476,-0.19471064,-0.19162638
1976-10-01,-0.40122193,0.8177311,0.14844672,-0.15689492,-0.3211653,0.7761606,-0.025880981,0.05793044,0.4826196,-0.11210613
1976-11-01,-0.035670124,0.52298313,0.6746482,0.013409829,-0.39894226,1.7616485,-0.63388234,0.7823292,0.21777551,-0.3961262
1976-12-01,-0.19538113,0.5347837,0.12565002,0.09534387,-0.4701484,1.0057367,-0.484631,0.62395906,0.70777047,-0.53719753
1977-01-01,0.054227732,0.5548972,0.058110904,-0.033840276,-0.1938881,1.9445673,-0.5001148,0.90176,0.257408,-0.8467003
1977-02-01,0.009569597,0.3603157,-0.03689146,0.026212405,-0.11608324,1.118948,-0.35393596,1.207432,0.3960976,-1.0061934
1977-03-01,-0.3917982,0.7745816,0.14201817,0.122185566,-0.4300766,0.54199916,-1.1572263,-1.4164374,0.45878536,-0.54976577
1977-04-01,-0.14714971,0.223429,-0.0067957877,0.1984649,0.0762793,0.30067915,-0.5274366,0.30886182,0.46752277,0.027737904
1977-05-01,-0.06657103,0.4673841,-0.078637026,0.24686757,0.049512196,1.0405884,-0.13452896,-1.557346,0.114557646,0.05214729
1977-06-01,-0.3820899,0.15755144,0.29513153,0.070315644,-0.3277236,0.6555859,-0.38805363,0.23507896,0.09805355,0.4780632
1977-07-01,-0.82464856,0.20623145,0.22010049,-0.2626782,-0.6085701,0.4013678,0.112199925,-0.894132,-0.062271595,0.22911528
1977-08-01,-0.77957445,0.22967005,0.4493544,0.05575323,-0.53340036,-0.15366808,0.34783357,-1.2862077,-0.08557148,0.17835486
1977-09-01,-0.37446204,0.3341033,0.24242954,0.17877093,-0.19083694,0.51093256,-0.0574175,-0.7819322,-0.0517313,0.1364706
1977-10-01,0.036336683,0.31857008,0.14770447,0.2664228,-0.079746544,0.24561934,-0.45656624,0.027044486,-0.05866573,-0.24631281
1977-11-01,-0.36114782,0.4573984,0.034533717,0.032037307,-0.2506122,-0.28861314,-0.686375,0.19582978,-0.045906268,-0.6877619
1977-12-01,0.06351986,0.2703061,0.7229891,0.05908184,-0.16920128,0.73935443,-0.7070398,-0.037030123,0.41717845,-0.6560019
1978-01-01,-0.25594592,0.43979454,0.15570727,0.008023739,0.0009303093,1.8048786,-0.90168345,0.78481567,0.6639944,-0.46677294
1978-02-01,-0.19629116,0.33339256,0.041049004,0.04139795,-0.016512584,1.2017019,-0.1900117,1.0082015,0.42188644,-0.4729361
1978-03-01,-0.10779734,0.022675801,-0.10035505,0.024420071,0.04756107,1.0472739,-0.66306406,0.29571587,0.3647899,-0.43572444
1978-04-01,-0.70178735,0.4953793,-0.027559852,-0.16094014,-0.5566622,0.9380811,-0.4963096,-0.9993639,0.5645696,-0.21919951
1978-05-01,0.05291023,0.33409038,0.113727905,-0.08000493,-0.12512398,0.3344392,-1.0315752,-0.2628069,0.15070696,0.17931339
1978-06-01,-0.29920444,0.19966355,0.18536024,0.18373223,-0.5988741,0.80970097,-0.5557319,-1.1194875,0.22989789,0.50444967
1978-07-01,-0.5901526,0.70748544,0.115355924,0.11861201,-0.3581616,-0.3866517,0.3180428,-0.7546975,0.2489688,0.22361842
1978-08-01,-0.59619945,0.29362273,0.34432358,0.035699893,-0.6273642,-0.21919951,0.25396913,-0.76365167,0.29769278,0.46026087
1978-09-01,-0.18198796,0.47235465,0.21187349,-0.14070635,-0.12872884,-0.06605053,-0.024187516,-0.5930598,0.24280572,0.15105583
1978-10-01,-0.15803298,0.13210115,0.030466985,0.09023811,-0.16210301,0.5316607,-0.015814925,0.41630477,0.23396787,-0.07640006
1978-11-01,-0.5368935,0.22803727,0.114658214,-0.3672319,-0.6159681,0.14768352,-0.6396906,-0.1943142,0.50514734,-0.86016923
1978-12-01,-0.18582535,0.53863776,-0.07360921,-0.14652066,-0.16954526,0.21129207,-0.83365595,-0.65841264,0.54887104,-0.7457435
1979-01-01,0.14441195,0.49391574,0.047591973,0.2085125,0.045509815,0.5319893,-1.0544603,0.030488634,0.27305916,-0.47636613
1979-02-01,-0.18858328,0.42059436,-0.09934835,0.16597709,0.12091341,0.64502037,-0.6865146,-0.07570104,0.24881694,-0.32912835
1979-03-01,0.013533974,-0.17772636,-0.19259891,-0.22576456,-0.25744298,0.110651396,-0.4777047,-0.5565289,0.37225866,0.04432001
1979-04-01,-0.4449852,0.31053782,-0.192004,-0.16954651,-0.47636613,1.2626753,-0.82572126,-0.8941347,0.17207484,-0.45361128
1979-05-01,-0.4388875,-0.002379608,0.17832127,0.34459585,-0.22695437,0.09577894,0.101133004,0.2024147,0.25253507,0.11660041
1979-06-01,-0.5691706,0.22903654,0.055771925,0.033165693,-0.48558718,-0.066628836,-0.1807009,-0.40661412,0.102768995,0.33016953
1979-07-01,-0.22502097,0.32615393,0.6109624,0.24970932,-0.17400837,0.06915712,0.052946102,0.066628836,-0.31574327,0.3871312
1979-08-01,-0.88833445,0.65989286,0.2370677,-0.082393646,-0.5279738,0.32050246,0.3746383,-0.5363024,-0.13801679,0.26740754
1979-09-01,-0.12076471,0.03301687,0.051161386,0.07822931,-0.1957221,-0.37493572,0.0068413974,-0.8996375,0.11303101,0.22606201
1979-10-01,-0.5373435,0.5682783,0.29521912,-0.02632432,-0.43844137,0.85368156,-0.92060775,0.13281146,-0.02572937,-0.696033
1979-11-01,-0.48856163,0.3324004,0.2169898,-0.20628159,-0.578689,-0.28540325,-0.22948273,0.0148725035,0.2207079,-0.4579243
1979-12-01,-0.17147993,0.1986966,0.2705308,-0.32749242,-0.28927016,0.6091776,-0.7201265,0.6688164,0.71521866,-0.5544469
1980-01-01,-0.0013475418,0.31246778,-0.017920732,-0.20184426,-0.20224838,1.0648696,-0.9050652,0.4257862,0.2763568,-0.6283042
1980-02-01,-0.13204761,0.12773585,0.057130814,-0.13595514,-0.1154743,1.7197182,-0.6409699,1.5719056,0.4423596,-0.29629868
1980-03-01,-0.30249685,0.18769626,0.22542414,0.05901718,-0.18365398,1.0814431,-0.9721669,-0.7801588,0.5659184,-0.5078443
1980-04-01,-0.40517062,0.8620823,0.14619558,-0.13379928,-0.39425644,0.060634233,-0.75253665,0.64083517,0.23862891,-0.42592087
1980-05-01,-0.12072925,0.09553242,0.009431958,-0.025062084,0.03557201,0.53263694,-0.20373063,-0.31165925,0.013878465,0.0672365
1980-06-01,-0.4618972,0.16532898,0.4294243,-0.004042244,-0.6004125,0.35841498,-0.20090103,-1.6584103,0.20885086,0.4442459
1980-07-01,-0.5726555,0.13811107,0.26247826,-0.014282608,-0.6615855,0.008758259,0.38846254,-1.3454036,-0.23741631,0.3841508
1980-08-01,-0.28821415,0.00080842973,0.30829072,0.025870513,-0.5198364,-0.012126828,0.29373857,-0.33550876,-0.53587073,0.31017718
1980-09-01,-0.12382833,0.35841498,0.22421145,-0.03247292,-0.07060504,0.6075538,0.22353777,-1.8513616,-0.023849439,0.37889582
