,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1994-06-01,-5.001264228902077e-05,3.8215178541694144e-05,8.630357280542904e-05,-0.00010339146676515569,-1.0358538871102496e-05,0.00011163407179992645,-2.7270305467091913e-05,-6.188392199262915e-05,1.1793396930172928e-05,6.16016782986592e-05
1994-07-01,-5.081604914402102e-05,3.970943740175094e-05,8.32984352944715e-05,-0.00010315765594811908,-9.722292260150311e-06,0.00010987923208934565,-2.709359235540013e-05,-6.245759621259687e-05,9.123469627997622e-06,6.531503184655048e-05
1994-08-01,-5.0869486325380104e-05,4.0258700180721555e-05,8.327677939880893e-05,-0.00010049818006722547,-9.621644991852918e-06,0.00010949859710375743,-2.7576607713011134e-05,-6.487638097123785e-05,9.369147004936674e-06,6.492935384195666e-05
1994-09-01,-4.987168876588408e-05,4.060369814421458e-05,8.458979044173081e-05,-0.00010530567793193946,-1.0483456636123378e-05,0.00010841214302841022,-2.650662574072277e-05,-6.549408666257075e-05,1.0475435251211351e-05,6.228852216605785e-05
1994-10-01,-5.217379353359068e-05,3.858210871600059e-05,8.528675111433998e-05,-0.00010144348051702085,-8.685411612141536e-06,0.00010335744904026526,-2.7847311310985345e-05,-6.643608759957e-05,1.4619636276234447e-05,5.95984510674862e-05
1994-11-01,-5.2632240523941984e-05,3.562824074344398e-05,8.436452514036897e-05,-9.83598880622264e-05,-7.211969377252103e-06,0.00010207540375025322,-2.9698159611401867e-05,-6.481287140350552e-05,1.8561794621353e-05,5.880995606334756e-05
1994-12-01,-5.3260259118927346e-05,3.352213386545122e-05,8.601963352041572e-05,-9.709857569555558e-05,-4.663809882732295e-06,0.00010372706768706578,-3.09199049202667e-05,-6.577424830508984e-05,1.9961950134959033e-05,5.666459815997188e-05
1995-01-01,-5.4427975638096075e-05,3.1771106645858856e-05,8.855688396248627e-05,-9.723797414582259e-05,-4.044985429940695e-06,0.000107628646354122,-3.0345468066626916e-05,-6.67029534732316e-05,1.8177356277064443e-05,5.579731511570767e-05
1995-02-01,-5.4843996670325125e-05,3.1423632271411355e-05,8.830525158290666e-05,-9.930607970919702e-05,-4.559449640062496e-06,0.00010581900790350994,-3.0289764838931898e-05,-6.658638905391257e-05,1.675790186487546e-05,5.91426319170984e-05
1995-03-01,-5.412285815000977e-05,3.1396544718379766e-05,9.01930831208698e-05,-9.761194545129052e-05,-4.763505057070461e-06,0.00010692994422882933,-2.9449114139242358e-05,-6.661654253071365e-05,1.6504689613826553e-05,5.9304655214171364e-05
1995-04-01,-5.34391784792759e-05,3.338937657046511e-05,8.851965255664915e-05,-0.00010166091253637489,-7.145122582485897e-06,0.00010618575119965329,-2.8698732022882393e-05,-6.681684308354246e-05,1.784666086731118e-05,5.9032051077261364e-05
1995-05-01,-5.269596133277648e-05,3.498453424950784e-05,8.604782950979741e-05,-9.929922423591833e-05,-9.29523163994972e-06,0.00011235825055606525,-2.7919522532075255e-05,-6.555437423349893e-05,1.5806459192747365e-05,6.013286819483389e-05
