,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1985-02-01,6.398261483306816,8.402067738179666,4.433038601665004,2.4960897926458974,4.02155324103964,8.272358587201385,7.186798324584288,7.403784742324693,5.64939584072393,6.917558713908503
1985-03-01,4.576293240071151,8.205574601919082,3.4152293198543693,3.523723715227751,3.4736513713396477,8.31599346001279,8.00586975138168,8.141709598532351,4.589568014946162,6.872191335158245
1985-04-01,5.593294201823726,8.453765038103688,3.8815844204503005,0.0,3.9067662471737985,8.189682100721786,7.6478234052026925,8.055380109352935,4.147717749293943,6.686434823782975
1985-05-01,5.6970099035691755,8.501119461860752,3.1601490340669467,2.6021587944069964,4.936489548023753,8.139540545850961,6.519369881054599,7.114786371000911,5.25229423877886,7.342249906742904
1985-06-01,5.32308488676824,8.605212415576224,2.942765140436527,0.0,4.2277945575665115,7.6848210761848845,4.322383883635624,6.354691907035856,5.694785692041859,7.991061931207706
1985-07-01,4.214382197527853,8.523790462665014,3.269913233925035,0.0,4.260010866192489,7.522419717411103,2.954702885986645,5.86891902271286,6.608540894604419,8.05134911333022
1985-08-01,5.093472345623626,8.404535605830867,4.351213272909685,0.0,3.9974523917985882,6.8337326502089075,3.236642496961174,5.5573459475607265,7.204711710086344,7.797794895944997
1985-09-01,4.635111598148773,8.36891438936968,5.519115380344773,2.8104979798291856,4.035305616442637,6.8068703532739985,3.1842196409724193,5.27250353739829,7.29762027824091,8.175691647597601
1985-10-01,4.344845287506218,8.380098808176507,5.1967808392761965,2.6252059555910083,3.245879448649312,7.023426100169361,3.0463961584227532,5.817865771955602,6.391007837782668,8.342321434380482
1985-11-01,3.7674615459714618,8.575609723901843,5.609006127306167,3.0952668473091376,3.6278068109212396,7.419963184392883,3.1871826358592013,6.08784550151044,6.200577785131187,7.477071683405946
1985-12-01,4.69611125042675,8.629326171093973,5.155507853051694,0.0,2.9827269202484334,7.8874087352178845,3.222193584419997,6.55794244381269,4.1235827514329335,6.910553856191597
1986-01-01,4.751869491894205,8.361396718876811,4.053319830044353,0.0,3.6160600944538728,8.291486017883818,4.2386781602789085,7.208574581748625,4.8141177408987454,7.16082201619544
1986-02-01,5.549963075507266,8.23752579508616,4.458542238170066,2.148078088304662,3.4475483001583727,8.339467369890595,7.052582203117962,7.376918190512867,4.535107664866612,6.593154317943322
1986-03-01,5.649278482735058,8.298502161061426,3.6708625220459195,2.2730013646427683,3.6386307677411223,8.439811520774818,7.668461104417243,7.623907228890024,4.267286233244741,6.681764927731172
1986-04-01,6.255624950344125,8.375026306771087,4.66314314594651,3.1140271219731117,4.567146978417543,8.211111982298826,7.459350506124693,7.634946313103626,5.1135718450721726,6.495938313059315
1986-05-01,6.377198795712443,8.611745345772212,2.9490559995592034,2.310831455482297,3.750303533992561,7.925906726743574,6.000071448757294,7.356750860095004,5.196779322017355,6.719731929290381
1986-06-01,5.687944084198095,8.42931818288198,2.7524640678789583,0.0,4.893370477999803,7.856523333057908,4.09741469800024,6.475702665573195,6.311674208244313,7.552979513987123
1986-07-01,5.250026008090954,8.365462696474857,2.619646229796331,0.0,4.488024043809844,7.084791675711898,3.160994467507217,6.210710613313788,7.0312820727764835,7.911398507787424
1986-08-01,4.941306093166552,8.339292914960966,4.370023405430342,0.0,4.436908090754548,6.83559841281254,2.994350127067715,5.534420987215204,7.71944119220247,7.992140157852102
1986-09-01,4.8740667617366915,8.171946542963012,5.330228914655554,2.308062834767482,3.2808501455189605,6.791901275793653,3.022914530616719,5.429600499450081,7.17356952622146,8.305454487701198
1986-10-01,3.8034134570580407,8.439634361865545,3.509534363096577,2.3003237331505675,3.7607276102392615,6.982711266655266,3.1388434461980816,5.921997711963848,6.301600460310338,8.266798642129416
1986-11-01,3.936042340187024,8.390589873933964,4.685255340486573,2.4137024792317985,3.256824285867781,7.696653149891399,3.205060484330354,5.57160057323379,6.481679469558961,8.267428461563593
1986-12-01,3.8639337894772177,8.352657934613504,3.716949786252543,2.8906030974967307,2.963489690412964,8.02076508137184,3.2468605746139776,6.892182004388234,5.731506855322753,7.534640643924378
1987-01-01,4.67845302471148,8.122179914418801,3.475107157158666,3.2375783957423123,2.77406446646359,8.188770595585684,4.3919381655965655,7.386314282621999,5.4412088112418475,6.581476694572435
1987-02-01,5.910145866747893,8.012717866378463,3.405866605649443,3.0667022537077444,3.611095163493449,8.265021532770115,7.167361569934789,7.547222555327983,4.500216363604942,6.449320629469272
1987-03-01,5.866545893639692,8.303960387609482,3.0671848386372087,3.090501218316979,4.234899553761941,8.73953686043086,8.132299226586898,8.197362379102776,4.521093586716946,6.400015694846676
1987-04-01,5.490763187245775,8.28922505059724,3.9460318482105494,0.0,3.658295379972763,8.535839211248096,7.6150168868106975,7.315798003820288,5.1806056738379835,6.587687823711845
1987-05-01,5.55627470162914,8.567876843296107,3.645679441255878,0.0,3.598165454468368,8.195942791089655,6.972830902262148,7.551241700728618,5.818914739475876,6.885589528848186
1987-06-01,5.8630032243425125,8.861160775226974,3.4129879574120365,0.0,4.601274353698493,7.350175174732941,5.555059661394927,6.3127360548794185,4.865485682409871,7.3630924256979355
1987-07-01,5.743488669031153,8.663221497278228,4.224051710842883,0.0,4.162882188870226,6.601696004104692,3.7056508551036367,6.684310008494285,6.620744473373843,8.049996887946794
1987-08-01,5.235952412321019,8.511394964740086,3.8980677545020392,0.0,3.861653549924357,6.376847700913025,3.384427521557562,5.845889522358219,7.089119547272469,8.059020298777819
1987-09-01,4.918775982763178,8.6775442654379,4.872348067239136,0.0,3.5834335898528806,6.543525584909799,3.3288669526169294,5.847965514136733,6.859186160368951,8.381237058037856
1987-10-01,4.578970893837994,8.653204919778144,5.704447463760478,0.0,3.351084783099983,6.466159259583113,3.4243241447334505,5.510758762510062,6.347662178511691,8.156465604193109
1987-11-01,3.9357842395927514,8.497599902219939,3.5314804584160497,3.2873275484065325,3.7719590684297235,7.389449797349658,3.4738197028837003,5.983923328630864,6.450440015885821,7.914295864253696
1987-12-01,4.641270284394036,8.5489544390822,3.5675455533159086,3.6889363227597918,3.282581863974557,7.510316119371929,3.459201072997034,7.2831539440011035,5.542741488105818,7.139453671481689
1988-01-01,5.665730601246993,8.419133654491503,3.9844673481108694,2.2498578391294832,3.6280814431304864,8.236931155455181,5.450188951733259,8.06810934657417,4.207832558321961,6.945338110644359
1988-02-01,5.470624790153981,8.241449897849543,3.755655260049397,0.0,3.9454553263118397,8.294592909252591,7.496781881871649,8.512850013625304,5.725626336402648,6.751936426916651
1988-03-01,6.2208249703541485,8.270573180748178,2.911467788871814,0.0,3.918854138967655,8.288073919037455,7.730933685243193,7.797221771903974,5.220137424810704,6.529091785375323
1988-04-01,5.91360713174592,8.52609561884822,3.501237449602896,2.650964133928187,3.014242973304433,8.2745843959648,7.905495569120298,7.758900440276218,4.8203193688200665,6.613968878114407
1988-05-01,4.399158215382312,8.679944030893358,3.72115304960321,2.6783474704741175,4.164202359360183,7.619438231683732,6.627838000813505,6.69790684278573,4.958619032123367,6.923927540438287
1988-06-01,5.291195430872886,8.70711463024652,3.320993553454458,0.0,4.699176648512806,7.068318989366602,5.059779488472,6.404807272648337,6.3086232619248594,7.434181115067709
1988-07-01,5.486153922457357,8.592749272786529,2.8282653834912703,0.0,3.6027509282892436,6.76094429184734,3.5095942905216093,5.975003432507369,6.60877368647105,7.250655537081829
1988-08-01,5.372780896438119,8.696452687404154,3.3067765665896034,0.0,4.31537856123667,6.996398545373187,3.3735879843191414,5.521964402260641,7.38003161676081,7.697640031683829
1988-09-01,3.744346316352925,8.444689306216587,4.632881667569274,0.0,3.7899654046464435,7.120466949075438,3.3806312049780063,5.51883834586898,7.155749871844184,7.879479957448253
1988-10-01,3.1440051397346145,8.384253963990947,5.335717931954455,0.0,3.2119017780774533,7.130140340258852,3.250615718000176,5.781685111850755,7.223441627238517,8.137802711850709
1988-11-01,3.4435845349530196,8.386848982479895,4.842136837634555,2.8925205690354905,2.9032695285638117,7.4424670185947805,3.2242386236277962,6.362931210541518,6.390558573241744,7.946300926562238
