,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1972-02-01,0.6246093,0.043271493,0.41377568,0.25121158,0.12994611,0.8876581,0.33775443,-0.8676664,0.09259315,0.7865157,-0.3178944
1972-03-01,-0.12692103,0.085490845,0.41614312,0.7888832,-0.012231732,-1.826479,0.7506096,-0.19149952,0.32723275,0.10561409,-0.95802367
1972-04-01,-0.120476246,-0.04932165,-0.021306992,0.6677493,-0.7266722,-0.18636999,0.17216542,0.4081201,0.23240356,-0.09561825,-0.3765543
1972-05-01,-0.383262,0.024200534,0.24450381,0.5747615,-0.33512408,-0.1473073,0.38089457,0.18189812,-0.034985445,-0.29329938,-0.3034267
1972-06-01,-0.005392647,0.31513244,-0.35261688,0.4300848,0.27975234,-0.5153125,0.56476563,1.0589027,-0.3276272,-0.55029804,-0.5597678
1972-07-01,0.5356987,0.2755436,-1.0254958,0.026305009,0.52912253,-1.1771432,0.1521738,1.0010321,-0.44100127,-0.4894022,-0.11771431
1972-08-01,0.1651947,0.19478759,-0.663935,0.28593406,0.5439848,-0.66932756,0.34801352,0.7557391,-0.6336845,-0.27712187,-0.43495107
1972-09-01,-0.5620037,0.13112979,-0.38326204,0.4065419,0.20241603,-0.13310266,0.111400984,-0.27567506,-0.14323004,0.21977726,-0.07023404
1972-10-01,0.15888152,-0.023542881,-0.32841638,-0.08141355,0.4252184,-0.6025131,-0.41088223,0.024069022,-0.28961667,0.30842477,-0.14862251
1972-11-01,0.045902062,0.32841638,-0.33565027,0.37971097,0.19478759,-1.5348896,0.014599228,0.45770478,-0.08036146,-0.24726582,-0.1354701
1972-12-01,-0.03340721,0.033933304,0.0733906,0.32013026,0.8802927,-0.3490657,0.14941168,0.21504231,-0.3242076,-0.22411756,-0.374976
1973-01-01,-0.1721746,0.055544663,0.22467199,0.5191556,0.3626333,-0.21677656,0.3027946,0.13422136,-0.41457653,0.0648252,-0.30473384
1973-02-01,-0.10416355,0.006925726,0.081031516,0.30861226,-1.0067298,-0.7004723,0.40418786,0.32537264,-0.047372244,-0.1810396,-0.65199196
1973-03-01,-0.72194225,-0.19793849,-0.026594948,0.21802321,0.14876552,-0.6464513,-0.270105,0.24821953,-0.2418479,0.048618913,-0.46610433
1973-04-01,-0.071750976,0.03130448,0.46776646,0.0029088021,-0.44948244,-0.55378455,0.18505654,0.22744226,0.1818707,-0.32357192,0.107764974
1973-05-01,-0.30736566,-0.32218677,-0.19752292,-0.10430207,0.26165563,-0.22079352,0.3881201,0.20389462,-0.42261046,-0.18117812,-0.061639357
1973-06-01,0.18990459,-0.13228221,-0.93941134,0.5518453,-0.27065906,-0.4906215,-0.025902366,0.40806627,-0.027287532,0.24738848,-0.09599116
1973-07-01,0.47012123,0.023686122,-0.5996331,-0.005540633,0.47746253,-0.7410573,0.00083112717,0.6723536,-0.60143375,0.06427115,0.16012374
