,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5
1985-08-01,0.021121215,-0.3906085,0.1602805,0.07793456,-0.10400186
1985-09-01,0.014570951,-0.31013408,0.12846503,0.08408375,0.5563698
1985-10-01,0.11122046,0.05734811,0.21401925,0.05240197,-0.030879688
1985-11-01,-0.17110853,0.10894797,0.030077672,-0.053070355,0.45878458
1985-12-01,0.49287254,-0.009491181,0.25251862,-0.4363266,-0.64753854
1986-01-01,1.1481707,-0.40034986,-0.016200637,-0.4124031,-1.020121
1986-02-01,0.441305,-0.3154587,0.10536887,-0.279558,-0.5565239
1986-03-01,0.32828945,-0.27605858,0.18987134,-0.2820205,-0.38246435
1986-04-01,0.21993971,-0.8188445,0.16537598,-0.117940545,0.17613316
1986-05-01,0.21903238,-0.41032943,0.13958459,0.07931827,0.088520214
1986-06-01,0.100184664,-0.6074587,-0.036678217,0.064284086,-0.26504222
1986-07-01,0.3985354,-0.20957127,0.01775589,0.069468275,-0.07374525
1986-08-01,-0.09927744,-0.052878845,-0.1347892,0.093186006,-0.36730057
1986-09-01,0.13517801,-0.029290725,0.09448204,0.15928455,0.09849982
1986-10-01,0.47526154,-0.3518776,0.1579885,0.047694642,-0.09487088
1986-11-01,0.13401158,-0.34293485,0.25959882,0.00233289,-0.16343193
1986-12-01,0.45504317,0.033697307,0.026698638,-0.25467384,-0.8368595
1987-01-01,0.4345893,-0.002821064,0.18782213,0.30007002,-0.7946436
1987-02-01,0.64453435,-0.1051209,-0.026428735,-0.26339644,-1.0057764
1987-03-01,0.29665503,0.24067962,0.0699322,-0.23637378,-0.43830118
1987-04-01,0.14892145,-0.6390408,-0.19168255,-0.06948676,-0.102745436
1987-05-01,-0.18351635,-0.45493048,-0.052857447,0.032367766,0.13051042
1987-06-01,-0.020341229,-0.43488628,0.1529303,0.15901782,-0.34431586
1987-07-01,0.3199658,-0.54223436,0.08671,0.14105222,0.010838771
1987-08-01,0.3205597,-0.33629817,0.060429715,0.029695202,-0.03682208
1987-09-01,-0.017817115,0.04424584,0.2549333,-0.06532943,-0.071120024
1987-10-01,0.22850457,-0.55040056,0.058944963,0.027319586,-0.3217476
1987-11-01,0.21365699,-0.43191665,-0.020786643,0.18307091,-0.19465208
1987-12-01,0.24840036,0.0990335,0.10719969,-0.00846312,-0.38945258
1988-01-01,0.46804786,-0.1721961,0.27117488,-0.64539623,-0.55360353
1988-02-01,0.78179723,-1.0133806,0.1846701,-0.30032617,-0.6706155
1988-03-01,0.5075038,-0.12935042,0.26710728,-0.40215236,-0.28622514
1988-04-01,0.1865683,-0.08284392,0.17572133,-0.09301299,-0.34439215
1988-05-01,0.2191093,-0.6439048,-0.13084188,-0.110910535,-0.15321383
1988-06-01,0.3843904,-1.2197447,-0.016270494,0.036337443,-0.48703012
1988-07-01,-0.21097407,0.023456622,-0.042438887,0.07823396,-0.09775855
1988-08-01,-0.06887843,-0.23768477,-0.038371246,0.183721,-0.044879448
1988-09-01,0.2245328,-0.16500989,0.12202871,0.10006354,-0.13233335
1988-10-01,0.32134226,-0.5795007,0.06657344,0.06399728,-0.7687808
1988-11-01,0.06548877,-0.29544502,0.009355533,0.027524257,0.10860548
1988-12-01,0.7373246,0.069420815,0.118367836,-0.15877292,-0.46099728
1989-01-01,0.5393392,-0.4170111,0.08361663,-0.46989688,-0.3672223
1989-02-01,0.62188375,-0.511467,0.009409848,-0.16389814,-0.094336726
1989-03-01,0.07730369,-0.014412558,0.029897118,-0.2865835,-0.19212767
1989-04-01,0.50205714,-0.5720949,0.18271784,-0.22738485,-0.18164578
1989-05-01,-0.060032416,-0.11077418,-0.18593387,-0.1219707,-0.2626419
1989-06-01,-0.15353541,-0.3330372,-0.007504058,0.10672437,-0.12625875
1989-07-01,0.24525166,-0.20808868,0.13590682,0.040617198,-0.64546806
1989-08-01,0.34232792,-0.7270597,0.12995121,-0.08242551,-0.24596629
1989-09-01,-0.05240927,-0.46215463,0.10350835,0.08171084,-0.23846225
1989-10-01,0.11839733,-0.6211691,-0.028825104,0.019891704,-0.14900914
1989-11-01,0.36126673,-0.56661576,0.06289115,-0.095051385,-0.70681065
1989-12-01,0.053719513,0.16234966,0.02703843,0.040974535,-0.80281496
1990-01-01,0.6198426,-0.3317873,0.15397863,-0.13735,-0.7016765
1990-02-01,0.18278417,0.0899518,-0.10265243,-0.2728669,-0.45119935
1990-03-01,0.20910192,-0.5245224,0.13132702,0.044517614,-0.20046028
1990-04-01,0.30023214,-0.6563732,0.09191581,-0.09859347,-0.3054695
1990-05-01,-0.20700698,0.069002315,-0.09911718,0.041768026,-0.3019343
1990-06-01,0.3108378,-0.788093,0.04805286,0.13263634,-0.13813563
1990-07-01,-0.014533704,-0.037970923,0.08104827,0.11535305,-0.20988753
1990-08-01,0.04923129,0.026448822,0.24707286,0.03639971,-0.23253913
1990-09-01,0.8572262,-0.7420042,0.2334557,0.004582703,-0.41126436
1990-10-01,-0.10893725,-0.5292361,-0.08405976,0.10330708,0.23555064
1990-11-01,0.28452006,-0.015450239,0.07712026,-0.031817008,-0.18736684
1990-12-01,0.05839665,-0.4460929,0.006546712,-0.2502153,-0.04111328
1991-01-01,0.48508582,-0.13261099,0.095004916,-0.26043877,-0.8192522
1991-02-01,0.5911416,-0.33383656,0.3740818,-0.18044332,-0.59279096
1991-03-01,0.5307738,-0.532588,0.26060373,-0.46100464,-0.2526866
1991-04-01,0.31255955,-0.64194286,0.03925549,0.22695616,0.050966166
1991-05-01,0.5109812,-0.32311565,0.13162136,0.14168265,-0.08939695
1991-06-01,0.4992705,-0.7102276,0.21046224,-0.020947266,-0.23454335
1991-07-01,0.1068805,-0.462819,0.05789361,0.13145643,-0.24872811
1991-08-01,-0.034472276,-0.51279557,-0.033152748,0.03892561,-0.34785646
1991-09-01,0.33251715,-1.033838,0.08923203,0.13772412,-0.19495797
1991-10-01,0.13904372,-0.50059,0.10704546,0.11727168,-0.073727764
1991-11-01,0.3016736,-0.29969427,0.192154,0.02292652,-0.003793621
1991-12-01,0.5400105,-0.32657927,0.32064152,-0.031668305,-0.36830884
1992-01-01,0.59299535,0.07614861,0.1619328,-0.2031521,-0.6427797
1992-02-01,0.9058871,0.1552414,0.17384362,-0.006289959,-0.81622183
1992-03-01,1.0628682,-0.44217032,0.3162374,-0.2635089,-0.46840078
1992-04-01,0.73645985,-0.33711475,0.19311495,-0.15390311,-0.33350134
1992-05-01,0.26310745,-0.85422915,0.021011138,0.021546435,-0.06878801
1992-06-01,0.42008862,-0.6592406,0.118036985,0.19124137,0.027167272
1992-07-01,0.19739746,-0.77995425,0.06999247,0.07882516,-0.16942725
1992-08-01,-0.22135282,-0.601159,-0.026364278,0.11763551,-0.4946312
