experiment,model,n_clusters,n_features,R_mlp,R_mlp_noFS,R_pi-mlp,R_pi-mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_S_mlp,R_S_mlp_noFS,R_S_pi-mlp,R_S_pi-mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_pi-mlp,R_Y_pi-mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test1_linreg_nc6_nv8_nd9,linreg,6,18,0.8435366021857954,0.8392029737125537,0.5053491290053472,0.6037426437486577,0.8328688057482034,0.8223072725387381,0.8235774376009357,0.8273745961602558,0.9907651194077092,0.9974696022472804,0.9764650538534208,0.9755538664612292,0.9931484239285872,0.993979517197223,0.9930008133532884,0.9880228326848158,0.2991562810781041,0.5172535453896422,-0.3157004531006818,-0.1387370834034468,0.2193111496516183,0.2083824537668781,-0.0890470876417728,0.2592917410490733
test1_linreg_Anc6_nv8_nd9,linreg,6,15,0.8548775364630138,0.8496744758349699,0.5580314118136328,0.3199054460185125,0.8336343007049509,0.8308550052520894,0.838842121565759,0.8293101159896391,0.994583247161642,0.9974048821623474,0.8954487813113834,0.8596166494329943,0.994175548477122,0.9968732149835272,0.9911547431830336,0.9914789218726516,0.5009964450048248,0.4639650804806426,-0.240010333850224,-0.486822025799222,0.0388837088032649,-0.0209731041952363,0.1148952147845046,-0.0376197851654357
test2_linreg_nc6_nv8_nd9,linreg,6,19,0.8528388388351941,0.8435555769611599,0.5682241075125907,0.4335674630905319,0.8291761128542997,0.8223072725387381,0.8303048046617283,0.8273745961602558,0.9969173652305876,0.9975447338339188,0.9716090791325208,0.946943128089044,0.9891918949060264,0.993979517197223,0.9897263310676624,0.9880228326848158,0.4157520597259195,0.4862922281840784,-0.1660477125584874,-0.3656686076337724,0.3745299539131456,0.2083824537668781,0.1473017283115876,0.2592917410490733
test2_linreg_Anc6_nv8_nd9,linreg,6,18,0.8494057218634746,0.8479599068750725,0.4890808825195078,0.4545703713857356,0.8403116735525472,0.8308550052520894,0.8373864854361801,0.8293101159896391,0.99204318827066,0.9972239193865796,0.9436350692763856,0.926476257151112,0.9957699539465608,0.9968732149835272,0.991674389776958,0.9914789218726516,0.2881645543326269,0.353192047606796,-0.385749223568176,-0.1010421481080682,0.015705837157913,-0.0209731041952363,0.0228892407549897,-0.0376197851654357
test3_linreg_nc6_nv8_nd9,linreg,6,19,0.8468140969569312,0.8430898979284545,0.4176912480988929,0.3682186308176275,0.837504720459268,0.8223072725387381,0.8360705990093871,0.8273745961602558,0.9935232444925938,0.9979009612434108,0.795165706871499,0.8873351000772415,0.996099695412739,0.993979517197223,0.9916252321235354,0.9880228326848158,0.5068034777078833,0.4967125731560645,-0.4838405764023155,-0.2126204294455783,0.354070438811852,0.2083824537668781,0.2302282865192646,0.2592917410490733
test3_linreg_Anc6_nv8_nd9,linreg,6,22,0.8521030890041358,0.8487116581262327,0.4231611435338841,0.4840402390645212,0.8335062202879981,0.8308550052520894,0.8347368534316504,0.8293101159896391,0.991248489927194,0.996921635828824,0.9430189345743996,0.9675378431426226,0.9927767252195904,0.9968732149835272,0.9965593619944378,0.9914789218726516,0.439069860026419,0.405633853989735,-0.351315492113819,-0.3317566645169572,0.105042760144114,-0.0209731041952363,-0.0006901579159863,-0.0376197851654357
test4_linreg_nc6_nv8_nd9,linreg,6,20,0.8394737474737992,0.8368553660982245,0.513941514481319,0.2565002454165682,0.8270163164318298,0.8223072725387381,0.8317562738545591,0.8273745961602558,0.993084286080564,0.9970521245449752,0.8970601729959616,0.7596788160582577,0.9920478224652324,0.993979517197223,0.9896113159500078,0.9880228326848158,0.2727391836077286,0.4636949169690336,-0.3923226283657133,-0.3120831540002227,0.3500729790158889,0.2083824537668781,0.2376392966016421,0.2592917410490733
test4_linreg_Anc6_nv8_nd9,linreg,6,18,0.8430056328303607,0.8487692275234452,0.5043358074421783,0.4431209354785358,0.8386303793413695,0.8308550052520894,0.8441483852275594,0.8293101159896391,0.9855226875580456,0.9973283546583848,0.9617184648145872,0.9341963284424208,0.9934217423084912,0.9968732149835272,0.9947907059788,0.9914789218726516,0.3634047675164148,0.4070459388398061,-0.4688470523124926,-0.3576825459577889,0.2351832501674672,-0.0209731041952363,0.2544601807539191,-0.0376197851654357
test5_linreg_nc6_nv8_nd9,linreg,6,16,0.8462345287919686,0.8384957552970076,0.6312300958957685,0.4386179061810538,0.8338134171500271,0.8223072725387381,0.8245292034414128,0.8273745961602558,0.993186244506326,0.997968851869004,0.9831090115645976,0.96691096090211,0.9937318912951172,0.993979517197223,0.991879039796768,0.9880228326848158,0.3051057701205807,0.4555361406783132,-0.3766441400056863,-0.1728182886165899,0.2052821465230774,0.2083824537668781,-0.0755708062633944,0.2592917410490733
test5_linreg_Anc6_nv8_nd9,linreg,6,18,0.8510625885737594,0.8515091848722112,0.5984463372003941,0.4113260077143218,0.8400778678924475,0.8308550052520894,0.8348381005656366,0.8293101159896391,0.9924844230974668,0.997529675270216,0.9522536253750274,0.915004916856044,0.9963104298477732,0.9968732149835272,0.99125147154374,0.9914789218726516,0.4294475811932061,0.4368516852836615,-0.4754123256875565,-0.089651333962292,-0.0124544967037047,-0.0209731041952363,-0.0195034130782301,-0.0376197851654357
test1_lgbm_nc6_nv8_nd9,lgbm,6,16,0.834078453611116,0.8404343816344509,0.5435781649696956,0.4271367471930623,0.8433166069321261,0.8223072725387381,0.8448537213875703,0.8273745961602558,0.98503713227123,0.99818771070662,0.8620345824953513,0.8650628429575424,0.99452674540565,0.993979517197223,0.9904274023646452,0.9880228326848158,0.495821422494442,0.3946073283746525,-0.4712252005269062,-0.2972733155483535,0.4640697282847175,0.2083824537668781,0.4874861047638774,0.2592917410490733
test1_lgbm_Anc6_nv8_nd9,lgbm,6,19,0.8343176029127999,0.8459511256671473,0.4422849101501791,0.4474259667097046,0.8349548100304198,0.8308550052520894,0.8364157299596565,0.8293101159896391,0.9846649639951996,0.997096532075925,0.8964639727648235,0.9500382901257928,0.9940715937602064,0.9968732149835272,0.9903831285605232,0.9914789218726516,0.2286161345281211,0.3464455826828758,-0.5240322174829468,-0.0259230273606295,0.022692659181357,-0.0209731041952363,-0.0656352478833192,-0.0376197851654357
test2_lgbm_nc6_nv8_nd9,lgbm,6,9,0.8382492267581857,0.8389299699136822,0.6700288637725553,0.34210793167500836,0.8436294020161244,0.8223072725387381,0.8470035568731371,0.8273745961602558,0.9787839264683493,0.9969428522837326,0.9456879866511039,0.9291766290365074,0.9942030426973514,0.993979517197223,0.9902455965939927,0.9880228326848158,0.47104964175462655,0.46044277850346516,-0.38104802275111,-0.3188756403194041,0.41195912714260763,0.2083824537668781,0.43569270427659224,0.2592917410490733
