,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11,zgv50_cluster12
1971-07-01,-0.03210268,0.009789157,-0.042611647,0.008349585,0.011948514,0.048945807,0.021737695,0.021737695,0.004174805,0.042755604,-0.09630807,0.0116606
1971-08-01,0.0028791665,-0.005758333,-0.03368621,0.049377657,-0.0047506094,0.0781693,0.034118105,0.0073418617,-0.034549974,0.048513938,0.0048945905,0.13460095
1971-09-01,-0.052832674,-0.0696758,-0.025768518,0.029799366,-0.00086376665,0.07600997,0.0030231238,-0.017994786,-0.0023033381,-0.013100207,0.0,0.0043187616
1971-10-01,0.083063886,-0.0706835,0.018282676,-0.098035574,-0.14381428,0.04246769,0.08104847,-0.011084795,0.033254337,-0.066508695,-0.024760842,0.019722272
1971-11-01,-0.020154143,0.0279279,-0.0073418855,0.19722278,-0.0064781187,0.03311043,0.29396266,0.05499203,-0.2768317,0.020442104,-0.102930166,-0.0038868904
1971-12-01,0.19218424,-0.116174296,0.27668774,0.030087281,-0.31757188,0.11257535,0.34319642,-0.012380409,-0.11243133,-0.14323846,-0.313685,0.17591698
1972-01-01,0.20412584,0.12586884,-0.041956283,-0.059975125,0.04708574,-0.02959299,0.053135823,0.021569991,-0.060369708,0.00986433,-0.11297946,0.065762185
1972-02-01,0.15664554,0.106140174,-0.10784998,0.043666102,-0.14257243,0.16637835,0.0668144,0.027357053,-0.11837196,0.20820308,-0.106534764,0.037879013
1972-03-01,0.097328044,-0.095223665,-0.07181225,0.12507969,-0.037089862,0.11350556,0.07733631,-0.026699448,-0.083649516,0.08838439,-0.22609043,0.02577877
1972-04-01,0.065630674,-0.13520709,0.023937464,0.012757885,0.05313585,0.15993361,0.08667457,0.014599204,-0.12994608,0.0003945589,-0.08798981,0.04669118
1972-05-01,0.11981873,-0.04169321,0.008154536,0.2093868,-0.02775166,0.07365365,0.14757033,0.06773505,-0.1359962,-0.016703606,-0.18584394,0.086148456
1972-06-01,0.031565856,-0.053661942,-0.053004313,0.079572245,0.011705661,0.0630002,0.015125275,-0.006576204,-0.037484456,0.07246993,0.011048031,-0.00670774
1972-07-01,-0.00052611827,0.0042087794,-0.026699448,0.0044718264,-0.0124948025,0.05760765,0.023805905,0.008812142,-0.0445868,0.054714106,-0.017755795,0.020123195
1972-08-01,0.013546991,-0.014730716,-0.03301263,0.03551159,0.021701526,0.063657805,0.011574173,0.023674369,-0.05274129,0.075889565,-0.008943653,-0.020123243
1972-09-01,0.014336157,-0.065499164,-0.01972866,0.06944485,0.04853251,0.013678503,0.06036968,-0.012231779,-0.024200488,0.045244385,-0.013547015,0.024068976
1972-10-01,0.015651416,-0.025384188,-0.09259319,0.01815033,0.17308609,0.07536344,-0.08299186,0.016703557,-0.10495643,0.071549274,-0.0011837005,-0.04050951
1972-11-01,-0.0071022986,0.05537176,0.08720064,0.17334914,0.035117008,0.022753716,0.114820816,-0.011574173,-0.14349309,-0.10495643,0.010653448,-0.050242327
1972-12-01,0.011179591,0.023279762,-0.0124948025,0.0013152361,0.0018413544,-0.21464777,0.0712862,-0.003682661,0.08022988,-0.17861013,0.02577877,0.053530406
1973-01-01,0.038507294,0.06496371,-0.09252828,-0.15707645,-0.052912872,0.15070474,0.006094694,-0.010250139,-0.050419606,0.027703082,-0.12106244,0.11856918
1973-02-01,0.06427114,0.06468668,-0.12050839,-0.21843882,-0.16427925,0.12729564,0.10734944,-0.05748389,-0.08948094,0.17397532,-0.062885985,0.07618346
1973-03-01,0.003601408,-0.0056791306,0.1638637,-0.11482923,-0.11746105,-0.0549906,0.12230907,0.03393627,0.07576791,-0.17355977,0.044047892,0.06690292
1973-04-01,0.023824656,-0.035321426,0.018006992,0.0558217,0.012466383,0.009834585,0.040862035,-0.009003502,0.0074798316,-0.17452939,0.028672686,0.004016948
1973-05-01,-0.026040893,0.018007,-0.014821148,0.04363234,0.11482926,0.018976608,-0.07701454,0.013020444,0.007202792,-0.028395653,0.018145517,-0.035321414
1973-06-01,-0.10831902,0.019115126,-0.012881932,0.008587951,-0.018422544,0.03753767,0.018976605,0.10139327,0.039753914,-0.017452944,-0.017175902,0.03753767
1973-07-01,-0.022993555,-0.017314423,0.0037399144,0.024517227,-0.0029088259,0.026594955,0.013020444,0.04571008,0.018699575,0.04432492,-0.089757964,-0.039615404
1973-08-01,0.0019392163,-0.008172405,0.018699575,-0.01592927,-0.02714901,0.041139074,0.025902376,0.010111624,-0.012327874,0.024517225,0.052081786,0.024378711
1973-09-01,0.0031858534,0.014128569,-0.015236711,0.032828152,-0.01565224,0.06399411,0.04875741,0.02590238,-0.04197017,0.030473385,-0.02576386,0.029919315
1973-10-01,-0.09072758,0.09709929,-0.040584993,-0.035459943,0.112474486,0.10734943,0.03088893,0.022993559,-0.1358836,-0.014959658,-0.013297478,0.019115126
