,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11
1972-09-01,-2.7211361e-05,-2.8072827e-07,2.519344e-06,-1.6361737e-06,1.3868339e-06,3.5716002e-06,3.6726604e-05,7.2455805e-06,7.0761525e-06,2.6531052e-06,1.3511599e-06
1972-10-01,-5.4427357e-05,-5.0426315e-06,1.1549782e-06,5.81349e-08,-4.685935e-06,3.5270132e-06,9.133694e-05,8.859635e-06,-2.2030334e-05,7.0315655e-06,2.8849608e-06
1972-11-01,-4.8176233e-05,-4.766196e-06,5.479931e-06,2.5371846e-06,4.677364e-06,4.9894734e-06,9.354846e-05,6.514354e-06,-6.6745197e-06,1.080364e-05,-4.320318e-06
1972-12-01,-4.7748203e-05,5.301583e-06,2.9919684e-06,1.5342608e-05,8.4286876e-07,2.8849608e-06,0.00012338617,9.885145e-06,2.318103e-05,8.172996e-06,-1.6183403e-06
1973-01-01,-2.8304705e-05,9.573847e-06,-6.264185e-06,1.5732097e-05,4.7958965e-06,4.5569977e-06,6.214903e-05,6.9990638e-06,1.6758473e-05,1.3539975e-06,3.4509867e-06
1973-02-01,-3.6427227e-05,7.788767e-07,-4.432637e-06,1.3874007e-05,-1.6189515e-06,4.3888867e-06,0.000110167464,1.0821426e-05,1.0989537e-05,5.5656747e-06,5.636459e-06
1973-03-01,-2.430538e-05,9.653482e-06,-4.069865e-06,7.777693e-06,5.716094e-06,2.8847135e-06,7.743848e-05,-1.5016849e-07,3.01102e-05,4.9197697e-06,8.5209285e-06
1973-04-01,-3.7913698e-05,-8.2638435e-06,9.618088e-06,1.0246302e-05,-7.573697e-06,1.2124292e-06,7.441245e-05,3.1877425e-07,3.6259604e-05,6.105409e-06,1.0396718e-05
1973-05-01,-3.4135577e-05,-1.6808845e-06,8.476687e-06,3.1304688e-05,2.2830427e-06,2.5484842e-06,5.7441863e-05,2.4865512e-06,3.7533726e-05,3.8845465e-06,7.193721e-06
1973-06-01,9.777352e-06,1.2042456e-05,2.4777037e-06,3.156128e-05,6.2846084e-07,4.8578295e-06,-4.644986e-06,1.9645158e-06,6.1096114e-05,5.7249417e-06,3.4863842e-06
1973-07-01,8.60056e-06,-1.7235776e-05,4.937465e-06,2.2023072e-05,4.787049e-06,3.5660123e-06,4.3753913e-05,2.805078e-06,4.3913176e-05,1.7610073e-06,-1.5902333e-07
1973-08-01,7.397226e-06,-1.0643977e-05,3.7164282e-06,2.9366962e-05,1.9645158e-06,1.9733634e-06,4.048013e-05,4.6277783e-06,3.3109693e-05,-9.361007e-06,-9.918433e-06
1973-09-01,1.7484017e-05,-5.8925652e-06,4.742804e-06,3.7783684e-06,1.256667e-06,2.1857195e-06,-4.9723676e-06,7.7002915e-07,4.6213674e-05,-8.314746e-07,-9.641954e-07
1973-10-01,-1.22366255e-05,1.1361157e-05,5.760332e-06,1.490923e-05,-2.5568443e-06,1.6813792e-06,5.457509e-05,3.7341306e-06,2.4323566e-05,3.6301208e-07,-5.680209e-06
1973-11-01,-4.162104e-05,2.5484842e-06,2.0529988e-06,-4.565358e-06,6.3177613e-06,2.5484842e-06,0.00011552939,-7.960771e-07,9.760322e-05,1.7669823e-05,-1.3889003e-06
1973-12-01,-4.2364278e-05,-2.386514e-07,5.0967283e-06,3.5040794e-06,6.229282e-06,3.2474854e-06,0.00014066673,3.7518257e-06,8.2526116e-05,1.3803223e-05,1.7720595e-07
1974-01-01,-1.4334488e-05,2.8552317e-05,1.3260578e-06,1.7864295e-06,-8.091265e-06,3.070607e-06,7.744005e-05,-7.900089e-07,7.088184e-05,1.7923496e-05,2.650624e-06
1974-02-01,-3.7320526e-05,7.3646515e-07,1.4369787e-05,3.8782673e-06,-6.8797744e-06,6.314731e-07,7.826386e-05,1.3179815e-06,3.4084795e-05,8.603089e-06,2.7879287e-06
1974-03-01,-3.227264e-05,8.57078e-06,-3.479523e-06,6.610935e-08,1.0541473e-05,1.0353033e-06,4.8154252e-05,3.272522e-06,1.1954882e-05,1.0016494e-05,3.9267325e-06
1974-04-01,-1.8324332e-05,-9.4723655e-06,5.5178207e-06,1.1534896e-05,8.142721e-06,2.0852603e-06,6.816002e-05,2.7152346e-06,3.147605e-05,1.9433824e-05,-5.3155964e-07
1974-05-01,-1.5699436e-05,-8.71317e-06,9.787691e-07,1.6905844e-05,2.3760222e-06,1.2129894e-06,6.37825e-05,8.8184606e-07,2.3488283e-05,4.2148167e-07,3.1352247e-06
1974-06-01,-9.512754e-06,4.6616988e-06,4.7505455e-06,4.0214945e-05,2.101413e-06,4.3790205e-06,3.638663e-05,-9.4346615e-07,-2.0418884e-06,8.0108293e-07,-5.199843e-06
1974-07-01,1.8268111e-06,-2.284185e-06,3.022149e-06,2.2551394e-05,1.7939648e-05,5.5097444e-06,-2.1134998e-05,1.0676085e-06,4.7144677e-05,2.674853e-06,4.968613e-06
1974-08-01,7.125069e-06,-4.6425557e-06,7.997343e-06,3.4520934e-05,2.2144886e-06,3.765199e-06,1.2609085e-05,-6.1609608e-06,4.360712e-05,-1.9934232e-06,-2.0176594e-06
1974-09-01,-2.8226263e-05,-4.7394715e-06,7.044302e-06,3.6596623e-05,3.4825134e-06,2.4971669e-06,4.0093793e-05,-6.8313166e-06,3.469862e-05,-6.2498e-06,2.3194807e-06
1974-10-01,-4.2473403e-05,-2.0418884e-06,-1.7915081e-06,7.5692806e-06,-9.553136e-06,3.6036654e-06,7.795695e-05,2.2467939e-06,6.669815e-05,3.0786832e-06,-6.096343e-06
1974-11-01,-3.5721358e-05,-5.2644536e-06,8.578856e-06,5.186681e-06,-7.493596e-06,4.3790205e-06,9.694506e-05,6.2608706e-06,8.925613e-05,1.5484362e-05,-1.1938391e-06
1974-12-01,-2.3816428e-05,1.872308e-05,3.046378e-06,7.415827e-06,-3.132227e-06,4.274021e-06,8.512898e-05,8.546551e-06,4.9704962e-05,1.570243e-05,6.640472e-06
1975-01-01,-3.6056615e-05,7.4247873e-06,7.1651702e-06,6.412847e-07,4.234029e-06,5.0547496e-06,0.00011158084,5.0798735e-06,5.3552594e-05,8.170136e-06,4.5438937e-06
1975-02-01,-3.3334847e-05,6.989303e-06,-2.3819775e-06,9.344003e-07,-2.5076006e-06,1.3280114e-06,8.961403e-05,-2.7993156e-07,4.0739316e-05,5.9173435e-06,8.312505e-06
1975-03-01,-2.0831427e-05,3.14532e-06,6.243954e-06,9.518459e-06,4.259153e-06,-2.1293454e-07,5.0412087e-05,-2.9933326e-06,4.4206437e-05,6.3193293e-06,1.1603759e-05
1975-04-01,-4.9238388e-05,-4.3835316e-06,3.9325387e-06,2.793582e-06,-3.345067e-06,1.847242e-06,2.8545763e-05,1.1367956e-07,3.4240555e-05,7.4164127e-06,9.953943e-06
1975-05-01,-2.5253266e-05,-2.1642372e-06,7.6174038e-06,3.0564064e-05,-1.8878709e-06,2.4920919e-06,1.3839803e-05,-1.19398464e-08,3.8788014e-05,3.589179e-06,6.126709e-06
1975-06-01,-1.1502019e-05,1.4978759e-05,5.640977e-06,-2.4643305e-07,5.071499e-06,4.4601475e-06,2.0901061e-06,8.674033e-07,4.8284914e-05,8.379502e-06,1.0348958e-06
1975-07-01,2.4334695e-06,-3.763802e-06,8.3041305e-06,2.3177585e-05,1.9742583e-07,4.5438937e-06,4.4482804e-05,-3.7205245e-07,2.427467e-05,2.2492277e-06,7.408038e-06
1975-08-01,1.30525805e-05,-2.3233551e-06,4.0581617e-06,5.8083304e-05,-1.1927732e-06,2.3929897e-07,3.3202094e-05,-3.1273266e-06,3.6895333e-05,-8.520627e-06,-1.3553818e-05
