,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1972-04-01,0.03270874,0.028117752,-0.16526413,0.38963357,0.13054733,0.1770279,0.041316222,0.10329018,-0.019510651,-0.33110237,0.105298616,0.16555099
1972-05-01,0.06283493,0.0060253143,-0.19682541,-0.41746444,-0.33569297,-0.25965995,-0.37901726,0.10099487,0.24818344,-0.36151582,0.17588043,0.3445877
1972-06-01,0.07459831,0.19424286,0.19452973,0.034143068,0.75918275,0.33655375,-0.16210823,0.2585125,0.1661251,0.17702751,-0.06082649,0.48775902
1972-07-01,-0.028404236,0.5351006,0.03213463,0.4309494,-0.026109314,-0.12566987,-0.31417426,-0.16440353,-0.027544022,-0.21576118,-0.11763611,-0.018649291
1972-08-01,0.039881133,0.3032711,0.35893327,0.007172966,-0.06943397,1.1040571,-0.43668786,-0.2960987,-0.04332428,0.022953033,-0.16067429,-0.063121796
1972-09-01,0.16870728,0.2585121,-0.32192117,0.391642,-0.084927365,0.20830193,0.2530609,0.33913612,0.018075943,-0.20026818,-0.046193697,0.36811486
1972-10-01,-0.0031562806,-0.0645565,-0.48747215,0.41488227,-0.30757523,-0.23814106,-0.11189766,-0.029839326,0.48488998,-0.014632797,-0.32880706,-0.10300331
1972-11-01,-0.032421492,0.14116326,-0.2085888,-0.19223443,0.62519264,0.072589874,0.023814011,-0.16755943,0.09669113,-0.17215042,-0.19567756,-0.19424286
1972-12-01,-0.16755962,-0.19912033,-0.34143144,0.0017211915,0.4541897,0.27830964,0.27228433,-0.017502213,0.3483177,-0.14058952,-0.1523529,-0.02151909
1973-01-01,-0.5558771,-0.006371307,-0.4217659,0.50363386,-0.2532509,-0.7342674,0.1831686,-0.06976318,-0.026758576,0.08632813,-0.27236405,-0.08059426
1973-02-01,-0.5679821,0.015608978,-0.8441685,0.36474457,-0.40010375,-1.0999672,0.3032635,-0.320784,0.33734894,-0.10735283,-0.027714157,-0.28383142
1973-03-01,-0.16532937,0.09301834,-0.19368096,0.1783905,0.043323517,0.4427902,-0.008600998,-0.2608959,0.474646,0.20674172,-0.15226898,-0.53134805
1973-04-01,-0.14398651,0.14908333,-0.05925102,0.039819337,0.22935906,-0.12965146,-0.3370304,0.06116257,0.008919525,-0.21247558,0.3507282,0.009875107
1973-05-01,0.09492912,0.14812736,-0.27714235,0.042049028,0.9699974,-0.5297556,-0.6320114,0.19814071,-0.10544129,0.119458005,-0.039182283,0.07326736
1973-06-01,0.29179573,0.31377563,0.08123169,-0.10480423,0.09238052,-0.21343136,-0.15641022,0.10002594,0.26025885,0.029943848,-0.3564621,0.22649232
1973-07-01,-0.2567543,0.46445197,-0.29402542,0.00063705444,-0.5100052,1.2895072,0.0028671264,-0.060206603,-0.13124427,-0.07772751,-0.06657715,0.01783905
1973-08-01,-0.042686462,0.56129265,-0.22585449,-0.12232475,-0.677565,0.69412917,-0.10958252,0.13570404,0.049375914,-0.42049178,-0.14207534,0.21279374
1973-09-01,0.024209594,0.33639297,0.100981906,0.24528694,-0.030262757,0.043323327,-0.2656742,-0.10607834,0.10607834,-0.11690903,-0.09238052,0.15003891
1973-10-01,-0.08059426,-0.020706177,-0.5039528,0.056702804,0.65462875,-0.030581092,-0.18253174,0.24783516,0.47910517,-0.0082824705,-0.37812385,0.20674172
1973-11-01,0.0885582,0.12455444,-1.4127878,0.22681046,0.50458944,0.47145995,0.16278115,-0.057976913,0.29243279,-0.041411974,-0.05001297,-0.37907943
1973-12-01,-0.2876545,0.039182283,-1.7058575,0.46158487,-0.32747346,-0.59824485,0.4338707,-0.22967759,0.4182617,-0.10767136,-0.14972039,-0.12519188
1974-01-01,-0.2764496,0.401033,-1.8250287,0.23864746,1.0735848,-0.03648758,0.07757683,-0.36158714,0.4648037,-0.0095329285,-0.10814743,-0.2961731
1974-02-01,-0.47729492,0.23042908,-1.11829,0.5762383,0.24456444,-0.46710473,0.24653664,-0.106832124,0.5371212,-0.19098434,-0.11044808,0.11800919
1974-03-01,-0.06870117,-0.030899048,-1.0512321,0.38295403,0.59957695,-0.3306877,0.3559986,-0.30767745,0.5755806,-0.3589573,0.27086145,-0.32049713
1974-04-01,-0.24127693,0.06541443,-0.77774084,-0.19197007,-0.5440239,0.057196043,-0.25902787,0.058182526,0.36914748,-0.19953041,0.32707176,-0.011833573
1974-05-01,-0.021695327,0.077905275,-0.038788605,-0.3619156,-0.18440934,-0.12261085,-0.15252419,0.053580858,0.47828102,-0.09138298,0.19788666,0.18243714
1974-06-01,0.3813095,0.25245363,0.14825058,0.045362853,0.39281502,-0.11406441,-0.0578537,-0.073632814,0.3001171,-0.13378754,-0.34317932,0.2166237
1974-07-01,0.42239913,0.29222792,0.12326813,-0.205447,-0.39380112,0.7662357,-0.02695465,0.38525468,0.31458053,0.013806152,-0.35764235,0.07856293
1974-08-01,0.16041335,0.10617523,-0.18473816,-0.21399383,-0.30833513,0.18112221,-0.4588867,0.003944397,0.12458267,-0.2031456,-0.37210616,-0.033200074
