,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,mgv600_cluster11,mgv600_cluster12
1976-05-01,0.116397284,-0.18733525,-0.32424954,-0.0046934364,-0.10285334,0.14670345,0.5322359,0.095612034,0.36716098,-0.44078094,-0.5099756,0.31526497
1976-06-01,0.24191323,-0.16306348,-0.34597346,0.24177913,0.021589816,0.037815712,0.8830369,0.23949948,0.55235064,-0.15528579,-0.28093582,0.014348507
1976-07-01,0.2739627,-0.23762207,-0.31566724,0.038620282,0.015421296,-0.26256433,0.8963126,0.30239153,0.5783657,-0.41919106,-0.26323482,-0.14871494
1976-08-01,0.09346645,-0.10982647,-0.4712212,0.009252762,0.20530441,-0.110094644,0.6959699,0.16064969,0.53049266,-0.43742847,-0.24727714,-0.1772779
1976-09-01,-0.018907845,-0.146033,-0.23923126,0.08019073,-0.024539983,-0.0069731115,0.7091115,0.26886696,0.3198243,-0.16333166,-0.27637646,0.17204805
1976-10-01,0.083543204,0.019712448,0.03258586,0.060612403,-0.089845814,0.055918954,0.46585733,0.13946216,0.27825385,-0.50233203,-0.31781286,0.20061097
1976-11-01,0.09145498,-0.070803866,-0.13892579,-0.08340909,-0.19229686,0.09293008,0.7474636,0.123772666,0.12256577,-0.8319454,-0.43501472,0.659361
1976-12-01,0.21804373,-0.19953816,-0.054309797,0.08153172,-0.27101254,0.09386876,0.49763855,0.07429042,-0.076436,-1.0938393,-0.2881771,0.33511147
1977-01-01,-0.010956478,-0.13203254,0.026073694,-0.06504544,-0.29443812,-0.23438549,0.19444287,0.031343855,-0.13633192,-1.000923,-0.28597802,0.30137253
1977-02-01,0.20387375,0.14215688,-0.25283122,0.13813488,-0.17835487,0.105958864,0.72451466,0.26697755,0.059081793,-0.9288045,-0.46142045,-0.010263014
1977-03-01,-0.0031898618,-0.1217695,-0.33354858,0.09846964,-0.001802969,0.15297467,0.52299863,-0.00069345237,0.07045434,-0.72659504,-0.42425162,0.6005262
1977-04-01,0.1486753,-0.06601627,-0.17863223,-0.05256337,-0.17669061,0.18778577,0.41745582,0.007073176,0.09417026,-0.36489242,-0.2913869,0.36364427
1977-05-01,-0.05103779,0.15463896,-0.09264468,0.14132473,-0.3544907,0.07711144,0.52147305,0.33410332,0.23369202,-0.61647546,-0.33923483,0.26725492
1977-06-01,0.21427551,-0.022467708,-0.23910093,0.14493068,-0.29624104,0.007627928,0.6639073,0.14368248,0.42771882,-0.21094692,-0.27640843,0.059497852
1977-07-01,0.14090867,-0.13009086,-0.3345194,0.17696795,0.2313343,0.009985661,0.74795324,0.12190817,0.37446204,-0.37820667,-0.18140605,-0.045490168
1977-08-01,0.1981875,-0.1421569,-0.3052559,0.028708745,0.043548547,-0.18556674,0.63505983,0.13827354,0.25602108,-0.075585864,-0.2452033,0.14728841
1977-09-01,0.17419419,-0.15755142,-0.24437115,0.119827844,-0.018307034,-0.27377337,0.7564133,0.19236253,0.43007654,-0.0013868988,-0.16406988,-0.19277859
1977-10-01,0.15574846,-0.1073458,0.032175995,0.14825922,-0.13730273,0.039110474,0.50427556,0.10692972,0.2593496,-0.33091345,-0.24714494,0.06962218
1977-11-01,0.23355334,-0.1592157,0.10984218,0.07641798,-0.5003922,0.05824964,0.55101395,0.20165472,0.17780013,-0.68831664,-0.32356295,0.20692496
1977-12-01,0.0005547583,-0.070454344,0.1097035,-0.0348111,-0.26961267,0.25227645,0.5285462,0.12010522,0.0151171805,-0.79108566,-0.29221904,-0.08626499
1978-01-01,0.19303511,-0.3419978,0.08430749,0.06628315,-0.24861994,0.016280066,0.16256814,-0.04930537,0.21222238,-0.8109802,-0.38072115,0.19105825
1978-02-01,-0.021164095,0.16245185,-0.0073260306,0.010930908,-0.21966472,-0.13477573,0.46072602,0.044770204,0.08849381,-0.65597063,-0.26803976,0.010116863
1978-03-01,0.17012675,-0.04314219,-0.17338279,-0.027094686,-0.22106011,0.15012552,0.46712175,-0.0827958,-0.009884333,-0.7940024,-0.2490851,0.024420107
