,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9,vo1000_cluster10,vo1000_cluster11,vo1000_cluster12
1970-02-01,4.3179786623547876e-05,6.036352385586451e-06,-0.0007441782145178877,6.11903391417758e-06,0.0017960459445021115,-2.2772675555304386e-05,0.00017785894141847928,-6.316723946448681e-05,3.354410148825048e-05,-3.1301675748049735e-06,-6.681471969727788e-06,0.00298964496323606
1970-03-01,3.6992386011259945e-05,5.252850705175316e-06,-0.000740536112668148,4.835387389076376e-06,0.00024260320969915483,3.841783194836941e-06,0.00018612509818687555,-5.568784737468896e-05,1.344989060372528e-05,-1.9277498130374507e-06,-6.877075294721221e-06,0.0028441449103411287
1970-04-01,4.1173736282691426e-05,6.074333887402145e-06,-0.000726928556105122,1.6359598734280472e-06,-0.0015282193999155425,2.862582679132602e-05,0.00021237065084278584,-4.821869684487215e-05,-1.386180075415824e-05,-7.797059733220616e-07,-7.290658077377116e-06,0.0025978024495998397
1970-05-01,3.070574068162288e-05,4.792497659122634e-06,-0.0005657613655785099,-2.4356074070717364e-06,-0.0025688512323540635,6.17063407987064e-05,0.00023631387927208937,-3.0465925452257837e-05,-3.639102875173126e-05,4.861469638842908e-07,-5.959350750654726e-06,0.001698693995422218
1970-06-01,2.5052338822058877e-05,5.733227201056054e-06,-0.0005200083251111209,-3.9024002023090745e-06,-0.0037741872802143916,9.113330937301119e-05,0.00024166891366363534,-2.9215347499952517e-05,-6.718110617603761e-05,1.7397549539867572e-06,-6.724838622227369e-06,0.0002628903757795342
1970-07-01,3.09473164036119e-05,6.370956613980573e-06,-0.0005500995030160993,-6.12641288756949e-06,-0.004119198274565861,0.0001017689760820027,0.00024406324354781498,-2.3060738385538567e-05,-8.135259661314733e-05,2.312718751207911e-06,-6.139084196035453e-06,-0.0008667328074807301
1970-08-01,2.557196755849479e-05,5.7938217806608425e-06,-0.0006271354019797097,-6.219047256970292e-06,-0.004315343539929017,9.21418926308808e-05,0.00023798699746088636,-2.4918353704249186e-05,-7.084599255230622e-05,2.3126701920115465e-06,-5.957855678342231e-06,-0.0015181693015620112
1970-09-01,3.558558616147435e-05,5.5979911031869385e-06,-0.0006337018930935301,-4.336209527471538e-06,-0.0036861976695945486,6.412360651701616e-05,0.00022679345302974746,-3.6918049772793886e-05,-5.042335302547414e-05,1.3644913546633568e-06,-5.92966276766082e-06,-0.00012185771538497647
1970-10-01,3.848982561140547e-05,5.8103985922677525e-06,-0.0006141644917079248,-1.0315266572227053e-06,-0.0025998138880822808,2.623702112388998e-05,0.00017956153897102922,-4.903250295943247e-05,-1.9903944592914303e-05,1.6387802776109534e-07,-5.432529815748074e-06,0.0015019482816569507
1970-11-01,4.5500772856784194e-05,5.702028713755588e-06,-0.0007347443291412977,3.594329693138813e-06,-0.0014546274542226456,-1.825650293076429e-05,0.00013590816383986102,-5.5822004339591195e-05,7.662226751024179e-06,-9.064760813151405e-07,-5.9094279143501684e-06,0.0021033107259427197
