,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10,mgu250_cluster11,mgu250_cluster12
1972-04-01,-2.1343765,-1.9501755,0.048488997,-1.1017616,-0.89087754,0.087796785,0.19596405,0.73995936,-0.046193697,-2.2652106,-1.3947041,-0.30958366
1972-05-01,-0.37414017,-2.0933473,1.3493713,0.7904564,-2.4359264,0.12079239,0.32679862,0.74282837,-0.6352345,-2.3096833,-1.2908401,-0.5666615
1972-06-01,1.0621672,-3.202282,-0.8515701,-0.32536393,-2.5618832,1.356831,1.3706032,2.1934814,1.4279865,-3.0398872,-0.24273185,-0.8670635
1972-07-01,-0.58674586,-2.472365,-2.3257508,-1.8187683,-2.5340524,1.6601021,1.0647495,3.2215056,1.3640038,-4.0461054,-0.69060975,-1.074218
1972-08-01,-0.18534812,-2.5202801,-0.84755325,-3.4975197,-2.7977288,1.5843563,0.8848526,4.1425095,2.8815086,-4.1123834,-0.05795746,-0.37127075
1972-09-01,0.47341308,-1.2977263,-0.92473376,-3.004596,-1.9435768,1.9754242,-1.1410694,1.42397,0.9017807,-3.621468,0.847266,-0.7712334
1972-10-01,-0.8266083,-1.166605,2.0718284,0.39967576,-2.935162,0.23699379,-0.55776674,1.2615745,0.99129903,-1.5662811,-0.33626708,-0.21203193
1972-11-01,-1.1046307,-2.5664737,0.39365005,0.8570217,-2.2939026,-0.3577854,0.5032528,1.3685948,0.061113358,-1.1215591,-0.86993295,-0.4470169
1972-12-01,-1.9407078,-1.8641005,-0.2685543,-0.063695714,-1.8884885,-2.1805701,-1.2102163,-1.1809509,-3.2708557,-0.4978012,-2.1624942,-0.07144241
1973-01-01,-1.0321159,-1.3608634,0.6437979,-3.1976466,-0.44215316,-1.013958,-1.4685345,-0.9961189,-0.31823578,-2.0948122,-2.034605,-0.7097389
1973-02-01,0.41443902,-1.8230854,1.5357494,-1.4764984,-0.40233383,-1.1280003,-0.3367117,-1.4637562,-0.21948394,-2.0760174,-2.3203485,-1.1053829
1973-03-01,-0.90947187,-0.4208103,-1.0560071,-3.0100179,0.020069122,0.9585293,-0.7654856,-0.17297478,0.27937204,-1.877558,-0.5514172,-0.8639191
1973-04-01,-1.0107723,-2.4426732,-1.4975231,-1.2089131,-1.5519955,-0.0082824705,1.9559224,0.6100315,0.56893766,-2.5153036,0.43769342,-0.3023079
1973-05-01,-1.1799247,-2.857112,-0.23413697,-1.2296196,-2.3292677,0.49821854,-0.18922119,-0.025802612,0.6947662,-3.4661872,-0.2812832,-0.04873886
1973-06-01,-0.41029778,-2.7574046,-2.7099395,-3.528624,-2.060408,2.2566376,0.9900662,2.6608825,3.4757442,-3.8799896,1.4911522,-0.60620844
1973-07-01,0.46859282,-2.5057468,-3.2224936,-2.7226822,-2.0199516,1.2535102,0.0653038,2.2104478,1.7921852,-3.773911,0.98847353,-0.7855545
1973-08-01,-0.9155243,-2.9424846,-2.1199775,-3.1874528,-1.9014496,2.7542195,0.860096,2.5771027,2.1562934,-3.9978542,0.7024124,-0.47305337
1973-09-01,-0.59665143,-2.144825,-2.509251,-1.0467682,-1.9138733,0.73808974,-1.200312,1.147432,0.92348826,-3.631199,0.64093095,-0.38385773
1973-10-01,-1.2589257,-1.4873292,-0.08823967,-1.6494735,-1.8304123,1.3898518,-1.1235405,2.2626903,2.0285525,-3.7223048,-0.29402542,-0.38640633
1973-11-01,-1.3599075,-1.8874334,0.08027573,-0.5960144,-1.527467,-1.3608631,-0.94005316,0.7734493,-0.06434784,-1.6392796,-1.959108,-0.3147312
1973-12-01,-1.5905406,-0.99898565,-0.40010396,-2.334046,-0.6058899,1.4025936,-1.5860811,-1.208276,0.8578663,-2.7057989,-1.7377131,-0.65749586
1974-01-01,-3.9422848,-1.309274,-1.68894,-2.4416988,1.4723167,-0.9243479,0.3855835,-2.029818,-1.7382476,-1.2257805,-2.731297,-0.0095329285
1974-02-01,-2.435782,-1.7185246,-0.8615633,-2.933128,0.48321152,0.99567926,0.047006227,-0.9989666,0.78760225,-1.0900208,-0.19098377,-0.6873444
1974-03-01,-1.8753217,-1.2888935,-0.39314383,-3.1047177,0.086452484,0.6649914,0.47992438,-0.3418644,0.22977218,-1.9150966,-1.5216243,-0.70509416
1974-04-01,-0.5430378,-1.864803,0.33956337,-0.13411598,-1.6202389,0.6465832,0.7340218,1.7740777,-0.5430382,-2.5751572,-1.1439297,0.19065514
