,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1970-09-01,8.39032778727684e-06,1.700190151113666e-05,1.8765003265538586e-06,-6.761588402171161e-06,3.925004805586279e-06,6.627289355780771e-06,9.919624164149796e-06,5.0559703429991544e-05,1.9580899361801353e-05,-4.377797463972706e-06
1970-10-01,1.2379682293276009e-05,1.2979454249548525e-05,6.307483362162473e-06,7.700748002963325e-06,-2.3365992046514686e-06,2.4480660369324432e-05,5.002064788694272e-06,2.0076618745930098e-05,4.10251621880369e-06,5.920517597748103e-06
1970-11-01,2.897777112256908e-05,1.2252679669578304e-05,2.7949102910828185e-06,4.2139842188474395e-06,-6.244354664959735e-07,1.655818844638572e-05,-9.188038215478566e-06,2.4452737940891616e-05,2.0493543885021034e-05,1.247038502090921e-05
1970-12-01,1.3678295881955245e-05,9.773398430653565e-06,1.7205047107062775e-06,1.0806906828574811e-05,-9.398785392025598e-07,2.351807557804533e-05,-3.8096529409000865e-06,7.865988856902924e-06,1.4993307856030345e-05,1.0244256747468813e-05
1971-01-01,1.886762085497914e-05,3.0612135152045665e-06,-1.5203046994476561e-06,1.091578871611847e-05,-3.5588633737223293e-06,3.0932673458975355e-05,-1.951893952616391e-06,2.415149675939712e-05,2.315438200175591e-05,5.278039840478039e-06
1971-02-01,1.9768086295462798e-05,1.0011854430848726e-06,-7.277184841449844e-06,1.1827435461692776e-05,1.4542087802394675e-06,2.467076694479258e-05,-6.162249563698141e-06,-2.7310188050416233e-06,1.4149511153679057e-05,1.2659105171527093e-05
1971-03-01,8.156375433490783e-06,5.858118643316076e-06,4.157897949750934e-06,1.0854817984681445e-05,-4.297166222557207e-06,1.859630950692496e-05,-3.3847086221162368e-06,-4.97301229960144e-06,4.701975777439954e-06,1.3604737129450465e-05
1971-04-01,1.1521732361601338e-05,1.1992097574545989e-05,-7.934504862662704e-07,4.816699552514327e-07,-9.296634716337082e-07,1.6048615202080552e-05,3.6696752493263526e-06,9.227261960569939e-06,7.876568426062086e-06,5.522779960587036e-06
1971-05-01,1.4604527812614967e-05,7.304964563682797e-06,5.294593877322343e-07,8.183906335085647e-07,1.006980325820412e-06,3.991113416992537e-06,5.814814447422551e-06,1.8585897674766425e-05,2.0017076315766923e-05,8.333334371141687e-06
1971-06-01,1.1190959244063209e-05,7.238046843364525e-06,2.345467095579665e-06,6.177151590236463e-06,-5.4954843956589596e-08,1.0741885533916946e-05,9.40953428141159e-06,2.8664996507083714e-05,1.1894935039667963e-05,7.636615063187064e-06
1971-07-01,1.7173631392695285e-05,9.796706539075958e-06,-3.199754140147782e-06,-2.3774579800937972e-07,1.9657882576028587e-06,1.7259171505518282e-05,1.0079242250320074e-05,2.9922072523428746e-05,1.6441164025680486e-05,6.8402837938514955e-06
1971-08-01,7.346302818741942e-06,9.937564201485975e-06,1.912445382432251e-08,-9.65447136070612e-06,2.3101870436026034e-06,1.555211649868331e-05,2.1091143778603422e-05,5.367251794792316e-05,1.2409612523066355e-05,-1.7582448542859363e-06
