,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12,sstGLB_cluster13,sstGLB_cluster14,sstGLB_cluster15,sstGLB_cluster16,sstGLB_cluster17,sstGLB_cluster18
1988-04-01,297.60187,289.97964,295.74435,289.37717,300.3694,302.63007,292.54535,291.80273,284.8255,298.15375,295.02252,302.5901,294.17218,282.6741,300.95416,288.64166,301.2339,289.43384
1988-05-01,298.95856,290.61197,295.04324,288.17627,299.14218,302.18793,293.9066,290.85983,285.35312,296.7854,296.231,302.06805,293.24847,287.0892,301.22986,287.68814,300.41644,291.77695
1988-06-01,299.90604,292.08856,293.46753,287.63147,298.14313,301.36795,295.9199,289.86887,286.46548,295.96088,297.63727,302.3574,291.9019,292.91867,301.70688,286.93643,299.62073,294.83786
1988-07-01,300.34308,293.51202,292.45834,287.33655,296.97208,300.20447,297.65497,289.3266,289.59116,294.52982,298.94186,302.236,291.02374,297.02216,301.43018,286.22217,298.81693,298.19473
1988-08-01,300.65924,295.6164,292.1017,287.289,296.19052,299.57217,299.45786,288.86728,291.61307,294.08212,300.294,301.95422,290.75006,299.29596,300.75284,285.52914,297.9686,299.15735
1988-09-01,301.25616,295.68365,291.70157,287.11752,295.80405,299.50894,299.13965,288.79596,292.66727,293.77658,300.05322,302.33615,290.28925,297.33224,300.8363,285.21097,298.07938,297.80118
1988-10-01,300.67795,293.8712,291.867,286.97437,296.4465,299.78918,298.3905,289.27448,291.0976,293.68048,299.61313,302.33008,290.68176,292.71176,300.87424,284.7198,298.6434,295.46664
1988-11-01,300.06738,291.87762,293.31122,288.2567,297.1648,300.3623,295.7661,290.45212,288.31995,294.50858,297.7516,302.09335,291.27615,287.69977,300.41794,285.1786,298.4957,292.37488
1988-12-01,298.7901,290.6838,293.95264,290.15063,297.79712,300.82162,293.9339,292.473,286.9435,296.0069,296.44345,301.80704,292.32935,283.90182,299.83826,286.92883,299.4027,290.3975
1989-01-01,297.7747,289.88123,296.06577,291.9724,299.3883,300.77872,292.57886,293.6823,285.82092,297.942,295.07367,301.62637,294.58832,282.33932,299.38638,288.7447,299.81775,288.4417
1989-02-01,297.39926,289.1396,296.8332,291.40146,299.76572,301.19354,292.2637,293.92206,285.5272,299.14954,294.94333,301.12888,295.1053,281.08414,299.90332,289.5481,300.42953,288.09058
1989-03-01,297.26602,288.86188,297.01703,291.5493,300.3386,301.9478,292.21118,294.03586,284.99466,298.57275,294.8835,301.80923,295.186,281.5082,300.09933,289.4085,301.177,288.62747
1989-04-01,297.34238,288.58856,295.648,290.6214,300.04437,302.17154,292.60995,292.88522,285.43137,297.63416,294.9341,302.32666,294.1234,283.1296,300.3911,288.69556,301.03647,289.70663
1989-05-01,298.4152,290.25327,294.48474,289.8107,299.06006,301.74454,293.59283,291.69666,286.226,296.53458,295.98746,302.76678,293.2767,287.3499,300.50687,288.11636,300.50977,291.55515
1989-06-01,299.51038,293.2096,292.9217,288.3629,297.8141,300.7578,296.17664,290.33154,288.70187,295.14517,298.19003,302.08353,291.79004,291.3047,301.05542,286.79163,299.43842,293.92157
1989-07-01,300.46066,295.20984,291.862,287.17337,296.63574,299.8513,298.24985,289.22516,289.75574,294.15988,299.38248,301.9775,290.73813,296.68533,301.3482,285.818,298.80328,297.1279
1989-08-01,300.85846,296.32013,291.38394,286.89764,296.2287,299.19623,299.6135,288.86917,292.57642,293.9522,299.9578,301.78296,290.368,298.90054,301.37787,285.3769,298.38455,298.29117
1989-09-01,300.36826,295.116,291.631,286.89957,295.9403,299.51282,298.8028,288.8264,293.1464,293.88364,300.0497,302.07135,290.3087,297.21786,300.88278,284.8332,298.09274,297.49603
1989-10-01,300.5735,293.44937,291.96753,287.04013,296.4699,299.91016,297.19452,289.21884,292.6985,294.00473,299.00412,302.37384,290.6219,292.54285,300.88376,284.96402,298.6102,294.97348
1989-11-01,299.78516,291.25217,292.65228,288.25983,297.2169,300.81665,295.56244,290.4142,290.36316,294.87915,297.65314,302.37384,291.5245,288.4315,300.73932,285.85254,299.3465,292.98248
1989-12-01,299.22296,289.87442,294.3792,289.3803,297.73483,301.38223,293.72025,291.40973,288.59634,296.56668,296.87842,302.15695,293.44012,285.12158,299.94272,287.44766,299.51624,290.7104
