,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12,ssta20GLB_cluster13,ssta20GLB_cluster14,ssta20GLB_cluster15,ssta20GLB_cluster16,ssta20GLB_cluster17,ssta20GLB_cluster18
1986-09-01,1.6046448,-4.320038,-7.6884155,-12.582794,-3.80542,-0.306427,-0.63375854,-11.599731,-5.565399,-6.076355,1.0779419,1.8086853,-9.5008545,-3.936554,1.6759644,-15.18158,-1.3708191,-1.6472778
1986-10-01,1.0901184,-6.1502075,-7.9568787,-12.703857,-3.4527893,-0.38238525,-2.6942444,-11.022034,-7.6783447,-5.928314,-0.16311646,2.2337036,-9.395294,-7.2869873,1.0360718,-15.268555,-1.2568665,-4.3991394
1986-11-01,-0.2217102,-7.5417786,-7.570099,-12.191193,-3.2643127,0.0715332,-4.126709,-10.445343,-10.193024,-5.69104,-1.2771606,2.1525574,-8.969696,-11.448883,0.78656006,-14.648346,-1.0856934,-7.0848694
1986-12-01,-1.3092041,-9.075195,-5.551544,-10.452759,-2.103424,0.318573,-5.7519226,-9.043701,-12.379547,-4.8365173,-2.9936523,2.053894,-7.055542,-15.199738,0.66900635,-13.704132,-0.82870483,-9.186401
1987-01-01,-2.0575562,-10.039978,-3.374237,-8.88092,-1.033081,1.148407,-6.9384155,-7.2781982,-14.147583,-3.3271484,-4.3634033,1.6534729,-5.1202393,-16.946228,-0.29315186,-12.814545,-0.3468628,-10.793732
1987-02-01,-2.418213,-11.035675,-3.1407776,-9.343903,0.13070679,1.6208496,-8.243683,-6.724884,-15.42627,-2.131134,-5.2275696,1.4059143,-4.4072876,-18.766815,-0.26589966,-12.5616455,0.15576172,-11.753113
1987-03-01,-3.0494995,-11.312317,-3.666626,-10.389679,-0.12753296,1.7443542,-8.601196,-8.063385,-15.899933,-2.4180298,-5.893158,1.4864502,-4.9577026,-20.04184,-0.55636597,-12.788635,0.5372009,-12.4938965
1987-04-01,-2.8243408,-11.486328,-4.328308,-11.681793,-0.82247925,1.8942871,-8.144745,-9.318634,-16.153748,-3.185608,-5.749359,1.5780334,-5.9023743,-18.78659,-0.74520874,-13.629944,0.30078125,-12.082489
1987-05-01,-2.0570374,-10.499481,-5.278351,-12.427155,-1.944458,1.3571777,-7.2387695,-10.485687,-15.26416,-4.75589,-5.3320923,1.7348328,-6.755188,-14.928986,-0.38983154,-14.197723,-0.4533081,-10.536346
1987-06-01,-0.6986084,-7.777832,-5.981659,-12.851074,-2.208191,0.7946167,-5.0395813,-10.863525,-14.315643,-5.3926697,-2.6846313,1.7771301,-7.7640076,-8.620636,0.85498047,-14.712219,-0.4243164,-6.3634033
