,zgu200GLB_cluster1,zgu200GLB_cluster2,zgu200GLB_cluster3,zgu200GLB_cluster4,zgu200GLB_cluster5,zgu200GLB_cluster6,zgu200GLB_cluster7,zgu200GLB_cluster8,zgu200GLB_cluster9,zgu200GLB_cluster10,zgu200GLB_cluster11,zgu200GLB_cluster12,zgu200GLB_cluster13,zgu200GLB_cluster14,zgu200GLB_cluster15,zgu200GLB_cluster16,zgu200GLB_cluster17,zgu200GLB_cluster18
1985-03-01,-0.5371479,0.03588028,0.14176217,0.29478073,-0.251865,0.24060822,0.34156495,-0.45413056,0.13191223,-0.06507721,0.33980674,0.19311981,0.19382325,0.41754723,-0.101660535,0.10728874,0.24975434,0.902985
1985-04-01,-0.23286971,0.3077957,-0.09532871,0.22513084,-0.23779412,0.251865,0.02603073,-0.44006005,0.15266648,0.3545807,0.076333426,-0.011608124,-0.044674683,0.007739258,-0.37674218,0.5835808,0.19382325,-0.24799576
1985-05-01,-0.027789306,0.28422698,-0.52307737,0.2293518,-0.38694343,0.1456314,0.023920441,-0.11010285,0.0970871,0.1568882,0.051358033,0.2606594,0.010905075,-0.20050697,-0.3383995,-0.007738876,0.046081543,0.52307737
1985-06-01,-0.0066841124,-0.004221344,-0.65780336,-0.1058815,-0.2061348,0.65323067,-0.215633,-0.33347473,0.2761368,-0.020754242,0.35035974,-0.33206788,-0.024975587,-0.058041763,-0.06929779,0.4200096,-0.40031052,-0.17799377
1985-07-01,-0.18995361,0.15477753,-0.5814705,-0.1959343,-0.2571419,0.3777977,-0.27789536,0.25573426,-0.024975587,-0.84037054,0.9205734,0.102012634,-0.081961825,-0.09743957,0.009849548,0.40664214,-0.3679474,-1.4781234
1985-08-01,0.17517929,-0.24482957,-0.5536808,-0.30075988,-0.22196503,0.30427855,0.0450264,-0.017588044,-0.05593109,-0.38588828,0.32608795,0.10130844,0.062262725,-0.039046098,-0.17271805,0.63177264,-0.46362838,-1.4436505
1985-09-01,-0.047840882,0.09005203,-0.14070663,-0.042915344,-0.40558702,0.3493046,-0.22477874,-0.009849548,-0.012663269,-0.4358391,0.98178065,0.014070893,0.28317183,0.03974991,0.15723991,0.3974968,-0.17342071,0.12030411
1985-10-01,-0.3799076,0.015126037,-0.18608436,0.16849633,-0.45659256,0.4583519,-0.038342666,0.00035171508,0.16286774,0.5223732,-0.16708907,-0.03869438,0.08899727,0.07351913,-0.0700016,0.30955428,-0.007738876,1.1636441
1985-11-01,-0.45518607,-0.050302885,-0.017236328,0.18749161,-0.48297578,0.0671875,0.13859597,0.0045730593,0.098143004,-0.16462669,0.3943306,0.209301,0.47242242,0.0446743,-0.2543274,0.19874802,-0.0147743225,-0.10728874
1985-12-01,-0.7066994,-0.101660535,-0.86217993,0.0837204,-0.14105836,0.1115097,0.5536808,0.14070663,-0.29161453,0.30251923,-0.8375565,-0.11749001,0.480513,0.95750886,-0.16427498,0.070352934,0.09005241,-0.14985275
1986-01-01,-1.1113304,-0.04695778,0.26476097,0.16252021,0.048955917,0.14653473,0.8435726,-0.3636717,0.20681381,-0.018650055,-1.2931656,-0.31038627,0.6850487,0.99377024,-0.60378855,0.43927002,0.054284286,-0.9191704
1986-02-01,-0.7762993,-0.21414033,0.5674881,0.3640049,-0.06460838,0.268425,0.36800155,-0.32504004,-0.13521194,-0.310054,-0.5042114,-0.13787575,0.6224381,0.64175415,-0.41828918,0.25876617,0.27608413,-0.6547424
1986-03-01,-0.33969346,0.051287077,-0.2697567,0.18749733,-0.18816337,-0.031970978,0.21713734,-0.2744194,0.10190811,-0.23412171,-0.38931578,-0.0043293,0.25343782,0.10390625,-0.48922578,0.16518478,0.12255593,0.0839241
1986-04-01,-0.28474274,-0.33403167,0.19149399,0.54317665,-0.28407687,0.056282423,0.4619171,-0.00066604617,0.13687667,-0.6790539,-0.047956847,0.09591369,0.20747948,0.37932473,-0.49888343,0.4848961,0.60212326,1.1229866
