,r900GLB_cluster1,r900GLB_cluster2,r900GLB_cluster3,r900GLB_cluster4,r900GLB_cluster5,r900GLB_cluster6,r900GLB_cluster7,r900GLB_cluster8,r900GLB_cluster9,r900GLB_cluster10,r900GLB_cluster11,r900GLB_cluster12,r900GLB_cluster13,r900GLB_cluster14,r900GLB_cluster15,r900GLB_cluster16,r900GLB_cluster17,r900GLB_cluster18
1985-07-01,86.86557,31.822943,78.63485,74.97967,27.0571,86.09122,79.62247,39.602505,79.98667,80.683914,63.848427,22.299458,62.05857,68.40428,56.528225,37.866787,39.02995,69.436195
1985-08-01,84.38831,35.017124,81.06781,74.749985,29.473652,86.422615,82.14074,41.197136,81.628876,81.46154,55.430687,20.140472,70.445145,64.442314,50.823975,31.253666,34.54464,68.49123
1985-09-01,83.61069,41.920624,84.58354,76.60055,24.973581,88.47004,69.639626,52.407124,81.00218,82.01769,59.066177,18.358818,61.203835,66.11077,58.57565,25.344349,29.709894,68.84559
1985-10-01,84.00278,50.92077,80.690475,82.06035,21.646515,81.72075,59.76506,62.70167,73.44738,80.608444,40.567158,27.081707,56.60205,65.646484,63.454693,33.589832,35.1172,67.63486
1985-11-01,86.73268,48.37625,79.809494,77.74238,25.301695,81.59279,39.44337,63.754917,45.562683,64.568634,26.233536,58.81189,55.324047,78.37236,70.35327,36.71675,43.290497,76.69734
1985-12-01,85.56788,50.62711,79.52731,78.7825,31.288118,69.59369,45.178787,51.022484,29.453966,56.126286,35.040092,53.14538,52.625317,81.00382,78.18369,24.784916,69.68392,72.37445
1986-01-01,86.30664,55.050323,75.87146,79.832634,24.997944,62.47403,45.632095,58.99673,19.898453,51.054714,32.54138,47.66435,37.34399,88.127304,80.89223,26.216639,72.13993,66.49752
1986-02-01,83.621574,37.34727,77.43461,77.73641,23.510252,61.870422,63.1334,70.90155,17.933453,55.76711,18.148323,33.90934,48.899445,82.54066,81.0464,21.919224,72.26787,81.302284
1986-03-01,84.2055,34.81967,77.58715,72.46142,21.643665,64.256966,33.751877,67.281555,41.273994,45.03997,17.400375,36.351646,39.062958,82.04367,72.05792,23.721842,68.35755,59.498642
1986-04-01,86.79379,27.591156,83.47231,77.34276,16.2883,75.03822,21.551811,58.44561,48.85188,51.071114,11.928555,34.53591,57.69274,77.73969,73.24545,34.23903,67.91961,63.1252
1986-05-01,88.61609,34.52771,81.5762,75.77633,14.574253,83.59369,28.857416,52.125786,62.741386,65.23126,12.537083,24.333649,62.60853,70.3652,61.64899,40.67531,50.74799,63.11044
1986-06-01,89.17377,28.094707,77.07211,75.87311,13.65572,84.00867,66.3663,59.103344,72.13665,74.82336,46.111046,19.675385,73.36683,70.56859,65.43137,55.0126,45.459873,63.343353
1986-07-01,89.89383,32.22154,80.48708,76.79163,26.359339,84.63196,79.9048,48.59108,81.349846,75.82226,59.367424,20.046074,77.1935,65.195175,48.861717,64.16839,40.793404,74.1853
1986-08-01,85.06826,33.212242,81.40398,78.67299,29.247793,90.21368,83.59369,44.54134,80.41328,75.0251,51.833824,18.915955,66.49752,58.85895,48.433617,42.345066,31.18327,70.698166
1986-09-01,86.849556,38.7874,81.08741,79.169975,34.680252,86.565796,65.94312,55.79827,80.500206,79.34384,58.534184,19.642578,60.10061,62.36085,47.09519,32.464294,30.77157,78.25964
1986-10-01,86.039276,50.439625,79.69321,75.96004,29.198586,86.71834,42.210567,60.933846,68.890625,77.17217,37.46209,31.803278,60.24823,72.96333,64.69163,40.27345,52.99347,72.33184
1986-11-01,85.29462,54.68455,81.773026,76.91794,29.050964,78.01689,45.899456,70.99177,37.56378,63.67796,31.070093,44.493774,43.304604,78.68939,68.743004,27.199139,58.109364,72.023476
1986-12-01,86.175415,58.393124,80.25417,79.44061,23.334745,76.30121,55.778587,63.620552,26.608654,54.30402,31.476871,53.68565,51.78954,84.7271,77.91684,25.655678,62.229633,72.34004
1987-01-01,87.95731,41.371872,78.5885,80.07446,19.472744,62.633236,56.716682,67.56825,18.541004,45.416912,29.919489,32.412697,46.79846,76.60614,82.93877,39.050552,62.209133,71.41409
1987-02-01,86.72517,37.060158,80.81343,78.76039,22.176401,58.980167,32.902664,68.81486,14.698376,56.398605,20.851078,38.70195,52.094925,79.240715,76.34268,59.826767,60.3071,52.80819
1987-03-01,84.11308,44.17673,79.184494,76.861565,19.625359,62.016357,29.742779,61.592255,31.260876,47.57598,15.480717,36.134842,54.64757,81.14114,77.912186,32.015907,57.961678,59.123142
1987-04-01,86.30106,32.34202,81.1556,76.17239,7.4436493,68.03573,21.36996,47.592045,35.519573,53.392937,12.634087,23.794096,51.74954,75.35632,69.85744,35.505116,38.922035,71.476746
1987-05-01,87.85771,22.843077,76.765175,81.165245,12.067009,78.35556,27.874477,51.614597,60.140026,55.619476,40.06101,19.771545,75.32741,71.34502,61.29988,43.148605,41.590347,66.032486
1987-06-01,90.21919,29.641573,84.38457,73.12335,19.236595,85.391815,60.68622,47.420155,74.81174,81.06564,39.363808,17.797218,73.14424,68.64297,62.678215,57.99381,36.75815,66.35056
1987-07-01,86.19504,31.721926,81.70019,75.21816,16.038155,81.105804,78.10977,43.307644,76.802124,81.353195,51.10214,21.042248,66.38751,71.37232,63.0477,41.50842,34.051277,67.82207
1987-08-01,85.40145,34.93643,83.83838,76.49047,28.57007,85.35968,84.27051,43.40403,81.84477,72.87435,60.096653,22.190859,74.85671,63.59068,47.089226,37.895515,32.999054,69.60202
1987-09-01,83.806244,36.97823,82.49056,78.44231,26.864021,86.51793,64.00675,41.678703,77.67282,77.907364,48.93343,21.48884,53.057186,62.941673,47.78,27.096956,28.215046,75.780426
1987-10-01,84.061676,51.161575,83.4962,82.90021,23.437464,82.63193,58.790607,50.37763,62.589863,62.435642,37.30434,39.04252,47.710922,73.798065,54.65721,21.747478,32.541214,62.51918
1987-11-01,83.58938,36.682644,81.6279,79.02545,23.696102,83.09299,59.30628,60.44204,30.219894,59.725563,26.084892,34.269756,43.7205,71.87032,66.61081,34.55249,38.642513,67.13933
1987-12-01,86.850464,56.49981,78.32986,77.99571,26.084892,70.78115,47.106895,61.714348,24.12663,57.913486,30.52994,53.627476,44.645817,71.21329,72.92737,44.350227,75.94107,71.549034
1988-01-01,84.57142,51.51119,79.449524,78.07175,27.168764,64.227165,44.312855,59.922817,22.055014,48.263794,28.958576,50.309296,38.00861,79.69382,79.01633,25.64278,67.17001,64.22391
1988-02-01,83.66104,43.63862,76.37639,74.06055,26.002699,66.44692,36.09014,56.341564,15.739368,42.30481,19.651226,37.689407,47.698677,81.11882,80.62862,23.512594,73.54591,65.51863
1988-03-01,80.29476,39.41896,77.81769,77.697174,18.693619,62.84124,21.924726,53.43129,30.486187,54.17555,15.498341,31.24022,50.815784,74.63706,72.41893,33.404606,71.04441,57.742146
1988-04-01,85.73911,24.813833,77.18091,72.54759,13.304638,78.51635,29.326635,60.77131,55.431187,42.988815,10.053986,33.210808,55.1755,76.22005,62.87381,52.976913,62.307064,64.22553
1988-05-01,89.40505,21.540382,77.45288,75.804756,13.1466675,85.24239,27.269735,51.662647,68.09505,43.529503,23.725939,17.620384,70.60469,67.17327,51.872734,49.91355,49.954266,66.69121
1988-06-01,89.620026,24.36923,77.93169,76.15979,16.719776,86.46384,64.543106,48.459225,76.04253,77.413795,42.6517,16.361488,67.5397,66.49415,55.89045,45.276974,45.071774,55.364414
1988-07-01,84.561646,29.315235,82.55197,76.93011,28.48303,86.36449,85.37105,39.528076,80.74262,77.91214,63.548042,21.80584,70.90598,64.75808,53.68209,44.05065,42.361813,60.574253
1988-08-01,80.752396,32.29554,81.341934,75.394356,35.29702,85.722824,85.70003,40.003624,82.28163,88.32367,72.61762,24.072828,60.826683,62.46178,47.16776,42.09798,36.62269,64.64082
1988-09-01,82.7132,36.26114,81.39079,78.09454,26.457073,85.6528,88.659164,58.115093,82.166,84.03887,56.74708,19.183823,46.403954,60.43582,46.698727,24.133085,30.621359,71.35221
1988-10-01,84.064926,50.75227,80.48856,77.79814,20.960606,85.51274,46.951157,49.954266,68.40936,72.03459,32.655457,33.622837,38.23987,70.93692,52.473682,21.864468,38.87013,65.3802
1988-11-01,84.21476,41.93838,79.23129,76.887764,23.50608,76.555534,42.724983,67.83447,34.91756,64.07245,30.976389,37.318092,57.4718,71.0721,70.935295,30.886818,45.780205,66.40132
1988-12-01,84.28967,48.92337,79.99347,74.449776,24.738918,68.24162,42.182667,59.01081,28.960205,46.680813,32.745033,48.72794,51.735935,82.88421,78.10269,42.6517,64.802055,61.616547
