,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,mslGLB_cluster13,mslGLB_cluster14,mslGLB_cluster15,mslGLB_cluster16,mslGLB_cluster17,mslGLB_cluster18
1985-04-01,100945.94,101633.94,100992.336,100842.18,101350.66,101817.56,100835.69,101111.695,101050.29,102152.95,101792.43,101465.79,101476.81,101257.33,101913.04,101510.05,102487.21,102269.81
1985-05-01,101220.22,101707.26,100781.61,100822.65,101052.85,101995.234,100425.49,101299.375,101172.75,102112.39,101818.99,101531.37,101738.52,100880.6,101385.625,101138.266,102511.516,101545.37
1985-06-01,101466.086,101687.06,100851.17,100967.44,101012.586,102271.305,100045.07,101543.94,101375.195,102106.555,101738.586,101564.305,102075.82,100414.29,101066.55,101425.7,102126.57,101538.93
1985-07-01,101639.95,101875.45,100800.664,101047.91,100877.56,102331.695,100032.445,101647.93,101326.72,102110.664,101711.96,101379.55,102058.195,100425.19,101391.164,101502.19,102469.46,101852.586
1985-08-01,101426.484,101966.65,100750.22,101023.13,100802.875,102245.39,100155.62,101626.37,101274.6,102000.77,101646.98,101280.734,102084.516,100338.47,101591.34,101435.48,102401.15,102655.89
1985-09-01,101268.46,101836.445,100883.58,101009.91,101181.33,102166.53,100647.055,101504.21,101192.82,101802.914,101491.82,101258.94,101676.164,101346.07,101841.69,101685.45,102105.54,102282.56
1985-10-01,101099.73,101736.5,101172.16,101022.89,101631.016,102149.38,101075.6,101302.89,101136.48,101751.625,101517.016,101311.88,101583.6,101791.234,101689.984,101981.89,102215.734,101988.86
1985-11-01,100817.586,101722.68,101311.055,100871.07,101621.43,101912.33,101398.55,101254.7,101127.42,101687.66,101250.95,101421.54,101441.43,102173.68,101838.586,101779.2,101345.18,102124.96
1985-12-01,100752.24,101634.234,101407.484,100900.49,101940.14,101824.12,101603.38,101179.0,101129.15,102122.76,101578.24,101566.39,101269.0,102648.51,101569.25,102074.63,100976.13,102367.97
1986-01-01,100514.375,101512.75,101459.39,100782.125,101965.13,101841.89,101638.65,101242.48,101212.73,102507.64,101559.66,101806.89,101216.4,102569.484,101617.63,102089.38,100766.484,102332.125
1986-02-01,100719.016,101479.266,101311.85,100951.5,101566.49,101696.12,101486.484,101176.016,101097.84,101997.85,101310.9,101560.35,101099.87,102480.49,101526.11,101496.734,99841.03,102117.99
1986-03-01,100974.92,101546.93,101158.92,100888.71,101510.79,101866.33,101198.805,101191.836,101128.04,102436.305,101800.055,101653.336,101322.55,101809.805,101713.91,101640.93,101474.96,102160.72
1986-04-01,101068.22,101509.4,100990.62,100885.87,101159.62,101793.16,100832.51,101168.61,101026.63,102074.63,101784.23,101442.11,101500.47,101453.25,101733.97,101256.27,102584.484,101813.03
1986-05-01,101347.93,101646.18,100921.69,100982.45,101272.8,101730.94,100526.47,101318.94,101153.8,102106.53,101701.055,101437.43,101797.836,100839.47,101487.305,101600.92,102036.086,101321.22
1986-06-01,101298.49,101799.87,100594.01,100917.64,100922.26,102023.11,99974.77,101544.15,101276.84,102225.72,101778.47,101560.35,102036.02,100444.12,101155.0,101260.516,102347.25,101779.23
1986-07-01,101460.34,101827.21,100890.42,101056.7,100917.195,102349.336,100137.195,101757.836,101458.95,102222.305,101695.555,101561.17,102204.07,100558.56,100949.29,101444.836,102288.7,101013.66
1986-08-01,101311.34,101747.71,100887.95,100922.195,100909.28,102215.66,100311.195,101585.04,101312.42,101961.46,101534.46,101367.805,101940.695,100569.32,101215.95,101434.2,101983.93,101867.59
1986-09-01,101258.49,101848.984,101069.99,101030.875,101184.24,102335.09,100761.62,101659.85,101320.39,101952.28,101386.6,101352.234,101839.99,101286.72,101235.39,101629.02,101704.23,101852.4
1986-10-01,101139.305,101807.71,101287.29,101079.3,101544.46,102219.33,101140.19,101481.3,101283.43,101987.09,101630.67,101489.586,101512.69,102022.664,101509.08,101831.32,101714.03,101970.445
1986-11-01,100926.375,101607.76,101292.61,100905.484,101790.24,102168.5,101400.52,101322.86,101158.35,102108.75,101546.36,101529.91,101440.02,102462.516,101333.5,101980.26,102099.0,102271.734
1986-12-01,100894.85,101476.86,101410.84,100977.14,102150.016,101988.234,101712.01,101339.89,101244.125,102213.51,101677.89,101679.98,101281.72,102571.26,101891.9,102356.24,101314.63,102402.76
1987-01-01,100789.39,101444.516,101562.01,100974.77,102109.0,101900.61,101774.984,101327.875,101251.36,101869.97,101830.64,101639.75,101217.9,102625.65,101718.34,102101.23,101521.4,102290.66
1987-02-01,100785.414,101247.93,101482.92,101037.71,101720.55,101851.56,101626.17,101337.97,101221.445,102107.28,101454.18,101655.71,101278.21,102383.93,101057.04,101735.836,100986.83,101685.31
1987-03-01,101082.73,101379.86,101153.62,101109.88,101447.02,101842.51,101261.266,101132.27,101063.09,101835.35,101791.86,101406.47,101180.23,101747.88,101221.76,101531.37,101618.766,101632.34
1987-04-01,101333.07,101490.81,101171.05,101054.96,101645.195,101867.7,101001.81,101276.31,101112.7,101972.17,101840.18,101392.95,101525.31,101507.2,101910.03,101873.945,102453.414,102101.54
1987-05-01,101433.56,101658.46,100959.79,101081.94,101178.82,101825.08,100815.445,101301.82,101109.58,101930.03,101647.945,101400.54,101722.81,101090.68,101923.55,101324.445,102601.305,102020.8
1987-06-01,101496.5,101748.13,100733.36,101054.59,101142.24,102269.37,100092.484,101571.49,101334.97,102199.766,101784.766,101515.09,102071.38,100649.38,101445.25,101623.234,102348.516,101284.016
1987-07-01,101697.98,101567.76,100857.28,101101.99,100815.99,102144.78,100128.39,101525.62,101226.52,102102.88,101640.6,101378.88,102013.27,100386.375,100781.25,101313.625,102248.88,101469.65
1987-08-01,101546.78,101766.48,100795.016,101058.75,100871.77,102255.12,100247.35,101567.88,101225.484,101936.02,101538.52,101275.27,101976.76,100678.5,102095.36,101405.0,101911.99,101514.98
1987-09-01,101490.695,101844.34,100932.82,101116.8,101182.18,102499.164,100716.17,101564.82,101235.21,101830.58,101520.91,101305.914,101686.664,101347.2,100783.82,101706.54,102092.18,101816.94
1987-10-01,101078.08,101738.95,101128.42,101058.33,101519.195,102181.97,101086.95,101339.19,101168.17,101913.21,101596.32,101394.42,101607.695,101695.59,102065.94,101865.32,102142.45,102017.805
1987-11-01,100866.21,101640.79,101259.06,100922.664,101726.414,102107.28,101332.95,101275.336,101139.8,101546.414,101770.58,101410.57,101422.19,102280.44,101799.08,101823.055,102008.81,102072.55
1987-12-01,100815.51,101551.37,101427.51,100930.734,102022.63,101832.234,101692.59,101293.13,101172.766,102025.14,101578.65,101611.734,101287.38,102754.766,101957.375,102211.266,101920.734,102094.38
1988-01-01,100780.734,101536.27,101368.02,100889.12,102007.99,101859.734,101584.97,101228.766,101199.65,102364.25,101719.63,101760.35,101116.27,102534.62,101863.9,102117.88,101498.4,102041.76
1988-02-01,100616.47,101369.47,101275.65,100907.61,101659.4,101607.625,101397.266,101087.64,101001.61,101837.26,101723.984,101437.26,101203.516,102605.0,101877.016,101747.6,101157.12,101781.74
1988-03-01,100855.65,101528.12,101160.016,100859.63,101641.76,101647.5,101113.016,101167.51,101130.77,101985.76,101903.11,101445.77,101253.9,101988.78,101346.16,101794.0,102015.12,101925.52
1988-04-01,101026.14,101611.37,100976.12,100998.53,101138.99,102009.5,100894.13,101175.24,101029.64,101911.63,101906.375,101412.73,101453.15,101580.5,101776.0,101232.27,102334.77,101957.73
1988-05-01,101223.94,101743.8,100847.43,100950.805,101169.195,101980.44,100497.81,101338.18,101161.05,102106.586,101843.54,101498.22,101869.04,100907.55,102022.43,101335.82,102348.79,101781.31
1988-06-01,101498.27,101893.99,100745.875,101032.73,100953.52,102176.85,99981.27,101514.766,101241.39,102208.266,101884.625,101500.266,101964.37,100517.75,101581.52,101214.99,102177.875,102454.875
1988-07-01,101476.83,101975.79,100631.45,100989.586,100631.086,102458.805,99925.81,101696.8,101326.695,102137.22,101816.66,101361.195,101978.81,100443.93,101846.445,101294.92,102448.05,102266.445
1988-08-01,101486.13,101933.984,100648.61,101009.52,100764.125,102162.47,100177.375,101643.15,101194.27,101853.875,101703.625,101179.89,101903.48,100607.89,101960.625,101324.41,102204.27,102226.39
1988-09-01,101197.95,101942.32,100747.2,100905.43,101106.79,102255.93,100444.95,101595.78,101196.93,101881.06,101594.03,101273.414,101713.71,101234.57,102333.32,101596.2,102026.414,102929.67
1988-10-01,100946.27,101831.64,101136.16,100870.03,101495.734,102155.22,101039.734,101327.0,101117.484,101855.14,101543.65,101344.88,101462.02,101826.51,101740.48,101860.09,101894.77,102395.0
1988-11-01,100716.695,101767.96,101398.95,100873.836,101939.54,102030.04,101510.54,101317.94,101149.69,101803.43,101704.95,101430.67,101553.31,102439.83,101944.555,101927.58,102100.55,102477.164
1988-12-01,100591.7,101659.04,101395.21,100843.445,101874.72,101801.914,101614.81,101159.414,101094.83,101883.055,101650.16,101524.92,101354.67,102609.29,101662.664,102101.695,101571.68,102230.31
1989-01-01,100572.01,101410.12,101336.375,100739.484,102361.375,101670.87,101521.86,101215.984,101172.625,102340.15,101759.234,101673.125,100981.88,102578.6,102067.14,102771.99,102102.484,102105.65
1989-02-01,100656.93,101422.195,101442.695,100891.82,102180.69,101669.46,101591.93,101227.336,101154.16,102452.57,101590.69,101654.04,101115.93,102374.53,101771.66,102439.3,101834.67,101771.43
1989-03-01,100899.055,101575.67,101130.67,100904.586,101480.586,101767.93,101230.67,101104.3,101023.78,102158.33,101690.914,101442.3,101185.555,101980.07,101870.92,101606.33,101799.836,102241.95
1989-04-01,100893.46,101526.55,101100.69,100820.96,101170.42,101901.08,100984.42,101134.17,101043.2,102262.56,101742.19,101505.71,101560.7,101239.53,101663.81,101199.67,102486.56,101763.695
1989-05-01,101097.19,101764.2,100892.555,100915.42,101269.29,101964.83,100550.32,101371.32,101213.055,102030.664,101882.33,101517.17,101858.336,101078.33,101677.08,101499.95,102314.29,101749.58
1989-06-01,101469.06,101784.53,100816.33,101052.695,101138.18,102345.29,100070.31,101500.46,101264.83,102055.45,101865.336,101482.336,102072.055,100676.805,101717.79,101323.05,102226.43,102165.78
1989-07-01,101426.04,101834.79,100757.836,100992.78,100876.18,102384.414,100116.055,101625.81,101359.41,102153.93,101856.19,101438.8,102124.28,100555.914,101307.69,101503.45,102855.05,102136.195
1989-08-01,101450.88,101907.234,100827.12,101026.266,100826.38,102240.766,100237.51,101634.0,101257.49,101842.63,101691.14,101193.85,101979.23,100559.98,101344.73,101322.14,102171.375,101992.61
1989-09-01,101261.67,101840.32,100896.96,101030.78,101134.45,102020.05,100632.31,101433.21,101160.94,101868.664,101595.83,101295.66,101675.67,101072.17,101897.3,101577.93,101876.69,102279.055
1989-10-01,101019.55,101829.42,101171.945,100969.18,101556.92,102330.21,101081.2,101441.56,101204.92,101869.45,101464.83,101408.93,101599.555,101906.44,102193.68,101905.7,102101.81,102494.41
