,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12,vo500GLB_cluster13,vo500GLB_cluster14,vo500GLB_cluster15,vo500GLB_cluster16,vo500GLB_cluster17,vo500GLB_cluster18
1985-07-01,-4.781534e-06,-1.2713266e-05,8.438015e-06,2.2116001e-07,3.572386e-05,-3.058958e-07,5.0337694e-06,-3.0362062e-06,7.002557e-05,1.3587596e-05,-2.379551e-06,7.309354e-07,1.006238e-05,-4.3235996e-06,-1.6342157e-05,8.086936e-07,8.173374e-07,-3.502777e-06
1985-08-01,-1.9561776e-06,-9.663265e-06,5.0769668e-06,1.836881e-06,-8.194424e-06,-2.3277098e-06,5.016489e-06,-2.1301654e-05,5.639129e-05,1.4676261e-05,-7.4654236e-07,-7.89747e-07,-2.7078786e-06,-2.0080188e-06,-8.2203405e-06,1.2234232e-06,4.0260784e-07,2.8650684e-06
1985-09-01,-4.392721e-06,-1.2670062e-05,6.8222944e-06,-3.1485324e-06,6.06682e-05,-6.2244508e-06,1.2861812e-05,-7.425442e-06,5.1431798e-05,1.8391562e-05,-1.3772806e-06,-4.859292e-06,2.3256012e-05,-1.0449519e-05,-6.993432e-06,-4.168076e-06,1.750479e-06,6.5317e-07
1985-10-01,-3.7101418e-06,-1.1434509e-05,8.792267e-06,-1.5495418e-05,7.497642e-05,-3.8045982e-08,7.072864e-06,-3.9261504e-06,5.1751485e-05,7.643117e-06,8.291681e-08,-6.4285996e-07,1.7432496e-05,-4.9629743e-06,-1.1304903e-05,5.448499e-06,6.186092e-07,-4.107591e-06
1985-11-01,-3.4851837e-09,-5.6541976e-06,4.0142186e-06,-2.2848253e-05,0.00016330549,-2.2153836e-06,3.996938e-06,4.731359e-06,6.630163e-05,8.861389e-06,4.178386e-06,4.644957e-06,2.7576127e-05,-1.5668222e-05,-7.935218e-06,-1.5383092e-05,2.2256936e-06,-3.900226e-06
1985-12-01,-1.03372e-05,2.0525698e-05,-1.1581142e-07,-3.091822e-05,0.00018658226,-3.4941404e-06,6.4421256e-06,2.1519325e-05,6.9351634e-05,7.288865e-06,9.440286e-06,-1.1699158e-06,4.8036185e-05,-9.594143e-06,-7.935218e-06,-5.809721e-06,7.482158e-07,-1.4311707e-05
1986-01-01,9.21289e-06,7.0348615e-06,8.069328e-07,-3.6473197e-05,0.00023007707,1.2880191e-06,1.16533265e-05,1.5650752e-05,3.460571e-05,2.1973392e-09,-5.3335316e-06,4.2620304e-06,7.5384676e-05,-1.4955338e-05,-2.8406066e-06,-1.2923774e-06,1.8828214e-06,-1.98887e-05
1986-02-01,3.0636802e-06,1.432994e-05,-3.0592855e-06,-3.022777e-05,0.00021793609,-7.065457e-06,1.4347432e-05,3.3179935e-05,4.099109e-05,2.3026805e-06,1.7341226e-06,8.040777e-06,7.632061e-05,-5.219823e-06,2.0540378e-05,-1.4955338e-05,-4.7014328e-07,-1.8856546e-05
1986-03-01,2.9499715e-06,1.00176185e-05,1.2705277e-06,-2.1366963e-05,0.00020080929,-5.106107e-06,5.8540027e-06,1.6464233e-05,4.2005755e-05,9.851428e-06,-4.8764196e-07,6.168899e-06,6.148554e-05,-5.9545782e-06,1.9688741e-08,-6.101036e-07,3.1598975e-06,-1.5156518e-05
1986-04-01,1.8128485e-06,7.061106e-06,8.399409e-06,-8.298797e-06,0.00012976537,-3.7328136e-06,1.7778584e-06,3.632238e-06,5.198619e-05,1.0883581e-05,-7.030467e-06,3.6759739e-06,4.5548328e-05,-2.2442851e-05,6.494811e-07,-1.2234988e-05,6.168899e-06,-1.1963828e-05
1986-05-01,-1.012694e-05,3.0199444e-06,6.842427e-06,-1.5445177e-05,8.1848775e-05,-6.5056447e-06,1.4338686e-05,9.151656e-06,5.9001362e-05,1.3813864e-05,-3.0680312e-06,8.069328e-07,2.6470909e-05,-1.0205666e-05,1.3055105e-06,-1.0048214e-05,4.708134e-06,-1.3372111e-05
