,mgu850GLB_cluster1,mgu850GLB_cluster2,mgu850GLB_cluster3,mgu850GLB_cluster4,mgu850GLB_cluster5,mgu850GLB_cluster6,mgu850GLB_cluster7,mgu850GLB_cluster8,mgu850GLB_cluster9,mgu850GLB_cluster10,mgu850GLB_cluster11,mgu850GLB_cluster12,mgu850GLB_cluster13,mgu850GLB_cluster14,mgu850GLB_cluster15,mgu850GLB_cluster16,mgu850GLB_cluster17,mgu850GLB_cluster18
1984-10-01,0.077150725,-0.56842345,-0.40270537,0.048781205,-0.48296967,0.91127664,-0.17402153,-0.82582283,0.6611427,0.3570381,0.7694305,0.22384071,-0.9185425,0.09133492,0.8528088,-0.1331974,-0.28403854,0.764933
1984-11-01,0.4210415,-0.46394157,-0.45875168,-0.18647614,-0.23940888,0.20931014,-0.1086338,-0.8597275,0.55043334,0.28853646,1.3904407,0.18993568,-0.9299591,-0.9496788,0.6576828,-0.10932541,0.56738585,0.8019512
1984-12-01,0.37433586,-0.9538307,-0.80022126,-0.29441756,-0.053278733,-0.33143616,-0.0913353,-0.6874359,1.0583127,0.41516036,0.8943245,0.05293274,-1.020948,-0.62931406,0.20377465,-0.10482826,0.775658,0.921656
1985-01-01,0.35035935,-0.7140862,-0.69931257,-0.45940742,-0.038694,-1.1903785,0.23990516,-0.3549324,0.7485596,0.28317183,1.2090222,0.13050537,-1.133392,-0.59413373,0.41578826,-0.12522888,1.1492221,0.99655455
1985-02-01,0.45764846,-0.6905178,-0.84037054,-0.38131523,0.0063316347,-1.7616475,0.13367157,-0.67820626,0.8350941,0.12135963,0.9532875,0.36513367,-1.2023388,-0.7570019,-0.31342393,-0.17517968,0.8628834,0.93605155
1985-03-01,0.09427337,-0.94590074,-0.51674575,-0.20402488,-0.11045494,-0.06507683,-0.056282807,-0.50373,1.097512,0.42071265,1.2459571,-0.040101625,-1.0190678,-0.9230362,0.44287452,-0.17869759,0.841074,1.0345459
1985-04-01,0.1955822,-0.29407692,-0.20824584,0.013015365,-0.23146248,0.6180542,-0.1262844,-0.4351349,0.4435776,0.16321984,0.53996164,0.19347152,-0.8868038,-0.6240341,0.5533287,-0.033769608,0.42739677,0.9342922
1985-05-01,-0.0056282044,-0.21844712,-0.346138,0.14668655,-0.54945946,1.1661065,-0.071056746,-0.6433811,0.3194042,-0.37639007,0.8808235,0.091811374,-0.7682587,-0.012663269,0.7615749,0.0063316347,0.11502762,0.6613213
1985-06-01,0.019698715,0.006683731,-0.46784973,0.098846436,-0.48543817,1.0454509,-0.45061263,-0.7274536,0.07246399,-1.0014797,1.6234032,0.46714592,-0.7777561,1.0869591,0.6620247,0.0418602,-0.787254,0.5441834
1985-07-01,0.015829468,0.20121041,-0.48965913,0.31799698,-0.5357407,1.1059548,-0.35844994,-0.67433625,-0.12382164,-1.3687241,0.474181,0.3908127,-0.7401169,1.1998761,0.70142287,-0.064725116,-0.2603073,0.8551445
