,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8,zgv250GLB_cluster9,zgv250GLB_cluster10,zgv250GLB_cluster11,zgv250GLB_cluster12,zgv250GLB_cluster13,zgv250GLB_cluster14,zgv250GLB_cluster15,zgv250GLB_cluster16,zgv250GLB_cluster17,zgv250GLB_cluster18
1985-07-01,-0.19797783,0.08167753,-0.36561066,-0.039969824,0.13875827,-0.2117467,-0.23928447,-0.16683073,-0.4217556,-0.5736144,-0.39715874,0.2866067,0.4554426,-1.1418816,-0.30518794,-0.02098751,-0.079137705,0.048926353
1985-08-01,-0.32911643,-0.02299266,0.09170344,-0.11442876,0.17819342,-0.43298465,0.025799941,0.39047486,0.29917243,-0.0955801,-0.011897373,0.19450216,0.11469617,-0.6758785,-0.032884933,0.080741785,-0.31909055,0.15373024
1985-09-01,-0.25906888,0.0716517,-0.122850515,0.2919538,0.20279026,0.19784412,-0.10654183,-1.3190054,1.8795195,-0.47389022,0.5673315,0.25158292,0.47241974,-0.066438295,0.07967243,0.060556315,-0.23366995,0.16295405
1985-10-01,-0.18661514,-0.039702512,-0.1676328,-0.022859002,0.29997447,0.7895051,-0.047856905,0.1602805,0.056278657,-0.43325195,-0.29970714,0.10934901,-0.16683073,0.4202853,0.093173884,0.022324324,-0.27577886,-0.30679208
1985-11-01,-0.43552452,0.2093405,0.04598541,0.10560598,0.35251015,1.1718256,0.49126846,0.8006004,0.9739815,-0.95259273,0.56960404,-0.18634777,-0.18728355,1.324219,-0.05280299,0.0016041517,-0.020051766,-0.22778806
1985-12-01,-0.004144001,0.065368794,0.10680912,0.43178147,0.009624815,1.5485315,0.030746054,0.10146217,1.0426922,-0.56225175,0.720126,0.4323162,-0.033152293,-0.05761547,0.093173906,0.09945681,-0.21027625,0.13020286
1986-01-01,-0.032012414,0.17250426,-0.0053138053,0.78670233,0.089168236,0.3000356,-0.09759255,-0.5134951,0.43987942,-0.32025394,0.7952563,0.25480348,-0.69494194,-0.54537773,0.19557396,-0.10977545,-0.6447848,-0.059877586
1986-02-01,-0.2286232,0.10290642,-0.16693124,0.24236146,0.0075170994,-0.08294716,0.1473608,0.863299,1.1457083,-0.8468391,-0.26880077,0.27204093,0.4453228,0.49120292,0.3503224,-0.22849369,-0.50040495,-0.14567605
1986-03-01,-0.020477485,-0.020347977,0.21877325,0.45672798,-0.0089427475,-0.18365029,0.048213065,-0.043288063,0.069079444,-0.036937427,1.2941059,-0.038881492,0.47448388,0.08022551,0.0033697367,-0.16719046,-0.49807206,-0.39581364
1986-04-01,0.15332274,0.12273593,0.21540351,0.01788559,0.032012437,-0.04743538,0.78618395,-0.6796486,-0.4195314,1.0074198,-0.11353397,-0.06234,1.0161031,-0.018533517,0.09746297,-0.15422997,0.3917961,-0.95868826
1986-05-01,-0.32077238,0.2230502,0.1442504,-0.16706085,0.21592195,-0.5453778,-0.45504308,0.42264193,-1.0556328,-0.07659664,0.7813885,0.028513098,0.72021496,0.69040585,0.0055730105,0.016589439,1.5259693,-0.23367782
1986-06-01,-0.5142727,-0.059229493,0.23652914,-0.13634448,-0.06778355,0.11327477,-0.20477593,-0.3622461,-0.49003658,0.11405239,-0.16952333,0.019959163,0.9030876,0.39866504,-0.0031105042,0.10783134,0.045880128,0.40721893
1986-07-01,-0.12143989,-0.018533517,0.1747076,0.0072578667,-0.2986099,0.49120292,-0.17405954,0.120921515,0.48627797,0.39723936,0.788128,-0.041991998,0.16446874,-0.9987362,-0.15565562,-0.075041294,-0.13582602,0.0
1986-08-01,-0.15850694,-0.030197907,0.03965912,-0.027346635,0.060525537,-0.12455042,0.019829582,0.15150829,-0.5543206,1.004698,-0.13336356,-0.0526196,-0.12325436,-1.5092502,-0.20062847,-0.18183574,-0.27217048,0.13440037
1986-09-01,-0.2563587,0.105887316,-0.13465957,-0.25260013,0.17989174,0.14800891,-0.18105821,-0.09059391,0.6443962,0.25039682,0.31818026,0.14554639,-0.1779478,0.05754452,-0.02695775,-0.043547295,0.07931824,0.08735378
1986-10-01,-0.38998145,0.10964582,-0.030586768,0.37857622,-0.09629651,0.22343902,0.24002843,0.62469596,0.19686985,-0.4620418,-0.08735378,0.25078568,-0.5860739,0.6530797,0.04173281,-0.11781094,0.5081812,-0.25998765
1986-11-01,-0.22188377,0.08735375,-0.14567605,-0.16537598,0.3446197,0.68677676,0.09435245,1.0114374,-0.8496903,0.69183147,-0.028124284,-0.28564945,0.13440037,1.4507984,-0.106535316,-0.13064183,-0.22110614,-0.18481675
1986-12-01,0.012312484,0.116385296,-0.12325436,0.4171985,-0.13893655,0.89258957,-0.5982567,-0.1290865,0.31986505,-0.2978323,-0.5353983,0.20373908,-0.86498374,1.0793504,-0.014515758,0.04289925,-0.1652464,0.29886913
1987-01-01,-0.1961368,-0.105714895,-0.26532665,-0.2984368,-0.154712,0.96257,-0.23117717,0.08908558,0.6274595,-0.7095668,-0.5949434,0.50110656,-0.5766808,0.25567573,-0.15797849,0.17252913,-0.023607636,-0.0420187
1987-02-01,-0.079286195,-0.031031465,0.10764513,0.5085303,-0.29472485,-0.11284175,-0.2942795,0.61736333,0.79672223,-0.62389624,-0.15070315,0.3144722,-0.15664215,0.9754874,0.11402955,-0.12189879,-0.29977304,-0.07824679
